request_id,name,type,project_id,contract_id,partner_id,amount,date_request,state,legacy_receipt_id
29617,PRQ2629617,receive,730,,31032,233111.44,2022-10-25,draft,00160865282b430db03ead68b670d4b6
29618,PRQ2629618,receive,7,,30953,411682.78,2021-05-19,draft,00851e8639404bde89a667e1ecc0afcc
29619,PRQ2629619,receive,680,,31009,481985.0,2023-01-05,draft,0095ed67934e47b2a5a376a2ef993c79
29620,PRQ2629620,receive,325,,30901,142678.0,2022-03-31,draft,00acf9308c794f0b9bbd108b09e768f8
29621,PRQ2629621,receive,381,,31208,150000.0,2019-12-14,draft,00e3e0db849842359539865f811d3988
29622,PRQ2629622,receive,576,,30937,75180.0,2025-04-01,draft,012932c59c22409cbdaf2a4d9c4d9013
29623,PRQ2629623,receive,480,,30813,2322.0,2022-12-21,draft,01ae74c0e8ba4dbd8747e9d3259aa4d8
29624,PRQ2629624,receive,721,,30908,676200.0,2022-01-24,draft,01b2b08e9cdc488ba5538c2074157a69
29625,PRQ2629625,receive,576,,31238,7500000.0,2022-02-25,draft,024afd7d35ae426390b2f4ee1b848128
29626,PRQ2629626,receive,503,,31031,140062.15,2021-12-01,draft,029beedb0abc4cae8d4f657364a9572c
29627,PRQ2629627,receive,185,,31135,900000.0,2022-01-26,draft,02a45ad9b70344fcac08b676055e1903
29628,PRQ2629628,receive,396,,30899,114436.8,2022-11-25,draft,02b9983ef8844f4e80a7e19fb636cf22
29629,PRQ2629629,receive,166,,30978,1450000.0,2021-02-04,draft,03a24420070841b4987cbd1d7092a14f
29630,PRQ2629630,receive,480,,31117,5412.0,2023-01-06,draft,03cad679d66b4d508de80ab0f2522f57
29631,PRQ2629631,receive,20,,30836,384808.16000000003,2020-09-27,draft,03d6b4e5625f45b6b1f6c3f3f0b0f497
29632,PRQ2629632,receive,481,,31109,502879.0,2021-02-10,draft,03d76623ca9848cca6252285235bbb1b
29633,PRQ2629633,receive,503,,31031,77818.5,2022-12-13,draft,03eb9bb0543d490aadc0da63c320570e
29634,PRQ2629634,receive,545,,31135,530000.0,2022-08-26,draft,040d948a9bcd457295907d5f01b3e410
29635,PRQ2629635,receive,52,,30776,72873.77,2023-05-25,draft,0477252b684c4e61b4b5941cfcc68b80
29636,PRQ2629636,receive,41,,30882,750000.0,2021-12-17,draft,04893917a1664743b327c3435232574e
29637,PRQ2629637,receive,498,,30870,710.04,2024-03-15,draft,04d63f6acdbe4fb8ac78e0ffc7a04300
29638,PRQ2629638,receive,158,,31095,1410000.0,2022-01-28,draft,0542ab04941f48629beec3bea11c4299
29639,PRQ2629639,receive,612,,30806,351000.0,2021-02-10,draft,055da2ff8257401d8bedcc960cc1f3f1
29640,PRQ2629640,receive,612,,30806,580000.0,2021-02-10,draft,057ff66210374ee6a146091f2a0305be
