id,legacy_partner_source,legacy_partner_id,name,source_bucket
26362,cooperat_company,000e226a46684d79a5cf51575ef42283,中环城乡规划设计有限公司喀什第一分公司,partner_master
26363,company_supplier,00128712d8524bc49503f998a3ff9477,四川金通检测有限公司,partner_master
26364,company_supplier,004073d55ad84c79af2f7e51db48eb59,绵竹市剑南镇恩泽超市,partner_master
26365,company_supplier,005a8aafe58e471ebf71398e5e5a0c4d,旌阳区黄许镇李氏木材经营部,partner_master
26366,company_supplier,005fe89b5fd745749c3f47565e518e9c,凉山州渝佳商贸有限公司,partner_master
26367,company_supplier,0061e4d535de4b69bc2d46b82c1d9123,格尔木李佳顺机械租赁部,partner_master
26368,company_supplier,0072ef1bb1d841dc8a59e627ccc5b09f,四川杉尘建筑工程有限公司,partner_master
26369,cooperat_company,008ad57549d146a79ab25a5de9d7137c,四川中青家政服务有限公司,partner_master
26370,cooperat_company,00a084bb37be4f56a8cb562d100cea62,新疆腾鑫木业有限责任公司,partner_master
26371,company_supplier,00b28f3acd344199bdbfc9ef59a84192,中江县南华镇邹明孝机械设备租赁服务部,partner_master
26372,cooperat_company,00bc9e8fb8b64f3885353a9ad435f479,广西天意顺木业有限公司,partner_master
26373,cooperat_company,00e4f88e5c5044acab30b4f5acd23524,成都旺叶工程技术服务有限公司,partner_master
26374,cooperat_company,00ecb80132bf46db924663d91c32b0a4,新疆亿达通环保科技有限公司,partner_master
26375,company_supplier,00f69d756d6e47a2a6289dc95630543b,（错误不选）德阳市新棉科技有限公司,partner_master
26376,cooperat_company,010fe29bf24b42f7960918034de3ed5c,成都董然商贸有限公司,partner_master
26377,cooperat_company,0112000d20ae4f9ba7df4cb55e0648cb,绵竹市土门镇展兴建材经营部,partner_master
26378,company_supplier,0114b4fccc46464096590f8411216fa2,成都鸿泰润翔保温材料有限公司,partner_master
26379,company_supplier,011cd26ca5de48299e16a9195300a49a,旌阳区和鑫石材加工厂,partner_master
26380,cooperat_company,013c1b6645c14afd89b4845aba804157,旌阳区钉居建材经营部,partner_master
26381,cooperat_company,0153bceef9b34acd8d2bb202bb1e9445,成都银行,partner_master
26382,company_supplier,015b488a8dad4eacb492816a23f4f655,成都红泰塑胶管业有限公司,partner_master
26383,cooperat_company,0168b529f7ec4f72bc160bb3401bccfa,德阳开发区兴顺建材经营部,partner_master
26384,company_supplier,016a1e14c2754efb82749ed29246c4a3,苍溪县从锦建材有限公司,partner_master
26385,cooperat_company,016e31f6f6754f2fae6351f0af58ba20,金牛区鑫世亮建材经营部,partner_master
26386,cooperat_company,0172e660838f47d7a5449386bd15baa0,绵阳德泽建材有限公司,partner_master
26387,cooperat_company,017a56d78ef043d191c7435f79130e36,农民工专户,partner_master
26388,company_supplier,0190c2c9c1d240738d4d7587f29a894d,彭州市丽春镇涌泉建材经营部,partner_master
26389,company_supplier,0192b477ccf34c34bad7d7b55fe8d60d,巴中市宏达钢材有限公司,partner_master
26390,cooperat_company,01963efa5b094dee846ad1be32686321,攀枝花创星原建筑工程有限公司,partner_master
26391,cooperat_company,0198a2044da14b1190f5a947a1cb1d37,中江县飞凤建材有限公司,partner_master
26392,company_supplier,01a3bbd96bb44985bfc7190fffa8c775,新疆阿斯帕里提公路养护有限公司,partner_master
26393,company_supplier,01ab9e3994244764a95a674829f83967,成都鑫蓉逸商贸有限公司,partner_master
26394,cooperat_company,01c176d216534eb4a4281a0a9896abc2,罗江友兴建材有限公司,partner_master
26395,company_supplier,01ca2fcc94ba464d98962afda6cdef38,重庆迪大迪建材有限公司,partner_master
26396,company_supplier,01d70f6226284f4f8d9becb0ca36d22d,永川区安其建材经营部,partner_master
26397,cooperat_company,01e4c1bf2ff045128dd771f4cb69bf13,重庆诗凤园林绿化有限公司,partner_master
26398,cooperat_company,020a78bcabc147138dd604462e58a31e,德阳品色装饰工程有限公司,partner_master
26399,cooperat_company,02127b7cd988479497364ddc7fce57a0,利宝保险有限公司山东分公司,partner_master
26400,cooperat_company,02255afb5cae4d6299e90231fb826ceb,罗刚洪(S60挖掘机）,partner_master
26401,company_supplier,0232c081e88e4597afdd82ea9f2fd491,重庆映锦建筑劳务有限公司,partner_master
26402,company_supplier,0240a51b7e8f42bb8523bed44fa191b0,成都德爱电气有限公司,partner_master
26403,cooperat_company,0240f190815046cf94e6f8b4555293a1,理塘县人民法院诉讼费及案款专户,partner_master
26404,cooperat_company,024c75ca30c443f1a4a7009e38653947,中国大地财产保险股份有限公司重庆分公司营业部,partner_master
26405,cooperat_company,024fa0772e0b49ad99b9e57ef8e26bdd,绵阳市安州区欢型杨机械租赁经营部（个体工商户）,partner_master
26406,cooperat_company,025ab4d06775488fa050a687359ad3ce,四川梦飞翔石业有限公司,partner_master
26407,company_supplier,025abcc09a8a4b8aa8e7457c611503c9,旌阳区瑞博尔建材经营部,partner_master
26408,company_supplier,0292029efaef4815a65e476eb75941c4,江西久鼎人力资源服务有限公司,partner_master
26409,cooperat_company,029a9c7350704c8ba9d2598dae1acc41,渝北区顺超建材经营部,partner_master
26410,company_supplier,02ae8dbd5dec410b8841ba40c611f339,重庆轩恩建设工程有限公司,partner_master
26411,company_supplier,02d80d30b5bb4506b658d6ca0052ba3c,乐山市瑞顺鑫建材贸易有限公司,partner_master
26412,cooperat_company,02dfbfcb4050480cb8db125239611e5e,四川盛世鼎鑫物资有限公司,partner_master
26413,cooperat_company,02e065ff54fc4193ad311de0cbafee0b,德阳市恒正自动化科技有限公司,partner_master
26414,cooperat_company,02e568a154ee4065ad06e4827d467cce,四川嘉立文建筑工程有限公司,partner_master
26415,cooperat_company,030cba320f38422b88ff20580c841329,四川瑞庆非融资性担保有限公司,partner_master
26416,cooperat_company,03135ec1eec44dd190bbbbb6399c7e11,德阳经开区圆立劳务服务部（个体工商户）,partner_master
26417,company_supplier,031d2cb4f0014bc38f934d11dbfbff21,四川忆德泸窖商贸有限公司,partner_master
26418,company_supplier,032b52b934ac46f2b28817f8566834cd,绵阳汉思建筑工程有限公司,partner_master
26419,company_supplier,0354220eb1404770a1d46bd37841d795,广州市花都区新雅成信沙石店,partner_master
26420,cooperat_company,037154fa43e14805877b8432678111e2,中江县通济镇金锐建材经营部,partner_master
26421,cooperat_company,037d4f99b26f4538a4c74bfda62bc19d,四川源生传媒有限公司,partner_master
26422,cooperat_company,039101002398457c937d17dcc3889779,成都淼源环保工程有限公司,partner_master
26423,company_supplier,03ab8039bde64748bf72da084547d2ab,重庆金仕高环保科技有限公司,partner_master
26424,company_supplier,03acb61ec1bc491d95c3fb4f2d4aad22,什邡市双盛镇仁义水泥制品厂,partner_master
26425,cooperat_company,03ad3c30cbb64e37b09fd9b49f27963e,重庆桂峰工程机械设备租赁有限公司,partner_master
26426,cooperat_company,03b94fa74f9c4c048fe0f7c67d5af638,广西鹏象木业有限公司,partner_master
26427,cooperat_company,03cfbfc859c642a0b73778879825df5e,四川豪欣石业有限公司,partner_master
26428,cooperat_company,03e81802462444c0ad428500d090fd39,德阳市区林创业广告装饰部,partner_master
26429,company_supplier,03ef465ed296478788bda53cb027d57b,东能电缆有限公司,partner_master
26430,company_supplier,03fadafaf65f4484871a1321b5149bef,四川为安消防检测有限公司,partner_master
26431,company_supplier,03fbad6243a64107a92003a1ee65afdd,四川玖悦建筑材料有限责任公司,partner_master
26432,cooperat_company,041dac65ac5f4ae390f2ff17ed86303f,新疆好运昆仑物流科技有限公司,partner_master
26433,company_supplier,0427e330945e48ee87d32c53b77329ae,四川焱昊盛建材有限公司,partner_master
26434,company_supplier,045b5bf2674c41e2ae37d941c21f1d5d,广西上富机电设备有限公司,partner_master
26435,cooperat_company,046887a4443745768b5e84e54bb484dd,仁寿县文林镇鸿达装饰建材经营部,partner_master
26436,company_supplier,047284839de141bf837c948918d0818f,重庆光艳光电科技有限公司,partner_master
26437,company_supplier,04751d6fd82643c78cafd56db344dc37,四川普勒克斯科技有限公司,partner_master
26438,cooperat_company,04935a7bfd6b417f94d09a4159b6c7a9,重庆世纪铝业有限公司,partner_master
26439,cooperat_company,049ae35d53c3414e90239b57db1e1ef1,四川福和月贸易有限公司,partner_master
26440,cooperat_company,04a1931f678f476986f4401e6996b5b4,绵阳市卿云皓宸商贸有限公司,partner_master
26441,company_supplier,04b1aa4172034d668a74342c1dd47e6a,四川华净净化设备科技有限公司,partner_master
26442,cooperat_company,04e706533b064a8ea43bd114b7eacc33,四川世达顺辉建筑劳务有限公司,partner_master
26443,company_supplier,04f071527545477ea120d63790cf34fe,什邡市金点商品砼有限公司,partner_master
26444,company_supplier,050c9a7a4f564403992323bf6c20f726,旌阳区瑜婷建材经营部,partner_master
26445,company_supplier,051a4f16d7aa40a3bfaebe1139be72d1,重庆市万州区峻宇挖机配件经营部（聂峻）,partner_master
26446,cooperat_company,052e3d7f7a3b4d3d8f70e2a43fe812b1,江油市太平镇庆国建材经营部,partner_master
26447,cooperat_company,053bcc630f5d4e798df896dbd67f2a93,中山市鑫弘建筑工程有限公司,partner_master
26448,company_supplier,054a9677b2864987bab910dbead0f8ab,罗江区融林木材加工厂,partner_master
26449,cooperat_company,055e63d5d67f4cd2b2bbfd5714331876,重庆国龙工程机械租赁有限公司,partner_master
26450,cooperat_company,0564567ae5c74333934596801bb558d7,四川正焜项目管理有限公司,partner_master
26451,cooperat_company,05702b9004b34a7f86ca5485ec1a043e,重庆胜才建筑劳务有限公司,partner_master
26452,cooperat_company,05950c2c83b34403beb4101de47a6ced,新疆宏丰泰商贸有限公司,partner_master
26453,cooperat_company,05a353529ce84ec2954d024660875508,新都区洪贵发装饰材料经营部,partner_master
26454,company_supplier,05c1fb8193b3486c889b3dc75314b614,德阳虹燕建材有限公司,partner_master
26455,company_supplier,05cd250502384b1bbe9bf05fe4eb7600,四川智能弘安交通科技有限公司,partner_master
26456,cooperat_company,05d96bbb5934409dadff2a3ba93f86ae,新疆百杰建材有限公司,partner_master
26457,cooperat_company,05e2a66cadbc4ffea7ec126aacdfa1ac,旌阳区浮霖劳务服务部,partner_master
26458,cooperat_company,05e98e5e2bca40e0b457beba36a760de,成都名可达环保科技有限公司,partner_master
26459,cooperat_company,0636b55b972448b09f69212f46cda486,喀什市汇全管业店,partner_master
26460,company_supplier,0667139221794a13b180a27bf45ddcaf,重庆市永川区小岩子水泥制品销售有限公司,partner_master
26461,cooperat_company,066b25b213684e51bafec4ecb9b95879,成都鑫会群建材有限公司,partner_master
26462,company_supplier,068f52e63ac94ffba7c3487aff528b98,重庆云昇新控智能科技有限公司,partner_master
26463,cooperat_company,06910c22dc634b46bdaab8b2a73cc571,仪陇县立山镇五峰山农村社区居民委员会,partner_master
26464,company_supplier,06b3243243254138b462db8f13945958,德阳冀达五金建材有限公司,partner_master
26465,cooperat_company,06bdf8d4e3ff46e9a032933b080ed83f,成都顺胜农业开发有限公司,partner_master
26466,cooperat_company,06df771d-7247-4a27-870c-4a3238f78316,忠县富民劳务有限责任公司,partner_master
26467,company_supplier,070a5a8dcb71478f8aea6aa9b3a4812c,和田信科建设工程质量检测有限公司,partner_master
26468,company_supplier,070a6b5c6e0f4c65b8335b965df52e01,德阳市金鸿混凝土有限公司,partner_master
26469,cooperat_company,0717b5a3b7de4afca27dbfcb2e023792,山东泽鲁物联科技有限公司,partner_master
26470,cooperat_company,071d7aefea5840699a46e84eac475da0,德阳市乐诚建筑劳务有限公司,partner_master
26471,cooperat_company,07264192-39c0-4243-8f59-76c14d12c1a6,四川宏跃科技保温工程有限公司,partner_master
26472,company_supplier,07295b8fdc3c4ef882e9b3547275c8ce,永川区仙龙镇泰福石材加工厂,partner_master
26473,cooperat_company,072f3ffcfeb94630a1a0ca43c896aff4,四川益邦祥商贸有限公司,partner_master
26474,company_supplier,07398f3fca3b44f7a7b4e68fc8cbd67d,绵阳铭辉机械设备租赁有限公司,partner_master
26475,cooperat_company,0745ebdc7f2b412b9652a0fb3c7c9174,喀什市鸣赫机电建材经营部,partner_master
26476,company_supplier,075c29b9e3904c7090ab0899537b4af1,经开区一博建材销售部,partner_master
