payment_request_id,external_id,old_state,new_state,old_validation_status,new_validation_status,ledger_amount,business_fact
1,legacy_outflow_sc_0000fe26abfd4c99aa33351b268c0fc0,approved,done,no,validated,66000.0000,historical_paid_by_downstream_business_fact
2,legacy_outflow_sc_001ebb3a99354849a275c34044e7e20a,approved,done,no,validated,168403.0000,historical_paid_by_downstream_business_fact
3,legacy_outflow_sc_002997205db94d43ba84a560df054679,approved,done,no,validated,60000.0000,historical_paid_by_downstream_business_fact
4,legacy_outflow_sc_002eff22d0e84d9a90c535a42581794d,approved,done,no,validated,61950.0000,historical_paid_by_downstream_business_fact
5,legacy_outflow_sc_0033cf2511ad406b817b550533b0a22e,approved,done,no,validated,101700.0000,historical_paid_by_downstream_business_fact
6,legacy_outflow_sc_00340ff86e71447fbfb4fdc5c81628d7,approved,done,no,validated,48000.0000,historical_paid_by_downstream_business_fact
7,legacy_outflow_sc_0036e9d95a2e4751acb79f9c99b8f878,approved,done,no,validated,11700.0000,historical_paid_by_downstream_business_fact
8,legacy_outflow_sc_003aec86a9544ae785faf3391dfb9b08,approved,done,no,validated,10000.0000,historical_paid_by_downstream_business_fact
9,legacy_outflow_sc_003b091f16bf494f81ac7df5113d48e9,approved,done,no,validated,52451.4100,historical_paid_by_downstream_business_fact
10,legacy_outflow_sc_003ecaa1aa404cb7849bdb3a46fc3844,approved,done,no,validated,682007.0000,historical_paid_by_downstream_business_fact
11,legacy_outflow_sc_0041679687eb4dd89ecf8653c02f6a4f,approved,done,no,validated,50000.0000,historical_paid_by_downstream_business_fact
12,legacy_outflow_sc_0044a0caa1f841f78b6e0efb3665be17,approved,done,no,validated,527355.5500,historical_paid_by_downstream_business_fact
13,legacy_outflow_sc_0044baa69db64896a2c1e16800258d22,approved,done,no,validated,150000.0000,historical_paid_by_downstream_business_fact
14,legacy_outflow_sc_0054d5d34c1d420ca329659f63302eda,approved,done,no,validated,16303.1500,historical_paid_by_downstream_business_fact
15,legacy_outflow_sc_0055d86a2d384a959dd6a91e70a43d1f,approved,done,no,validated,38625.2000,historical_paid_by_downstream_business_fact
16,legacy_outflow_sc_005cce20f6e744b7a157860ab9f976fd,approved,done,no,validated,280160.0000,historical_paid_by_downstream_business_fact
17,legacy_outflow_sc_0067062470454979a3acef359f1d1194,approved,done,no,validated,59222.4000,historical_paid_by_downstream_business_fact
18,legacy_outflow_sc_006b2c8fd27341b3a7ad216ca4a741e8,approved,done,no,validated,58552.0000,historical_paid_by_downstream_business_fact
19,legacy_outflow_sc_006f55007fa844fa8b610263f26cc446,approved,done,no,validated,95707.0000,historical_paid_by_downstream_business_fact
20,legacy_outflow_sc_00727fd5313747128b06cf6e33cf3128,approved,done,no,validated,100000.0000,historical_paid_by_downstream_business_fact
21,legacy_outflow_sc_00732d800a364ab7a84d239d7c830c1a,approved,done,no,validated,18029.5000,historical_paid_by_downstream_business_fact
22,legacy_outflow_sc_007d89e073fb48b499e0eb610df7ddda,approved,done,no,validated,8146.0000,historical_paid_by_downstream_business_fact
23,legacy_outflow_sc_00929c5149134e5b8ac57037b07c64d6,approved,done,no,validated,94553.2900,historical_paid_by_downstream_business_fact
24,legacy_outflow_sc_0098e9f9b1904bfcb1c2b2b909bd47e9,approved,done,no,validated,50000.0000,historical_paid_by_downstream_business_fact
25,legacy_outflow_sc_009b5c4d0e3e4506b0715e07eac4d921,approved,done,no,validated,45638.0000,historical_paid_by_downstream_business_fact
26,legacy_outflow_sc_009ef4dd53504148a76453bb82f60508,approved,done,no,validated,2600.0000,historical_paid_by_downstream_business_fact
27,legacy_outflow_sc_00a2268eac8d4bfdb58d0a918cf1bb43,approved,done,no,validated,20600.0000,historical_paid_by_downstream_business_fact
28,legacy_outflow_sc_00aedf45dc3b4525b05e7c0838c1d086,approved,done,no,validated,9800.0000,historical_paid_by_downstream_business_fact
29,legacy_outflow_sc_00b2e5f0aa744306b0521fce7b2c75ee,approved,done,no,validated,1468.8300,historical_paid_by_downstream_business_fact
30,legacy_outflow_sc_00c95d9727ea41ab9b572f7b3506c25d,approved,done,no,validated,2987.0000,historical_paid_by_downstream_business_fact
31,legacy_outflow_sc_00d392b48c854637a92e8c82f699ad50,approved,done,no,validated,209128.5200,historical_paid_by_downstream_business_fact
32,legacy_outflow_sc_00d5e2b906a5419daf99dcfda84a730e,approved,done,no,validated,155400.0000,historical_paid_by_downstream_business_fact
33,legacy_outflow_sc_00d9973b44ce455e933e2efe07a42ebf,approved,done,no,validated,70000.0000,historical_paid_by_downstream_business_fact
34,legacy_outflow_sc_00efb7cce8d64b8eaeb7d5a12b93ee0b,approved,done,no,validated,97550.0000,historical_paid_by_downstream_business_fact
35,legacy_outflow_sc_00f1d307fec2445abb3d9a9ae2c9cf7e,approved,done,no,validated,4000.0000,historical_paid_by_downstream_business_fact
36,legacy_outflow_sc_00fe428597ed464cb4a21db0102ae9c7,approved,done,no,validated,171137.0000,historical_paid_by_downstream_business_fact
37,legacy_outflow_sc_00fe91b23edc4df6bdfd35934a7e8151,approved,done,no,validated,400000.0000,historical_paid_by_downstream_business_fact
38,legacy_outflow_sc_00ff2af27bb043cd84b8ccbb43890797,approved,done,no,validated,268650.8000,historical_paid_by_downstream_business_fact
39,legacy_outflow_sc_01134d912e0749e89697ca885875cc76,approved,done,no,validated,17000.0000,historical_paid_by_downstream_business_fact
40,legacy_outflow_sc_01181fe00bed4d9fa61aaca19664ef72,approved,done,no,validated,91476.0000,historical_paid_by_downstream_business_fact
41,legacy_outflow_sc_0122d6888f3c437c8bfcb54a3dcf4fea,approved,done,no,validated,30000.0000,historical_paid_by_downstream_business_fact
42,legacy_outflow_sc_0128ec2f788b43a6a857fe0a4ed235e3,approved,done,no,validated,435526.8400,historical_paid_by_downstream_business_fact
43,legacy_outflow_sc_012c25aad8444ba4b15d15553f3f8d0d,approved,done,no,validated,500000.0000,historical_paid_by_downstream_business_fact
44,legacy_outflow_sc_012c9ae42df741b49def25d7ee1a2be6,approved,done,no,validated,50000.0000,historical_paid_by_downstream_business_fact
45,legacy_outflow_sc_012d707f7b634446be9a585f4b373bc0,approved,done,no,validated,370000.0000,historical_paid_by_downstream_business_fact
46,legacy_outflow_sc_0130c82fe7934bccae8215a0efe0ff0a,approved,done,no,validated,43561.0000,historical_paid_by_downstream_business_fact
