write_design_id,target_model,operation,legacy_contract_id,legacy_project_id,project_id,partner_id,subject,type,legacy_contract_no,legacy_document_no,legacy_external_contract_no,legacy_status,legacy_deleted_flag,legacy_counterparty_text,rollback_key,rollback_key_value,name_policy,tax_policy,state_policy,line_policy,db_write
contract_header_final132:0001,construction.contract,create_only,e625638a3de54fc6ad2bbd8351973c2d,0201344da1b74e008006a7a96f90be6f,2116,4044,四川艺术职业学院消防隐患整治工程,out,CDS2022-35,WBHTGL-20220427-001,1000000634,2,,四川艺术职业学院,legacy_contract_id,e625638a3de54fc6ad2bbd8351973c2d,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_final132:0002,construction.contract,create_only,e640e977c0b945c7bde642feb12e4de0,6b4e37cd90a94055a69de211efdab846,2444,5803,炼钢厂9米跨安全走道隐患整治,out,DYS2021-09-11,WBHTGL-20210519-003,1000000436,2,,二重（德阳）重型装备有限公司,legacy_contract_id,e640e977c0b945c7bde642feb12e4de0,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_final132:0003,construction.contract,create_only,e64e4deb55f84a1495821f33e25ca994,b7f07bc4b72c4cd29b5d1b445b499386,2661,3935,4-8舍边和建筑系实训四合院门口透水砖恢复,out,DYS2022-04-14,WBHTGL-20221012-001,1000000775,2,,四川工程职业技术学院,legacy_contract_id,e64e4deb55f84a1495821f33e25ca994,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_final132:0004,construction.contract,create_only,e671ca51b0604754b464f402c5b03689,6b4e37cd90a94055a69de211efdab846,2444,3663,模锻厂-南电平车电源线铺设,out,DYS2025-07,WBHTGL-20250113-001,17367498832800000,2,0,中国第二重型机械集团德阳万航模锻有限责任公司,legacy_contract_id,e671ca51b0604754b464f402c5b03689,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_final132:0005,construction.contract,create_only,e68951591e664ba583f2563258f71503,b7f07bc4b72c4cd29b5d1b445b499386,2661,3935,增加餐厨废弃物存放间,out,DYS2021-12-14,WBHTGL-20210628-002,1000000461,2,,四川工程职业技术学院,legacy_contract_id,e68951591e664ba583f2563258f71503,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_final132:0006,construction.contract,create_only,e68dbdfe6ccd45e8896f9e351618fd30,9ebba094a48443a39dd7e1421da8dfbb,2588,4408,德阳市香诗美林酒店管理有限公司食堂燃气报警系统安装工程,out,DYS2022-39-25,WBHTGL-20221208-001,1000000831,2,,德阳市香诗美林酒店管理有限公司,legacy_contract_id,e68dbdfe6ccd45e8896f9e351618fd30,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_final132:0007,construction.contract,create_only,e6a65e33620e4e358c74341a123b79b8,77f6ddc2d277451f922b7c5177530dde,2474,4313,海正广场防护栏拆除,out,DYS2024-46,WBHTGL-20240301-002,17092747583380000,2,0,德阳市城市管理行政执法局,legacy_contract_id,e6a65e33620e4e358c74341a123b79b8,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_final132:0008,construction.contract,create_only,e6b86b78d41b4e9b95f665b780023409,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,玉泉路315号商校花园4栋一单元迁管工程,out,DYS2024-209,WBHTGL-20240923-060,17270764193250000,2,0,德阳市供水安装工程队,legacy_contract_id,e6b86b78d41b4e9b95f665b780023409,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_final132:0009,construction.contract,create_only,e6d3d11f2e1044a0ac76aba3ef58d88f,6b4e37cd90a94055a69de211efdab846,2444,5803,炼钢厂8号炉平台安全整治,out,DYS2023-147,WBHTGL-20231012-001,16970822087750000,2,0,二重（德阳）重型装备有限公司,legacy_contract_id,e6d3d11f2e1044a0ac76aba3ef58d88f,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_final132:0010,construction.contract,create_only,e6e946096c7b438e86da7e1cfcd340cb,6b4e37cd90a94055a69de211efdab846,2444,3663,模锻厂-锤跨蒸汽管道修理,out,DYS2026-30,WBHTGL-20260302-001,17724147577410000,2,0,中国第二重型机械集团德阳万航模锻有限责任公司,legacy_contract_id,e6e946096c7b438e86da7e1cfcd340cb,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
