legacy_contract_id,legacy_project_id,project_id,partner_id,subject,type,legacy_contract_no,legacy_document_no,legacy_external_contract_no,legacy_status,legacy_deleted_flag,legacy_counterparty_text
9bcdce377da746999e52836ccb15582f,bbe61b7f1a754c2a9998c3cec3e80260,2670,4146,巴楚县中心敬老院消防改造提升建设项目二次,out,XJQ2022-07,WBHTGL-20220106-003,1000000582,2,,巴楚县民政局
9c3f861d16f04e1e974e36b4e1f9c894,6b4e37cd90a94055a69de211efdab846,2444,3600,热处理厂-变压室整改,out,DYS2025-80,WBHTGL-20250613-001,17497763824670000,2,0,中国二重型机械集团德阳万航模锻有限责任公司
9c76fe2a272a475b9fd292a8956d8e0a,9ebba094a48443a39dd7e1421da8dfbb,2588,4470,德阳经济技术开发区第一幼儿园厨房燃气报警系统安装,out,DYS2026-12,WBHTGL-20260122-001,17690449708230000,2,0,德阳经济技术开发区第一幼儿园
9c85e7a2effa4d7ab1adb6586b6076d5,a23dd17f3b044c6e922cddbecbae097e,2602,4041,细磨车间、碳酸锂车间防水补漏项目工程,out,DYS2026-43,WBHTGL-20260317-001,17737145453020000,1,0,四川致远锂业有限公司
9cc950d13afc4ca7b5dba2461133f647,975c978ebf34482ab92912e0e4825d58,2572,5846,德阳市罗江区秀水河2020年水毁修复工程（劳务）一标、二标段,out,DYS2020-43,WBHTGL-20201201-001,1000000297,2,0,四川纹江致远建筑开发工程有限公司
9d286fdd46eb4a37b881f0afca2744c3,6b4e37cd90a94055a69de211efdab846,2444,5803,电力供应部现场安全整治,out,DYS2025-225,WBHTGL-20251208-001,17651617449670000,2,0,二重（德阳）重型装备有限公司
9e7831356e264ff2bea69af39bf6351c,9ebba094a48443a39dd7e1421da8dfbb,2588,125,四川省德阳市人民检察院干警食堂厨房燃气报警系统安装,out,DYS2023-152,WBHTGL-20231023-001,16980302820030000,2,0,四川省德阳市人民检察院
9eb1d739f3254085957e678665cc4248,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,邦泰翡翠城（一期、二期）,out,DYS2024-19,WBHTGL-20240123-013,17060031678880000,2,0,德阳市供水安装工程队
9ebb815a6fc54ecd9fb028016afc5894,9ebba094a48443a39dd7e1421da8dfbb,2588,5909,燃气报警及送排风系统,out,DYS2023-01-8,WBHTGL-20230111-001,1000000871,2,,绵竹市金申建筑有限公司
9ec6f1faf46f4791a18e626bb68595ca,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,“和悦里”项目施工用水工程,out,DYS2021-01-04,WBHTGL-20210120-001,1000000350,2,,德阳市供水安装工程队
9ef9d937336143ee90043b8874ea37f9,bb479eae09634eca926443b260524e78,2667,4947,重庆丰都龙城华府（三期）二组团10#、11#住宅屋顶分布式光伏项目,out,CQS2026-52,WBHTGL-20260330-001,17748429328830000,2,0,重庆市永川区宏旭房地产开发有限公司
9f4cfaa7205f4c39b27de7cc8ce5f98c,e106501cc7184d8e8b8b08871e03e5dc,2776,4103,金元镇江关咀村2019年社道路建设项目,out,SNS2019-52,WBHTGL-20200229-004,1000000038,2,,大英县金元镇人民政府
9f8f87219c304e31be2a146f6f5737b7,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,旌兴水务天仙路碰头点新建总表工程,out,DYS2024-183,WBHTGL-20240923-033,17270606197630000,2,0,德阳市供水安装工程队
9fb396528ca6429db487f95b5b54180c,95046cba907f454e912ac49de532fcc7,2566,5830,德阳校区日常维修服务,out,DYS2021-47,WBHTGL-20210621-001,1000000456,2,,四川建筑职业技术学院
a014d73af732436f95996c16ba8a618f,682991317e43497dbb4119f9990fe0ce,2434,5800,21、22号厂房防水保温工程专业分包合同补充协议,out,BZS2022-104-2,WBHTGL-20260104-003,17675068577930000,2,0,中铁十八局集团有限公司巴中恩阳临港产业园项目经理部
a0293ddcbe96418d84be79668dc519e0,6b4e37cd90a94055a69de211efdab846,2444,3955,二重大俱乐部北耳房维修加固工程装修恢复,out,DSY2021-09-12,WBHTGL-20210603-001,1000000445,2,,四川新众建筑加固工程有限公司
a02c7db53944432989854b4a189423ba,12dc2d35442c43f481d6e3880f8a306e,2165,4475,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程青衣江公园剩余工程（补充协议RB-HCST-127-BC）,out,DYS2024-74,WBHTGL-20240508-001,17151607529360000,2,0,德阳蓉北建设工程有限公司
a11ccd4e7c4647f38d5c51e3fe9a1934,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,德阳古什路（利山路-林山路）DN200给水管道工程,out,DYS2024-58,WBHTGL-20240407-002,17124703824280000,2,0,德阳市供水安装工程队
a15ffbb7a7ca4ff78b7ebbcfcd337b08,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,蔡吉敏分户工程,out,DYS2021-01-07,WBHTGL-20210120-004,1000000353,2,,德阳市供水安装工程队
a1b387d05e324800a4a13b00fbea9650,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,名都花园城新建户表工程,out,DYS2024-08,WBHTGL-20240123-001,17059801160800000,2,0,德阳市供水安装工程队
a210a718f88941888f5faa64ebcb92f7,4550afe95e6749fd9dfcb7a7706464ee,2324,4951,2023年渝中区绿管处冬季行道树修剪,out,CQS2024-35,WBHTGL-20240129-002,17065168858100000,2,0,重庆市渝中区绿化维护管理处
a22d06b55cda44b8b1b144a9c0c39e45,a57caf01d54f4466a15c975d806f6d43,2614,5070,青海盐湖工业股份有限公司钾肥分公司2020年冬季维保项目加工一车间局部地面硬化项目区域四、区域五地坪修复工程标段一,out,QHS2021-86,WBHTGL-20210812-001,1000000487,2,,青海金世纪工程项目管理有限公司
a27dcadee63c45cea5d2dc2243b5edee,9ebba094a48443a39dd7e1421da8dfbb,2588,4010,四川省德阳中学校高中部食堂燃气报警系统安装工程,out,DYS2023-93,WBHTGL-20230728-002,1000000980,2,0,四川省德阳中学校
a2957d704ac94348b571b3f75c0ac8ff,6b4e37cd90a94055a69de211efdab846,2444,5803,重机公司车铣加工中心基础施工,out,DYS2025-21,WBHTGL-20250226-001,17405342378270000,2,0,二重（德阳）重型装备有限公司
a2b4eb68c3e748a490d2a652f50aec6f,b7f07bc4b72c4cd29b5d1b445b499386,2661,3935,校医院发热学生等待室建设,out,DYS2023-57,WBHTGL-20230605-004,1000000943,2,0,四川工程职业技术学院
a2bc5a7c0e4a45f1880046b19482cbb1,b04092bf64244df4ba3e3d8888115d68,2645,3655,中国移动四川公司德阳分公司2021-2022年渠道维修采购项目框架协议,out,MYS2021-21,WBHTGL-20210406-002,1000000392,2,,中国移动通信集团四川有限公司德阳分公司
a2e1cc5c7f7c4f3f9fd9f5ab14fa7b6d,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,德阳市旌阳区漓江东路（龙泉山路-秦岭山路）道路工程配套工程,out,DYS2023-132,WBHTGL-20230918-001,16950071412820000,2,0,德阳市供水安装工程队
a343ac7bc6fa4148b441bfc958ca1dc7,6b4e37cd90a94055a69de211efdab846,2444,5803,易静工程（德阳二重工程项目,out,DYS2020-06-10,WBHTGL-20200715-002,1000000222,2,,二重（德阳）重型装备有限公司
a34bb7d3986a46a683883e369e706380,cd883a71c893424fbe432603091e451d,2715,4741,澜公馆景观工程,out,PZH2021-13,WBHTGL-20210120-010,1000000359,2,,米易龙信房地产开发有限责任公司
a389168735db4ea5a83a5e3b06112c6b,c845a86e0fed40a6afd947f09580664f,2703,5925,渝北区东风水库防汛公路硬化扶助工程补充协议,out,CQS2021-57-1,WBHTGL-20211208-002,1000000559,2,,重庆市渝北区双龙水库管理所
a3ebe0ba43644f8eb3d3baf1df8ec3ca,6b4e37cd90a94055a69de211efdab846,2444,5803,热力车间1号泵房和泵房值班室拆除,out,DYS2024-73,WBHTGL-20240506-001,17149641047440000,2,0,二重（德阳）重型装备有限公司
a3ef48e8d7184dbfa431af40643fa47b,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,德阳市军队离休退休干部休养所门面分户工程,out,DYS2022-16-64,WBHTGL-20221117-003,1000000801,2,,德阳市供水安装工程队
a41fa2c2ab1d4e6e9eaed8cd32429160,9ebba094a48443a39dd7e1421da8dfbb,2588,4455,德阳第五医院股份有限公司食堂及锅炉房燃气报警系统安装工程,out,DYS2022-39-5,WBHTGL-20220514-002,1000000661,2,,德阳第五医院股份有限公司
a420aebc635043959146c8dcb9e0fde9,ca9894f65c5e4b3cac86e93d68fadc29,2706,3658,中国移动四川公司绵阳分公司2021-2022年渠道维修采购项目框架协议,out,MYS2021-20,WBHTGL-20210406-001,1000000391,2,,中国移动通信集团四川有限公司绵阳分公司
a46cdf6b0034498d8fd7be6020ce6390,6b4e37cd90a94055a69de211efdab846,2444,3663,热处理厂-燃气管道整治,out,DYS2025-99,WBHTGL-20250704-003,17516091779030000,2,0,中国第二重型机械集团德阳万航模锻有限责任公司
a496aea6f4ef41cb97f466e41f358a3d,6b4e37cd90a94055a69de211efdab846,2444,3663,模锻厂-8跨现场休息室整治,out,DYS2025-214,WBHTGL-20251127-003,17642251195780000,2,0,中国第二重型机械集团德阳万航模锻有限责任公司
a4a5647af96a4ebfa8e30fd8cf4b0930,6b4e37cd90a94055a69de211efdab846,2444,3663,模锻厂-800MN泵站中间通道地下水整治,out,DYS2025-39,WBHTGL-20250325-001,17428852147630000,2,0,中国第二重型机械集团德阳万航模锻有限责任公司
a4f5f3f9db3a400fbdeb014ecbe21e30,952e810223ff4a18aac271de72d232af,2567,5852,国网新疆喀什岳普湖县供电公司城区供电所项目,out,XJ2024-227,WBHTGL-20241015-003,17289740810280000,2,0,国网新疆电力有限公司喀什供电公司
a4fd95f2148840dd8423437237973526,6b4e37cd90a94055a69de211efdab846,2444,3663,模锻厂-快锻机冷却循环水定压补水控制模块维修更换,out,DYS2025-105,WBHTGL-20250715-002,17525480508220000,2,0,中国第二重型机械集团德阳万航模锻有限责任公司
a5396aa0b1044f30872f727a354ab1d9,04d0a65675424e41b8c65ba26ef48b4e,2123,4080,中江公司变电检修班“工人先锋号”环境整治,out,DYS2020-39,WBHTGL-20201111-001,1000000282,2,,国网四川省电力公司德阳供电公司
a56582f6b71a4284af9b5a871277c019,c0751730f07349fb9d2b573a765484eb,2684,5868,建设工程施工合同补充协议二,out,DYS2021-53-3,WBHTGL-20231007-003,16966505711830000,2,0,德阳大参林投资有限公司
a5ba24e149c54fe3a511702ed278f4e7,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,首府.花雨树”新建户表给水工程,out,DYS2021-01-21,WBHTGL-20211109-001,1000000537,2,,德阳市供水安装工程队
a5c48e0ab3094a9596a3da838cb610bd,59a29f63bee94720b7e85f4d48b2c72e,2398,5909,绵竹市城乡供水一体化项目(高柏、红旗)劳务、机械协作单位,out,DYS2026-13,WBHTGL-20260122-002,17690677954940000,2,0,绵竹市金申建筑有限公司
a616e2c586164f3dae30faf320817671,9ebba094a48443a39dd7e1421da8dfbb,2588,4348,德阳市旌阳区市场监督管理局食堂燃气报警系统安装,out,DYS2025-72,WBHTGL-20250604-001,17490255827100000,2,0,德阳市旌阳区市场监督管理局
a667bdea052241a392279a62d6485c3b,e8f89b108b8e4e46b84c1d3a60233d10,2799,4938,南川区石溪镇2024年农村公路建设项目（学校至王官果业（主干道至家禽屠宰场）、灯草湾至枫香榜）,out,CQS2025-35,WBHTGL-20250320-001,17424335108740000,2,0,重庆市南川区石溪镇人民政府
a684c4df253c4b65b72be5e69f1a68f6,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,周鹏健康巷60号大院分户工程,out,DYS2022-16-63,WBHTGL-20220726-040,1000000737,2,,德阳市供水安装工程队
a69c0a14734343419175065841baf94d,9679632240d74ff9bd55e0c7b26a0d07,2569,4329,德阳市龙泉山北路（泾河路-青衣江路）更换井座盖,out,DYS2020-15,WBHTGL-20200525-001,1000000197,2,,德阳市旌海建设投资有限公司
a6b83fdf85574008b8157ec83ac5239e,e5e8bd5755cb4d20a7c0686a8e13be6e,2792,4186,朝天区三滩村,out,GYS2018-09,WBHTGL-20200228-002,1000000029,2,,广元市朝天区城乡规划建设和住房保障局
a6f49cc4bf014d5a9155b0ce4021884d,b7f07bc4b72c4cd29b5d1b445b499386,2661,3934,实训场地周边排水主管改造项目,out,DYS2025-166,WBHTGL-20250929-001,17591391594810000,2,0,四川工程职业技术大学
a70304a85b7d4d95817325856d4ee747,6b4e37cd90a94055a69de211efdab846,2444,3826,8 万吨压机石墨喷涂系统水电气路施工项目,out,DYS2025-83,WBHTGL-20250619-001,17503042354360000,2,0,北京易工自动化技术有限公司
a7577382205244ea85ae9a2908e8fea1,b7f07bc4b72c4cd29b5d1b445b499386,2661,3935,无言湖沙杆平台修复项目,out,DYS2021-13-21,WBHTGL-20211102-001,1000000528,2,,四川工程职业技术学院
a761f32d3dbc4458988bc9c6953beb43,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,同森锦樾D地块新建户表工程,out,DYS2024-21,WBHTGL-20240123-015,17060040518250000,2,0,德阳市供水安装工程队
a7981b2c72da48af9e9960e5f3bea4c8,b30548069e964194aca239afd9b34d82,2650,117,中国移动四川分公司南充片区2018-2020年渠道零星维修项目,out,NCS2019-23,WBHTGL-20200311-012,1000000121,2,,中国移动通信集团四川有限公司南充分公司
