write_design_id,target_model,operation,legacy_contract_id,legacy_project_id,project_id,partner_id,subject,type,legacy_contract_no,legacy_document_no,legacy_external_contract_no,legacy_status,legacy_deleted_flag,legacy_counterparty_text,rollback_key,rollback_key_value,name_policy,tax_policy,state_policy,line_policy,db_write
contract_header_slice200:0001,construction.contract,create_only,00793209b3c846658c2e4fe76e4bdf6e,4b89ee16cc58497bac061d8ae5fddd82,2348,3685,雅瑶东路教育设施建设项目（雅瑶东路小学）,out,GZS2020-04,WBHTGL-20200306-001,1000000098,2,,中建四局第一建筑工程有限公司,legacy_contract_id,00793209b3c846658c2e4fe76e4bdf6e,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_slice200:0002,construction.contract,create_only,00ae6973b10b4ea6b0c3f8f26ad06962,d6a4d48ebb62405baf97d36e9e4e228a,2742,4144,林芝市巴宜区八一镇小学运动场,out,XZQ2019-68,WBHTGL-20200318-001,1000000144,2,0,巴宜区教育局,legacy_contract_id,00ae6973b10b4ea6b0c3f8f26ad06962,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_slice200:0003,construction.contract,create_only,00bc3f0670b7414eafd9db6d86e389b6,32cdeb11726f42ec80dc90d7405ef8a3,2270,102,华西十二公司三分公司成都市成华区龙潭街道桂林村中小学项目保温采购,out,CDS2021-48,WBHTGL-20210611-001,1000000450,2,,中国华西企业股份有限公司,legacy_contract_id,00bc3f0670b7414eafd9db6d86e389b6,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_slice200:0004,construction.contract,create_only,00e8525ca2f9434d9603c63248969913,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,人才公园项目正式用水新建总表工程,out,DYS2024-197,WBHTGL-20240923-048,17270743472470000,2,0,德阳市供水安装工程队,legacy_contract_id,00e8525ca2f9434d9603c63248969913,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_slice200:0005,construction.contract,create_only,0117d28e86ac4bd983543c8163ace8ac,6b4e37cd90a94055a69de211efdab846,2444,5803,热处理厂25#、26#炉区域偏跨屋顶修理,out,DYS2024-116,WBHTGL-20240716-001,17210902851680000,2,0,二重（德阳）重型装备有限公司,legacy_contract_id,0117d28e86ac4bd983543c8163ace8ac,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_slice200:0006,construction.contract,create_only,0117df6c0ec14689b7b7399bba274982,b7f07bc4b72c4cd29b5d1b445b499386,2661,3935,2021年4月安全大检查,out,DYS2021-12-13,WBHTGL-20210615-003,1000000453,2,,四川工程职业技术学院,legacy_contract_id,0117df6c0ec14689b7b7399bba274982,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_slice200:0007,construction.contract,create_only,01917c90e57a457c9c9027286f02570b,82f853994a7f4e8e9e602dda3f89691f,2511,4506,结算审核报告,out,CDS2023-02-1,WBHTGL-20231215-001,17026081797680000,2,0,成都市郫都区人民政府安德街道办事处,legacy_contract_id,01917c90e57a457c9c9027286f02570b,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_slice200:0008,construction.contract,create_only,01ac47ae75784df5aadf7da6ffbc0ab1,b7f07bc4b72c4cd29b5d1b445b499386,2661,3934,荟芳轩加固采购项目,out,DYS2025-82,WBHTGL-20250613-003,17497800748420000,2,0,四川工程职业技术大学,legacy_contract_id,01ac47ae75784df5aadf7da6ffbc0ab1,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_slice200:0009,construction.contract,create_only,01d0eac1d9234b6cbc246c4014caeb57,b7f07bc4b72c4cd29b5d1b445b499386,2661,3935,无言湖周边环境绿化、园路及路灯恢复,out,DYS2023-03-04,WBHTGL-20230104-004,1000000865,2,,四川工程职业技术学院,legacy_contract_id,01d0eac1d9234b6cbc246c4014caeb57,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_slice200:0010,construction.contract,create_only,01d2d90c0abe4cd4ad674ddb5042f4fd,6f5cacd6245346079d3cbc0f0dd078de,2449,4896,建筑门窗、幕墙工程施工图深化设计项目,out,CDS2020-53,WBHTGL-20201210-001,1000000311,2,,邛崃格润能源有限公司,legacy_contract_id,01d2d90c0abe4cd4ad674ddb5042f4fd,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_slice200:0011,construction.contract,create_only,0247f983c826484f9945751504b13739,44a080a6bc8748249e2bf6b80e78ed62,2323,5839,智慧之心项目3#楼及3#楼裙楼泡沫混凝土施工工程,out,DYS2024-238,WBHTGL-20241127-002,17326767087540000,2,0,四川省东方兴发建设集团有限公司,legacy_contract_id,0247f983c826484f9945751504b13739,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
