legacy_contract_id,legacy_project_id,subject,direction,counterparty_text,exact_source_count,normalized_source_count,source_types,recovery_route,recovery_note
002cc1eac1a54e889f7c28531ab6553f,725351f017384485b35a2a9297a4739d,雅安市雨城区生活垃圾资源化利用项目包件2钢结构劳务班组,out,雅安蜀天开发建设有限责任公司,0,0,,partner_source_missing,counterparty text is not present in legacy company/supplier source exports
0537b6b19f3e47d9aa22b69a8c536953,93f06cd7b4224d759b02bd71317c00d9,2025年度钻前辅助工程及劳务项目第五标段2025年度西南油气分公司中江、孝泉、 德新、广汉、什邡地区钻前辅助工程分包项目,out,中石化西南石油工程有限公司油田工程服务分公司,0,0,,partner_source_missing,counterparty text is not present in legacy company/supplier source exports
062e24ff0f0e4401a108ef7c2923b1a0,3ce2dcf5527242848ef633aa08088b48,补录老项目合同,defer,,0,0,,direction_defer_no_counterparty,own-company direction rule could not identify counterparty text
06bd722ec5734e29af0595fcde193045,ff88aca287f94ee09bcc0a53649e5c0f,广清城际轨道交通项目（花都段）安置区工程（秀全街乐同安置区）一期施工总承包项目 【园林园建】工程专业分包,out,中国建筑第四工程局有限公司,2,2,company,partner_source_recoverable_design_candidate,counterparty exists in one legacy partner source
06ee5e0567de469d9b79446e6b99c375,135be6807d2043619fde2b6efe531cf6,补录老项目合同,defer,,0,0,,direction_defer_no_counterparty,own-company direction rule could not identify counterparty text
08e2f0d30ad241968163aef6f0ee1c53,b6cc0a037a2643c18ed61e593250ec3a,补录老项目合同,defer,,0,0,,direction_defer_no_counterparty,own-company direction rule could not identify counterparty text
0f5a08fa9d214d8db3d56571b9b5020c,93cc6b74baa344f3bc26a971682f88bb,补录老项目合同,defer,,0,0,,direction_defer_no_counterparty,own-company direction rule could not identify counterparty text
0f5af263112a4ed79612602c5c570bf2,9ebba094a48443a39dd7e1421da8dfbb,德阳市天韵文化发展有限公司天韵酒店厨房燃气报警系统安装工程,out,德阳市天韵文化发展有限公司天韵酒店,4,4,company|supplier,partner_source_combined_source_screen,counterparty exists across company and supplier sources
0fa88c601e9b492386bfc1671f5147a7,bedcf08fe3a040b6a2123a148f45dd5c,川北幼儿师范高等专科学校三期工程-室外附属一批次工程,defer,,0,0,,direction_defer_no_counterparty,own-company direction rule could not identify counterparty text
10a7ebce8f614491aadc01452f93a9b4,3bad15a1318247b5b6c8250d31dff07f,绵阳市安州区雎水镇皇帽2024年河堤护岸水毁修复工程项目,out,绵阳市安州区雎水镇皇帽村村民委员会,0,0,,partner_source_missing,counterparty text is not present in legacy company/supplier source exports
112b0910df974102b579d4c3364271f2,41aca2a81e6c4a9bb7ed5f31a3c42b7b,李家沱战场入口地面修复工程,out,重庆巴驿公共交通战场管理有限公司,0,0,,partner_source_missing,counterparty text is not present in legacy company/supplier source exports
138d7b699f5a4c1fb7c685a3db3e07db,8929f6ba520a4e24813d0adb7e6479e7,绵阳高新医院（肺病医院）建设项目之办公室装饰装修分包合同,out,中国建筑一局（集团）有限公司,2,2,company,partner_source_recoverable_design_candidate,counterparty exists in one legacy partner source
174997b157214030afb04aa9c116d3ca,162fdc7c89564d5189f449bce9454395,补录老项目合同,defer,,0,0,,direction_defer_no_counterparty,own-company direction rule could not identify counterparty text
187e78a4a64b4c85a7c5537fdd6a7bac,9ebba094a48443a39dd7e1421da8dfbb,德阳市勘察测绘设计院职工食堂厨房燃气报警系统安装,out,德阳市勘察测绘设计院,0,0,,partner_source_missing,counterparty text is not present in legacy company/supplier source exports
19481c190e6747f4bb600c5c562a55bc,8c4d70aba64643968392105d93c77f4b,2025年度零星维修服务项目,out,中国人民解放军32036部队,0,0,,partner_source_missing,counterparty text is not present in legacy company/supplier source exports
19b3382cc9aa4ea682c4faef2fa60631,d2584e69e21145199d66b25b0181e0a8,西南大数据创新应用中心项目土石方补充协议,out,中国建筑第八工程局有限公司,2,2,company,partner_source_recoverable_design_candidate,counterparty exists in one legacy partner source
1b212fc98390446a9799344382bfed21,6b4e37cd90a94055a69de211efdab846,热处理厂卷扬机基础施工,out,德阳市明德炉业有限公司,0,0,,partner_source_missing,counterparty text is not present in legacy company/supplier source exports
1c74d889baf64e90a715efe32a4efa02,4c93e1d422624fcf830d807d95e272a9,青川县营盘乡永红村农村安全饮水,defer,,0,0,,direction_defer_no_counterparty,own-company direction rule could not identify counterparty text
1d2cb08808a84a32b220095c57ca3928,85a4017a9c604e0391500307328339fb,G5京昆高速公路绵阳至成都段扩容项目TJ4标段项目部驻地房屋恢复装修合同,out,四川省交通建设集团有限责任公司G5京昆高速公路绵阳至成都段扩容项目TJ4标段项目部(下简称:成绵TJ4项目部),0,0,,partner_source_missing,counterparty text is not present in legacy company/supplier source exports
1f63ffd7e5774c1db64743b588da15ae,8e1e8ffb0e244123a5f5b269a540fb17,补录老项目合同,defer,,0,0,,direction_defer_no_counterparty,own-company direction rule could not identify counterparty text
201fdc7080bf402c918dae7b6c04880a,16979c84c8ba410eab2e7117be52eddf,旌阳区综合管廊项目泰山路段支护及防水 2标工程,out,中国铁建大桥工程局集团有限公司旌阳区城市地下综合管廊建设项目经理部,0,0,,partner_source_missing,counterparty text is not present in legacy company/supplier source exports
23284b7dd1304bb3ae1edcc3caf6bcf8,93f06cd7b4224d759b02bd71317c00d9,2025 年度钻前辅助工程及劳务项目第六标段2025年度西南油气分公司罗江、黄许、扬嘉、孝感、和新、新中、柏隆、绵竹、双东地区钻 前主体工程劳务分包项目,out,中石化西南石油工程有限公司油田工程服务分公司,0,0,,partner_source_missing,counterparty text is not present in legacy company/supplier source exports
2412fe6aadc64c699e639e3c677b2c76,e91ab58b0d264ccaba5f9356ad85ae44,西部(重庆)科学城保障性住房(一期)室外综合管网、景观、绿化、围 墙、精装修及标识标牌系统工程,out,重庆科学城高新置业有限公司（项目业主）、重庆科学城城市建设集团有限公司（代理业主）,0,0,,partner_source_missing,counterparty text is not present in legacy company/supplier source exports
244b71e59c284777afa594b7155865c7,9bd11b5b52694523b3eecb0ccf6c3c04,重庆轨道交通15号线一期土建工程01标金童路站2B出入口 DN500 给水管道迁改工程,out,中铁北京工程局集团有限公司重庆轨道交通15号线项目经理部,0,0,,partner_source_missing,counterparty text is not present in legacy company/supplier source exports
2780f0ac1f9b4eed9d17a2e0d8665e94,d673283d7f064228aa3bcdb822c8d425,中山市工业技术研究中心项目道路工程,out,中国建筑第四工程局有限公司,2,2,company,partner_source_recoverable_design_candidate,counterparty exists in one legacy partner source
28862cb1f3ba40c6b78adb7960bbe7f6,28b43ef4516445d8a54326b977288fba,补充协议,out,重庆市璧山区人民政府青杠街道办事处,0,0,,partner_source_missing,counterparty text is not present in legacy company/supplier source exports
289d7e2ed6004da7b43c89089720e33d,e9f5e654b3e249c3b4fd1600dcb58c63,补录老项目合同,defer,,0,0,,direction_defer_no_counterparty,own-company direction rule could not identify counterparty text
28d5343d4cc5475bb925d9a5af03628f,9ebba094a48443a39dd7e1421da8dfbb,德阳开放大学厨房送排风系统安装工程,out,德阳开发大学,0,0,,partner_source_missing,counterparty text is not present in legacy company/supplier source exports
293dbf3ae5e0468ca027eaf04bc3f9c8,9ebba094a48443a39dd7e1421da8dfbb,中国电信股份有限公司德阳分公司厨房及空调机房燃气报警系统安装,out,中国电信股份有限公司德阳分公司,4,4,company|supplier,partner_source_combined_source_screen,counterparty exists across company and supplier sources
2a49b8624fd145f2aa90177d3c2f4c9c,2c2cf0230879448b8aa65a135baa1292,四川省广汉市职业中专学校迁建项目土石方专业分包工程,out,上海二十冶建设有限公司,0,0,,partner_source_missing,counterparty text is not present in legacy company/supplier source exports
