model,description,count,actions,views,present_pairs,visible_pairs,with_creator,with_time,technical_creator,technical_time,non_business_creator,source_backfill_gaps,accepted_entry_mismatches,state
construction.contract,项目合同,11104,5,7,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",8729,8750,0,0,0,0,0,ok_visible
construction.contract.expense,支出合同,6943,9,7,"[""source_created_by/source_created_at""]","[""creator_name/created_time"", ""source_created_by/source_created_at""]",1,1,0,0,0,0,0,ok_visible
construction.contract.income,收入合同,1810,3,6,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",1799,1810,0,0,0,0,0,ok_visible
construction.contract.line,合同明细,13660,1,1,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
construction.work.breakdown,工程结构,0,3,13,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
payment.ledger,Payment Ledger,12194,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
payment.request,Payment Request,34892,10,8,"[""creator_name/created_time""]","[""creator_name/created_time""]",32284,25776,0,0,0,,0,ok_visible
payment.request.line,Payment Request Line,31883,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
project.boq.line,工程量清单,0,2,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
project.budget,项目预算头,4,8,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
project.budget.cost.alloc,预算清单与成本科目分摊,0,1,5,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
project.collaborator,Collaborators in project shared,0,1,2,"[""source_created_by/source_created_at""]","[""source_created_by/source_created_at""]",0,0,0,0,0,0,0,ok_visible
