legacy_contract_id,legacy_document_no,legacy_contract_no,contract_id,legacy_attachment_bill_id,attachment_count,attachment_names
002cc1eac1a54e889f7c28531ab6553f,WBHTGL-20260205-001,YAS2026-18,1,4207cab8a6fb13056f66183b53be3054,1,垃圾资源化项目钢结构劳务班组服务合同(包2)定.docx
00793209b3c846658c2e4fe76e4bdf6e,WBHTGL-20200306-001,GZS2020-04,2,c030970d-c74a-40b7-b60f-3e1a55818925,4,"雅瑶合同.pdf
GZS2020-04.doc
雅瑶合同.pdf
GZS2020-04.doc"
00bc3f0670b7414eafd9db6d86e389b6,WBHTGL-20210611-001,CDS2021-48,4,21f73a66-95cf-4e20-908a-e14179305294,2,"桂林村中小学项目保温专业工程分包合同.docx
桂林村中小学项目保温专业工程分包合同.docx"
00e8525ca2f9434d9603c63248969913,WBHTGL-20240923-048,DYS2024-197,5,7b283a0786c75307ce384d010635c55b,1,人才公园项目正式用水新建总表工程.docx
0117d28e86ac4bd983543c8163ace8ac,WBHTGL-20240716-001,DYS2024-116,6,25a1c3db9b901885d0658d69321dcd73,1,2024-SBB-159（W2409359）热处理厂25#、26#炉区域偏跨屋顶修理(四川保盛).doc
0117df6c0ec14689b7b7399bba274982,WBHTGL-20210615-003,DYS2021-12-13,7,4a8bd26d-84c2-4317-b7d6-0e4de276aa9e,2,"DYS2021-12-13.jpg
DYS2021-12-13.jpg"
01917c90e57a457c9c9027286f02570b,WBHTGL-20231215-001,CDS2023-02-1,8,e737c9ef18190722140c883141cc8dba,1,安德水库项目 结算审核报告.pdf
01ac47ae75784df5aadf7da6ffbc0ab1,WBHTGL-20250613-003,DYS2025-82,9,9878b7497b80be9ca8c012c850ec19a7,1,SCPU250039荟芳轩加固项目合同 (2).doc
01d0eac1d9234b6cbc246c4014caeb57,WBHTGL-20230104-004,DYS2023-03-04,10,94a06f31-7d48-4884-9aca-20966a4497b6,2,"无言湖周边环境治理合同.doc
无言湖周边环境治理合同.doc"
01d2d90c0abe4cd4ad674ddb5042f4fd,WBHTGL-20201210-001,CDS2020-53,11,bbceeda6-e288-45b3-a3c4-610e9db5474f,4,"外墙设计合同.docx
建筑门窗、幕墙工程施工图深化设计项目.pdf
外墙设计合同.docx
建筑门窗、幕墙工程施工图深化设计项目.pdf"
0247f983c826484f9945751504b13739,WBHTGL-20241127-002,DYS2024-238,12,878946d0cf4c2ed330eccd482b71d200,1,德阳智慧之心3#楼泡沫混凝土专业合同20241017(2).doc
02793724f76b4a1ba2e12f9e4eb1b868,WBHTGL-20230412-001,CQS2023-19,13,dae1d6a6-7b81-4316-8267-98a143e50501,2,"璧山区 2022 年广普镇丘陵山区高标准农田改造提升示范工程试点项目五标段（合同修改版）.docx
璧山区 2022 年广普镇丘陵山区高标准农田改造提升示范工程试点项目五标段（合同修改版）.docx"
0281ca9f537b4fdfb7d7dbd4857dd2f1,WBHTGL-20230807-001,DYS2023-99,14,f5ce0439-3281-4ebb-828c-0a63b9e1b1fd,2,"涪江路小学校校舍维修工程合同草拟(1).doc
涪江路小学校校舍维修工程合同草拟(1).doc"
02860be649fc4256844cdff1a03302f1,WBHTGL-20220507-007,DYS2022-16-14,15,dd0f50c8-2d14-48b1-a567-e09a200650b3,2,"花雨别墅19栋1-1周玉兰移表工程.doc
花雨别墅19栋1-1周玉兰移表工程.doc"
0289e318abff46c084516bd75bb441d3,WBHTGL-20230524-001,GZS2023-49,16,a0c13230-8e3e-452d-858c-b41a201a76ce,2,"【中建天投天河区育新街南侧AT0304011-1地块】项目【临时路】工程专业分包合同.pdf
【中建天投天河区育新街南侧AT0304011-1地块】项目【临时路】工程专业分包合同.pdf"
02b90c824b464d49bd05d21458574915,WBHTGL-20221212-001,DYS2022-92,17,593947e1-503d-487c-a75d-523d4a615717,2,"2022.12.7德阳经济技术开发区产城融合示范园区基础设施建设旌湖路、太湖路道路改造工程设计施工总承包-合同.pdf
2022.12.7德阳经济技术开发区产城融合示范园区基础设施建设旌湖路、太湖路道路改造工程设计施工总承包-合同.pdf"
02b96888686a492cb45f9b64064d648f,WBHTGL-20220507-008,DYS2022-16-15,18,49bb7c9e-652c-4bf5-860b-69c277fac9a2,2,"佛山街二段55号（左毅）分户工程.doc
佛山街二段55号（左毅）分户工程.doc"
039c1e19f43f4ad79c191ef201a3337e,WBHTGL-20200305-005,GYS2018-02,19,f43a8da6-917f-4ef1-9bfd-cfe591dbc787,6,"中标通知书.jpg
合同.docx
竣工验收报告.docx
中标通知书.jpg
合同.docx
竣工验收报告.docx"
03b3ddc568e647dba65a6475e9148f59,WBHTGL-20200813-001,DYS2020-07-12,20,2dc7c88a-e2ee-47df-b1f1-f3f593750734,4,"修建钢丝网围墙.doc
修建钢丝网围墙施工合同-12.jpg
修建钢丝网围墙.doc
修建钢丝网围墙施工合同-12.jpg"
03c34d34fea748f6bd892980dfe06452,WBHTGL-20200229-009,SNS2018-17,21,09523953-2570-40f1-8606-4be0b419c7d7,6,"全国新增1000亿斤粮食生产能力安居区2018年田间工程建设项目二标段.jpg
合同.docx
合同.pdf
全国新增1000亿斤粮食生产能力安居区2018年田间工程建设项目二标段.jpg
合同.docx
合同.pdf"
03cb1d4a42894852bb35489f493f0794,WBHTGL-20251201-001,DYS2025-216,22,b9e0b8400fa33dbfb4dbbde811a94d2a,1,万航模锻厂房立柱刷漆工程.docx
03ce07f8f6034c0fb9129b18f30e67e9,WBHTGL-20251014-001,DYS2025-173,23,fa3ac8630a259bcaeb6cd70533a54b29,1,2025燃报系统安装合同（黄河路小学）.docx
03ea5994a14e442bae1716490c5b06c6,WBHTGL-20240725-001,DYS2024-122,24,f4838209604bf9034999e93507122a0b,1,中铁八局德阳市政项目土石方工程专业分包工程合同(1).pdf
03fcfca6e19b49a49b3b3a6215d33309,WBHTGL-20240923-028,DYS2024-178,25,6653aa78b67186d8fefcaba6db477d4e,1,万航模锻天然气管道安全改造施工合同.doc
