external_id,legacy_partner_source,legacy_partner_id,name,company_type,is_company,legacy_partner_name,legacy_source_evidence,idempotency_key,replay_action
legacy_contract_counterparty_sc_430659d9a1b74cb2,contract_counterparty,contract_counterparty:430659d9a1b74cb2,上海二十冶建设有限公司,company,1,上海二十冶建设有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:430659d9a1b74cb2,create_if_missing
legacy_contract_counterparty_sc_87f060da51089fa4,contract_counterparty,contract_counterparty:87f060da51089fa4,中国人寿财产保险股份有限公司德阳市中心支公司,company,1,中国人寿财产保险股份有限公司德阳市中心支公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:87f060da51089fa4,create_if_missing
legacy_contract_counterparty_sc_cf44c7d3a96bcdac,contract_counterparty,contract_counterparty:cf44c7d3a96bcdac,中国工程物理研究院科技信息中心,company,1,中国工程物理研究院科技信息中心,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:cf44c7d3a96bcdac,create_if_missing
legacy_contract_counterparty_sc_89387ae77d9080ad,contract_counterparty,contract_counterparty:89387ae77d9080ad,中国建筑一局（集团）有限公司,company,1,中国建筑一局（集团）有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:89387ae77d9080ad,create_if_missing
legacy_contract_counterparty_sc_21a0918fbfe46052,contract_counterparty,contract_counterparty:21a0918fbfe46052,中国建筑第七工程局有限公司,company,1,中国建筑第七工程局有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:21a0918fbfe46052,create_if_missing
legacy_contract_counterparty_sc_d2d062a1299226d6,contract_counterparty,contract_counterparty:d2d062a1299226d6,中国建筑第八工程局有限公司,company,1,中国建筑第八工程局有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:d2d062a1299226d6,create_if_missing
legacy_contract_counterparty_sc_167441c9e759f855,contract_counterparty,contract_counterparty:167441c9e759f855,中国建筑第四工程局有限公司,company,1,中国建筑第四工程局有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:167441c9e759f855,create_if_missing
legacy_contract_counterparty_sc_3c09eb0146a60553,contract_counterparty,contract_counterparty:3c09eb0146a60553,中国核工业中原建设有限公司,company,1,中国核工业中原建设有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:3c09eb0146a60553,create_if_missing
legacy_contract_counterparty_sc_3fd9d4fb7685d055,contract_counterparty,contract_counterparty:3fd9d4fb7685d055,中国石油天然气第七建设有限公司,company,1,中国石油天然气第七建设有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:3fd9d4fb7685d055,create_if_missing
legacy_contract_counterparty_sc_a80c619a60e22e37,contract_counterparty,contract_counterparty:a80c619a60e22e37,中国移动通信集团四川有限公司,company,1,中国移动通信集团四川有限公司,tmp/raw/contract/contract.csv:T_ProjectContract_Out.FBF/CBF,contract_counterparty::contract_counterparty:a80c619a60e22e37,create_if_missing
