anchor_name,partner_id,resolution,dependent_contract_rows,legacy_partner_source,legacy_partner_id,legacy_deleted_flag,legacy_source_evidence
中共英吉沙县委员会组织部,4831,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中国人寿财产保险股份有限公司德阳市中心支公司,4832,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中国人民解放军 32167 部队,4833,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中国人民解放军 95696 部队,4834,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中国人民解放军32166部队,4835,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中国人民解放军32167部队,4836,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中国人民解放军32329部队,4837,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中国人民解放军77561部队,4838,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中国人民解放军77626部队,4839,reuse_existing,2,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=2
中国人民解放军陆军军医大学,4840,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中国人民解放军陆军第九五〇医院,4841,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中国华西企业股份有限公司,4842,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中国工程物理研究所电子工程研究所,4843,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中国工程物理研究院激光聚变研究中心,4844,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中国核工业中原建设有限公司,4845,reuse_existing,2,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=2
中国水利水电第六工程局有限公司,4846,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中国水利水电第四工程局有限公司,4847,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中国移动通信集团四川有限公司,4848,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中国移动通信集团四川有限公司乐山分公司,4849,reuse_existing,2,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=2
中国移动通信集团四川有限公司南充分公司,4850,reuse_existing,3,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=3
中国移动通信集团四川有限公司天府新区分公司,4851,reuse_existing,2,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=2
中国移动通信集团四川有限公司广元分公司,4852,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中建二局第二建筑工程有限公司,4853,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中建四局第一建设有限公司,4854,reuse_existing,8,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=8
中江凯兴建设投资有限公司,4855,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中江县殡仪馆,4856,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中江县辑庆镇尖寨村股份经济合作联合社,4857,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中铁一局集团铁路建设有限公司,4858,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
中铁八局集团有限公司,4859,reuse_existing,2,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=2
中铁十九局集团有限公司,4860,reuse_existing,6,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=6
中铁十八局集团有限公司,4861,reuse_existing,5,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=5
中铁十八局集团有限公司巴中恩阳临港产业园项目经理部,4862,reuse_existing,6,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=6
二重德阳储能科技有限公司,4863,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
二重集团(德阳)精衡传动设备有限公司,4864,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
二重（德阳）重型装备有限公司,4865,reuse_existing,93,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=93
伟宸建设集团有限公司,4866,reuse_existing,2,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=2
保利长大工程有限公司,4867,reuse_existing,2,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=2
四川山水美地农业投资有限公司,4868,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
四川建筑职业技术学院,4869,reuse_existing,14,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=14
四川建设发展股份有限公司,4870,reuse_existing,3,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=3
四川昌意兴建筑劳务有限公司,4871,reuse_existing,2,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=2
四川汉南供水有限公司,4872,reuse_existing,4,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=4
四川省东方兴发建设集团有限公司,4873,reuse_existing,8,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=8
四川省华地建设工程有限责任公司,4874,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
四川省商贸学校,4875,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
四川省德阳市人民检察院,4876,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
四川省第四建筑有限公司,4877,reuse_existing,7,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=7
四川省第四建筑有限公司德阳云峰山路分公司,4878,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
四川省绵阳外国语学校,4879,reuse_existing,2,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=2
四川纹江致远建筑开发工程有限公司,4880,reuse_existing,14,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=14
四川自贡汇东发展股份有限公司,4881,reuse_existing,2,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=2
国网新疆电力有限公司喀什供电公司,4882,reuse_existing,2,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=2
国营川西机器厂,4883,reuse_existing,2,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=2
塔什库尔干塔吉克自治县交通运输局,4884,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
山东创杰智慧装备科技有限公司,4885,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
广汉市金轮镇人民政府,4886,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
德阳二重新业建筑工程有限责任公司,4887,reuse_existing,7,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=7
德阳农村商业银行股份有限公司,4888,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
德阳发展控股集团有限公司,4889,reuse_existing,1,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=1
德阳国信建设工程有限公司,4890,reuse_existing,6,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=6
德阳大参林投资有限公司,4891,reuse_existing,7,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=7
德阳市人民医院,4892,reuse_existing,4,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=4
德阳市住房保障和房地产事务中心,4893,reuse_existing,3,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=3
德阳市供水安装工程队,4894,reuse_existing,221,,,,fresh_db_contract_missing_partner_anchor_write; dependent_contract_rows=221
