external_id,legacy_source_table,legacy_record_id,legacy_pid,source_family,document_no,snapshot_date,legacy_state,subject,project_ref,legacy_project_id,legacy_project_name,source_account_balance_total,source_bank_balance_total,source_bank_system_difference,note,import_batch,replay_action
legacy_fund_daily_snapshot_sc_d_scbsjs_zjgl_zjsz_zjrbb_025f5de581114619975fd74b4d525ed4,D_SCBSJS_ZJGL_ZJSZ_ZJRBB,025f5de581114619975fd74b4d525ed4,17682115413860000,fund_daily_balance_snapshot,ZJRBB-20260112-001,2026-01-12,2,1.12资金日报表,legacy_project_sc_fb0c4133-f011-44a4-a285-59cfd30aec27,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台,10688210.38,10127150.02,561060.36,,legacy_fund_daily_snapshot_asset_v1,create_if_missing
legacy_fund_daily_snapshot_sc_d_scbsjs_zjgl_zjsz_zjrbb_0398505eea6546e596a6cc7e030b1cde,D_SCBSJS_ZJGL_ZJSZ_ZJRBB,0398505eea6546e596a6cc7e030b1cde,17651878042330000,fund_daily_balance_snapshot,ZJRBB-20251208-001,2025-12-08,2,12.8资金日报表,legacy_project_sc_fb0c4133-f011-44a4-a285-59cfd30aec27,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台,2219842.59,2271679.21,-51836.62,,legacy_fund_daily_snapshot_asset_v1,create_if_missing
legacy_fund_daily_snapshot_sc_d_scbsjs_zjgl_zjsz_zjrbb_03d557167f004103abd47d37ee7abbd7,D_SCBSJS_ZJGL_ZJSZ_ZJRBB,03d557167f004103abd47d37ee7abbd7,17702005553920000,fund_daily_balance_snapshot,ZJRBB-20260204-001,2026-02-04,2,2.4日资金日报表,legacy_project_sc_fb0c4133-f011-44a4-a285-59cfd30aec27,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台,10243620.20,10724069.52,-480449.32,,legacy_fund_daily_snapshot_asset_v1,create_if_missing
legacy_fund_daily_snapshot_sc_d_scbsjs_zjgl_zjsz_zjrbb_047c8d05099a4714b1c59fef5e663c57,D_SCBSJS_ZJGL_ZJSZ_ZJRBB,047c8d05099a4714b1c59fef5e663c57,17321835773980000,fund_daily_balance_snapshot,ZJRBB-20241121-001,2024-11-21,2,11.21资金日报表,legacy_project_sc_fb0c4133-f011-44a4-a285-59cfd30aec27,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台,8028745.69,3480645.69,4548100.00,,legacy_fund_daily_snapshot_asset_v1,create_if_missing
legacy_fund_daily_snapshot_sc_d_scbsjs_zjgl_zjsz_zjrbb_0529ca759dd44f56b60b3fc2152894ea,D_SCBSJS_ZJGL_ZJSZ_ZJRBB,0529ca759dd44f56b60b3fc2152894ea,17633739539630000,fund_daily_balance_snapshot,ZJRBB-20251117-001,2025-11-17,2,11.17资金日报表,legacy_project_sc_fb0c4133-f011-44a4-a285-59cfd30aec27,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台,3502424.53,3922964.33,-420539.80,,legacy_fund_daily_snapshot_asset_v1,create_if_missing
legacy_fund_daily_snapshot_sc_d_scbsjs_zjgl_zjsz_zjrbb_053d0f45f2f14883ac2622977bf88ad9,D_SCBSJS_ZJGL_ZJSZ_ZJRBB,053d0f45f2f14883ac2622977bf88ad9,17635456620130000,fund_daily_balance_snapshot,ZJRBB-20251119-001,2025-11-19,2,11.19资金日报表,legacy_project_sc_fb0c4133-f011-44a4-a285-59cfd30aec27,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台,3406432.30,3422772.82,-16340.52,,legacy_fund_daily_snapshot_asset_v1,create_if_missing
legacy_fund_daily_snapshot_sc_d_scbsjs_zjgl_zjsz_zjrbb_05c35021353044c680302856dea4909d,D_SCBSJS_ZJGL_ZJSZ_ZJRBB,05c35021353044c680302856dea4909d,17291583813560000,fund_daily_balance_snapshot,ZJRBB-20241017-001,2024-10-17,2,资金日报表,legacy_project_sc_fb0c4133-f011-44a4-a285-59cfd30aec27,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台,11534209.69,7278209.69,4256000.00,,legacy_fund_daily_snapshot_asset_v1,create_if_missing
legacy_fund_daily_snapshot_sc_d_scbsjs_zjgl_zjsz_zjrbb_0703a2d35f9f4953aa94feac12dabce7,D_SCBSJS_ZJGL_ZJSZ_ZJRBB,0703a2d35f9f4953aa94feac12dabce7,17098051535720000,fund_daily_balance_snapshot,ZJRBB-20240307-001,2024-03-07,2,资金日报表,legacy_project_sc_fb0c4133-f011-44a4-a285-59cfd30aec27,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台,20468983.63,14870852.03,5598131.60,,legacy_fund_daily_snapshot_asset_v1,create_if_missing
legacy_fund_daily_snapshot_sc_d_scbsjs_zjgl_zjsz_zjrbb_0751265bcfc645b1bdfba306a281c600,D_SCBSJS_ZJGL_ZJSZ_ZJRBB,0751265bcfc645b1bdfba306a281c600,17685613180420000,fund_daily_balance_snapshot,ZJRBB-20260116-001,2026-01-16,2,1.16资金日报表,legacy_project_sc_fb0c4133-f011-44a4-a285-59cfd30aec27,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台,8264169.12,8598770.19,-334601.07,,legacy_fund_daily_snapshot_asset_v1,create_if_missing
legacy_fund_daily_snapshot_sc_d_scbsjs_zjgl_zjsz_zjrbb_08a1dea5aa6349939c7a113c61d2704e,D_SCBSJS_ZJGL_ZJSZ_ZJRBB,08a1dea5aa6349939c7a113c61d2704e,17092871107680000,fund_daily_balance_snapshot,ZJRBB-20240301-001,2024-03-01,2,资金日报表,legacy_project_sc_fb0c4133-f011-44a4-a285-59cfd30aec27,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台,22680287.19,17181994.77,5498292.42,,legacy_fund_daily_snapshot_asset_v1,create_if_missing
