external_id,legacy_source_table,legacy_record_id,legacy_pid,source_family,direction,document_no,document_date,legacy_state,invoice_type,project_ref,legacy_project_id,legacy_project_name,legacy_partner_id,legacy_partner_name,legacy_partner_tax_no,source_amount,source_tax_amount,source_amount_field,note,import_batch,replay_action
legacy_invoice_tax_sc_c_jxxp_kjfpsq_00c4eb04c6284e2dbaad690d73ee024d,C_JXXP_KJFPSQ,00c4eb04c6284e2dbaad690d73ee024d,299,invoice_issue_request,output_invoice,FPSQ-20200728-001,2020-07-28,2,增值税普通发票,legacy_project_sc_ad7fbdddb4114548a9b6e547bba0821d,ad7fbdddb4114548a9b6e547bba0821d,违法建（构）筑物拆除工程施工协议,,德阳市城市管理行政执法局,11510500567600306Y,8572.50,0.00,BCKP_JE,,legacy_invoice_tax_asset_v1,create_if_missing
legacy_invoice_tax_sc_c_jxxp_kjfpsq_01c6957bcdca49a3b7b7839c03a43b4c,C_JXXP_KJFPSQ,01c6957bcdca49a3b7b7839c03a43b4c,235,invoice_issue_request,output_invoice,FPSQ-20200512-001,2020-01-08,2,增值税普通发票,legacy_project_sc_93cc6b74baa344f3bc26a971682f88bb,93cc6b74baa344f3bc26a971682f88bb,德阳市市区背街小巷风貌整治工程（施工二标段）,,德阳发展控股集团有限公司,91510600717543870B,339071.17,0.00,BCKP_JE,补录2020.1.8开票记录,legacy_invoice_tax_asset_v1,create_if_missing
legacy_invoice_tax_sc_c_jxxp_kjfpsq_035fbfce5f4347e3b1bb740d17908310,C_JXXP_KJFPSQ,035fbfce5f4347e3b1bb740d17908310,124,invoice_issue_request,output_invoice,FPSQ-20200319-001,2020-01-15,2,增值税普通发票,legacy_project_sc_820b75e8bc1d44b199a52ffe48f1c350,820b75e8bc1d44b199a52ffe48f1c350,蓬溪县苇子湾水库除险加固工程,,蓬溪县水利工程建设管理办公室,1251082177166274XB,328206.78,7686.39,BCKP_JE,补录2020.1.15开票记录,legacy_invoice_tax_asset_v1,create_if_missing
legacy_invoice_tax_sc_c_jxxp_kjfpsq_05a917b377bb40ffb45398e4ca469fcf,C_JXXP_KJFPSQ,05a917b377bb40ffb45398e4ca469fcf,282,invoice_issue_request,output_invoice,FPSQ-20200717-001,2020-07-17,2,增值税专用发票,legacy_project_sc_6b4e37cd90a94055a69de211efdab846,6b4e37cd90a94055a69de211efdab846,易静工程（德阳二重工程项目）,,二重（德阳）重型装备有限公司,91510600669586744Y,43300.00,0.00,BCKP_JE,,legacy_invoice_tax_asset_v1,create_if_missing
legacy_invoice_tax_sc_c_jxxp_kjfpsq_0674643454a74c9fa5e6d2adcbbcac07,C_JXXP_KJFPSQ,0674643454a74c9fa5e6d2adcbbcac07,21,invoice_issue_request,output_invoice,FPSQ-20200313-004,2019-12-31,2,增值税专用发票,legacy_project_sc_135be6807d2043619fde2b6efe531cf6,135be6807d2043619fde2b6efe531cf6,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程-劳务分包-穿城堰三标段,,德阳蓉北建设工程有限公司,91510600MA63YDPK41,420981.70,0.00,BCKP_JE,补录2019年开票记录,legacy_invoice_tax_asset_v1,create_if_missing
legacy_invoice_tax_sc_c_jxxp_kjfpsq_068b57e7e4fc45a8a3c7089352826e9a,C_JXXP_KJFPSQ,068b57e7e4fc45a8a3c7089352826e9a,12,invoice_issue_request,output_invoice,FPSQ-20200305-001,2019-11-25,2,增值税专用发票,legacy_project_sc_541e6dbb75224e48b0ab8c09c28c70ef,541e6dbb75224e48b0ab8c09c28c70ef,重庆翰博光电工业园项目一期B部分（2#厂房）工程,,重庆翰博光电有限公司,91500000327722347H,852750.00,15646.79,BCKP_JE,补录2019.11.25开票记录,legacy_invoice_tax_asset_v1,create_if_missing
legacy_invoice_tax_sc_c_jxxp_kjfpsq_079ad1c539a640e99cb8aa017ccd2dc3,C_JXXP_KJFPSQ,079ad1c539a640e99cb8aa017ccd2dc3,111,invoice_issue_request,output_invoice,FPSQ-20200318-027,2020-01-11,2,增值税普通发票,legacy_project_sc_1710364e78bc40b48396fe20e5f0e9bd,1710364e78bc40b48396fe20e5f0e9bd,南充市高坪区恒大悦龙台至三环6期厂区段损毁道路恢复工程建材及配套服务采购项目,,南充市高坪区公路管理局,125111024522063179,5979782.40,130787.16,BCKP_JE,补录2020.1.11开票记录,legacy_invoice_tax_asset_v1,create_if_missing
legacy_invoice_tax_sc_c_jxxp_kjfpsq_09ea00446b3049f4940e01b1342342aa,C_JXXP_KJFPSQ,09ea00446b3049f4940e01b1342342aa,92,invoice_issue_request,output_invoice,FPSQ-20200318-008,2018-12-20,2,增值税普通发票,legacy_project_sc_3ffba2d0c30c466d8e835e1e5b73c165,3ffba2d0c30c466d8e835e1e5b73c165,剑阁县圈龙乡新桥村文化室,,圈龙乡新桥村委会,0,350000.00,8718.19,BCKP_JE,补录2018.12.20开票记录,legacy_invoice_tax_asset_v1,create_if_missing
legacy_invoice_tax_sc_c_jxxp_kjfpsq_0bb88a450c374b63b493942bdc8e375d,C_JXXP_KJFPSQ,0bb88a450c374b63b493942bdc8e375d,303,invoice_issue_request,output_invoice,FPSQ-20200728-004,2019-12-31,2,增值税专用发票,legacy_project_sc_66b66086a7144848ba8194ce7db8f101,66b66086a7144848ba8194ce7db8f101,中国移动四川分公司乐山片区2018-2020年渠道零星维修项目（标包5）,,中国移动通信集团四川有限公司乐山分公司,91511100714469345K,4621937.39,99064.79,BCKP_JE,补录2019年开票记录,legacy_invoice_tax_asset_v1,create_if_missing
legacy_invoice_tax_sc_c_jxxp_kjfpsq_0cde5009de454f05ac84287129d2ca5b,C_JXXP_KJFPSQ,0cde5009de454f05ac84287129d2ca5b,304,invoice_issue_request,output_invoice,FPSQ-20200728-005,2020-05-26,2,增值税专用发票,legacy_project_sc_66b66086a7144848ba8194ce7db8f101,66b66086a7144848ba8194ce7db8f101,中国移动四川分公司乐山片区2018-2020年渠道零星维修项目（标包5）,,中国移动通信集团四川有限公司乐山分公司,91511100714469345K,430227.32,11446.12,BCKP_JE,补录2020年开票记录,legacy_invoice_tax_asset_v1,create_if_missing
