legacy_project_id,project_name,project_self_funding_amount,actual_receipt_amount,receipt_amount,payment_amount,external_fund_amount,in_transit_amount,actual_available_balance,book_balance,import_batch
00a4bb196d944fa5a8c56e3bd3f1e448,德阳市罗江区鄢家镇高垭村山坪塘整治项目,0.0000,274825.3800,274825.3800,277825.2900,3000.0000,0.0000,0.0900,0.0900,legacy_project_fund_balance_v1
00c73f013e234461883beac337e8d75d,石亭江-绵远河生态廊道场地平整工程,0.0000,900716.7600,900716.7600,900716.7600,0.0000,0.0000,0.0000,0.0000,legacy_project_fund_balance_v1
00db8d3baa894d1e8efd7acd181f6499,渝数科技公司重庆数字大厦第6层办公用房装修改造项目,0.0000,842072.9000,842072.9000,850846.3600,8773.4700,0.0000,0.0100,0.0100,legacy_project_fund_balance_v1
0201344da1b74e008006a7a96f90be6f,四川艺术职业学院消防隐患整治工程,0.0000,691498.9200,691498.9200,691498.9200,0.0000,0.0000,0.0000,0.0000,legacy_project_fund_balance_v1
020eddc09afb4260a5843a84ee58d826,龙泉驿区2020年人行道整治提升工程（怡安路、合聚路、玉扬路）,0.0000,910000.0100,910000.0000,909999.3100,0.0000,0.0000,0.7000,0.7000,legacy_project_fund_balance_v1
027c5b467ae94e52aabb6f6218d310d4,成渝双城经济圈川渝高竹新区制造产业园及配套基础设施建设项目（L3-1线道路及配套工程劳务分包）,0.0000,3762508.1400,3762508.1400,3762391.7900,0.0000,0.0000,116.3500,116.3500,legacy_project_fund_balance_v1
02df67b4ddb6469b81ed551e9b544d25,剑阁县文化广电新闻出版局人才基地建设项目,0.0000,493828.0000,493828.0000,491525.8600,0.0000,0.0000,2302.1400,2302.1400,legacy_project_fund_balance_v1
037fddc6219449c3840477989cc06f82,中江县仓山镇郪江桥梁工程,0.0000,472019.3200,472019.3200,870516.3600,398497.0400,0.0000,0.0000,0.0000,legacy_project_fund_balance_v1
03f8997135504039a36557ec6e57909b,工程部后油库油罐清洗,0.0000,88500.0000,88500.0000,88500.0000,0.0000,0.0000,0.0000,0.0000,legacy_project_fund_balance_v1
045206e3bf2f49b6b6b544b1be1aff22,中国移动四川公司2025-2027年全省汇聚机房土建工程施工集中采购项目（标包4-乐山分公司）框架协议-（TD）,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,legacy_project_fund_balance_v1
04c36990cc144f04b8f2423c36e5f713,喀什地区一市四县带动农户养殖喀什黑鸡基础设施建设项目-喀什市一期电力,0.0000,6664209.3100,6664209.3100,5252845.3400,0.0000,1411363.2200,0.7500,0.7500,legacy_project_fund_balance_v1
04d0a65675424e41b8c65ba26ef48b4e,中江公司变电检修班“工人先锋号”环境整治,0.0000,263760.3000,263760.3000,263760.3000,0.0000,0.0000,0.0000,0.0000,legacy_project_fund_balance_v1
05139ca820724561bee71e016b22fd55,2022年日常维护项目（竞标12）,0.0000,735946.4600,735946.4600,739123.1100,3176.6500,0.0000,0.0000,0.0000,legacy_project_fund_balance_v1
0550ea3a2e1b4161b25a697476e344b5,准环对称仿星器项目,0.0000,233949.9400,233949.9400,233949.4200,0.0000,0.0000,0.5200,0.5200,legacy_project_fund_balance_v1
059742d9ac094c018b91894306d5fc2d,ALC预制隔墙板供应及施工分包合同,0.0000,5862575.1200,5862575.1200,6144448.5700,350474.4300,0.0000,68600.9800,68600.9800,legacy_project_fund_balance_v1
069cd56871fd4307b836a3167fddf14b,和田地区于田县高速公路10千伏线路迁改工程,0.0000,1241848.0000,1241848.0000,1241530.7100,0.0000,315.0000,2.2900,2.2900,legacy_project_fund_balance_v1
06c94694eb3e418bb4ceb5e55a987583,崴和路边坡滑坡治理,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,legacy_project_fund_balance_v1
06cd855d5ede4a279a81568903836256,白鹤花园修建建筑垃圾池,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,legacy_project_fund_balance_v1
072425c9c9ad453eb60c137fd4215459,珠峰文化旅游创意产业园区基础设施项目一期工程第三标段,0.0000,2186860.0000,2186860.0000,2186860.0000,0.0000,0.0000,0.0000,0.0000,legacy_project_fund_balance_v1
076d8bcae3064dca8927f4f629bf2356,中国移动四川西区二枢纽“车库改机房”土建工程,0.0000,2768289.5900,2768289.5900,2730012.4500,0.0000,0.0000,38277.1400,38277.1400,legacy_project_fund_balance_v1
07e6484cc40d4609b0bcafcf187dd9af,德阳市天府旌城石亭江河段堤防改建给水迁改工程,0.0000,3854629.4700,3854629.4700,3938014.0800,0.0000,0.0000,-83384.6100,-83384.6100,legacy_project_fund_balance_v1
080a2d8ee204424a8b7edd08817eee20,2017年公路水毁修复工程（双石镇）,0.0000,470396.7800,470396.7800,470396.4600,0.0000,0.0000,0.3200,0.3200,legacy_project_fund_balance_v1
088193c97f1443b58f1489b321c1288a,浪卡子县白地乡龙桑村水塘工程项目(1标段),0.0000,3658963.8500,3658963.8500,3720549.6900,161750.0000,0.0000,100164.1600,100164.1600,legacy_project_fund_balance_v1
08ac2e586f574d39a3272852fa22bf71,德昌县宽裕镇花园村文化休闲广场,0.0000,440520.9000,440520.9000,517791.8500,77270.9500,0.0000,0.0000,0.0000,legacy_project_fund_balance_v1
08fa00e1bf9d4c88bcbfa652610aa347,永川区卫星中型灌区续建配套与节水改造工程,0.0000,8109553.3200,8109553.3200,8520485.0600,416134.0600,0.0000,5202.3200,5202.3200,legacy_project_fund_balance_v1
092bc953078b42ab89b7a9d07fecab66,德阳市罗江区自来水公司2019年12月至2020年11月管网安装（抢修）零星土石方开挖恢复及用工等外包,0.0000,1335461.3300,1335461.3100,1335456.8500,0.0000,0.0000,4.4800,4.4800,legacy_project_fund_balance_v1
09a62a54dcf645d6b7030d40fbdac1cb,林芝市财富阳光建设项目消防工程,0.0000,3026000.0000,3026000.0000,3025999.6000,0.0000,0.0000,0.4000,0.4000,legacy_project_fund_balance_v1
09ba719dfd18431a951ec77d29ea6194,焙浸车间硫酸罐区防腐项目工程,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,legacy_project_fund_balance_v1
0a098ceefc5046c380028104a3caa2af,中建天投天河区育新街南侧AT0304011-1地块项目,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,legacy_project_fund_balance_v1
0b3b88a05d6d454b9cbbe6b4c3c342d5,岳普湖县防沙治沙电力配套设施建设项目,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,legacy_project_fund_balance_v1
0bb1dac8c9a94e39b421b3a619491c1f,公司综合管理平台,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,legacy_project_fund_balance_v1
