legacy_contract_id,document_state,deleted_flag,project_legacy_id,project_name,partner_legacy_id,partner_name,pricing_method_legacy_id,pricing_method_text,amount_total,import_batch
00052da4bdd144098511af1a1e3bd567,2,0,6ee79af1274b49ffbd25926ad5f04f4d,中国移动四川公司成都分公司2021-2025年管理用房及生产枢纽楼公共区域维修服务项目-上市,a4d55ad0464b43dab4f89d8ed06b5bed,成华区转绵品商贸部,e40e4194933d4259855e1b6e6e83cf07,先款后货,98731.6000,legacy_supplier_contract_pricing_v1
002417b308594f9da400f57f7c6be241,2,0,e4bccb1e4815421ba8c8778fc30f6077,四川金鑫公司职工家属区“三供一业”分离移交物业设施维修改造项目（南区）,30412521b94343d99d421ad9328f4c17,四川科一林广告装饰有限公司,11320001,预估总价同期支付,10000.0000,legacy_supplier_contract_pricing_v1
002a756c15fe4af8a903dcd8c34ec245,2,0,842ab5bb919d45ca9f23040dc3e34050,绵阳市安州区2025年制种大县项目-生产基地设施建设工程,072f3ffcfeb94630a1a0ca43c896aff4,四川益邦祥商贸有限公司,f262b3b20b90494a9cab3b4d6efda4f4,同期支付,687500.0000,legacy_supplier_contract_pricing_v1
002c4cea7c5c422886981c27e5dc966d,2,0,3ae7963b49614ce8ba4c2066b4134452,生态岛智能智造成果转化空间工程钢结构专业分包,49cfc4a81c4e4354bafa8e28ace7b192,河南福丽得装饰工程有限公司,88b5f44f6e094703847ff0ab0518b2a4,预估总价节点支付,24780.0000,legacy_supplier_contract_pricing_v1
003603412c224dce95e3f380452cd04c,2,0,b4d056223bda427d8dff39113334ef37,【广清城际轨道交通项目（花都段）安置区工程（狮岭镇前进安置区）一期施工总承包】项目【市政道路】工程专业分包,1b95a173ddb34097824ed2f05ad899da,广东焙跃建设工程有限公司,88b5f44f6e094703847ff0ab0518b2a4,节点支付,50816.4000,legacy_supplier_contract_pricing_v1
003656d5d48f43328ade32134ccfa4b4,2,0,ce7c47d08d88409da91cd433099d5cee,四川现代农业工程职业学院一期工程（10#教学楼、培训中心）,6ae6dc36e118493e8a195d4ccfca41e9,成都富德鑫商贸有限公司,,,0.0000,legacy_supplier_contract_pricing_v1
0038dc51ac824a5eb1e3d61309b0510c,2,0,a41a50af79294ecb925b470611f7ffbd,伽师县综合物流园建设项目-新建10KV配电工程,c946020112ec4bcf9dee3a3e4de12ff2,喀什市贤坤建材店,e40e4194933d4259855e1b6e6e83cf07,先款后货,20100.0000,legacy_supplier_contract_pricing_v1
00400d2c156a408b9bb3215639c44565,2,0,9d60cf8cfdb546b5a01189c5c9128748,西藏军区工程建设项目临时器材库和装备库建设项目（2302项目）,170030f7946b42c6af3af076f0b27c93,西藏明启实业有限公司,e40e4194933d4259855e1b6e6e83cf07,先款后货,146659.0000,legacy_supplier_contract_pricing_v1
0046cc4ac5974a64bd6ef79cdc2510f2,2,0,14c4325bb56b408788e6f442f4384374,广东南华工商职业学院清远校区二期建设工程 （学生生活区、教学行政区）,c6e1280af0aa451983ebe07d232b5d84,永州智博工程有限公司,11730001,预估总价先付款后使用,210000.0000,legacy_supplier_contract_pricing_v1
005e3bd702d148abba3b172af5696bc9,2,0,cd883a71c893424fbe432603091e451d,澜公馆景观工程,63840fafb92a468b809a4f8c52e86237,攀枝花市仁和区元富水泥制品经营部,,,70875.0000,legacy_supplier_contract_pricing_v1
005e9146113d47b2b90d039f2128c464,2,0,258b21f44ab54667a6829247d381d5a6,四川建筑职业技术学院德阳校区2025年大型修缮项目,58f77be9d3424256bcf274d28b7f7c0f,四川景禾装饰工程有限公司,f262b3b20b90494a9cab3b4d6efda4f4,同期支付,1435500.0000,legacy_supplier_contract_pricing_v1
00635c3da7a54e259edddea456b003b6,2,0,fd55ff03dc53471a90744a6e145fbba7,新能源电气控制系统研发制造中心项目,8cf691fe22cc40419a508a3682b30415,四川友鑫建筑工程有限公司,,,60000.0000,legacy_supplier_contract_pricing_v1
006a39ff8e014e7ca612cf6b0f8a06d8,2,0,2ec0da21560a45959b90a77d12866c51,巴中恩阳临港产业园建设项目-制造业组团项目1-8号厂房消防工程,cd876c9c31d9446e898f05239e954dc0,四川福康斯电力科技有限公司,10910001,预估总价,52000.0000,legacy_supplier_contract_pricing_v1
007255edb2f94b20b3bdcd5938c40a34,2,0,14b62e4158d24596a0e04828e39362b5,旌北13#、14#地块(德阳北站 TOD 及配套基础设施项目室外园林景观工程工程专业分包（大区）,6c4980e3cdff421492aca5306865f247,四川星链快建机械设备有限公司,e40e4194933d4259855e1b6e6e83cf07,先款后货,1600.0000,legacy_supplier_contract_pricing_v1
007306e0937a458a843259a5030f9782,2,0,5de86b43f29448b9822ccef8c2c5edc5,石柱县沿溪镇滨江社区居住环境改善工程,a92cf7d74c784943b1340f5839b3384a,嘉森宝建筑材料重庆有限公司,e40e4194933d4259855e1b6e6e83cf07,先款后货,201041.0000,legacy_supplier_contract_pricing_v1
00769378af67458dad0a7f5204963fe3,2,0,bb522fee21af41b384c8fc7647fe63f3,合格土销售项目,0803a80a12ec4c0d9449b6574b489a61,四川一仕诺公路工程有限公司,88b5f44f6e094703847ff0ab0518b2a4,节点支付,50000.0000,legacy_supplier_contract_pricing_v1
007e10217a2b4b55bb33f7e5487d87c9,2,0,95046cba907f454e912ac49de532fcc7,德阳校区日常维修服务,49f5776e7ec04f7c81ab3322df3a5036,德阳天辰建筑装饰工程有限公司,10910001,预估总价,0.0000,legacy_supplier_contract_pricing_v1
007e48f07ca948d8ac3db5302302289b,2,0,6b4e37cd90a94055a69de211efdab846,易静工程（德阳二重工程项目）,65fbb6327f45431b923a912dce131174,德阳市区祥顺建材商贸行,e40e4194933d4259855e1b6e6e83cf07,先款后货,650000.0000,legacy_supplier_contract_pricing_v1
008daf590d674712b5dc8831ad132699,2,0,088193c97f1443b58f1489b321c1288a,浪卡子县白地乡龙桑村水塘工程项目(1标段),de7c01bd157644a6a78db647f3016c63,西藏格朗机械租赁有限责任公司,e40e4194933d4259855e1b6e6e83cf07,先款后货,161750.0000,legacy_supplier_contract_pricing_v1
00a3cede2c2f4ddd90a4fc89c8b35ac9,2,0,07e6484cc40d4609b0bcafcf187dd9af,德阳市天府旌城石亭江河段堤防改建给水迁改工程,784033e8397444c499775669cfd36698,旌阳区腾丰建材经营部,e40e4194933d4259855e1b6e6e83cf07,先款后货,864480.0000,legacy_supplier_contract_pricing_v1
