legacy_project_id,legacy_parent_id,name,short_name,project_environment,legacy_company_id,legacy_company_name,legacy_specialty_type_id,specialty_type_name,legacy_price_method,business_nature,detail_address,project_profile,project_area,legacy_is_shared_base,legacy_sort,legacy_attachment_ref,project_overview,legacy_project_nature,legacy_is_material_library,other_system_id,other_system_code,legacy_stage_id,legacy_stage_name,legacy_region_id,legacy_region_name,legacy_state,legacy_deleted_flag,legacy_project_manager_name,legacy_technical_responsibility_name,current_db_project_id,evidence_file,idempotency_key,replay_action
00a4bb196d944fa5a8c56e3bd3f1e448,17127191387060000,德阳市罗江区鄢家镇高垭村山坪塘整治项目,,,1,四川保盛建设集团有限公司,390001,房建工程,1,联营,,,,0,,d466519bfc37e32f816d4625196e0ef5,,,,162253,17137750339650000,,,,,,0,,,2107,artifacts/migration/project_create_only_write_result_v1.json,project::00a4bb196d944fa5a8c56e3bd3f1e448,create_if_missing
00c73f013e234461883beac337e8d75d,10406,石亭江-绵远河生态廊道场地平整工程,,正式项目,1,四川保盛建设集团有限公司,400001,市政,1,联营,,,,0,214,ea2a9c902735498f947770a59fd49dd5,,,,109745,16982985823040001,,,,,,0,,,2108,artifacts/migration/project_create_only_write_result_v1.json,project::00c73f013e234461883beac337e8d75d,create_if_missing
00db8d3baa894d1e8efd7acd181f6499,10843,渝数科技公司重庆数字大厦第6层办公用房装修改造项目,,正式项目,570,保盛重庆分公司,390001,房建工程,0,联营,,,,0,648,2b32859f0550487cb3104c03aa641a5a,,,,109396,16982984795710000,,,,,,0,,,2109,artifacts/migration/project_create_only_write_result_v1.json,project::00db8d3baa894d1e8efd7acd181f6499,create_if_missing
0201344da1b74e008006a7a96f90be6f,10709,四川艺术职业学院消防隐患整治工程,,正式项目,1,四川保盛建设集团有限公司,10760001,专业分包,1,联营,,,,0,514,d56a8c18d47b4ba6aecbf0cb295feb8f,,,,109506,16982984933830000,,,,,,0,,,2116,artifacts/migration/project_create_only_write_result_v1.json,project::0201344da1b74e008006a7a96f90be6f,create_if_missing
020eddc09afb4260a5843a84ee58d826,10481,龙泉驿区2020年人行道整治提升工程（怡安路、合聚路、玉扬路）,,正式项目,1,四川保盛建设集团有限公司,5960001,劳务工程,1,自营,,,,0,289,01193ee7e06f4219af11793ef05695f7,,,,109702,16982985767570001,,,,,,0,,,2117,artifacts/migration/project_create_only_write_result_v1.json,project::020eddc09afb4260a5843a84ee58d826,create_if_missing
027c5b467ae94e52aabb6f6218d310d4,10708,成渝双城经济圈川渝高竹新区制造产业园及配套基础设施建设项目（L3-1线道路及配套工程劳务分包）,,正式项目,1,四川保盛建设集团有限公司,5960001,劳务工程,1,联营,,,,0,513,de0e77427a3244cba6665a91a61e8bc5,,,,109507,16982984935080000,,,,,,0,,,2118,artifacts/migration/project_create_only_write_result_v1.json,project::027c5b467ae94e52aabb6f6218d310d4,create_if_missing
02df67b4ddb6469b81ed551e9b544d25,10296,剑阁县文化广电新闻出版局人才基地建设项目,,正式项目,141,四川保盛建设集团有限公司,390001,房建,1,联营,,,,0,145,d5751e91475e4f9db38f335dfdbd747b,,,,109812,16982986211630000,,,,,,0,,,2119,artifacts/migration/project_create_only_write_result_v1.json,project::02df67b4ddb6469b81ed551e9b544d25,create_if_missing
037fddc6219449c3840477989cc06f82,10452,中江县仓山镇郪江桥梁工程,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,260,f34821074fb64baf8fe813a4db6876a2,,,,109716,16982985785070001,,,,,,0,,,2120,artifacts/migration/project_create_only_write_result_v1.json,project::037fddc6219449c3840477989cc06f82,create_if_missing
03f8997135504039a36557ec6e57909b,17243112654760000,工程部后油库油罐清洗,,,1,四川保盛建设集团有限公司,460001,专业分包,0,联营,,,,0,,e05efb0896ef5ca84750d8d2373ca6a3,,,,178417,17243120631790000,,,,,,0,,,2121,artifacts/migration/project_create_only_write_result_v1.json,project::03f8997135504039a36557ec6e57909b,create_if_missing
045206e3bf2f49b6b6b544b1be1aff22,17580043810760000,中国移动四川公司2025-2027年全省汇聚机房土建工程施工集中采购项目（标包4-乐山分公司）框架协议-（TD）,,,1,四川保盛建设集团有限公司,390001,房建工程,1,联营,,,,1,,861514e00f219ab49c17a1dfa7fa242f,,,,,,,,,,0,1,,,2122,artifacts/migration/project_create_only_write_result_v1.json,project::045206e3bf2f49b6b6b544b1be1aff22,create_if_missing
04c36990cc144f04b8f2423c36e5f713,16968356040460000,喀什地区一市四县带动农户养殖喀什黑鸡基础设施建设项目-喀什市一期电力,,,565,保盛新疆分公司,10890001,电力工程,0,联营,,,,0,,63e9cd3d4fa628723aeb526838e1da81,,,,109359,16982984750710000,,,,,,0,,,2110,artifacts/migration/project_create_only_write_result_v1.json,project::04c36990cc144f04b8f2423c36e5f713,create_if_missing
04d0a65675424e41b8c65ba26ef48b4e,10479,中江公司变电检修班“工人先锋号”环境整治,,正式项目,1,四川保盛建设集团有限公司,420001,装修装饰,1,联营,,,,0,287,a54b3149203a4fa98f933aa72db6dfef,,,,109703,16982985768670001,,,,,,0,,,2123,artifacts/migration/project_create_only_write_result_v1.json,project::04d0a65675424e41b8c65ba26ef48b4e,create_if_missing
05139ca820724561bee71e016b22fd55,10750,2022年日常维护项目（竞标12）,,正式项目,1,四川保盛建设集团有限公司,3230001,桥梁隧道,1,联营,,,,0,555,0612af3f36d745738952bd68fee50124,,,,109474,16982984893830000,,,,,,0,,,2124,artifacts/migration/project_create_only_write_result_v1.json,project::05139ca820724561bee71e016b22fd55,create_if_missing
0550ea3a2e1b4161b25a697476e344b5,17363042221250000,准环对称仿星器项目,,,1,四川保盛建设集团有限公司,460001,专业分包,0,自营,,,,0,,b08166dc800e900e9449d7b474ff9489,,,,191777,17366521192490001,,,,,0,0,,,2125,artifacts/migration/project_create_only_write_result_v1.json,project::0550ea3a2e1b4161b25a697476e344b5,create_if_missing
