id,legacy_project_id,project_code,name
2,00a4bb196d944fa5a8c56e3bd3f1e448,PRJ260002,德阳市罗江区鄢家镇高垭村山坪塘整治项目
3,00c73f013e234461883beac337e8d75d,PRJ260003,石亭江-绵远河生态廊道场地平整工程
4,00db8d3baa894d1e8efd7acd181f6499,PRJ260004,渝数科技公司重庆数字大厦第6层办公用房装修改造项目
5,0201344da1b74e008006a7a96f90be6f,PRJ260005,四川艺术职业学院消防隐患整治工程
6,020eddc09afb4260a5843a84ee58d826,PRJ260006,龙泉驿区2020年人行道整治提升工程（怡安路、合聚路、玉扬路）
7,027c5b467ae94e52aabb6f6218d310d4,PRJ260007,成渝双城经济圈川渝高竹新区制造产业园及配套基础设施建设项目（L3-1线道路及配套工程劳务分包）
8,02df67b4ddb6469b81ed551e9b544d25,PRJ260008,剑阁县文化广电新闻出版局人才基地建设项目
9,037fddc6219449c3840477989cc06f82,PRJ260009,中江县仓山镇郪江桥梁工程
10,03f8997135504039a36557ec6e57909b,PRJ260010,工程部后油库油罐清洗
11,045206e3bf2f49b6b6b544b1be1aff22,PRJ260011,中国移动四川公司2025-2027年全省汇聚机房土建工程施工集中采购项目（标包4-乐山分公司）框架协议-（TD）
12,04c36990cc144f04b8f2423c36e5f713,PRJ260012,喀什地区一市四县带动农户养殖喀什黑鸡基础设施建设项目-喀什市一期电力
13,04d0a65675424e41b8c65ba26ef48b4e,PRJ260013,中江公司变电检修班“工人先锋号”环境整治
14,05139ca820724561bee71e016b22fd55,PRJ260014,2022年日常维护项目（竞标12）
15,0550ea3a2e1b4161b25a697476e344b5,PRJ260015,准环对称仿星器项目
16,059742d9ac094c018b91894306d5fc2d,PRJ260016,ALC预制隔墙板供应及施工分包合同
17,069cd56871fd4307b836a3167fddf14b,PRJ260017,和田地区于田县高速公路10千伏线路迁改工程
18,06c94694eb3e418bb4ceb5e55a987583,PRJ260018,崴和路边坡滑坡治理
19,06cd855d5ede4a279a81568903836256,PRJ260019,白鹤花园修建建筑垃圾池
20,072425c9c9ad453eb60c137fd4215459,PRJ260020,珠峰文化旅游创意产业园区基础设施项目一期工程第三标段
21,076d8bcae3064dca8927f4f629bf2356,PRJ260021,中国移动四川西区二枢纽“车库改机房”土建工程
22,07e6484cc40d4609b0bcafcf187dd9af,PRJ260022,德阳市天府旌城石亭江河段堤防改建给水迁改工程
23,080a2d8ee204424a8b7edd08817eee20,PRJ260023,2017年公路水毁修复工程（双石镇）
24,088193c97f1443b58f1489b321c1288a,PRJ260024,浪卡子县白地乡龙桑村水塘工程项目(1标段)
25,08ac2e586f574d39a3272852fa22bf71,PRJ260025,德昌县宽裕镇花园村文化休闲广场
26,08fa00e1bf9d4c88bcbfa652610aa347,PRJ260026,永川区卫星中型灌区续建配套与节水改造工程
27,092bc953078b42ab89b7a9d07fecab66,PRJ260027,德阳市罗江区自来水公司2019年12月至2020年11月管网安装（抢修）零星土石方开挖恢复及用工等外包
28,09a62a54dcf645d6b7030d40fbdac1cb,PRJ260028,林芝市财富阳光建设项目消防工程
29,09ba719dfd18431a951ec77d29ea6194,PRJ260029,焙浸车间硫酸罐区防腐项目工程
30,0a098ceefc5046c380028104a3caa2af,PRJ260030,中建天投天河区育新街南侧AT0304011-1地块项目
31,0b3b88a05d6d454b9cbbe6b4c3c342d5,PRJ260031,岳普湖县防沙治沙电力配套设施建设项目
32,0bb1dac8c9a94e39b421b3a619491c1f,PRJ260032,公司综合管理平台
33,0c028a6f51ea4e728448ce29b1e2eaab,PRJ260033,南川区S531西龙路K18+800-K27+230日常维修养护工程（换填、边沟）项目
34,0c4f914eee3547c185a2108fc1f768df,PRJ260034,太行山路（钱塘江路-信江路）道路工程水泥稳定基层施工专业分包
35,0c8c213e89204a6fb61a4c8ac79f0d4a,PRJ260035,二重厂西路（华山路-衡山路）等4条路砂石工程专业分包
36,0cdd82e96265456494a1de15f36c433e,PRJ260036,何埂小学生化池及室外污水管网
37,0d21826a7ebb4dbfb7317338baaf57a0,PRJ260037,重庆文理学院2025年附属工程项目(不可预测的零星维修工程)
38,0dac2896cb43443eaaf4d5247683a40b,PRJ260038,2025年西南石油工程公司钻前主体工程劳务框架招标（6标段：罗江、黄许等地区）项目
39,0db43c29f642442292d30f6b34c328a9,PRJ260039,巫山县大昌镇树木修剪及路灯更换服务合同
40,0dde523bf5414461b937c9d5d4c220cf,PRJ260040,53019工程、3644-3、4、3617消防工程
41,0e04e445c6304b5f9e3b79ffdde72eb1,PRJ260041,绵阳金能集中办公室维修改造项目
42,0e4c810fe22644c399650bca0528898a,PRJ260042,2021年中江县辑庆镇尖寨村中药材园区四升五产村相融建设项目
43,0f314b7eb259455f8ad3bb3419f66957,PRJ260043,绵竹市星旺大桥与货运通道连接匝道工程项目
44,0f3c19a871e446fc8cc9781f108d58e5,PRJ260044,米易县南部新城市政道路及生态湿地公园PPP项目-湿地公园建设项目
45,0fe3fceb5f4b4c4fa5fae8527912fb93,PRJ260045,旌阳区长江流域可持续发展（沱江上游-绵远河段）综合治理（4、5号地块地下室）（DYS2022-65）
46,102a738d1fee481fb215df95de82490c,PRJ260046,德阳市青少年宫舞蹈、钢琴、美术教室改造（二次）
47,106e8ac916084f398b89d0a564f2473f,PRJ260047,德阳市罗江区公路建设养护所2025农村公路维修
48,108141059f724a008d2250d7c01449c8,PRJ260048,龙泉山路与旌湖路交会处东北角土地围挡项目
49,11e56ccc546e4532a323597457133e8c,PRJ260049,古蔺双沙陈坪等3个村18年脱贫攻坚饮水项目
50,125f0ae46d734ad68124ddadc3d5eb19,PRJ260050,洛碛餐厨污水处理厂基础设施修复及零星工程项目
51,12bab8c00273463cae235c1615796bb3,PRJ260051,青龙工业园区雨污水管网应急修复项目
52,12dc2d35442c43f481d6e3880f8a306e,PRJ260052,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程青衣江路公园剩余工程
53,1357e63a4149468ea5b484a53ec1efa4,PRJ260053,开挖修复359机位消防主管道爆管项目
54,135be6807d2043619fde2b6efe531cf6,PRJ260054,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程-劳务分包-穿城堰三标段
55,1375f96aeadd4e518c7b0574d3965a4b,PRJ260055,中国移动四川公司成都分公司2023-2025年渠道维修采购项目框架协议
56,1428742882bf4fc5988efcc289c8d5e8,PRJ260056,安宁新能源磷铁项目
57,1496d77696814bca8ab7b5d1423b5d5f,PRJ260057,国网德阳供电公司综合中心建设场地平整工程（办公大楼恢复）
