request_id,name,type,project_id,contract_id,partner_id,amount,date_request,state,legacy_receipt_id
1,PRQ2600001,receive,327,1045,4872,500000.0,2023-12-14,draft,003b6d460ab5436e87f7915e29782380
2,PRQ2600002,receive,486,742,3066,100000.0,2023-06-19,draft,003f18cf3a964e6c8c9815f9f10bab0c
3,PRQ2600003,receive,142,1105,4778,500000.0,2019-12-11,draft,007ff91f7ad3460fbc748d74fcc466ca
4,PRQ2600004,receive,474,1144,2911,372278.72000000003,2023-05-26,draft,00bb9da4a6b2477caab339b298a561a2
5,PRQ2600005,receive,628,1280,864,862129.28,2024-09-04,draft,01387ab522b6472cb4f8b72a16c80f21
6,PRQ2600006,receive,88,1042,3049,696091.06,2024-09-24,draft,015f38f1d67f493fa63263d177f2d627
7,PRQ2600007,receive,755,1,4827,100000.0,2024-02-07,draft,016f3b632651405fac6f86afc40636ba
8,PRQ2600008,receive,173,1183,71,1798792.5,2023-12-05,draft,0183fb667b644346ab4801ac416b1616
9,PRQ2600009,receive,171,69,2878,1180907.11,2025-01-14,draft,0186d45d77ac40d0a460dfdcd64d1cfe
10,PRQ2600010,receive,429,111,577,151900.0,2024-08-20,draft,0197327cb828466a8049633a896008ad
11,PRQ2600011,receive,611,1317,4460,108810.0,2024-08-12,draft,01a2e4c4dd7349dbbfd17acf0726b887
12,PRQ2600012,receive,172,465,4913,3000000.0,2026-02-13,draft,01afa8f224c1409590aed9b6bd782a73
13,PRQ2600013,receive,316,990,2145,200000.0,2025-08-28,draft,01e83609cc964339b5a64af37c38cce3
14,PRQ2600014,receive,406,1275,1458,3200000.0,2024-10-22,draft,01eab28776c34415bbf7078f57e7d834
15,PRQ2600015,receive,480,1038,4839,317376.72000000003,2025-11-24,draft,01fd9a00104b4c25be11e4943a3a5cf2
16,PRQ2600016,receive,531,913,2016,514178.82,2022-07-14,draft,022451901b254bee87cee015adee195d
17,PRQ2600017,receive,283,114,3138,271072.0,2023-10-23,draft,02601cdd2ca948149e871d19e47c0429
18,PRQ2600018,receive,723,915,4850,124258.87,2025-01-02,draft,02682d8a17a94b35a26e30cb55924789
19,PRQ2600019,receive,621,1345,3080,27193.0,2025-12-19,draft,028555b562a14949a4992f0cd12c0fc0
20,PRQ2600020,receive,500,918,4877,200000.0,2023-01-20,draft,029e10c14f1b49768bc5e5eabac638f9
