external_id,request_ref,sequence,legacy_invoice_line_id,legacy_receipt_id,legacy_invoice_id,legacy_invoice_child_id,legacy_pid,legacy_file_bill_id,invoice_no,invoice_party_name,invoice_issue_company,source_document_no,source_table_name,amount_source,invoice_amount,current_receipt_amount,invoiced_before_amount,note,idempotency_key,replay_action
legacy_receipt_invoice_line_sc_001a085ff39e4abfa4b00288a2881751,legacy_receipt_sc_56dbb5a71ac54aa19097df58bfe44351,20,001a085ff39e4abfa4b00288a2881751,56dbb5a71ac54aa19097df58bfe44351,,bab26ba5272a45ad8ae625645523ff59,17696593696580005,,25512000000305000443,中国移动通信集团四川有限公司南充分公司,,,C_JFHKLR_CB,KPJE,39867.61,39867.61,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=001a085ff39e4abfa4b00288a2881751; legacy_receipt_id=56dbb5a71ac54aa19097df58bfe44351; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,001a085ff39e4abfa4b00288a2881751,create_if_missing
legacy_receipt_invoice_line_sc_00255c7030ba499d824e153b1717c811,legacy_receipt_sc_3939751b7e3e4e18a0f7ea3ac265032c,30,00255c7030ba499d824e153b1717c811,3939751b7e3e4e18a0f7ea3ac265032c,,090aa319d5934353a22267b65eaab11e,17025635581570000,,01903952,重庆市铜梁区永嘉镇人民政府,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,121731.00,50831.00,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=00255c7030ba499d824e153b1717c811; legacy_receipt_id=3939751b7e3e4e18a0f7ea3ac265032c; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,00255c7030ba499d824e153b1717c811,create_if_missing
legacy_receipt_invoice_line_sc_003e64c1b96a49d4bd675b7ded33a5a5,legacy_receipt_sc_c3946c5c4a2c42939fd714471fac06ac,40,003e64c1b96a49d4bd675b7ded33a5a5,c3946c5c4a2c42939fd714471fac06ac,,3f7935b8bf3c4a158e3e222abf07ce08,17066052663140000,,23512000000083542723,德阳国信建设工程有限公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,674829.73,59963.89,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=003e64c1b96a49d4bd675b7ded33a5a5; legacy_receipt_id=c3946c5c4a2c42939fd714471fac06ac; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,003e64c1b96a49d4bd675b7ded33a5a5,create_if_missing
legacy_receipt_invoice_line_sc_005c92f15ea04fa8abc51f45daca5b01,legacy_receipt_sc_6dbdf85b47ac44a5a76f11e4bb04dfe0,50,005c92f15ea04fa8abc51f45daca5b01,6dbdf85b47ac44a5a76f11e4bb04dfe0,,22631ea00aace1ec0b5d54604867c88b,17375372641120010,,24512000000284131064,中国移动通信集团四川有限公司成都分公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,79903.62,79903.62,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=005c92f15ea04fa8abc51f45daca5b01; legacy_receipt_id=6dbdf85b47ac44a5a76f11e4bb04dfe0; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,005c92f15ea04fa8abc51f45daca5b01,create_if_missing
legacy_receipt_invoice_line_sc_005d5a33fb71400a999ea45c5b68c43a,legacy_receipt_sc_570025c0027a4ae0a69e2629f7211e42,60,005d5a33fb71400a999ea45c5b68c43a,570025c0027a4ae0a69e2629f7211e42,d28b4b1a7a514c9688a3a120f5dc6602,665ba7a326af46308320861864d67b43,17026253847140002,,5100192130-09722926,中国移动通信集团四川有限公司成都分公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,56537.19,1648.98,1648.98,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=005d5a33fb71400a999ea45c5b68c43a; legacy_receipt_id=570025c0027a4ae0a69e2629f7211e42; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,005d5a33fb71400a999ea45c5b68c43a,create_if_missing
legacy_receipt_invoice_line_sc_007845e1787a4438b8f71d6f4437237d,legacy_receipt_sc_1150574c0cb04df1a5eb5dca4751d9f0,70,007845e1787a4438b8f71d6f4437237d,1150574c0cb04df1a5eb5dca4751d9f0,,1fa4944be45946f3a4048b57479d7754,17576471673730003,,25512000000151607374,中国移动通信集团四川有限公司成都分公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,42309.42,42309.42,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=007845e1787a4438b8f71d6f4437237d; legacy_receipt_id=1150574c0cb04df1a5eb5dca4751d9f0; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,007845e1787a4438b8f71d6f4437237d,create_if_missing
legacy_receipt_invoice_line_sc_008010597a30418592e060c0d71115fa,legacy_receipt_sc_b3e28d733947499d9bc768ca9406ef9f,80,008010597a30418592e060c0d71115fa,b3e28d733947499d9bc768ca9406ef9f,dc2168f9e569408d9720939c16b78670,2477a9cee3684d71b3b0295d3f0d235b,1611,,5100193130-08539071,德阳禾顺房地产开发有限公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,500000.00,500000.00,500000.00,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=008010597a30418592e060c0d71115fa; legacy_receipt_id=b3e28d733947499d9bc768ca9406ef9f; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,008010597a30418592e060c0d71115fa,create_if_missing
legacy_receipt_invoice_line_sc_008e43d32cfd4eeb9289b99c5834fb06,legacy_receipt_sc_19b24acfe0594045871913240be871d7,90,008e43d32cfd4eeb9289b99c5834fb06,19b24acfe0594045871913240be871d7,1129e1d6797d4110aaf44222b02c80c6,6f63fb6b83244dd8a17ff974e62e6d10,475,,53000303,中国华西企业股份有限公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,1000000.00,299800.00,1000000.00,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=008e43d32cfd4eeb9289b99c5834fb06; legacy_receipt_id=19b24acfe0594045871913240be871d7; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,008e43d32cfd4eeb9289b99c5834fb06,create_if_missing
legacy_receipt_invoice_line_sc_0092e967b7d5477594405ecc6ebb4fec,legacy_receipt_sc_3e6ffff794834764ba17b43710bc46aa,100,0092e967b7d5477594405ecc6ebb4fec,3e6ffff794834764ba17b43710bc46aa,7fc1004267a3493ea90b123113832d0f,5abe58cc604544b08cd7b8da22b02e7c,17026082192090000,,22512000000000564785,中国移动通信集团四川有限公司眉山分公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,130963.60,130963.60,130963.60,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=0092e967b7d5477594405ecc6ebb4fec; legacy_receipt_id=3e6ffff794834764ba17b43710bc46aa; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,0092e967b7d5477594405ecc6ebb4fec,create_if_missing
legacy_receipt_invoice_line_sc_00acbe2bf2464d2c99a4811ab73acb4e,legacy_receipt_sc_39b63b507a8c427c84ef89a395b13da8,110,00acbe2bf2464d2c99a4811ab73acb4e,39b63b507a8c427c84ef89a395b13da8,1c2f4dd66b6d4f838628338b50ed84e6,21a8ffda3ef54029bee6fdcb0e8a5c7a,1457,,5100193130-04295203,中国建筑第四工程局有限公司,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,691763.66,168363.66,168363.66,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=00acbe2bf2464d2c99a4811ab73acb4e; legacy_receipt_id=39b63b507a8c427c84ef89a395b13da8; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,00acbe2bf2464d2c99a4811ab73acb4e,create_if_missing
legacy_receipt_invoice_line_sc_00b3fb3d132044a7a04c69fe1d08cf3d,legacy_receipt_sc_77715279d5a04aa38e336dc63bb2bd31,120,00b3fb3d132044a7a04c69fe1d08cf3d,77715279d5a04aa38e336dc63bb2bd31,,b5b60237c3f041d5a64455ace7809cb7,17153123100070000,,24512000000074749264,重庆两江新区土地征收和住房事务中心,四川保盛建设集团有限公司,,C_JFHKLR_CB,KPJE,1288025.25,1288025.25,,[migration:receipt_invoice_line] legacy_receipt_invoice_line_id=00b3fb3d132044a7a04c69fe1d08cf3d; legacy_receipt_id=77715279d5a04aa38e336dc63bb2bd31; invoice_fact=true; not_account_move=true; not_settlement=true; attachment_binary=false,00b3fb3d132044a7a04c69fe1d08cf3d,create_if_missing
