fact_family,staging_id,legacy_record_id,document_no,project_id,project_name,amount_total,target_model,action
payment,3886,6e2a1e623dab4c89a46cd67e0f980ced,FKD-20230927-083,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,100.0,sc.payment.execution,create_payment_execution
payment,1863,363c0a9bdc8047b1a80c2bccedc26a11,FKD-20230927-086,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,300.0,sc.payment.execution,create_payment_execution
payment,5162,92a4e6bb25024bd3982d025f75f94185,FKD-20230927-089,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,750.0,sc.payment.execution,create_payment_execution
payment,7911,dcf8f7297d44459794296207760d7ef9,FKD-20230927-090,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,812.0,sc.payment.execution,create_payment_execution
payment,7895,dc805b7e610741a0a4385aaa7b5c08bc,FKD-20230927-085,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,400.0,sc.payment.execution,create_payment_execution
payment,6903,c155dce9ae3c40d580f1a42b9c562f41,FKD-20230927-084,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,400.0,sc.payment.execution,create_payment_execution
payment,1678,303cad63cd7b4823a738e47f9091a9cb,FKD-20230927-088,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,400.0,sc.payment.execution,create_payment_execution
payment,5254,9512f25cf7bb4e7892ef7f678d6f9fae,FKD-20230927-082,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,400.0,sc.payment.execution,create_payment_execution
payment,3455,61ad04ca36574ef2b3a2650a54c8b262,FK-202405171621,831,太行山路（钱塘江路-信江路）道路工程,63500.0,sc.payment.execution,create_payment_execution
payment,7601,d3f7040fe74a4dfeaa1001c4823d93ec,FKD-20230927-087,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,2000.0,sc.payment.execution,create_payment_execution
payment,4228,785bbcf2b42942fea500fa8d5d26924d,FK-202405171621,831,太行山路（钱塘江路-信江路）道路工程,61900.0,sc.payment.execution,create_payment_execution
payment,5690,a0985dcb2ae4421c9661a21af8295d4a,FKD-20230927-014,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,400.0,sc.payment.execution,create_payment_execution
payment,3992,70784c15cd4a432aa835c24e9f9d7ae4,FK-202405171621,831,太行山路（钱塘江路-信江路）道路工程,61900.0,sc.payment.execution,create_payment_execution
payment,8438,ec6f72f619794e8d8f47377bdabf01d6,FKD-20230927-015,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,600.0,sc.payment.execution,create_payment_execution
payment,644,12690bc372664496a8fcd9d2ad62d689,FK-202405171621,831,太行山路（钱塘江路-信江路）道路工程,284600.0,sc.payment.execution,create_payment_execution
payment,6212,aed224d93306446d8dbc71d2586d6051,FK-202405171621,831,太行山路（钱塘江路-信江路）道路工程,64400.0,sc.payment.execution,create_payment_execution
payment,1800,33e37e8e5b6549479b79e716965aaf54,FKD-20230927-016,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,300.0,sc.payment.execution,create_payment_execution
payment,3640,66f828ef75444819b15b5cb0d68f9274,FKD-20230927-017,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,280.0,sc.payment.execution,create_payment_execution
payment,7711,d73df051b10a4e4790606f4397db4d40,FK-202405171621,831,太行山路（钱塘江路-信江路）道路工程,64400.0,sc.payment.execution,create_payment_execution
payment,3412,605b3a40691e4c9abbfad53a9b011461,FK-202405171621,831,太行山路（钱塘江路-信江路）道路工程,64400.0,sc.payment.execution,create_payment_execution
payment,3742,69e141d7a53d4130b6bee1c331634506,FKD-20230927-019,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,39853.99,sc.payment.execution,create_payment_execution
payment,5400,98f6aa0929db488fbd7c16657e4c29c6,FKD-20230927-018,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,49681.88,sc.payment.execution,create_payment_execution
payment,8839,f73695ef04ea485ea9cad1d7e029b557,FK-202405171621,831,太行山路（钱塘江路-信江路）道路工程,64400.0,sc.payment.execution,create_payment_execution
payment,900,19a119dce1f44e03a7e466674be87312,FK-202405171621,831,太行山路（钱塘江路-信江路）道路工程,64400.0,sc.payment.execution,create_payment_execution
payment,2101,3c9b447304e2423fab822c9319a717f4,FK-202405171621,831,太行山路（钱塘江路-信江路）道路工程,61400.0,sc.payment.execution,create_payment_execution
payment,5077,90708a69137f4fe6afc5f74bce419819,FK-202405171621,831,太行山路（钱塘江路-信江路）道路工程,59000.0,sc.payment.execution,create_payment_execution
payment,6412,b379b7e110444cb383082220611a199d,FK-202405171621,831,太行山路（钱塘江路-信江路）道路工程,31000.0,sc.payment.execution,create_payment_execution
payment,1003,1cbb527d7c444493a09972c6677910ed,FK-202405171621,831,太行山路（钱塘江路-信江路）道路工程,29000.0,sc.payment.execution,create_payment_execution
payment,3284,5ce1f525123b424b9b4435b6d9639645,FKD-20240806-010,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,3710.0,sc.payment.execution,create_payment_execution
payment,6894,c11bcaf8b840477691e58d2431d47baf,FKD-20240806-007,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,3900.0,sc.payment.execution,create_payment_execution
payment,4314,7a7505524e234936ae5ba1105f1aa56b,FKD-20240806-001,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,3060.0,sc.payment.execution,create_payment_execution
payment,230,06cc0ffbf86948eda55a687684fe1746,FKD-20230927-075,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,50.0,sc.payment.execution,create_payment_execution
payment,3797,6b5c2e4d745941cfa845293e6f0878f7,FKD-20230927-078,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,34.0,sc.payment.execution,create_payment_execution
payment,3823,6c20e79af3e54bc48ca00093d8778a51,FKD-20230927-076,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,150.0,sc.payment.execution,create_payment_execution
payment,7484,d0de35a9153341408320eceebf61e60f,FKD-20230926-070,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,483300.0,sc.payment.execution,create_payment_execution
payment,1739,31dcb5a48069466fa6c7118f56c81303,FKD-20240821-011,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,25500.0,sc.payment.execution,create_payment_execution
payment,2903,524bc4c314cb4b99a8e32bdb71aca39f,FKD-20240821-009,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,99000.02,sc.payment.execution,create_payment_execution
payment,3315,5d9915369f4d4b15b728345f93044aea,FKD-20240821-017,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,4320.0,sc.payment.execution,create_payment_execution
payment,4047,72acae33399c4ac1802fa9f294e352b5,FKD-20240821-008,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,199200.0,sc.payment.execution,create_payment_execution
payment,5956,a7a5c57c4ec84247a95c54d4fa5a0da4,FKD-20240821-013,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,8500.0,sc.payment.execution,create_payment_execution
payment,6097,abec5a1ea77e4236baf5d706d672c0c8,FKD-20240821-016,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,4985.0,sc.payment.execution,create_payment_execution
