staging_id,legacy_record_id,document_no,project_id,project_name,header_amount,line_rows,line_amount,target_model,action,reason
11090,8b2d971b3f214d42bb5e6da854ec1d9e,RKD-20231008-004,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,39853.99,3,39853.99,sc.material.inbound,create_material_inbound,
10725,01ad2c40d0b047248d984e5b9b66409d,RKD-20231010-001,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,3710.0,2,3710.0,sc.material.inbound,create_material_inbound,
11067,8174317c9b7a41d98f3993958e3cf5f1,RKD-20231012-022,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,65602.9,2,65602.9,sc.material.inbound,create_material_inbound,
11228,b77c767bbd334fc4a5cc9581fda7fafd,RKD-20231010-010,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,4320.0,1,4320.0,sc.material.inbound,create_material_inbound,
11294,cd87fe804a18463c9e904d7fa3e7862d,RKD-20231010-005,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,3900.0,1,3900.0,sc.material.inbound,create_material_inbound,
11164,a34826e9c4f242b1a374c7ae76042801,RKD-20231010-002,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,3060.0,4,3060.0,sc.material.inbound,create_material_inbound,
11281,cad8803cc7fb40f7952db67b0a57c6c4,RKD-20231008-002,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,108554.76,4,108554.76000000001,sc.material.inbound,create_material_inbound,
10866,39dfc45b15d141aaa11d8b0316c79c65,RKD-20231010-016,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,3500.0,1,3500.0,sc.material.inbound,create_material_inbound,
11006,6a0cf0de5c6f4f8599fd1ad2859e19fa,RKD-20231010-015,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,469386.0,3,469386.0,sc.material.inbound,create_material_inbound,
10855,34f7c2fdec62407f82685755c8981050,RKD-20231011-002,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,5705.0,5,5705.0,sc.material.inbound,create_material_inbound,
10951,57c58b83e2654f47b98f8abe62ced778,RKD-20231011-001,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,89580.0,3,89580.0,sc.material.inbound,create_material_inbound,
11231,b7ac36a41bb04251b485bf2165760b36,RKD-20231012-009,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,129241.0,3,129241.0,sc.material.inbound,create_material_inbound,
10738,06287ef7f4e747c5a0b10da17426566d,RKD-20231009-011,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,5700.0,1,5700.0,sc.material.inbound,create_material_inbound,
10749,0a48b836dc104425b72167690cdb4014,RKD-20231011-006,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,8500.0,1,8500.0,sc.material.inbound,create_material_inbound,
10826,28397e461bc84b99b1d3e95c17cf000e,RKD-20231011-009,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,7095.0,1,7095.0,sc.material.inbound,create_material_inbound,
11114,92a453ee24054a048a593b2f8d8a1178,RKD-20231011-008,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,15537.0,2,15537.0,sc.material.inbound,create_material_inbound,
11377,ed82a6f83ead4bb8b062e21f6c9d345d,RKD-20231011-007,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,7762.6,1,7762.6,sc.material.inbound,create_material_inbound,
11179,a6e2e3dbc31641928a714016a36b3f62,RKD-20231011-015,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,143119.8,4,143119.8,sc.material.inbound,create_material_inbound,
10935,5321887097924253897b2061232987dc,RKD-20231009-015,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,408170.0,1,408170.0,sc.material.inbound,create_material_inbound,
10813,24a7e0858765419482791a677d71b8ac,RKD-20231011-017,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,121401.0,8,121401.0,sc.material.inbound,create_material_inbound,
10973,5d669d6b341d447494d6fb49d5c7b1be,RKD-20231009-018,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,54096.0,1,54096.0,sc.material.inbound,create_material_inbound,
10875,3cd719d59b984ece8243f3317502a247,RKD-20231011-029,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,330526.0,4,330526.0,sc.material.inbound,create_material_inbound,
11050,7bba1139c48f41159ccc6dabab938a5b,RKD-20231011-018,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,199200.0,1,199200.0,sc.material.inbound,create_material_inbound,
10894,46322922979c445baeb7fde3498b68b6,RKD-20231011-019,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,107016.0,2,107016.0,sc.material.inbound,create_material_inbound,
11045,7ae68646a36d4042bf828382b73e99be,RKD-20231011-020,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,99000.2,2,99000.2,sc.material.inbound,create_material_inbound,
11055,7c576d059bc2495f8f449bfc02af1f6d,RKD-20231009-019,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,198000.0,2,198000.0,sc.material.inbound,create_material_inbound,
11297,ce80bc090cf74d40a98078946af9f086,RKD-20231012-015,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,660.0,1,660.0,sc.material.inbound,create_material_inbound,
11118,93f8b6f4c3e04645a3a4c4dc6aaf7d46,RKD-20231012-023,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,1950.0,1,1950.0,sc.material.inbound,create_material_inbound,
11344,defed970038b4a57b6657c0a8bb07ec8,RKD-20231012-008,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,35640.0,1,35640.0,sc.material.inbound,create_material_inbound,
10762,0e807941fc2e4c80a8b39970518872df,RKD-20231009-022,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,8384.0,2,8384.0,sc.material.inbound,create_material_inbound,
10824,2784dc8a885647dd88ef7f7d63cddefb,RKD-20231009-021,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,8384.0,1,8384.0,sc.material.inbound,create_material_inbound,
10859,3685026aaa0548fabaed4e949705c474,RKD-20231009-020,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,16100.0,2,16100.0,sc.material.inbound,create_material_inbound,
10930,522e330d5d0143f6b371a72ea06aac90,RKD-20231009-023,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,9432.0,1,9432.0,sc.material.inbound,create_material_inbound,
11324,d8af422262e842dd86d9acb0006ffb70,RKD-20231007-005,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,109956.0,1,109956.0,sc.material.inbound,create_material_inbound,
11376,ebede98f4f124589b55364e7cdba95f1,RKD-20231012-006,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,46992.0,1,46992.0,sc.material.inbound,create_material_inbound,
11112,92295c74dddd405d9003d87c6eecf23c,RKD-20231012-010,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,101347.2,1,101347.2,sc.material.inbound,create_material_inbound,
10785,17a23e6cc78d460f9aa0ee68d72848fd,RKD-20231011-022,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,25500.0,1,25500.0,sc.material.inbound,create_material_inbound,
10956,59725b616a784adf858de3df598d097a,RKD-20231012-011,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,19015.0,3,19015.0,sc.material.inbound,create_material_inbound,
11013,6c0167aaa13d4d94a16448a57346d038,RKD-20231009-025,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,1071411.76,2,1071411.76,sc.material.inbound,create_material_inbound,
11336,dcf18e81e58c48c4940544a9eeb18b4e,RKD-20231009-024,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,1059415.68,3,1059415.6800000002,sc.material.inbound,create_material_inbound,
11046,7ae80356713b4536a35d61556cf44521,RKD-20231012-016,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,7380.0,1,7380.0,sc.material.inbound,create_material_inbound,
10990,63af408354724858acaf2eefe7488d20,RKD-20231012-013,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,16061.34,4,16061.34,sc.material.inbound,create_material_inbound,
11239,b9e332931a474ecdb312f0171501d237,RKD-20231012-001,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,19800.0,1,19800.0,sc.material.inbound,create_material_inbound,
10921,4f3daa7f1cfc401ca8b46095d2685ac0,RKD-20231009-027,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,95000.0,1,95000.0,sc.material.inbound,create_material_inbound,
11057,7ce7c50558b34b7fa0f490af5c5248fa,RKD-20231009-028,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,95000.0,1,95000.0,sc.material.inbound,create_material_inbound,
11322,d837012f4ed94954b7f0611be43d8cfc,RKD-20231009-026,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,80000.0,1,80000.0,sc.material.inbound,create_material_inbound,
11269,c58bfd9bbd914ebb81bcf11e5cc4932e,RKD-20231009-029,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,144000.0,2,144000.0,sc.material.inbound,create_material_inbound,
11074,856e52737bc84341b13974336cb2c142,RKD-20231008-005,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,12665.0,5,12665.0,sc.material.inbound,create_material_inbound,
11361,e7a50d0b28024f38a8d4ac5b13b1228d,RKD-20231012-019,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,3080.0,1,3080.0,sc.material.inbound,create_material_inbound,
11389,f3529c0fcbfb4e06b86ae18c1747ffa4,RKD-20231012-012,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,95480.0,1,95480.0,sc.material.inbound,create_material_inbound,
10882,403ec0b330eb409788e9f852f9306b9f,RKD-20231012-020,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,20434.0,2,20434.0,sc.material.inbound,create_material_inbound,
11075,867b2ccdbab241d082c000bdd10becdb,RKD-20231008-009,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,20000.0,4,20000.0,sc.material.inbound,create_material_inbound,
10750,0ab513ad79d24b26affc1668e39dfc4a,RKD-20230922-045,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,2408.0,1,2408.0,sc.material.inbound,create_material_inbound,
11139,9be93376a0794dcbbd7667fc85b031cf,RKD-20231009-030,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,32000.0,1,32000.0,sc.material.inbound,create_material_inbound,
10961,5abd7bac05c34a3bbac4aa12cc112ae9,RKD-20231012-003,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,75262.53,1,75262.53,sc.material.inbound,create_material_inbound,
11189,a9d98785401944bdb6c8c6770c26cbc3,RKD-20231012-007,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,12500.0,1,12500.0,sc.material.inbound,create_material_inbound,
11061,7f3f969d3de94d649e01fe6fb19175b9,RKD-20231012-014,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,700000.0,1,700000.0,sc.material.inbound,create_material_inbound,
10779,152dbbc277f94cff9f237e020e9b6365,RKD-20231007-001,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,1659850.0,1,1659850.0,sc.material.inbound,create_material_inbound,
10798,1ea0ec8a668a4fa8a998d757fdc52f1f,RKD-20231008-015,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,43050.0,2,43050.0,sc.material.inbound,create_material_inbound,
10814,24dc539a68c64ba8a41e7a418513322a,RKD-20231009-005,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,365154.82,24,365154.82,sc.material.inbound,create_material_inbound,
10928,513411c0ffed4ce8bfc1d3021a6282c9,RKD-20231008-001,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,82223.0,10,82223.0,sc.material.inbound,create_material_inbound,
10954,58c3abaedf794b82896e5a0730d0c008,RKD-20231008-010,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,38865.73,16,38865.729999999996,sc.material.inbound,create_material_inbound,
10959,5a32865375a94867a5c8e7fb158d546d,RKD-20231009-002,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,185643.45,3,185643.45,sc.material.inbound,create_material_inbound,
10989,629ddfbc40424318a82adf031eba4b7f,RKD-20231008-007,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,57628.1,8,57628.1,sc.material.inbound,create_material_inbound,
11029,73d7f132726b48ee9ac61b5a8572e970,RKD-20231009-001,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,175000.0,2,175000.0,sc.material.inbound,create_material_inbound,
11065,80406eeed52344c2bc0824d8ba73646d,RKD-20231009-003,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,249600.0,2,249600.0,sc.material.inbound,create_material_inbound,
11138,9bd7cd9461674fd083eda4dd22a35d60,RKD-20231007-003,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,349920.0,1,349920.0,sc.material.inbound,create_material_inbound,
11180,a73419fe05c6405db9302ceec0957054,RKD-20231009-010,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,64000.0,2,64000.0,sc.material.inbound,create_material_inbound,
11197,ac9f76ecf8224b7abc9db1e4420689d3,RKD-20231012-018,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,34899.0,14,34899.0,sc.material.inbound,create_material_inbound,
11274,c88fb843e0c441cb952d4b4be06e96ad,RKD-20231008-013,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,139434.0,10,139434.0,sc.material.inbound,create_material_inbound,
11288,cc3851dc977842c3ba4ccb73f3eb4ac8,RKD-20231009-008,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,561756.09,15,561756.09,sc.material.inbound,create_material_inbound,
11291,cc74039a49ac4d06b7a3231c20881377,RKD-20231008-016,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,340043.0,2,340043.0,sc.material.inbound,create_material_inbound,
11339,ddcdb3a85bae4d0cbc8e1a235c33c9e2,RKD-20231009-009,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,460747.6,2,460747.6,sc.material.inbound,create_material_inbound,
11358,e5b4306d05254c6488f807bbdb7154f8,RKD-20231012-021,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,63393.0,38,63392.99999999999,sc.material.inbound,create_material_inbound,
11397,f6aadf1d55c34850a41bde5c23177581,RKD-20231009-006,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,203142.08,3,203142.08000000002,sc.material.inbound,create_material_inbound,
10794,1dad5f11638c4a54825b090120ec6959,RKD-20230925-053,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,3848.04,1,3848.04,sc.material.inbound,create_material_inbound,
10767,0fe721cff27a42baa57fecaf8ac1141f,RKD-20230922-041,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,30150.01,15,30150.01,sc.material.inbound,create_material_inbound,
10772,11e36a1fedf04a078c690a265057fe7d,RKD-20240103-002,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,7922.0,1,7922.0,sc.material.inbound,create_material_inbound,
11374,eb8ab9a2d38246d8ad7b5049c03cfba8,RKD-20230922-046,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,61534.0,2,61534.0,sc.material.inbound,create_material_inbound,
11157,a176e59488c443abb6c002be46a07db2,RKD-20230922-051,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,12675.0,1,12675.0,sc.material.inbound,create_material_inbound,
11082,895169f1eaaf49bdbd0a0d39583cab84,RKD-20230922-053,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,54183.0,4,54183.0,sc.material.inbound,create_material_inbound,
10774,11fe411294c743ffa59e787bdc9d23a8,RKD-20230925-021,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,97750.0,1,97750.0,sc.material.inbound,create_material_inbound,
10923,4f8c1b795eb541bea270473e1599df0f,RKD-20230925-040,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,78200.0,1,78200.0,sc.material.inbound,create_material_inbound,
10949,56d9e497491c4d68b922d020332c64fe,RKD-20230925-014,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,109498.56,2,109498.56,sc.material.inbound,create_material_inbound,
10984,61dd12bb996244848f1811c706474a08,RKD-20230922-058,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,307773.0,4,307773.0,sc.material.inbound,create_material_inbound,
10972,5cea96c8a72049798ac4a7dfcf8e7838,RKD-20230925-003,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,100000.0,1,100000.0,sc.material.inbound,create_material_inbound,
10946,5668ba83b0f84bd6b97b3658fb9b5bed,RKD-20230925-006,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,99975.0,1,99975.0,sc.material.inbound,create_material_inbound,
11399,f71269d919eb4b9a9626f4e0ebd465bc,RKD-20230925-007,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,99975.0,1,99975.0,sc.material.inbound,create_material_inbound,
11402,f81fb889cc71446a98b4b7f0223644cb,RKD-20230925-044,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,69750.0,1,69750.0,sc.material.inbound,create_material_inbound,
11230,b7a55a2dbdcc4f229acdf61524eda351,RKD-20230925-050,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,27087.5,3,27087.5,sc.material.inbound,create_material_inbound,
10751,0af42394dbc94abfb9228fcf90a0959d,RKD-20230925-045,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,60000.0,1,60000.0,sc.material.inbound,create_material_inbound,
11086,8a1cefa8945c4b58898125fa20b635ad,RKD-20230925-039,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,80000.0,1,80000.0,sc.material.inbound,create_material_inbound,
11257,c042e0ae14344f229a5e3e292d5c3f3a,RKD-20230925-004,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,100000.0,1,100000.0,sc.material.inbound,create_material_inbound,
11299,cfe5604529a1422fb0bcfe53e93ab097,RKD-20230925-046,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,60000.0,1,60000.0,sc.material.inbound,create_material_inbound,
10985,6208f82be70c456e9d10f1297f2f69ce,RKD-202303122300,867,SCBS未指定项目 - 公司综合平台,0.0,0,0,sc.material.inbound,blocked,missing_legacy_lines
11192,aac5dcdee15d485a9cc5b5230ffd777c,RKD-202303402301,867,SCBS未指定项目 - 公司综合平台,0.0,1,8000.0,sc.material.inbound,create_material_inbound,
11422,fe818240d83e441b84517990a9c4d8cf,RKD-202303401410,867,SCBS未指定项目 - 公司综合平台,0.0,1,276.0,sc.material.inbound,create_material_inbound,
10777,14ab8241292345458c56000305af8adf,RKD-202303361850,867,SCBS未指定项目 - 公司综合平台,0.0,0,0,sc.material.inbound,blocked,missing_legacy_lines
11286,cbd42f2989994a189c5d831d8e5dabdb,RKD-202303482150,867,SCBS未指定项目 - 公司综合平台,0.0,1,441.0,sc.material.inbound,create_material_inbound,
10847,306ccc06548c4cad8df2c9055a21a6f8,RKD-20230925-020,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,98588.0,1,98588.0,sc.material.inbound,create_material_inbound,
10943,555667d9ae3d4c668cc1ec9fccb88cae,RKD-20231011-023,848,SCBS未指定项目 - 四川晟博通达商贸有限公司,48224.0,20,48224.0,sc.material.inbound,create_material_inbound,
11106,90ccd877faa24fc1b66215782329e05f,RKD-20230925-047,854,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,50341.0,7,50341.0,sc.material.inbound,create_material_inbound,
11266,c4d491f058954c2ea0c29bc4a6efb48e,RKD-20230925-012,852,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,51795.0,15,51795.0,sc.material.inbound,create_material_inbound,
11367,e94cc73ff089423f81dba7b87b24ca34,RKD-20230925-013,855,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,51007.0,12,51007.0,sc.material.inbound,create_material_inbound,
10831,2ab2206e7f144924914de768c2040f43,RKD-202303512041,868,SCBS未指定项目 - 陕西煤业化工建设(集团)有限公司洗选煤运营分公司,0.0,1,33.0,sc.material.inbound,create_material_inbound,
