legacy_contract_id,subject,legacy_contract_no,fbf,cbf,gap_blockers,anchor_policy_bucket,anchor_reason_code,source_coverage_bucket,source_coverage_blockers
062e24ff0f0e4401a108ef7c2923b1a0,补录老项目合同,2018-34,成都市兴蓉安科建设工程有限公司,,direction_defer|partner_unresolved,,,,direction_defer|partner_unresolved
0fa88c601e9b492386bfc1671f5147a7,川北幼儿师范高等专科学校三期工程-室外附属一批次工程,GYS2017-35,川北幼儿师范高等专科学校,四川汇发园林建设工程有限公司,direction_defer|partner_unresolved,,,,direction_defer|partner_unresolved
1f63ffd7e5774c1db64743b588da15ae,补录老项目合同,2018-23、24,四川省宇汇建设工程有限公司日喀则分公司,,direction_defer|partner_unresolved,,,,direction_defer|partner_unresolved
54243d3dc8464b69a20937710fd691f0,补录老项目合同,0,,,direction_defer|partner_unresolved,,,,direction_defer|partner_unresolved
54f1837aebcf4ae78dd6eac7468a3f3b,和兴中心库消防泵房、地磅房、综合楼、厕所、烘干房及机械罩棚、仓间罩棚、1-2#平房仓工程,DYS2016-32,四川广汉火车站省粮食储备库,四川汇发园林建设工程有限公司,direction_defer|partner_unresolved,,,,direction_defer|partner_unresolved
55d4383159c84ab49774cb650575d6fb,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程-劳务分包（第一批）胜利堰二标段,2018,德阳蓉北建设工程有限公司,,direction_defer|partner_unresolved,,,,direction_defer|partner_unresolved
77ef7dfe94ad452499f136f7f95fdf32,科发泰升人和装饰装修专业分包,MYS2024-119,成都建工第五建筑工程有限公司,四川保感建设集团有限公司,direction_defer|partner_unresolved,,,,direction_defer|partner_unresolved
973abd65ee5446518e13bc4f54fb7131,WBHTGL-20240408-001,DYS2015-补录数据,德阳市水利局,,direction_defer|partner_unresolved,,,,direction_defer|partner_unresolved
af35fb6a1aec4ccb8c0c725524809da2,补录老项目合同,2018-64,,,direction_defer|partner_unresolved,,,,direction_defer|partner_unresolved
cde8b5fd161e4189bdd7ddc9ee411d6d,补录老项目合同,2018-023,,,direction_defer|partner_unresolved,,,,direction_defer|partner_unresolved
d38cb138e7df40b2a356d01f0e6c634b,罗江翰林豪锦苑一期工程,DYS2017-43,德阳禾顺房地产开发有限公司,四川汇发园林建设工程有限公司,direction_defer|partner_unresolved,,,,direction_defer|partner_unresolved
f77d0e3616294244948b016d7f817925,补录老项目合同,ABZ2020-14,九寨沟县城市投资开发有限公司,,direction_defer|partner_unresolved,,,,direction_defer|partner_unresolved
