legacy_contract_id,blockers,counterparty_text,partner_source_bucket,partner_source_hits,direction_bucket,fbf,cbf,subject,legacy_contract_no
062e24ff0f0e4401a108ef7c2923b1a0,direction_defer|partner_unresolved,,no_asset_source_in_current_packages,,fbf_only_non_own,成都市兴蓉安科建设工程有限公司,,补录老项目合同,2018-34
0fa88c601e9b492386bfc1671f5147a7,direction_defer|partner_unresolved,,no_asset_source_in_current_packages,,both_non_own,川北幼儿师范高等专科学校,四川汇发园林建设工程有限公司,川北幼儿师范高等专科学校三期工程-室外附属一批次工程,GYS2017-35
19481c190e6747f4bb600c5c562a55bc,partner_unresolved,中国人民解放军32036部队,no_asset_source_in_current_packages,,,中国人民解放军32036部队,四川保盛建设集团有限公司,2025年度零星维修服务项目,CQS2025-237
1b212fc98390446a9799344382bfed21,partner_unresolved,德阳市明德炉业有限公司,no_asset_source_in_current_packages,,,德阳市明德炉业有限公司,四川保盛建设集团有限公司,热处理厂卷扬机基础施工,DYS2025-98
1d2cb08808a84a32b220095c57ca3928,partner_unresolved,四川省交通建设集团有限责任公司G5京昆高速公路绵阳至成都段扩容项目TJ4标段项目部(下简称:成绵TJ4项目部),no_asset_source_in_current_packages,,,四川省交通建设集团有限责任公司G5京昆高速公路绵阳至成都段扩容项目TJ4标段项目部(下简称:成绵TJ4项目部),四川保盛建设集团有限公司,G5京昆高速公路绵阳至成都段扩容项目TJ4标段项目部驻地房屋恢复装修合同,DYS2025-12
1f63ffd7e5774c1db64743b588da15ae,direction_defer|partner_unresolved,,no_asset_source_in_current_packages,,fbf_only_non_own,四川省宇汇建设工程有限公司日喀则分公司,,补录老项目合同,2018-23、24
2412fe6aadc64c699e639e3c677b2c76,partner_unresolved,重庆科学城高新置业有限公司（项目业主）、重庆科学城城市建设集团有限公司（代理业主）,no_asset_source_in_current_packages,,,重庆科学城高新置业有限公司（项目业主）、重庆科学城城市建设集团有限公司（代理业主）,四川保盛建设集团有限公司,西部(重庆)科学城保障性住房(一期)室外综合管网、景观、绿化、围 墙、精装修及标识标牌系统工程,CQS2025-177
244b71e59c284777afa594b7155865c7,partner_unresolved,中铁北京工程局集团有限公司重庆轨道交通15号线项目经理部,no_asset_source_in_current_packages,,,中铁北京工程局集团有限公司重庆轨道交通15号线项目经理部,四川保盛建设集团有限公司,重庆轨道交通15号线一期土建工程01标金童路站2B出入口 DN500 给水管道迁改工程,CQS2024-56
28862cb1f3ba40c6b78adb7960bbe7f6,partner_unresolved,重庆市璧山区人民政府青杠街道办事处,no_asset_source_in_current_packages,,,重庆市璧山区人民政府青杠街道办事处,四川保盛建设集团有限公司,补充协议,CQS2024-98-2
28d5343d4cc5475bb925d9a5af03628f,partner_unresolved,德阳开发大学,no_asset_source_in_current_packages,,,德阳开发大学,四川保盛建设集团有限公司,德阳开放大学厨房送排风系统安装工程,DYS2023-112
2e9bfcf0107a4c60bbe81d34ddc4c107,partner_unresolved,德阳工院精工科技有限公司,no_asset_source_in_current_packages,,,德阳工院精工科技有限公司,四川保盛建设集团有限公司,混凝土浇筑合同,DYS2023-175
4512209014a642b78248b2bde9d5d60c,partner_unresolved,渝北区石船镇人民政府,partner_master_recoverable,partner_master:exact,,渝北区石船镇人民政府,四川保盛建设集团有限公司,石船镇农村公路（关兴村）井环路堡坎修复工程,CQS2025-146
4a3e6eca2f7d41e889fad2a3a61a069a,partner_unresolved,中建三局基础设施建设投资有限公司,no_asset_source_in_current_packages,,,中建三局基础设施建设投资有限公司,四川保盛建设集团有限公司,德阳站综合交通枢纽改造项目桥梁地下室主体结构工程,DYS2026-24
4b79bd768ce644c4a1957126bbe23d03,partner_unresolved,中铁十九局集团第五工程有限公司1951项目经理部,no_asset_source_in_current_packages,,,中铁十九局集团第五工程有限公司1951项目经理部,四川保盛建设集团有限公司,西藏方向军事设施建设项目施工总承包合同90项目工程工序劳务作业,XZ2024-18
54243d3dc8464b69a20937710fd691f0,direction_defer|partner_unresolved,,no_asset_source_in_current_packages,,both_blank,,,补录老项目合同,0
54f1837aebcf4ae78dd6eac7468a3f3b,direction_defer|partner_unresolved,,no_asset_source_in_current_packages,,both_non_own,四川广汉火车站省粮食储备库,四川汇发园林建设工程有限公司,和兴中心库消防泵房、地磅房、综合楼、厕所、烘干房及机械罩棚、仓间罩棚、1-2#平房仓工程,DYS2016-32
55d4383159c84ab49774cb650575d6fb,direction_defer|partner_unresolved,,no_asset_source_in_current_packages,,fbf_only_non_own,德阳蓉北建设工程有限公司,,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程-劳务分包（第一批）胜利堰二标段,2018
57e5161c923143ba9821dda76da2f744,partner_unresolved,喀什某单位,no_asset_source_in_current_packages,,,喀什某单位,四川保盛建设集团有限公司,喀什某单位锅炉房锅炉扩容改造项目,XJ2025-222
77ef7dfe94ad452499f136f7f95fdf32,direction_defer|partner_unresolved,,no_asset_source_in_current_packages,,mixed_own_non_own,成都建工第五建筑工程有限公司,四川保感建设集团有限公司,科发泰升人和装饰装修专业分包,MYS2024-119
79cbbc5a225f4f969a92492118ca0cec,partner_unresolved,渝北区石船镇人民政府,partner_master_recoverable,partner_master:exact,,渝北区石船镇人民政府,四川保盛建设集团有限公司,石船镇农村公路护栏修复工程,CQS2025-43
890368a538e1403dbe8d2adc29df0ee2,partner_unresolved,中石油煤层气有限责任公司,partner_master_recoverable,partner_master:exact,,中石油煤层气有限责任公司,四川保盛建设集团有限公司,2024 年新疆后峡南区块 2 口井土地复垦项目,XJ2024-65
973abd65ee5446518e13bc4f54fb7131,direction_defer|partner_unresolved,,no_asset_source_in_current_packages,,fbf_only_non_own,德阳市水利局,,WBHTGL-20240408-001,DYS2015-补录数据
a049d8dc69e54f65a3cd5f7b277e1369,partner_unresolved,绵阳市安州区桑枣镇干柏村村民委员会,no_asset_source_in_current_packages,,,绵阳市安州区桑枣镇干柏村村民委员会,四川保盛建设集团有限公司,阿坝-成都东线路工程14标,MYS2026-16
a07b47241cc643fd8cc5ca9df0532c53,partner_unresolved,浪卡子县人民政府,no_asset_source_in_current_packages,,,浪卡子县人民政府,四川保盛建设集团有限公司,浪卡子县白地乡龙桑村水塘工程,XZ2024-256
ae8a483819584297a38268ccd6629ae6,partner_unresolved,旌阳区天元街道楠树村股份经济联合社,no_asset_source_in_current_packages,,,旌阳区天元街道楠树村股份经济联合社,四川保盛建设集团有限公司,天元街道产业园区配套道路建设项目,DYS2021-60
af35fb6a1aec4ccb8c0c725524809da2,direction_defer|partner_unresolved,,no_asset_source_in_current_packages,,both_blank,,,补录老项目合同,2018-64
bc45eefc891648839f481c9e125691cf,partner_unresolved,中移动通信集团四川有限公司成都分公司,no_asset_source_in_current_packages,,,中移动通信集团四川有限公司成都分公司,四川保盛建设集团有限公司,中国移动四川公司成都分公司2023-2025年渠道维修采购项目,CDS2023-143
