legacy_contract_id,counterparty_text,backtrace_status,evidence_type,evidence_strength,manual_confirm_required,confirmed_partner_action,repayment_partner_name,company_name,review_note
19481c190e6747f4bb600c5c562a55bc,中国人民解放军32036部队,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,中国人民解放军32038部队,中国人民解放军32038部队,
1b212fc98390446a9799344382bfed21,德阳市明德炉业有限公司,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,二重（德阳）重型装备有限公司,二重（德阳）重型装备有限公司,
1d2cb08808a84a32b220095c57ca3928,四川省交通建设集团有限责任公司G5京昆高速公路绵阳至成都段扩容项目TJ4标段项目部(下简称:成绵TJ4项目部),matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,四川省交通建设集团有限责任公司,四川省交通建设集团有限责任公司,
2412fe6aadc64c699e639e3c677b2c76,重庆科学城高新置业有限公司（项目业主）、重庆科学城城市建设集团有限公司（代理业主）,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,重庆科学城高新置业有限公司,重庆科学城高新置业有限公司,
244b71e59c284777afa594b7155865c7,中铁北京工程局集团有限公司重庆轨道交通15号线项目经理部,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,中铁广州工程局集团有限公司,中铁广州工程局集团有限公司,
28862cb1f3ba40c6b78adb7960bbe7f6,重庆市璧山区人民政府青杠街道办事处,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,重庆市璧山区青杠街道产业发展服务中心,重庆市璧山区青杠街道产业发展服务中心,
28d5343d4cc5475bb925d9a5af03628f,德阳开发大学,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,德阳开放大学,德阳开放大学,
2e9bfcf0107a4c60bbe81d34ddc4c107,德阳工院精工科技有限公司,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,四川工程职业技术学院,四川工程职业技术学院,
4a3e6eca2f7d41e889fad2a3a61a069a,中建三局基础设施建设投资有限公司,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,中建三局集团有限公司,中建三局集团有限公司,
4b79bd768ce644c4a1957126bbe23d03,中铁十九局集团第五工程有限公司1951项目经理部,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,中铁十九局集团第五工程有限公司,中铁十九局集团第五工程有限公司,
57e5161c923143ba9821dda76da2f744,喀什某单位,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,武警新疆总队机动第五支队,武警新疆总队机动第五支队,
a049d8dc69e54f65a3cd5f7b277e1369,绵阳市安州区桑枣镇干柏村村民委员会,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,河北省送变电有限公司,河北省送变电有限公司,
a07b47241cc643fd8cc5ca9df0532c53,浪卡子县人民政府,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,西藏浪卡子县农业农村局零余额账户,西藏浪卡子县农业农村局零余额账户,
ae8a483819584297a38268ccd6629ae6,旌阳区天元街道楠树村股份经济联合社,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,旌阳区天元街道楠树村股份经济合作联合社,旌阳区天元街道楠树村股份经济合作联合社,
bc45eefc891648839f481c9e125691cf,中移动通信集团四川有限公司成都分公司,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,中国移动通信集团四川有限公司成都分公司,中国移动通信集团四川有限公司成都分公司,
c1a0c575b6de4a3caa783df6713bb2b7,中国电信股份/集团有限公司泸州分公司,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,中国电信股份有限公司泸州分公司,中国电信股份有限公司泸州分公司,
d209acaaf4f7405b849c007287ab50b3,中铁隧道局集团有限公司重庆轨道交通15号线一期土建工程03标项目经理部,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,中铁隧道局集团有限公司,中铁隧道局集团有限公司,
e1319f0165e54ee0ab937496693c4870,英吉沙县代建中心,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,英吉沙县财政局,英吉沙县财政局,
ec796ee5e80c4c518452f72d7e0e1058,两岛街道仙足岛社区,matched_in_strong_evidence_candidates,repayment_single_counterparty,strong,yes,,西藏拉萨市城关区两岛街道办事处,西藏拉萨市城关区两岛街道办事处,
