external_id,legacy_payment_request_id,name,ledger_amount,actual_outflow_count,actual_outflow_amount,sample_downstream_external_ids,target_state,target_validation_status,business_fact
legacy_outflow_sc_0000fe26abfd4c99aa33351b268c0fc0,5356,PRQ2605356,66000.00,1,66000.00,legacy_actual_outflow_sc_b78f34c4eab34e5c96ce6bf4375c0d9e,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_001ebb3a99354849a275c34044e7e20a,5357,PRQ2605357,168403.00,1,168403.00,legacy_actual_outflow_sc_ca2c535a7a384a1b9781408a4fa8373b,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_002997205db94d43ba84a560df054679,5358,PRQ2605358,60000.00,1,60000.00,legacy_actual_outflow_sc_79fc142a80ee442fa07611b13b619c20,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_002eff22d0e84d9a90c535a42581794d,5359,PRQ2605359,61950.00,1,61950.00,legacy_actual_outflow_sc_7fb10a8fbc214693804ff2973d4c18b3,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0033cf2511ad406b817b550533b0a22e,5360,PRQ2605360,101700.00,1,101700.00,legacy_actual_outflow_sc_5de12a6c56b842fea8f74353835c68a0,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_00340ff86e71447fbfb4fdc5c81628d7,5361,PRQ2605361,48000.00,1,48000.00,legacy_actual_outflow_sc_c7bd7217987d4db8943bb5ed4c19f613,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0036e9d95a2e4751acb79f9c99b8f878,5362,PRQ2605362,11700.00,1,11700.00,legacy_actual_outflow_sc_4df4944b36a94885a4b7ef450ec2663a,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_003aec86a9544ae785faf3391dfb9b08,5363,PRQ2605363,10000.00,1,10000.00,legacy_actual_outflow_sc_4b6f7714da964534a8ac7724d81f3294,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_003b091f16bf494f81ac7df5113d48e9,5364,PRQ2605364,52451.41,1,52451.41,legacy_actual_outflow_sc_e413636628024a8c95be8c4e4a65bede,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_003ecaa1aa404cb7849bdb3a46fc3844,5365,PRQ2605365,682007.00,1,682007.00,legacy_actual_outflow_sc_a976b5d699c843d7bf639f48694af3f9,done,validated,historical_paid_by_downstream_business_fact
