legacy_project_id,target_lifecycle_state,target_phase_key,target_stage_xmlid
00a4bb196d944fa5a8c56e3bd3f1e448,in_progress,execution,smart_construction_core.project_stage_running
00c73f013e234461883beac337e8d75d,in_progress,execution,smart_construction_core.project_stage_running
00db8d3baa894d1e8efd7acd181f6499,in_progress,execution,smart_construction_core.project_stage_running
0201344da1b74e008006a7a96f90be6f,in_progress,execution,smart_construction_core.project_stage_running
020eddc09afb4260a5843a84ee58d826,in_progress,execution,smart_construction_core.project_stage_running
027c5b467ae94e52aabb6f6218d310d4,in_progress,execution,smart_construction_core.project_stage_running
02df67b4ddb6469b81ed551e9b544d25,in_progress,execution,smart_construction_core.project_stage_running
037fddc6219449c3840477989cc06f82,in_progress,execution,smart_construction_core.project_stage_running
03f8997135504039a36557ec6e57909b,in_progress,execution,smart_construction_core.project_stage_running
04c36990cc144f04b8f2423c36e5f713,in_progress,execution,smart_construction_core.project_stage_running
04d0a65675424e41b8c65ba26ef48b4e,in_progress,execution,smart_construction_core.project_stage_running
05139ca820724561bee71e016b22fd55,in_progress,execution,smart_construction_core.project_stage_running
0550ea3a2e1b4161b25a697476e344b5,in_progress,execution,smart_construction_core.project_stage_running
059742d9ac094c018b91894306d5fc2d,in_progress,execution,smart_construction_core.project_stage_running
069cd56871fd4307b836a3167fddf14b,in_progress,execution,smart_construction_core.project_stage_running
06cd855d5ede4a279a81568903836256,in_progress,execution,smart_construction_core.project_stage_running
072425c9c9ad453eb60c137fd4215459,in_progress,execution,smart_construction_core.project_stage_running
076d8bcae3064dca8927f4f629bf2356,in_progress,execution,smart_construction_core.project_stage_running
07e6484cc40d4609b0bcafcf187dd9af,in_progress,execution,smart_construction_core.project_stage_running
080a2d8ee204424a8b7edd08817eee20,in_progress,execution,smart_construction_core.project_stage_running
088193c97f1443b58f1489b321c1288a,in_progress,execution,smart_construction_core.project_stage_running
08ac2e586f574d39a3272852fa22bf71,in_progress,execution,smart_construction_core.project_stage_running
08fa00e1bf9d4c88bcbfa652610aa347,in_progress,execution,smart_construction_core.project_stage_running
092bc953078b42ab89b7a9d07fecab66,in_progress,execution,smart_construction_core.project_stage_running
09a62a54dcf645d6b7030d40fbdac1cb,in_progress,execution,smart_construction_core.project_stage_running
09ba719dfd18431a951ec77d29ea6194,in_progress,execution,smart_construction_core.project_stage_running
0a098ceefc5046c380028104a3caa2af,in_progress,execution,smart_construction_core.project_stage_running
0b3b88a05d6d454b9cbbe6b4c3c342d5,in_progress,execution,smart_construction_core.project_stage_running
0c028a6f51ea4e728448ce29b1e2eaab,in_progress,execution,smart_construction_core.project_stage_running
0c4f914eee3547c185a2108fc1f768df,in_progress,execution,smart_construction_core.project_stage_running
0c8c213e89204a6fb61a4c8ac79f0d4a,in_progress,execution,smart_construction_core.project_stage_running
0cdd82e96265456494a1de15f36c433e,in_progress,execution,smart_construction_core.project_stage_running
0d21826a7ebb4dbfb7317338baaf57a0,in_progress,execution,smart_construction_core.project_stage_running
0db43c29f642442292d30f6b34c328a9,in_progress,execution,smart_construction_core.project_stage_running
0dde523bf5414461b937c9d5d4c220cf,in_progress,execution,smart_construction_core.project_stage_running
0e04e445c6304b5f9e3b79ffdde72eb1,in_progress,execution,smart_construction_core.project_stage_running
0e4c810fe22644c399650bca0528898a,in_progress,execution,smart_construction_core.project_stage_running
0f314b7eb259455f8ad3bb3419f66957,in_progress,execution,smart_construction_core.project_stage_running
0f3c19a871e446fc8cc9781f108d58e5,in_progress,execution,smart_construction_core.project_stage_running
0fe3fceb5f4b4c4fa5fae8527912fb93,in_progress,execution,smart_construction_core.project_stage_running
102a738d1fee481fb215df95de82490c,in_progress,execution,smart_construction_core.project_stage_running
106e8ac916084f398b89d0a564f2473f,in_progress,execution,smart_construction_core.project_stage_running
108141059f724a008d2250d7c01449c8,in_progress,execution,smart_construction_core.project_stage_running
11e56ccc546e4532a323597457133e8c,in_progress,execution,smart_construction_core.project_stage_running
125f0ae46d734ad68124ddadc3d5eb19,in_progress,execution,smart_construction_core.project_stage_running
12bab8c00273463cae235c1615796bb3,in_progress,execution,smart_construction_core.project_stage_running
12dc2d35442c43f481d6e3880f8a306e,in_progress,execution,smart_construction_core.project_stage_running
1357e63a4149468ea5b484a53ec1efa4,in_progress,execution,smart_construction_core.project_stage_running
135be6807d2043619fde2b6efe531cf6,in_progress,execution,smart_construction_core.project_stage_running
1375f96aeadd4e518c7b0574d3965a4b,in_progress,execution,smart_construction_core.project_stage_running
1428742882bf4fc5988efcc289c8d5e8,in_progress,execution,smart_construction_core.project_stage_running
1496d77696814bca8ab7b5d1423b5d5f,in_progress,execution,smart_construction_core.project_stage_running
14b62e4158d24596a0e04828e39362b5,in_progress,execution,smart_construction_core.project_stage_running
14c4325bb56b408788e6f442f4384374,in_progress,execution,smart_construction_core.project_stage_running
14fe0f48d2af4716b1b3b24f8a4286c8,in_progress,execution,smart_construction_core.project_stage_running
1524f421b94c41698305394cf8691f44,in_progress,execution,smart_construction_core.project_stage_running
152f26736dd64da29f1b4f494fcfef41,in_progress,execution,smart_construction_core.project_stage_running
15bc8bfa1f964a609140a3c52c72efaa,in_progress,execution,smart_construction_core.project_stage_running
162fdc7c89564d5189f449bce9454395,in_progress,execution,smart_construction_core.project_stage_running
16979c84c8ba410eab2e7117be52eddf,in_progress,execution,smart_construction_core.project_stage_running
16d5db4fb73845ab92b4b2c5bcaf9488,in_progress,execution,smart_construction_core.project_stage_running
16f30c8b960c4e6dbedd7a507d96f4ce,in_progress,execution,smart_construction_core.project_stage_running
16fce53311764d6c84b08f1357acf0ba,in_progress,execution,smart_construction_core.project_stage_running
1710364e78bc40b48396fe20e5f0e9bd,in_progress,execution,smart_construction_core.project_stage_running
17510e7ec153446ca14f6efa72d6c899,in_progress,execution,smart_construction_core.project_stage_running
1791ed98bcc5407a9476f93365909791,in_progress,execution,smart_construction_core.project_stage_running
17cfa82ebcfb4d15baf187890f9e934d,in_progress,execution,smart_construction_core.project_stage_running
18345028af09432ab7505fe2ce46d2b1,in_progress,execution,smart_construction_core.project_stage_running
18b103d698be404b80f9bf782c1a174d,in_progress,execution,smart_construction_core.project_stage_running
1914e7b88af24bf0adc89495e5233c60,in_progress,execution,smart_construction_core.project_stage_running
1989ad3a331c42308a06490ef6d777b0,in_progress,execution,smart_construction_core.project_stage_running
19b80dff5f32439cbbf6a31107f05832,in_progress,execution,smart_construction_core.project_stage_running
1a27d87129a543c5939e8a5129b75f63,in_progress,execution,smart_construction_core.project_stage_running
1abe1430e27d4765b61cf3ae4b341c24,in_progress,execution,smart_construction_core.project_stage_running
1aca2027a967401792f1c4b18ef02451,in_progress,execution,smart_construction_core.project_stage_running
1aef1f14fbf64e46a61e70d6cef5955f,in_progress,execution,smart_construction_core.project_stage_running
1b714bfd78a14049b98c6f2b8a63073e,in_progress,execution,smart_construction_core.project_stage_running
1bc8c1acc81d4a47af1318a718bf72db,in_progress,execution,smart_construction_core.project_stage_running
1ce3b31d6d8544479618158ea59ed160,in_progress,execution,smart_construction_core.project_stage_running
1ceeb10c5d5745879b20d438e2e69534,in_progress,execution,smart_construction_core.project_stage_running
1d23f106099449a0a88894c9f5458efa,in_progress,execution,smart_construction_core.project_stage_running
1d69b18850554e28b5c4b4f8c7c83e77,in_progress,execution,smart_construction_core.project_stage_running
1d7c02e968a146e3ac209f95ac712682,in_progress,execution,smart_construction_core.project_stage_running
1da16136281c46fc9fb1d3038e68f983,in_progress,execution,smart_construction_core.project_stage_running
1e7aa5f1a92e46b1a4385a5daac440a6,in_progress,execution,smart_construction_core.project_stage_running
1e8cf6baef1d4627adb1a1d68231ba1e,in_progress,execution,smart_construction_core.project_stage_running
1f0d1455b090418eb292f359a8a19caf,in_progress,execution,smart_construction_core.project_stage_running
1f8cc9fd9b7145bbb9c265431d95c3a4,in_progress,execution,smart_construction_core.project_stage_running
1ffb0ce01fdf4dc984ec3df9432623cb,in_progress,execution,smart_construction_core.project_stage_running
2001f5127b3e4265b198bef8a7553358,in_progress,execution,smart_construction_core.project_stage_running
2039a46ae2944d438ef930b4773ab002,in_progress,execution,smart_construction_core.project_stage_running
204822a6a35f4e76963dbeec9c3240d3,in_progress,execution,smart_construction_core.project_stage_running
2065db3e97a8409f9a30f027c2c1553e,in_progress,execution,smart_construction_core.project_stage_running
208e534eab2d47c6b23bd0576523922c,in_progress,execution,smart_construction_core.project_stage_running
21038f8a911b4a90938a58c8e36caa86,in_progress,execution,smart_construction_core.project_stage_running
211003ff687e41d2a4bc46c78036f640,in_progress,execution,smart_construction_core.project_stage_running
211a1be6b5ee4d6c830d2cf06378107b,in_progress,execution,smart_construction_core.project_stage_running
212cf7a3248c48e68bc3f4a24383536a,in_progress,execution,smart_construction_core.project_stage_running
215041536acd48be89b14758cd923649,in_progress,execution,smart_construction_core.project_stage_running
21959dda2000462c95b82b966657b312,in_progress,execution,smart_construction_core.project_stage_running
2201ed763b854099b6c8f9f72cd6bb5b,in_progress,execution,smart_construction_core.project_stage_running
22aa38f6dc0c44649d0a397653bce651,in_progress,execution,smart_construction_core.project_stage_running
23aa1343ca99440abf7bd7315fd60c6a,in_progress,execution,smart_construction_core.project_stage_running
23cc90c8afb441639a37ac3d7a9e4fe5,in_progress,execution,smart_construction_core.project_stage_running
240dd8ff5659498887a53149a9bb0d8c,in_progress,execution,smart_construction_core.project_stage_running
2455ba28390e4456a6d81d35f170b305,in_progress,execution,smart_construction_core.project_stage_running
24be53b1b08345649d8f3786e0725e60,in_progress,execution,smart_construction_core.project_stage_running
258b21f44ab54667a6829247d381d5a6,in_progress,execution,smart_construction_core.project_stage_running
25b4b41289db4972b662289d6ff3749f,in_progress,execution,smart_construction_core.project_stage_running
2654c8c1ef73434dbdd7c45812a573db,in_progress,execution,smart_construction_core.project_stage_running
267ac2470a1e48ccbd665b5a08e2ff9c,in_progress,execution,smart_construction_core.project_stage_running
26a87546cbc24afcb6852904c53cf90c,in_progress,execution,smart_construction_core.project_stage_running
26f685eeab8b4ab5a7942ac6cf1a2982,in_progress,execution,smart_construction_core.project_stage_running
273761d991fe4d4096abe5279b44b776,in_progress,execution,smart_construction_core.project_stage_running
273ebc3fe2784a59b7a6aee30575081d,in_progress,execution,smart_construction_core.project_stage_running
28020d9fe0c345f295ebbf4b41c119e4,in_progress,execution,smart_construction_core.project_stage_running
282fc5242a4f465cae7d7630c279ef91,in_progress,execution,smart_construction_core.project_stage_running
2838f6304aa84ca891cf8b55fafca171,in_progress,execution,smart_construction_core.project_stage_running
2865a4a7b99940cfa2653c54b26edf99,in_progress,execution,smart_construction_core.project_stage_running
28b43ef4516445d8a54326b977288fba,in_progress,execution,smart_construction_core.project_stage_running
290615a7138e49228ce83d02514c1372,in_progress,execution,smart_construction_core.project_stage_running
292584f7b81f40579ab90504983a05fc,in_progress,execution,smart_construction_core.project_stage_running
29c0549f98024dc0937823da66701bbc,in_progress,execution,smart_construction_core.project_stage_running
29cf2f89c2b94a19b4c8689f8199a2a3,in_progress,execution,smart_construction_core.project_stage_running
29dff975ab4b42b5bc941af2c04b7cec,in_progress,execution,smart_construction_core.project_stage_running
2a90203d1f0f420b841d1eca197f3a4d,in_progress,execution,smart_construction_core.project_stage_running
2ac906a09ef840688c8e4045a351367f,in_progress,execution,smart_construction_core.project_stage_running
2adfc1940c6446e5b5db0f0e3339eeff,in_progress,execution,smart_construction_core.project_stage_running
2afee25a79664b53a6a8a8740bcf6d4b,in_progress,execution,smart_construction_core.project_stage_running
2b26ad9411f0477886faff502f0d606d,in_progress,execution,smart_construction_core.project_stage_running
2b62b87ee1a04fcb862ba23ce0e72367,in_progress,execution,smart_construction_core.project_stage_running
2c2cf0230879448b8aa65a135baa1292,in_progress,execution,smart_construction_core.project_stage_running
2c8212fcec854602883cf1f1b88f9354,in_progress,execution,smart_construction_core.project_stage_running
2cc4764ad05e4c5ebaeaf4d5a85c5cd7,in_progress,execution,smart_construction_core.project_stage_running
2cd51f2a8f064ef691347e5fee5d83fb,in_progress,execution,smart_construction_core.project_stage_running
2cdca43cbcab4faf95cdbc99a09a1454,in_progress,execution,smart_construction_core.project_stage_running
2d0c8990b9944c60b5ea355035049c1b,in_progress,execution,smart_construction_core.project_stage_running
2e22b1e9bd614b3a9b1abc3ac9cdc912,in_progress,execution,smart_construction_core.project_stage_running
2e82c7a28d2d4455a075564650a4caf9,in_progress,execution,smart_construction_core.project_stage_running
2e9c130a609342e28328c728d28b9eb7,in_progress,execution,smart_construction_core.project_stage_running
2ea97dc724a9493ea18676d910616d8a,in_progress,execution,smart_construction_core.project_stage_running
2ec0da21560a45959b90a77d12866c51,in_progress,execution,smart_construction_core.project_stage_running
2f3cdff1dafd40c4b92d3be23af67b52,in_progress,execution,smart_construction_core.project_stage_running
