external_id,name,company_type,is_company,vat,phone,email,legacy_partner_id,legacy_partner_source,legacy_partner_name,legacy_credit_code,legacy_tax_no,legacy_source_evidence,source_bucket,requested_partner_id
legacy_partner_sc_000e226a46684d79a5cf51575ef42283,中环城乡规划设计有限公司喀什第一分公司,company,1,91659003MABKYU1256,,,000e226a46684d79a5cf51575ef42283,cooperat_company,中环城乡规划设计有限公司喀什第一分公司,91659003MABKYU1256,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,000e226a46684d79a5cf51575ef42283
legacy_partner_sc_00128712d8524bc49503f998a3ff9477,四川金通检测有限公司,company,1,91510124MA6CFR4H9B,,,00128712d8524bc49503f998a3ff9477,company_supplier,四川金通检测有限公司,,91510124MA6CFR4H9B,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,00128712d8524bc49503f998a3ff9477
legacy_partner_sc_005fe89b5fd745749c3f47565e518e9c,凉山州渝佳商贸有限公司,company,1,,,,005fe89b5fd745749c3f47565e518e9c,company_supplier,凉山州渝佳商贸有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,005fe89b5fd745749c3f47565e518e9c
legacy_partner_sc_0061e4d535de4b69bc2d46b82c1d9123,格尔木李佳顺机械租赁部,company,1,92632801MABJDG527P,,,0061e4d535de4b69bc2d46b82c1d9123,company_supplier,格尔木李佳顺机械租赁部,,92632801MABJDG527P,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,0061e4d535de4b69bc2d46b82c1d9123
legacy_partner_sc_0072ef1bb1d841dc8a59e627ccc5b09f,四川杉尘建筑工程有限公司,company,1,91510623MA647UB44D,,,0072ef1bb1d841dc8a59e627ccc5b09f,company_supplier,四川杉尘建筑工程有限公司,91510623MA647UB44D,91510623MA647UB44D,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,0072ef1bb1d841dc8a59e627ccc5b09f
legacy_partner_sc_008ad57549d146a79ab25a5de9d7137c,四川中青家政服务有限公司,company,1,91510600MA69PPC3X,,,008ad57549d146a79ab25a5de9d7137c,cooperat_company,四川中青家政服务有限公司,91510600MA69PPC3X,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,008ad57549d146a79ab25a5de9d7137c
legacy_partner_sc_00a084bb37be4f56a8cb562d100cea62,新疆腾鑫木业有限责任公司,company,1,91659003MA7AAJCNXP,,,00a084bb37be4f56a8cb562d100cea62,cooperat_company,新疆腾鑫木业有限责任公司,91659003MA7AAJCNXP,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,00a084bb37be4f56a8cb562d100cea62
legacy_partner_sc_00bc9e8fb8b64f3885353a9ad435f479,广西天意顺木业有限公司,company,1,,,,00bc9e8fb8b64f3885353a9ad435f479,cooperat_company,广西天意顺木业有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,00bc9e8fb8b64f3885353a9ad435f479
legacy_partner_sc_00d1ea906ba04f70807e684fefebf81e,绵阳市宇洁涛家政服务有限公司,company,1,92510703MA675L73,,,00d1ea906ba04f70807e684fefebf81e,cooperat_company,绵阳市宇洁涛家政服务有限公司,92510703MA675L73,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,00d1ea906ba04f70807e684fefebf81e
legacy_partner_sc_00e4f88e5c5044acab30b4f5acd23524,成都旺叶工程技术服务有限公司,company,1,91510114MA65FXPP8M,,,00e4f88e5c5044acab30b4f5acd23524,cooperat_company,成都旺叶工程技术服务有限公司,91510114MA65FXPP8M,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,00e4f88e5c5044acab30b4f5acd23524
legacy_partner_sc_00ecb80132bf46db924663d91c32b0a4,新疆亿达通环保科技有限公司,company,1,91653101MA7776FM6Q,,,00ecb80132bf46db924663d91c32b0a4,cooperat_company,新疆亿达通环保科技有限公司,91653101MA7776FM6Q,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,00ecb80132bf46db924663d91c32b0a4
legacy_partner_sc_01013f0377d542408afa1a3064fda0b8,重庆柯腾建筑劳务有限公司,company,1,91500119MAACCOTR8C,,,01013f0377d542408afa1a3064fda0b8,cooperat_company,重庆柯腾建筑劳务有限公司,91500119MAACCOTR8C,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,01013f0377d542408afa1a3064fda0b8
legacy_partner_sc_010fe29bf24b42f7960918034de3ed5c,成都董然商贸有限公司,company,1,91510113MA68Q9M951,,,010fe29bf24b42f7960918034de3ed5c,cooperat_company,成都董然商贸有限公司,91510113MA68Q9M951,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,010fe29bf24b42f7960918034de3ed5c
legacy_partner_sc_0112000d20ae4f9ba7df4cb55e0648cb,绵竹市土门镇展兴建材经营部,company,1,92510683MA65NY2U9P,,,0112000d20ae4f9ba7df4cb55e0648cb,cooperat_company,绵竹市土门镇展兴建材经营部,92510683MA65NY2U9P,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,0112000d20ae4f9ba7df4cb55e0648cb
legacy_partner_sc_013c1b6645c14afd89b4845aba804157,旌阳区钉居建材经营部,company,1,92510603MACPNDD13M,,,013c1b6645c14afd89b4845aba804157,cooperat_company,旌阳区钉居建材经营部,92510603MACPNDD13M,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,013c1b6645c14afd89b4845aba804157
legacy_partner_sc_015b488a8dad4eacb492816a23f4f655,成都红泰塑胶管业有限公司,company,1,915101846818407096,,,015b488a8dad4eacb492816a23f4f655,company_supplier,成都红泰塑胶管业有限公司,,915101846818407096,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,015b488a8dad4eacb492816a23f4f655
legacy_partner_sc_0168b529f7ec4f72bc160bb3401bccfa,德阳开发区兴顺建材经营部,company,1,92510600MA6239Q9X6,,,0168b529f7ec4f72bc160bb3401bccfa,cooperat_company,德阳开发区兴顺建材经营部,92510600MA6239Q9X6,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,0168b529f7ec4f72bc160bb3401bccfa
legacy_partner_sc_016a1e14c2754efb82749ed29246c4a3,苍溪县从锦建材有限公司,company,1,91510824MA64JJB74D,,,016a1e14c2754efb82749ed29246c4a3,company_supplier,苍溪县从锦建材有限公司,,91510824MA64JJB74D,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,016a1e14c2754efb82749ed29246c4a3
legacy_partner_sc_016e31f6f6754f2fae6351f0af58ba20,金牛区鑫世亮建材经营部,company,1,92510106MAACJ05E6T,,,016e31f6f6754f2fae6351f0af58ba20,cooperat_company,金牛区鑫世亮建材经营部,92510106MAACJ05E6T,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,016e31f6f6754f2fae6351f0af58ba20
legacy_partner_sc_0172e660838f47d7a5449386bd15baa0,绵阳德泽建材有限公司,company,1,91510700MA68EY6K6P,,,0172e660838f47d7a5449386bd15baa0,cooperat_company,绵阳德泽建材有限公司,91510700MA68EY6K6P,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,0172e660838f47d7a5449386bd15baa0
legacy_partner_sc_0190c2c9c1d240738d4d7587f29a894d,彭州市丽春镇涌泉建材经营部,company,1,92510182MA604FP36H,18000511360,,0190c2c9c1d240738d4d7587f29a894d,company_supplier,彭州市丽春镇涌泉建材经营部,,92510182MA604FP36H,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,0190c2c9c1d240738d4d7587f29a894d
legacy_partner_sc_0192b477ccf34c34bad7d7b55fe8d60d,巴中市宏达钢材有限公司,company,1,91511902MA63TQEX91,,,0192b477ccf34c34bad7d7b55fe8d60d,company_supplier,巴中市宏达钢材有限公司,,91511902MA63TQEX91,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,0192b477ccf34c34bad7d7b55fe8d60d
legacy_partner_sc_01963efa5b094dee846ad1be32686321,攀枝花创星原建筑工程有限公司,company,1,91510422MA68EUAG88,,,01963efa5b094dee846ad1be32686321,cooperat_company,攀枝花创星原建筑工程有限公司,91510422MA68EUAG88,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,01963efa5b094dee846ad1be32686321
legacy_partner_sc_0198a2044da14b1190f5a947a1cb1d37,中江县飞凤建材有限公司,company,1,91510623MA67Q7U733,,,0198a2044da14b1190f5a947a1cb1d37,cooperat_company,中江县飞凤建材有限公司,91510623MA67Q7U733,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,0198a2044da14b1190f5a947a1cb1d37
legacy_partner_sc_01a3bbd96bb44985bfc7190fffa8c775,新疆阿斯帕里提公路养护有限公司,company,1,91653101MA7772HK1M,,,01a3bbd96bb44985bfc7190fffa8c775,company_supplier,新疆阿斯帕里提公路养护有限公司,91653101MA7772HK1M,91653101MA7772HK1M,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,01a3bbd96bb44985bfc7190fffa8c775
legacy_partner_sc_01ab9e3994244764a95a674829f83967,成都鑫蓉逸商贸有限公司,company,1,915106MA66BEF072,,,01ab9e3994244764a95a674829f83967,company_supplier,成都鑫蓉逸商贸有限公司,,915106MA66BEF072,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,01ab9e3994244764a95a674829f83967
legacy_partner_sc_01c176d216534eb4a4281a0a9896abc2,罗江友兴建材有限公司,company,1,9151062668610T868X,,,01c176d216534eb4a4281a0a9896abc2,cooperat_company,罗江友兴建材有限公司,9151062668610T868X,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,01c176d216534eb4a4281a0a9896abc2
legacy_partner_sc_01ca2fcc94ba464d98962afda6cdef38,重庆迪大迪建材有限公司,company,1,61500108MAE1B35,15826120609,,01ca2fcc94ba464d98962afda6cdef38,company_supplier,重庆迪大迪建材有限公司,,61500108MAE1B35,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,01ca2fcc94ba464d98962afda6cdef38
legacy_partner_sc_01d70f6226284f4f8d9becb0ca36d22d,永川区安其建材经营部,company,1,92500118MA60Y7LKXC,,,01d70f6226284f4f8d9becb0ca36d22d,company_supplier,永川区安其建材经营部,,92500118MA60Y7LKXC,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,01d70f6226284f4f8d9becb0ca36d22d
legacy_partner_sc_01e4c1bf2ff045128dd771f4cb69bf13,重庆诗凤园林绿化有限公司,company,1,91500227MA5YY9EH5W,,,01e4c1bf2ff045128dd771f4cb69bf13,cooperat_company,重庆诗凤园林绿化有限公司,91500227MA5YY9EH5W,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,01e4c1bf2ff045128dd771f4cb69bf13
legacy_partner_sc_020a78bcabc147138dd604462e58a31e,德阳品色装饰工程有限公司,company,1,91510623MA65G2347W,,,020a78bcabc147138dd604462e58a31e,cooperat_company,德阳品色装饰工程有限公司,91510623MA65G2347W,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,020a78bcabc147138dd604462e58a31e
legacy_partner_sc_0232c081e88e4597afdd82ea9f2fd491,重庆映锦建筑劳务有限公司,company,1,91500227MA608N2N5A,,,0232c081e88e4597afdd82ea9f2fd491,company_supplier,重庆映锦建筑劳务有限公司,,91500227MA608N2N5A,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,0232c081e88e4597afdd82ea9f2fd491
legacy_partner_sc_0240a51b7e8f42bb8523bed44fa191b0,成都德爱电气有限公司,company,1,,,,0240a51b7e8f42bb8523bed44fa191b0,company_supplier,成都德爱电气有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,0240a51b7e8f42bb8523bed44fa191b0
legacy_partner_sc_024fa0772e0b49ad99b9e57ef8e26bdd,绵阳市安州区欢型杨机械租赁经营部（个体工商户）,company,1,92510705MADJHIB618,,,024fa0772e0b49ad99b9e57ef8e26bdd,cooperat_company,绵阳市安州区欢型杨机械租赁经营部（个体工商户）,92510705MADJHIB618,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,024fa0772e0b49ad99b9e57ef8e26bdd
