source_table,legacy_record_id,legacy_fact_id,document_no,project_legacy_id,project_name,target_model,action,reason,bid_amount,guarantee_amount
P_ZTB_GCXXGL,ccd2998d6eb64a87a7e6f1f08d243f0a#19,433,ZBXX-20200226-001,fb0c4133-f011-44a4-a285-59cfd30aec27,中江县小型汽车驾驶人考场建设项目,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,4d33c33afbd34b429d51a1895d3afb02#5,419,ZBXX-20200227-001,fb0c4133-f011-44a4-a285-59cfd30aec27,罗江区白马关元宝片区高标准农田项目,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,891e85fb52dc48a6abc40e56f0dff30d#9,423,ZBXX-20200426-001,fb0c4133-f011-44a4-a285-59cfd30aec27,九寨沟县漳扎镇小学校等灾后重建项目部(1) 九寨沟县干部职工周转宿舍 装饰装修专业分包,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,c10e2b84ad7c4c3bb6e9af26de61a6cb#14,428,ZBXX-20200624-001,fb0c4133-f011-44a4-a285-59cfd30aec27,华蓥山太阳坪（邻水片区）湿地建设工程施工2标段,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,c426c04843b84631ba7707d574457501#15,429,ZBXX-20200824-001,fb0c4133-f011-44a4-a285-59cfd30aec27,绵远河（青衣江路大桥至钱塘江路大桥）生态整治 工程( ( 景观飞廊部分）,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,7c79e9d267634a468f40fa53f12b6ea2#6,420,ZBXX-20220225-001,fb0c4133-f011-44a4-a285-59cfd30aec27,测试001,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,c5abc48b3763466198d761aab5cfd771#16,430,GCXXGL-20230821-001,fb0c4133-f011-44a4-a285-59cfd30aec27,什加市冷链物流及城乡农贸市场建设项目一标段,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,fd32c6685291411cbdceb19d8e8b58f7#20,434,GCXXGL-20230821-002,fb0c4133-f011-44a4-a285-59cfd30aec27,某部11项零星工程,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,1f423bd16b9847c99bac4b6debff5353#3,417,GCXXGL-20230823-002,fb0c4133-f011-44a4-a285-59cfd30aec27,巴楚县301所学校（园）能力提升及消防改造项目,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,a427e30094644ca282d86d0542e91151#13,427,GCXXGL-20230823-001,fb0c4133-f011-44a4-a285-59cfd30aec27,测试投标项目20230823,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,c848d4e5bce8422db63ea17d43555560#17,431,GCXXGL-20230823-003,fb0c4133-f011-44a4-a285-59cfd30aec27,巴楚县301所学校（园）能力提升及消防改造项目,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,0b79d7fefc65466ca2cb594887db7502#1,415,GCXXGL-20230920-004,fb0c4133-f011-44a4-a285-59cfd30aec27,江油市综合水利基础设施提升改造项目（江油市永平河龙宫寺桥至马鞍桥段防洪治理工程）,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,1956d578a2484d6bbb41860de4a19e0a#2,416,GCXXGL-20230920-003,fb0c4133-f011-44a4-a285-59cfd30aec27,2023年游仙区信义镇龙园等7个村高标准农田新建财政转移支付项目施工,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,41eb43410d784866bf46bd802067c6dd#4,418,GCXXGL-20230920-002,fb0c4133-f011-44a4-a285-59cfd30aec27,2023年游仙区仙鹤镇高标准农田新建财政转移支付项目施工,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,7ec26449402d481395d30befd65f8d5a#7,421,GCXXGL-20230920-005,fb0c4133-f011-44a4-a285-59cfd30aec27,2023年游仙区忠兴镇高标准农田新建财政转移支付项目施工 ,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,7edc68a9866345fd8c38d62b569c86a3#8,422,GCXXGL-20230920-008,fb0c4133-f011-44a4-a285-59cfd30aec27,平武县平通羌族乡幼儿园扩建工程施工,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,969cd6d46dfd46d5ad0b309641f96820#11,425,GCXXGL-20230920-006,fb0c4133-f011-44a4-a285-59cfd30aec27,2023年涪城区杨家镇高标准农田改造提升财政转移支付项目施工,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,971351f747494c0897a8cacd9cbbe96d#12,426,GCXXGL-20230920-007,fb0c4133-f011-44a4-a285-59cfd30aec27,绵阳市安州区凯江片区基础设施提质升级项目(项目名称)道路改造提升部分施工标段,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,cb5bf97b68fe43daae902df6b703064b#18,432,GCXXGL-20230920-001,fb0c4133-f011-44a4-a285-59cfd30aec27,2023年游仙区盐泉镇高标准农田新建财政转移支付项目施工,tender.bid,skip_existing,,0,0
P_ZTB_GCXXGL,948ed8e7fed8493aa287ffb7f944c57f#10,424,GCXXGL-20230926-001,fb0c4133-f011-44a4-a285-59cfd30aec27,旺苍县 2023 年高标准农田建设项目 施工一,tender.bid,skip_existing,,0,0
WS_HTGL_ZBHT,e2f1234aa872444091d0df748e2321f6#2,414,ZBHT-20161130-00001,c0911f97c69d4f808f0a73d506cfe151,测试项目,tender.bid,skip_existing,,0,0
WS_HTGL_ZBHT,c9b4a7de1dfe4e87a3bb30b25bc45bb7#1,413,ZBHT-20161208-001,c0911f97c69d4f808f0a73d506cfe151,测试项目,tender.bid,skip_existing,,0,0
