payment_request_id,external_id,restore_state,restore_validation_status,delete_ledger_ref,old_ledger_count,old_ledger_sum
5356,legacy_outflow_sc_0000fe26abfd4c99aa33351b268c0fc0,done,validated,ITER-2026-04-17-LEGACY-PAYMENT-APPROVAL-DOWNSTREAM-FACT-STATE-SYNC:legacy_outflow_sc_0000fe26abfd4c99aa33351b268c0fc0,1,66000.00
5357,legacy_outflow_sc_001ebb3a99354849a275c34044e7e20a,done,validated,ITER-2026-04-17-LEGACY-PAYMENT-APPROVAL-DOWNSTREAM-FACT-STATE-SYNC:legacy_outflow_sc_001ebb3a99354849a275c34044e7e20a,1,168403.00
5358,legacy_outflow_sc_002997205db94d43ba84a560df054679,done,validated,ITER-2026-04-17-LEGACY-PAYMENT-APPROVAL-DOWNSTREAM-FACT-STATE-SYNC:legacy_outflow_sc_002997205db94d43ba84a560df054679,1,60000.00
5359,legacy_outflow_sc_002eff22d0e84d9a90c535a42581794d,done,validated,ITER-2026-04-17-LEGACY-PAYMENT-APPROVAL-DOWNSTREAM-FACT-STATE-SYNC:legacy_outflow_sc_002eff22d0e84d9a90c535a42581794d,1,61950.00
5360,legacy_outflow_sc_0033cf2511ad406b817b550533b0a22e,done,validated,ITER-2026-04-17-LEGACY-PAYMENT-APPROVAL-DOWNSTREAM-FACT-STATE-SYNC:legacy_outflow_sc_0033cf2511ad406b817b550533b0a22e,1,101700.00
5361,legacy_outflow_sc_00340ff86e71447fbfb4fdc5c81628d7,done,validated,ITER-2026-04-17-LEGACY-PAYMENT-APPROVAL-DOWNSTREAM-FACT-STATE-SYNC:legacy_outflow_sc_00340ff86e71447fbfb4fdc5c81628d7,1,48000.00
5362,legacy_outflow_sc_0036e9d95a2e4751acb79f9c99b8f878,done,validated,ITER-2026-04-17-LEGACY-PAYMENT-APPROVAL-DOWNSTREAM-FACT-STATE-SYNC:legacy_outflow_sc_0036e9d95a2e4751acb79f9c99b8f878,1,11700.00
5363,legacy_outflow_sc_003aec86a9544ae785faf3391dfb9b08,done,validated,ITER-2026-04-17-LEGACY-PAYMENT-APPROVAL-DOWNSTREAM-FACT-STATE-SYNC:legacy_outflow_sc_003aec86a9544ae785faf3391dfb9b08,1,10000.00
5364,legacy_outflow_sc_003b091f16bf494f81ac7df5113d48e9,done,validated,ITER-2026-04-17-LEGACY-PAYMENT-APPROVAL-DOWNSTREAM-FACT-STATE-SYNC:legacy_outflow_sc_003b091f16bf494f81ac7df5113d48e9,1,52451.41
5365,legacy_outflow_sc_003ecaa1aa404cb7849bdb3a46fc3844,done,validated,ITER-2026-04-17-LEGACY-PAYMENT-APPROVAL-DOWNSTREAM-FACT-STATE-SYNC:legacy_outflow_sc_003ecaa1aa404cb7849bdb3a46fc3844,1,682007.00
