payment_request_id,external_id,name,old_state,old_validation_status,amount,old_ledger_count,old_ledger_sum,actual_outflow_count,actual_outflow_amount,sample_downstream_external_ids
5356,legacy_outflow_sc_0000fe26abfd4c99aa33351b268c0fc0,PRQ2605356,done,validated,66000.00,1,66000.00,1,66000.00,legacy_actual_outflow_sc_b78f34c4eab34e5c96ce6bf4375c0d9e
5357,legacy_outflow_sc_001ebb3a99354849a275c34044e7e20a,PRQ2605357,done,validated,168403.00,1,168403.00,1,168403.00,legacy_actual_outflow_sc_ca2c535a7a384a1b9781408a4fa8373b
5358,legacy_outflow_sc_002997205db94d43ba84a560df054679,PRQ2605358,done,validated,60000.00,1,60000.00,1,60000.00,legacy_actual_outflow_sc_79fc142a80ee442fa07611b13b619c20
5359,legacy_outflow_sc_002eff22d0e84d9a90c535a42581794d,PRQ2605359,done,validated,61950.00,1,61950.00,1,61950.00,legacy_actual_outflow_sc_7fb10a8fbc214693804ff2973d4c18b3
5360,legacy_outflow_sc_0033cf2511ad406b817b550533b0a22e,PRQ2605360,done,validated,101700.00,1,101700.00,1,101700.00,legacy_actual_outflow_sc_5de12a6c56b842fea8f74353835c68a0
5361,legacy_outflow_sc_00340ff86e71447fbfb4fdc5c81628d7,PRQ2605361,done,validated,48000.00,1,48000.00,1,48000.00,legacy_actual_outflow_sc_c7bd7217987d4db8943bb5ed4c19f613
5362,legacy_outflow_sc_0036e9d95a2e4751acb79f9c99b8f878,PRQ2605362,done,validated,11700.00,1,11700.00,1,11700.00,legacy_actual_outflow_sc_4df4944b36a94885a4b7ef450ec2663a
5363,legacy_outflow_sc_003aec86a9544ae785faf3391dfb9b08,PRQ2605363,done,validated,10000.00,1,10000.00,1,10000.00,legacy_actual_outflow_sc_4b6f7714da964534a8ac7724d81f3294
5364,legacy_outflow_sc_003b091f16bf494f81ac7df5113d48e9,PRQ2605364,done,validated,52451.41,1,52451.41,1,52451.41,legacy_actual_outflow_sc_e413636628024a8c95be8c4e4a65bede
5365,legacy_outflow_sc_003ecaa1aa404cb7849bdb3a46fc3844,PRQ2605365,done,validated,682007.00,1,682007.00,1,682007.00,legacy_actual_outflow_sc_a976b5d699c843d7bf639f48694af3f9
5366,legacy_outflow_sc_0041679687eb4dd89ecf8653c02f6a4f,PRQ2605366,done,validated,50000.00,1,50000.00,1,50000.00,legacy_actual_outflow_sc_66eab6fa13e342a4be8573b2ad0aa823
5367,legacy_outflow_sc_0044a0caa1f841f78b6e0efb3665be17,PRQ2605367,done,validated,527355.55,1,527355.55,1,527355.55,legacy_actual_outflow_sc_7d7e0bad42ec46d8b7c19d2e83410857
5368,legacy_outflow_sc_0044baa69db64896a2c1e16800258d22,PRQ2605368,done,validated,150000.00,1,150000.00,1,150000.00,legacy_actual_outflow_sc_f0816adcf87c4f6e9902b0e4e5626a2d
5369,legacy_outflow_sc_0054d5d34c1d420ca329659f63302eda,PRQ2605369,done,validated,16303.15,1,16303.15,1,16303.15,legacy_actual_outflow_sc_f05c3827d8914de6984d8fcd5b64a0d8
5370,legacy_outflow_sc_0055d86a2d384a959dd6a91e70a43d1f,PRQ2605370,done,validated,38625.20,1,38625.20,1,38625.20,legacy_actual_outflow_sc_9bc9891a9e8e49b1b7e4c7f8066b20c8
5371,legacy_outflow_sc_005cce20f6e744b7a157860ab9f976fd,PRQ2605371,done,validated,280160.00,1,280160.00,1,280160.00,legacy_actual_outflow_sc_813d3084d8144ae39912c967ed26794a
5372,legacy_outflow_sc_0067062470454979a3acef359f1d1194,PRQ2605372,done,validated,59222.40,1,59222.40,1,59222.40,legacy_actual_outflow_sc_2b4b26f828c6492182f9d3ad2ba94a14
5373,legacy_outflow_sc_006b2c8fd27341b3a7ad216ca4a741e8,PRQ2605373,done,validated,58552.00,1,58552.00,1,58552.00,legacy_actual_outflow_sc_f7d98bb09d1e460ca15ce7e5ed4ba401
5374,legacy_outflow_sc_006f55007fa844fa8b610263f26cc446,PRQ2605374,done,validated,95707.00,1,95707.00,1,95707.00,legacy_actual_outflow_sc_2e26803f6f7348e889f58d973588a68d
