$ node scripts/verify/scbs_55_old_new_browser_surface_compare.js
[new-browser] seq=1 name=供应商/合作单位 action=853
[new-browser] seq=2 name=往来单位 action=854
[new-browser] seq=3 name=施工合同 action=855
[new-browser] seq=4 name=公司资料存档 action=856
[new-browser] seq=5 name=请假/休假审批单 action=857
[new-browser] seq=6 name=印章使用审批表 action=858
[new-browser] seq=7 name=组织机构 action=705
[new-browser] seq=8 name=公司人员名册（配置） action=859
[new-browser] seq=9 name=社保人员登记 action=860
[new-browser] seq=10 name=社保登记 action=861
[new-browser] seq=11 name=工资登记 action=862
[new-browser] seq=12 name=补助 action=863
[new-browser] seq=13 name=奖金 action=864
[new-browser] seq=14 name=证照登记 action=649
[new-browser] seq=15 name=借阅申请 action=865
[new-browser] seq=16 name=投标报名管理 action=866
[new-browser] seq=17 name=投标报名费申请 action=895
[new-browser] seq=18 name=自筹保证金 action=868
[new-browser] seq=19 name=自筹保证金退回 action=869
[new-browser] seq=20 name=付款还保证金 action=870
[new-browser] seq=21 name=付款还保证金退回 action=871
[new-browser] seq=22 name=借款申请 action=872
[new-browser] seq=23 name=还款登记 action=873
[new-browser] seq=24 name=报销申请 action=874
[new-browser] seq=25 name=收入 action=875
[new-browser] seq=26 name=公司财务支出 action=876
[new-browser] seq=27 name=承包人还项目款 action=896
[new-browser] seq=28 name=承包人借项目款 action=878
[new-browser] seq=29 name=支付申请 action=879
[new-browser] seq=30 name=扣款单 action=880
[new-browser] seq=31 name=往来单位付款 action=881
[new-browser] seq=32 name=账户间资金往来 action=882
[new-browser] seq=33 name=扣款实缴登记 action=897
[new-browser] seq=34 name=扣款实缴退回 action=898
[new-browser] seq=35 name=到款确认表 action=885
[new-browser] seq=36 name=资金日报表 action=886
[new-browser] seq=37 name=项目借公司款登记 action=887
[new-browser] seq=38 name=项目还公司款登记 action=888
[new-browser] seq=39 name=开票申请 action=889
[new-browser] seq=40 name=开票登记 action=890
[new-browser] seq=41 name=预缴税款 action=891
[new-browser] seq=42 name=进项上报 action=892
[new-browser] seq=43 name=抵扣登记 action=893
[new-browser] seq=44 name=外经证登记 action=894
[new-browser] seq=45 name=供货合同分析 action=790
[new-browser] seq=46 name=库存统计表（新） action=686
[new-browser] seq=47 name=账户收支统计表 action=681
[new-browser] seq=48 name=成本统计表（综合） action=687
[new-browser] seq=49 name=投标保证金报表 action=849
[new-browser] seq=50 name=发票成本进度报表 action=848
[new-browser] seq=51 name=发票分析报表 action=850
[new-browser] seq=52 name=项目经营统计表 action=851
[new-browser] seq=53 name=应收应付报表 action=852
[new-browser] seq=54 name=成本大屏 action=788
[new-browser] seq=55 name=经营大屏 action=789
[scbs55_old_new_browser_surface_compare] FAIL artifacts=/home/lidefend/workspace/sce-backend-odoo/artifacts/browser/scbs55-old-new-surface-compare/20260601T134527
