$ python3 scripts/verify/scbsly_direct_project_old_row_dump.py
[scbsly-row-dump-page] 施工合同 page=1 source=online rows=182 total=182/182
[scbsly-row-dump] PASS 施工合同 182/182 -> /home/lidefend/workspace/sce-backend-odoo/artifacts/migration/live_old_system_strict_parity_gate/20260601T130457Z/scbsly_direct_project_old_rows/施工合同__164b665cc3674384aeaa89f3122895cf.json
[scbsly-row-dump-page] 分包合同 page=1 source=online rows=86 total=86/86
[scbsly-row-dump] PASS 分包合同 86/86 -> /home/lidefend/workspace/sce-backend-odoo/artifacts/migration/live_old_system_strict_parity_gate/20260601T130457Z/scbsly_direct_project_old_rows/分包合同__96fc3448ba5844af9e862a42f0ebfa57.json
[scbsly-row-dump-page] 租赁合同 page=1 source=online rows=221 total=221/221
[scbsly-row-dump] PASS 租赁合同 221/221 -> /home/lidefend/workspace/sce-backend-odoo/artifacts/migration/live_old_system_strict_parity_gate/20260601T130457Z/scbsly_direct_project_old_rows/租赁合同__a83d43fc44fa43d2abf8b94739e7f7be.json
[scbsly-row-dump-page] 供货合同 page=1 source=online rows=250 total=250/849
[scbsly-row-dump-page] 供货合同 page=2 source=online rows=250 total=500/849
[scbsly-row-dump-page] 供货合同 page=3 source=online rows=250 total=750/849
[scbsly-row-dump-page] 供货合同 page=4 source=online rows=99 total=849/849
[scbsly-row-dump] PASS 供货合同 849/849 -> /home/lidefend/workspace/sce-backend-odoo/artifacts/migration/live_old_system_strict_parity_gate/20260601T130457Z/scbsly_direct_project_old_rows/供货合同__77585134a02a48e7bd578e8ee3dd5bf2.json
[scbsly-row-dump-page] 劳务合同 page=1 source=online rows=187 total=187/187
[scbsly-row-dump] PASS 劳务合同 187/187 -> /home/lidefend/workspace/sce-backend-odoo/artifacts/migration/live_old_system_strict_parity_gate/20260601T130457Z/scbsly_direct_project_old_rows/劳务合同__838f5d5f02f34770977a6195d072ba30.json
[scbsly-row-dump-page] 机械合同（合同） page=1 source=online rows=221 total=221/221
[scbsly-row-dump] PASS 机械合同（合同） 221/221 -> /home/lidefend/workspace/sce-backend-odoo/artifacts/migration/live_old_system_strict_parity_gate/20260601T130457Z/scbsly_direct_project_old_rows/机械合同_合同__5e0f494d317442159ce976e9dfe4166d.json
[scbsly-row-dump-page] 材料计划 page=1 source=online rows=250 total=250/686
[scbsly-row-dump-page] 材料计划 page=2 source=online rows=250 total=500/686
[scbsly-row-dump-page] 材料计划 page=3 source=online rows=186 total=686/686
[scbsly-row-dump] PASS 材料计划 686/686 -> /home/lidefend/workspace/sce-backend-odoo/artifacts/migration/live_old_system_strict_parity_gate/20260601T130457Z/scbsly_direct_project_old_rows/材料计划__408483c2817d4b77ab7877ec017cde33.json
[scbsly-row-dump-page] 报价单 page=1 source=online rows=126 total=126/126
[scbsly-row-dump] PASS 报价单 126/126 -> /home/lidefend/workspace/sce-backend-odoo/artifacts/migration/live_old_system_strict_parity_gate/20260601T130457Z/scbsly_direct_project_old_rows/报价单__ea657b9e2a4f4a5185cd0d34e914d030.json
[scbsly-row-dump-page] 入库 page=1 source=online rows=250 total=250/13174
[scbsly-row-dump-page] 入库 page=2 source=online rows=250 total=500/13174
[scbsly-row-dump-page] 入库 page=3 source=online rows=250 total=750/13174
[scbsly-row-dump-page] 入库 page=4 source=online rows=250 total=1000/13174
[scbsly-row-dump-page] 入库 page=5 source=online rows=250 total=1250/13174
[scbsly-row-dump-page] 入库 page=6 source=online rows=250 total=1500/13174
[scbsly-row-dump-page] 入库 page=7 source=online rows=250 total=1750/13174
[scbsly-row-dump-page] 入库 page=8 source=online rows=250 total=2000/13174
[scbsly-row-dump-page] 入库 page=9 source=online rows=250 total=2250/13174
[scbsly-row-dump-page] 入库 page=10 source=online rows=250 total=2500/13174
[scbsly-row-dump-page] 入库 page=11 source=online rows=250 total=2750/13174
[scbsly-row-dump-page] 入库 page=12 source=online rows=250 total=3000/13174
[scbsly-row-dump-page] 入库 page=13 source=online rows=250 total=3250/13174
[scbsly-row-dump-page] 入库 page=14 source=online rows=250 total=3500/13174
[scbsly-row-dump-page] 入库 page=15 source=online rows=250 total=3750/13174
[scbsly-row-dump-page] 入库 page=16 source=online rows=250 total=4000/13174
[scbsly-row-dump-page] 入库 page=17 source=online rows=250 total=4250/13174
[scbsly-row-dump-page] 入库 page=18 source=online rows=250 total=4500/13174
[scbsly-row-dump-page] 入库 page=19 source=online rows=250 total=4750/13174
[scbsly-row-dump-page] 入库 page=20 source=online rows=250 total=5000/13174
[scbsly-row-dump-page] 入库 page=21 source=online rows=250 total=5250/13174
[scbsly-row-dump-page] 入库 page=22 source=online rows=250 total=5500/13174
[scbsly-row-dump-page] 入库 page=23 source=online rows=250 total=5750/13174
