model,id,legacy_material_id,name,code
sc.material.catalog,1,ab2cf413a91f4ee1a3ef1f27b8bc402e,连砂石,SCBS-ab2cf413a91f4ee1a3ef1f27
sc.material.catalog,2,0d6d977c3986463483dff56dd3717032,机砂,SCBS-0d6d977c3986463483dff56d
sc.material.catalog,3,1c622a75f3da49b6a04e438838b5b3b9,页岩砖,SCBS-1c622a75f3da49b6a04e4388
sc.material.catalog,4,35211,碎石,SCBS-35211
sc.material.catalog,5,abbb967000334d0cbf33ac705fc72f3b,镀锌钢管,SCBS-abbb967000334d0cbf33ac70
sc.material.catalog,6,53b0e8c47c75456691a20c4b67f0f099,连砂石,SCBS-53b0e8c47c75456691a20c4b
sc.material.catalog,7,35212,碎石,SCBS-35212
sc.material.catalog,8,1ef8c0761f2340998bb18c50781b00d8,机制碎石,SCBS-1ef8c0761f2340998bb18c50
sc.material.catalog,9,4499e6f0577a4c239a13289f92f92200,机制砂,SCBS-4499e6f0577a4c239a13289f
sc.material.catalog,10,c58d9c8fb8b246d8871efc157ed624a6,板材,SCBS-c58d9c8fb8b246d8871efc15
sc.material.catalog,11,3a96749dd67f4bf4b7a1c9d0db110401,黄金麻,SCBS-3a96749dd67f4bf4b7a1c9d0
sc.material.catalog,12,1d9f01a0113148aeb185eadd300de04e,花岗石,SCBS-1d9f01a0113148aeb185eadd
sc.material.catalog,13,440d53bc5e9d4a2a94071a0ccad5de0a,连砂石,SCBS-440d53bc5e9d4a2a94071a0c
sc.material.catalog,14,8889b25f13a24b4e8da96d3f6f16ad5d,防裂贴,SCBS-8889b25f13a24b4e8da96d3f
sc.material.catalog,15,8b62db29fa624262a86b00cb9384768f,不锈钢栏杆,SCBS-8b62db29fa624262a86b00cb
sc.material.catalog,16,42d6b22c111848f1ab5f68341c12fe3b,真石漆,SCBS-42d6b22c111848f1ab5f6834
sc.material.catalog,17,6354409660494a0c82af786604f1bf17,商品混凝土,SCBS-6354409660494a0c82af7866
sc.material.catalog,18,b17fdf37c172431ca2a4d56fa4759d62,商品混凝土,SCBS-b17fdf37c172431ca2a4d56f
sc.material.catalog,19,eb1f9ff787a24dba9ee20723707f6110,商品混凝土,SCBS-eb1f9ff787a24dba9ee20723
sc.material.catalog,20,51948c07f10740b69aa4300c2ff62911,商品混凝土,SCBS-51948c07f10740b69aa4300c
sc.material.catalog,21,ba944f5415d6498280ee8242ab2d1d9c,商品混凝土,SCBS-ba944f5415d6498280ee8242
sc.material.catalog,22,0dd03d3aed624015a78645b47cbed417,沥青混凝土,SCBS-0dd03d3aed624015a78645b4
sc.material.catalog,23,9ab5067cd1094dc58704accffdf4b079,承重内保温球墨铸铁井盖,SCBS-9ab5067cd1094dc58704accf
