staging_id,legacy_record_id,document_no,project_id,project_name,header_amount,line_rows,line_amount,target_model,action,reason
11090,8b2d971b3f214d42bb5e6da854ec1d9e,RKD-20231008-004,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,39853.99,3,39853.99,sc.material.inbound,create_material_inbound,
10725,01ad2c40d0b047248d984e5b9b66409d,RKD-20231010-001,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,3710.0,2,3710.0,sc.material.inbound,create_material_inbound,
11067,8174317c9b7a41d98f3993958e3cf5f1,RKD-20231012-022,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,65602.9,2,65602.9,sc.material.inbound,create_material_inbound,
10799,1f3dbeb349a04b138b04dc931fb17c02,RKD-20231010-008,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,167188.8,4,167188.80000000002,sc.material.inbound,create_material_inbound,
10963,5ac7b47e13c64187a923dddcbe24ed0e,RKD-20231010-009,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,13180.0,4,13180.0,sc.material.inbound,create_material_inbound,
11037,75a955383c384e9592aecb1ec8534cbe,RKD-20231010-007,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,37230.0,1,37230.0,sc.material.inbound,create_material_inbound,
11205,ae8fb80a88ee41e4a1e3b52a66e5b9e2,RKD-20231010-006,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,6275.0,1,6275.0,sc.material.inbound,create_material_inbound,
11228,b77c767bbd334fc4a5cc9581fda7fafd,RKD-20231010-010,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,4320.0,1,4320.0,sc.material.inbound,create_material_inbound,
11294,cd87fe804a18463c9e904d7fa3e7862d,RKD-20231010-005,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,3900.0,1,3900.0,sc.material.inbound,create_material_inbound,
11215,b2d3feed8d544e939da1c5b7592dd8ba,RKD-20231010-003,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,4500.0,1,4500.0,sc.material.inbound,create_material_inbound,
11174,a5af898f067747c3b7c05b4fa2f9eb14,RKD-20231010-004,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,5570.0,1,5570.0,sc.material.inbound,create_material_inbound,
11164,a34826e9c4f242b1a374c7ae76042801,RKD-20231010-002,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,3060.0,4,3060.0,sc.material.inbound,create_material_inbound,
11001,67ab719a35e2471a810b1dda94f4fbda,RKD-20231008-003,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,39286.8,16,39286.799999999996,sc.material.inbound,create_material_inbound,
11281,cad8803cc7fb40f7952db67b0a57c6c4,RKD-20231008-002,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,108554.76,4,108554.76000000001,sc.material.inbound,create_material_inbound,
10792,1c95e93557a54e3eb9afc55139435cb6,RKD-20231010-011,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,191375.93,15,191375.92999999996,sc.material.inbound,create_material_inbound,
10866,39dfc45b15d141aaa11d8b0316c79c65,RKD-20231010-016,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,3500.0,1,3500.0,sc.material.inbound,create_material_inbound,
11006,6a0cf0de5c6f4f8599fd1ad2859e19fa,RKD-20231010-015,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,469386.0,3,469386.0,sc.material.inbound,create_material_inbound,
11141,9c65e7fb5ca149eb9b0dd7f472f22209,RKD-20231010-013,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,242400.0,4,242400.0,sc.material.inbound,create_material_inbound,
11335,dca18b748807452e8e80ca0c72b062bd,RKD-20231010-014,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,5920.0,2,5920.0,sc.material.inbound,create_material_inbound,
11371,ea6f24a0d05a495ca7c4f136d9835bd1,RKD-20231010-012,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,226925.2,9,226925.2,sc.material.inbound,create_material_inbound,
10855,34f7c2fdec62407f82685755c8981050,RKD-20231011-002,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,5705.0,5,5705.0,sc.material.inbound,create_material_inbound,
10951,57c58b83e2654f47b98f8abe62ced778,RKD-20231011-001,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,89580.0,3,89580.0,sc.material.inbound,create_material_inbound,
10786,185aaf82f494427ebb60925d4d649b4b,RKD-20231011-003,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,10960.0,3,10960.0,sc.material.inbound,create_material_inbound,
11231,b7ac36a41bb04251b485bf2165760b36,RKD-20231012-009,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,129241.0,3,129241.0,sc.material.inbound,create_material_inbound,
10738,06287ef7f4e747c5a0b10da17426566d,RKD-20231009-011,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,5700.0,1,5700.0,sc.material.inbound,create_material_inbound,
10874,3cc53fb250b1401595c11508da2c1b6b,RKD-20231011-004,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,299971.2,3,299971.2,sc.material.inbound,create_material_inbound,
10749,0a48b836dc104425b72167690cdb4014,RKD-20231011-006,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,8500.0,1,8500.0,sc.material.inbound,create_material_inbound,
10826,28397e461bc84b99b1d3e95c17cf000e,RKD-20231011-009,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,7095.0,1,7095.0,sc.material.inbound,create_material_inbound,
11072,829ca5ed801b44be908e50ad0acc6c1e,RKD-20231011-005,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,6560.0,1,6560.0,sc.material.inbound,create_material_inbound,
11114,92a453ee24054a048a593b2f8d8a1178,RKD-20231011-008,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,15537.0,2,15537.0,sc.material.inbound,create_material_inbound,
11142,9c6da7fd128c4722a75a8627597942a8,RKD-20231011-010,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,9500.0,3,9500.0,sc.material.inbound,create_material_inbound,
11377,ed82a6f83ead4bb8b062e21f6c9d345d,RKD-20231011-007,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,7762.6,1,7762.6,sc.material.inbound,create_material_inbound,
10982,60d40f218da34ad981b1617561e0d795,RKD-20231011-012,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,33565.05,2,33565.05,sc.material.inbound,create_material_inbound,
11111,9219f3f6719543b28b6bd432fb32c8e4,RKD-20231011-013,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,285272.35,4,285272.35,sc.material.inbound,create_material_inbound,
11227,b705bb2c02fb4fada1a17cc4816bbd49,RKD-20231011-014,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,12887.0,3,12887.0,sc.material.inbound,create_material_inbound,
11179,a6e2e3dbc31641928a714016a36b3f62,RKD-20231011-015,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,143119.8,4,143119.8,sc.material.inbound,create_material_inbound,
10935,5321887097924253897b2061232987dc,RKD-20231009-015,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,408170.0,1,408170.0,sc.material.inbound,create_material_inbound,
10813,24a7e0858765419482791a677d71b8ac,RKD-20231011-017,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,121401.0,8,121401.0,sc.material.inbound,create_material_inbound,
10973,5d669d6b341d447494d6fb49d5c7b1be,RKD-20231009-018,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,54096.0,1,54096.0,sc.material.inbound,create_material_inbound,
10875,3cd719d59b984ece8243f3317502a247,RKD-20231011-029,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,330526.0,4,330526.0,sc.material.inbound,create_material_inbound,
11050,7bba1139c48f41159ccc6dabab938a5b,RKD-20231011-018,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,199200.0,1,199200.0,sc.material.inbound,create_material_inbound,
10894,46322922979c445baeb7fde3498b68b6,RKD-20231011-019,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,107016.0,2,107016.0,sc.material.inbound,create_material_inbound,
11045,7ae68646a36d4042bf828382b73e99be,RKD-20231011-020,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,99000.2,2,99000.2,sc.material.inbound,create_material_inbound,
11055,7c576d059bc2495f8f449bfc02af1f6d,RKD-20231009-019,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,198000.0,2,198000.0,sc.material.inbound,create_material_inbound,
11297,ce80bc090cf74d40a98078946af9f086,RKD-20231012-015,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,660.0,1,660.0,sc.material.inbound,create_material_inbound,
11118,93f8b6f4c3e04645a3a4c4dc6aaf7d46,RKD-20231012-023,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,1950.0,1,1950.0,sc.material.inbound,create_material_inbound,
11083,897b2889b3114ed6ba17d326f7ed28b1,RKD-20231011-021,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,224102.0,2,224102.0,sc.material.inbound,create_material_inbound,
11344,defed970038b4a57b6657c0a8bb07ec8,RKD-20231012-008,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,35640.0,1,35640.0,sc.material.inbound,create_material_inbound,
10762,0e807941fc2e4c80a8b39970518872df,RKD-20231009-022,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,8384.0,2,8384.0,sc.material.inbound,create_material_inbound,
10824,2784dc8a885647dd88ef7f7d63cddefb,RKD-20231009-021,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,8384.0,1,8384.0,sc.material.inbound,create_material_inbound,
10859,3685026aaa0548fabaed4e949705c474,RKD-20231009-020,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,16100.0,2,16100.0,sc.material.inbound,create_material_inbound,
10930,522e330d5d0143f6b371a72ea06aac90,RKD-20231009-023,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,9432.0,1,9432.0,sc.material.inbound,create_material_inbound,
11406,f8fdf01e9b2f43b7afe27aa3456cb0fe,RKD-20231008-012,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,222003.15,11,222003.15,sc.material.inbound,create_material_inbound,
11324,d8af422262e842dd86d9acb0006ffb70,RKD-20231007-005,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,109956.0,1,109956.0,sc.material.inbound,create_material_inbound,
11376,ebede98f4f124589b55364e7cdba95f1,RKD-20231012-006,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,46992.0,1,46992.0,sc.material.inbound,create_material_inbound,
11112,92295c74dddd405d9003d87c6eecf23c,RKD-20231012-010,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,101347.2,1,101347.2,sc.material.inbound,create_material_inbound,
10785,17a23e6cc78d460f9aa0ee68d72848fd,RKD-20231011-022,42,SCBS未指定项目 - 四川晟博通达商贸有限公司,25500.0,1,25500.0,sc.material.inbound,create_material_inbound,
10956,59725b616a784adf858de3df598d097a,RKD-20231012-011,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,19015.0,3,19015.0,sc.material.inbound,create_material_inbound,
11260,c12eebe753a842a594497aa3be38e7fe,RKD-20231012-005,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,301492.0,7,301492.0,sc.material.inbound,create_material_inbound,
11013,6c0167aaa13d4d94a16448a57346d038,RKD-20231009-025,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,1071411.76,2,1071411.76,sc.material.inbound,create_material_inbound,
11336,dcf18e81e58c48c4940544a9eeb18b4e,RKD-20231009-024,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,1059415.68,3,1059415.6800000002,sc.material.inbound,create_material_inbound,
10806,21746625542e412787db1c7002daaf06,RKD-20231012-004,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,65986.8,1,65986.8,sc.material.inbound,create_material_inbound,
11046,7ae80356713b4536a35d61556cf44521,RKD-20231012-016,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,7380.0,1,7380.0,sc.material.inbound,create_material_inbound,
10990,63af408354724858acaf2eefe7488d20,RKD-20231012-013,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,16061.34,4,16061.34,sc.material.inbound,create_material_inbound,
11239,b9e332931a474ecdb312f0171501d237,RKD-20231012-001,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,19800.0,1,19800.0,sc.material.inbound,create_material_inbound,
11292,ccfd0e2c6bc548b6ab6ebcbc70519cd3,RKD-20231012-017,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,120802.53,5,120802.53,sc.material.inbound,create_material_inbound,
10921,4f3daa7f1cfc401ca8b46095d2685ac0,RKD-20231009-027,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,95000.0,1,95000.0,sc.material.inbound,create_material_inbound,
11057,7ce7c50558b34b7fa0f490af5c5248fa,RKD-20231009-028,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,95000.0,1,95000.0,sc.material.inbound,create_material_inbound,
11322,d837012f4ed94954b7f0611be43d8cfc,RKD-20231009-026,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,80000.0,1,80000.0,sc.material.inbound,create_material_inbound,
11269,c58bfd9bbd914ebb81bcf11e5cc4932e,RKD-20231009-029,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,144000.0,2,144000.0,sc.material.inbound,create_material_inbound,
11074,856e52737bc84341b13974336cb2c142,RKD-20231008-005,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,12665.0,5,12665.0,sc.material.inbound,create_material_inbound,
11361,e7a50d0b28024f38a8d4ac5b13b1228d,RKD-20231012-019,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,3080.0,1,3080.0,sc.material.inbound,create_material_inbound,
11389,f3529c0fcbfb4e06b86ae18c1747ffa4,RKD-20231012-012,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,95480.0,1,95480.0,sc.material.inbound,create_material_inbound,
10882,403ec0b330eb409788e9f852f9306b9f,RKD-20231012-020,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,20434.0,2,20434.0,sc.material.inbound,create_material_inbound,
11075,867b2ccdbab241d082c000bdd10becdb,RKD-20231008-009,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,20000.0,4,20000.0,sc.material.inbound,create_material_inbound,
10750,0ab513ad79d24b26affc1668e39dfc4a,RKD-20230922-045,46,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,2408.0,1,2408.0,sc.material.inbound,create_material_inbound,
11139,9be93376a0794dcbbd7667fc85b031cf,RKD-20231009-030,49,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,32000.0,1,32000.0,sc.material.inbound,create_material_inbound,
11355,e356c15c9df74fa7b56efd62784e82c6,RKD-20231012-002,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,81423.45,1,81423.45,sc.material.inbound,create_material_inbound,
10961,5abd7bac05c34a3bbac4aa12cc112ae9,RKD-20231012-003,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,75262.53,1,75262.53,sc.material.inbound,create_material_inbound,
11189,a9d98785401944bdb6c8c6770c26cbc3,RKD-20231012-007,48,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,12500.0,1,12500.0,sc.material.inbound,create_material_inbound,
