partner_key,legacy_partner_source,legacy_partner_id,legacy_partner_ids,name,company_type,customer_rank,supplier_rank,sc_supplier_type,sc_account_name,sc_bank_name,sc_bank_account,vat,legacy_credit_code,source_created_by,source_created_at,source_project_name,source_document_state,source_push_result,source_tax_rate,source_files,legacy_source_evidence,review_flags,review_reason
name:中江县中达财税咨询服务有限公司,xlsx_supplier_cooperat_company,name:中江县中达财税咨询服务有限公司,,中江县中达财税咨询服务有限公司,company,0,0,other,,,,,,邓洪英,2025-07-22 00:00,公司综合平台,审核通过,,1%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:企业所得税,xlsx_supplier_cooperat_company,name:企业所得税,,企业所得税,person,0,0,other,,,,,,倪德珍,2025-04-18 00:00,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:四川三和源招标代理有限公司,xlsx_supplier_cooperat_company,name:四川三和源招标代理有限公司,,四川三和源招标代理有限公司,company,0,1,other,,,,,,邓洪英,2024-01-19 11:46,公司综合平台,审核通过,,13%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:四川伟宸建筑工程有限公司,xlsx_supplier_cooperat_company,name:四川伟宸建筑工程有限公司,,四川伟宸建筑工程有限公司,company,0,0,other,,,,,,admin,2024-07-09 15:04,公司综合平台,审核通过,,9%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:四川兴禾维工程项目管理有限公司,xlsx_supplier_cooperat_company,name:四川兴禾维工程项目管理有限公司,,四川兴禾维工程项目管理有限公司,company,0,0,other,,,,,,凌林,2024-10-30 21:41,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,duplicate_name_in_xlsx;invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:四川华星天然气有限责任公司德阳分公司,xlsx_supplier_cooperat_company,name:四川华星天然气有限责任公司德阳分公司,,四川华星天然气有限责任公司德阳分公司,company,0,0,other,,,,,,倪德模,2023-07-21 10:43,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:四川合和顺建设集团有限公司,xlsx_supplier_cooperat_company,name:四川合和顺建设集团有限公司,,四川合和顺建设集团有限公司,company,0,0,other,,,,,,邓洪英,2025-01-23 00:00,公司综合平台,审核通过,,1%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:四川桓申建筑工程有限公司,xlsx_supplier_cooperat_company,name:四川桓申建筑工程有限公司,,四川桓申建筑工程有限公司,company,0,0,other,,,,,,秦军,2025-12-18 00:00,公司综合平台,审核通过,,9%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:四川欣兴档案管理咨询有限公司,xlsx_supplier_cooperat_company,name:四川欣兴档案管理咨询有限公司,,四川欣兴档案管理咨询有限公司,company,0,1,other,,,,,,邓洪英,2024-12-25 00:00,公司综合平台,审核通过,,1%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:四川正益工程项目管理有限公司,xlsx_supplier_cooperat_company,name:四川正益工程项目管理有限公司,,四川正益工程项目管理有限公司,company,0,0,other,,,,,,邓洪英,2025-12-25 00:00,公司综合平台,审核通过,,1%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:四川立尔信工程管理咨询有限公司,xlsx_supplier_cooperat_company,name:四川立尔信工程管理咨询有限公司,,四川立尔信工程管理咨询有限公司,company,0,0,other,,,,,,邓洪英,2024-08-27 10:07,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:四川立格建设项目管理有限公司,xlsx_supplier_cooperat_company,name:四川立格建设项目管理有限公司,,四川立格建设项目管理有限公司,company,0,0,other,,,,,,邓洪英,2025-06-03 00:00,公司综合平台,审核通过,,1%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:国家税务局,xlsx_supplier_cooperat_company,name:国家税务局,,国家税务局,person,0,0,other,,,,,,admin,2023-02-15 14:40,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:宣威市农业农村局,xlsx_supplier_cooperat_company,name:宣威市农业农村局,,宣威市农业农村局,person,0,0,other,,,,,,邓洪英,2025-08-05 00:00,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:德阳市德加汽车服务有限公司,xlsx_supplier_cooperat_company,name:德阳市德加汽车服务有限公司,,德阳市德加汽车服务有限公司,company,0,0,other,,,,,,邓洪英,2024-09-10 11:25,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:德阳市旌湖宾馆有限责任公司,xlsx_supplier_cooperat_company,name:德阳市旌湖宾馆有限责任公司,,德阳市旌湖宾馆有限责任公司,company,0,0,other,,,,,,邓洪英,2024-05-15 11:43,公司综合平台,审核通过,,6%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
name:德阳市旌源建设发展有限公司,xlsx_supplier_cooperat_company,name:德阳市旌源建设发展有限公司,,德阳市旌源建设发展有限公司,company,0,0,other,,,,,,admin,2024-07-09 14:13,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit,current_payload_row_not_found_in_business_source
