counterparty_text,normalized_name,contract_rows,match_type,recommended_action,manual_confirm_required,auto_create_allowed,existing_partner_hint,company_candidate_count,supplier_candidate_count,source,source_id,source_name,source_short_name,source_code,source_address,source_contact,source_phone,confirm_result,confirmed_partner_action,confirmed_source,confirmed_source_id,review_note
德阳市供水安装工程队,德阳市供水安装工程队,226,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,235e6a40e9a44c4cb9fc1e964f6560c3,德阳市供水安装工程队,,,,,,,,,,
四川工程职业技术学院,四川工程职业技术学院,110,cross_source_conflict,manual_confirm_source,yes,no,no,1,1,company,CBB3F3A4E6C64C23A1B17C68AE75D72C,四川工程职业技术学院,,,,,,,,,,
中国第二重型机械集团德阳万航模锻有限责任公司,中国第二重型机械集团德阳万航模锻,103,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,d1af09ef518946ee8fc69c6ea614ff3a,中国第二重型机械集团德阳万航模锻有限责任公司,,,,,,,,,,
二重（德阳）重型装备有限公司,二重德阳重型装备,94,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,4117359e2f71442cad82b68176edc60f,二重（德阳）重型装备有限公司,,,,,,,,,,
中国建筑第四工程局有限公司,中国建筑第四工程局,23,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,099cc4630a5b49d09cb90f70ed8144b3,中国建筑第四工程局有限公司,,,,,,,,,,
德阳经开建设工程有限公司,德阳经开建设工程,17,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,0F42104F56184AD88453598D7520D309,德阳经开建设工程有限公司,,,,,,,,,,
四川工程职业技术大学,四川工程职业技术大学,14,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,e503328ab7e4465b8d0c9834a528230a,四川工程职业技术大学,,,,,,,,,,
德阳市旌阳区八角井镇卫生院,德阳市旌阳区八角井镇卫生院,14,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,73ee20664ddc4e2da2bdb417230b0bd6,德阳市旌阳区八角井镇卫生院,,125105004511422279,,,,,,,,
四川建筑职业技术学院,四川建筑职业技术学院,14,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,8019d3289465482eb92a8d4c2415bf67,四川建筑职业技术学院,,,,,,,,,,
四川纹江致远建筑开发工程有限公司,四川纹江致远建筑开发工程,14,company_multiple,manual_select_company_candidate,yes,no,no,2,0,company,97B60E6FF880488C8BDDEDD5A92A350D,四川纹江致远建筑开发工程有限公司,,,,,,,,,,
德阳市城市管理行政执法局,德阳市城市管理行政执法局,14,company_single,manual_confirm_company_candidate,yes,no,no,1,0,company,B8DE79C91F004B8F927D51B644DE254C,德阳市城市管理行政执法局,,,,,,,,,,
