row_no,dry_run_decision,dry_run_reason,proposed_action,legacy_partner_source,legacy_partner_id,partner_name,tax_number,dedup_key_type,dedup_key,sources,source_row_count,merge_strategy,blockers,recommended_next_task
19,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,7620e052f0ca4d13aa12a5013d40c591,上海建业信息科技股份有限公司,,exact_name,上海建业信息科技股份有限公司,company,2,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
42,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,3373797eb3b64dee890de9ca210570cc,中交一公局海威工程建设有限公司,,exact_name,中交一公局海威工程建设有限公司,company,2,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
45,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,119e3bb58e0d41e6892d645e9c27926c,中仪国际招标有限公司,,exact_name,中仪国际招标有限公司,company,6,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
80,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,27af3fdab1a541888120f261ac87d78e,中国人民解放军陆军特色医学中心,,exact_name,中国人民解放军陆军特色医学中心,company,2,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
108,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,317dfb0a49914aedbc71a4784b85e282,中国平安财产保险股份有限公司天津分公司,,exact_name,中国平安财产保险股份有限公司天津分公司,company,4,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
110,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,269D7E9D1400424683B5F4E04C1B1A06,中国建筑一局（集团）有限公司,,exact_name,中国建筑一局（集团）有限公司,company,2,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
111,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,9D598AA886B8493D8143D98EF587F685,中国建筑第八工程局有限公司,,exact_name,中国建筑第八工程局有限公司,company,2,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
112,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,4e1beb51a1024c5381a64cc72dcb47df,中国建筑第六工程局有限公司,,exact_name,中国建筑第六工程局有限公司,company,2,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
113,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,099cc4630a5b49d09cb90f70ed8144b3,中国建筑第四工程局有限公司,,exact_name,中国建筑第四工程局有限公司,company,2,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
119,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,2dc5de81fff64fda8373debaecaac98a,中国机电工程招标有限公司,,exact_name,中国机电工程招标有限公司,company,6,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
132,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,1459E0CA0CFD444C8B5212B596490A04,中国石油天然气第七建设有限公司,,exact_name,中国石油天然气第七建设有限公司,company,2,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
134,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,04a8710a44ed45328929449164d6de56,中国石油天然气股份有限公司四川销售分公司,,exact_name,中国石油天然气股份有限公司四川销售分公司,company,4,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
155,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,587c5af87ae14c5392b4406df6c6551c,中国第二重型机械集团(德阳)万安物业发展有限公司,,exact_name,中国第二重型机械集团(德阳)万安物业发展有限公司,company,2,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
178,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,82931e90ee2746ae9c97b7d58d614a54,中建二局第二建筑工程有限公司,,exact_name,中建二局第二建筑工程有限公司,company,2,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
182,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,8d8201f8a31346cfb19f301bdba8330d,中建四局第一建设有限公司,,exact_name,中建四局第一建设有限公司,company,2,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
187,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,36754034ace34b49a49ce21131f0541c,中惠保险经纪有限公司,,exact_name,中惠保险经纪有限公司,company,5,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
193,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,33395bc28e964194abc3564ec362d277,中核（上海）供应链管理有限公司,,exact_name,中核（上海）供应链管理有限公司,company,5,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
198,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,4fadd8e3f4f044d095901147547fce0a,中江凯兴建设投资有限公司,,exact_name,中江凯兴建设投资有限公司,company,3,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
221,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,6adbc8d2a40a40d9acd1ffe659442ee5,中江县殡仪馆,,exact_name,中江县殡仪馆,company,2,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
222,missing_tax_company_duplicate_group_review,company_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,cooperat_company,07ccebac69384cc8a87e22d86c26f15e,中江县水利局,,exact_name,中江县水利局,company,2,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_group_review
83,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,15354c616f5046169ee325fd62f4c4b1,中国人民财产保险股份有限公司德阳市分公司,,exact_name,中国人民财产保险股份有限公司德阳市分公司,company;supplier,3,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
327,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,0974505ed1654933a59898852a8f164a,京东五星电器（四川）集团有限公司德阳分公司,,exact_name,京东五星电器（四川）集团有限公司德阳分公司,company;supplier,3,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
740,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,774e6ae549d341c9962cea7c6feb3ab7,四川安高消防工程有限公司中江分公司,,exact_name,四川安高消防工程有限公司中江分公司,company;supplier,3,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
843,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,8e916c589f364e7fa4d2496847edda6a,四川淼森飞国建材有限公司,,exact_name,四川淼森飞国建材有限公司,company;supplier,3,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
973,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,6607307ff6554131af437c6c161e268e,四川鑫垚建筑劳务有限公司,,exact_name,四川鑫垚建筑劳务有限公司,company;supplier,3,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
1006,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,1e80ba0f7f9a473abc58a6667feac377,国家税务总局德阳市旌阳区税务局,,exact_name,国家税务总局德阳市旌阳区税务局,company;supplier,3,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
1166,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,92fed7e0d6a54b9c8164377212306f7c,布拖县民主加油站,,exact_name,布拖县民主加油站,company;supplier,3,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
1451,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,70e572dbf07347709848dee864fd0d3a,德阳市区天义光电检测行,,exact_name,德阳市区天义光电检测行,company;supplier,5,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
1554,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,3da30fb68ea34b07970aeaf18545a094,德阳市杰阳资产运营管理有限公司,,exact_name,德阳市杰阳资产运营管理有限公司,company;supplier,3,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
1588,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,3f09fff078114c87b7bd9779ff77ce08,德阳市罗江区社会保险服务中心,,exact_name,德阳市罗江区社会保险服务中心,company;supplier,4,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
1667,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,5F5CEF59AD834722A3A28D497688F678,德阳森元路面工程有限公司,,exact_name,德阳森元路面工程有限公司,company;supplier,3,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
1966,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,1f613900c4b042f997c308baa2fe71d3,旌阳区雷盾电动门维修经营部,,exact_name,旌阳区雷盾电动门维修经营部,company;supplier,4,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
2260,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,05312268671f45d5845cbe9ccab4f266,深圳市正泓融资担保有限公司,,exact_name,深圳市正泓融资担保有限公司,company;supplier,3,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
2876,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,7c23a8dfe7a84ae1b9b861d8e06a0f92,重庆婷创机械设备租赁有限公司,,exact_name,重庆婷创机械设备租赁有限公司,company;supplier,4,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
2896,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,4c45f1b43663468c88c920cfca6f1377,重庆市南川区财政局,,exact_name,重庆市南川区财政局,company;supplier,4,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
2986,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,6c2791b2ee6545feb5da21a93e789bde,重庆百宇?昌建筑工程有限公司,,exact_name,重庆百宇?昌建筑工程有限公司,company;supplier,4,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
3052,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,0301a873ce234ed58cef350a23b9c0d4,铜梁区春林建筑设备租赁站,,exact_name,铜梁区春林建筑设备租赁站,company;supplier,4,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
3136,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,3944d3c4da664431ad7a9b44e5fbdeb0,零星发票,,exact_name,零星发票,company;supplier,5,merge_by_exact_name,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
3348,missing_tax_company_supplier_duplicate_group_review,company_supplier_duplicate_exact_name_without_tax,create_merged_partner_without_tax_number,company;supplier,e2abedc6931741e6b5f2e530f197f8c7,达娃次仁,,name_phone,达娃次仁|17808915538,company;supplier,4,merge_by_name_phone,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_duplicate_group_review
