row_no,proposed_action,target_model,target_company_type,target_customer_rank,target_supplier_rank,target_tax_number_policy,legacy_partner_source,legacy_partner_id,legacy_partner_name,legacy_source_evidence,future_rollback_key,design_blocker
2,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,9667534c1014428c830f0ad4ac4b6c37,10月报销,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:9667534c1014428c830f0ad4ac4b6c37,
3,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,5a91691e16bf484791b57720b188c0de,11月报销,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:5a91691e16bf484791b57720b188c0de,
4,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,77c62d6a50de44ed8395ba86ba831be0,1951项目经理部,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:77c62d6a50de44ed8395ba86ba831be0,
5,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,949e410dfba340b6bf6305b7577f2006,1月加油票,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:949e410dfba340b6bf6305b7577f2006,
6,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,e24938129cc841d2a8ad40129de1784a,20吨压路基魏杨雷,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:e24938129cc841d2a8ad40129de1784a,
7,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,d9b40391900f472982efcbc1d855305a,250型挖机刘新龙,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:d9b40391900f472982efcbc1d855305a,
8,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,8e0368d733694012a4e7a741c77fbfff,3月工资表,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:8e0368d733694012a4e7a741c77fbfff,
9,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,2b8df27feafb44e98c40fe4167941bc4,50型装载机刘恒伟,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:2b8df27feafb44e98c40fe4167941bc4,
11,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,4aff961155e6431d90feae6628cb11a9,60型挖机刘新龙,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:4aff961155e6431d90feae6628cb11a9,
12,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,f1ae3247f5334984984b26ad045c78e9,60型挖机张羽,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:f1ae3247f5334984984b26ad045c78e9,
15,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,6d7481e3c02d46399f48853278e90deb,万绿园林机械经营部,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:6d7481e3c02d46399f48853278e90deb,
16,create_company_partner_without_tax_number,res.partner,company,1,0,leave_blank,cooperat_company,a3c4fb155a9f471c86a3933f90520c3d,上海三快智送科技有限公司,partner_l4_missing_tax_single_source_dry_run_v1,cooperat_company:a3c4fb155a9f471c86a3933f90520c3d,
