row_no,proposed_action,target_model,target_company_type,target_customer_rank,target_supplier_rank,target_tax_number_policy,legacy_partner_source,legacy_partner_id,legacy_partner_name,legacy_source_evidence,future_rollback_key,design_blocker
17,create_company_supplier_partner_without_tax_number,res.partner,company,1,1,leave_blank,cooperat_company,51eb920a40394ca6a69498c91d02f161,上海丞华消防工程技术有限公司,partner_l4_remaining_missing_tax_company_supplier_write_design_v1,cooperat_company:51eb920a40394ca6a69498c91d02f161,
31,create_company_supplier_partner_without_tax_number,res.partner,company,1,1,leave_blank,cooperat_company,37e7e545c705456ab9e00501de346f71,东方希望重庆水泥有限公司,partner_l4_remaining_missing_tax_company_supplier_write_design_v1,cooperat_company:37e7e545c705456ab9e00501de346f71,
34,create_company_supplier_partner_without_tax_number,res.partner,company,1,1,leave_blank,cooperat_company,e8732257725c44d38bf7c0a6ff916a44,东海县驼峰乡瑞建起重吊装工程服务部,partner_l4_remaining_missing_tax_company_supplier_write_design_v1,cooperat_company:e8732257725c44d38bf7c0a6ff916a44,
35,create_company_supplier_partner_without_tax_number,res.partner,company,1,1,leave_blank,cooperat_company,03ef465ed296478788bda53cb027d57b,东能电缆有限公司,partner_l4_remaining_missing_tax_company_supplier_write_design_v1,cooperat_company:03ef465ed296478788bda53cb027d57b,
56,create_company_supplier_partner_without_tax_number,res.partner,company,1,1,leave_blank,cooperat_company,152cd02406e14e0f9c4a2eb45cee46e0,中国人寿保险股份有限公司四川省分公司,partner_l4_remaining_missing_tax_company_supplier_write_design_v1,cooperat_company:152cd02406e14e0f9c4a2eb45cee46e0,
59,create_company_supplier_partner_without_tax_number,res.partner,company,1,1,leave_blank,cooperat_company,115C3FA1E8894E72A7B7BDD47DEA5D12,中国人寿财产保险股份有限公司德阳市中心支公司,partner_l4_remaining_missing_tax_company_supplier_write_design_v1,cooperat_company:115C3FA1E8894E72A7B7BDD47DEA5D12,
61,create_company_supplier_partner_without_tax_number,res.partner,company,1,1,leave_blank,cooperat_company,501bff3e0f264a98823ce18de30a96d6,中国人寿财产保险股份有限公司绵阳市中心支公司,partner_l4_remaining_missing_tax_company_supplier_write_design_v1,cooperat_company:501bff3e0f264a98823ce18de30a96d6,
62,create_company_supplier_partner_without_tax_number,res.partner,company,1,1,leave_blank,cooperat_company,43722ead06e44b06aecb349ba1542833,中国人寿财产保险股份有限公司重庆市分公司,partner_l4_remaining_missing_tax_company_supplier_write_design_v1,cooperat_company:43722ead06e44b06aecb349ba1542833,
97,create_company_supplier_partner_without_tax_number,res.partner,company,1,1,leave_blank,cooperat_company,dcbcfa37bcf947379d5021b8da0a32d5,中国大地财产保险股份有限公司四川分公司,partner_l4_remaining_missing_tax_company_supplier_write_design_v1,cooperat_company:dcbcfa37bcf947379d5021b8da0a32d5,
109,create_company_supplier_partner_without_tax_number,res.partner,company,1,1,leave_blank,cooperat_company,caffb87d3a654c3681dd1bfc659a86bc,中国平安财产保险股份有限公司重庆分公司,partner_l4_remaining_missing_tax_company_supplier_write_design_v1,cooperat_company:caffb87d3a654c3681dd1bfc659a86bc,
