write_design_id,proposed_action,legacy_partner_source,legacy_partner_id,partner_name,legacy_credit_code,legacy_tax_no,dedup_key_type,dedup_key,sources,source_row_count,merge_strategy,customer_flag,supplier_flag,rollback_key_source,rollback_key_legacy_id,source_screen_row_no,db_write
partner_l4_same_tax_company_supplier_canonical_0001,create_company_supplier_partner_with_canonical_tax_number,company_supplier,02588a8fccef43768baef7565247346c,四川美克罗建材有限公司,108800186509923,108800186509923,tax_number,108800186509923,company;supplier,8,merge_by_tax_number,true,true,company_supplier,02588a8fccef43768baef7565247346c,3364,false
partner_l4_same_tax_company_supplier_canonical_0002,create_company_supplier_partner_with_canonical_tax_number,company_supplier,14925cfd843b48cd8154f99cff584246,国家税务总局苍溪县税务局发票代开,51082400DK00037,51082400DK00037,tax_number,51082400DK00037,company;supplier,4,merge_by_tax_number,true,true,company_supplier,14925cfd843b48cd8154f99cff584246,3537,false
partner_l4_same_tax_company_supplier_canonical_0003,create_company_supplier_partner_with_canonical_tax_number,company_supplier,be2d218dc3c2462a928e6e56cadac017,西昌市税务局,51340100DK01603,51340100DK01603,tax_number,51340100DK01603,company;supplier,4,merge_by_tax_number,true,true,company_supplier,be2d218dc3c2462a928e6e56cadac017,3575,false
partner_l4_same_tax_company_supplier_canonical_0004,create_company_supplier_partner_with_canonical_tax_number,company_supplier,f25bf40f6e5c4ed2b3c68caf5ba9a922,江西星飞工程设备有限公司,91360122MA399JHR0G,91360122MA399JHR0G,tax_number,91360122MA399JHR0G,company;supplier,2,merge_by_tax_number,true,true,company_supplier,f25bf40f6e5c4ed2b3c68caf5ba9a922,3719,false
partner_l4_same_tax_company_supplier_canonical_0005,create_company_supplier_partner_with_canonical_tax_number,company_supplier,0a3463ad9a774079b18713d7d81d6dc0,永州市智博工程有限公司,91431121MA4RCLTT3B,91431121MA4RCLTT3B,tax_number,91431121MA4RCLTT3B,company;supplier,3,merge_by_tax_number,true,true,company_supplier,0a3463ad9a774079b18713d7d81d6dc0,3767,false
partner_l4_same_tax_company_supplier_canonical_0006,create_company_supplier_partner_with_canonical_tax_number,company_supplier,450de1022ae44f7faab768f7479405a9,广州峰华石材有限公司,91440101080388593H,91440101080388593H,tax_number,91440101080388593H,company;supplier,4,merge_by_tax_number,true,true,company_supplier,450de1022ae44f7faab768f7479405a9,3772,false
partner_l4_same_tax_company_supplier_canonical_0007,create_company_supplier_partner_with_canonical_tax_number,company_supplier,edd6f86ca31846338e2b71897675323a,广州市亿洲混凝土有限公司,91440101767653648L,91440101767653648L,tax_number,91440101767653648L,company;supplier,2,merge_by_tax_number,true,true,company_supplier,edd6f86ca31846338e2b71897675323a,3776,false
partner_l4_same_tax_company_supplier_canonical_0008,create_company_supplier_partner_with_canonical_tax_number,company_supplier,58562b121ddb41f291239cfa08af548f,深圳市高新投融资担保有限公司 (2),91440300571956268F,91440300571956268F,tax_number,91440300571956268F,company;supplier,2,merge_by_tax_number,true,true,company_supplier,58562b121ddb41f291239cfa08af548f,3809,false
partner_l4_same_tax_company_supplier_canonical_0009,create_company_supplier_partner_with_canonical_tax_number,company_supplier,a1c863ee3893441d884c735bcd1b117b,肇庆君利来陶瓷有限公司,91441226MA56G6U49D,91441226MA56G6U49D,tax_number,91441226MA56G6U49D,company;supplier,3,merge_by_tax_number,true,true,company_supplier,a1c863ee3893441d884c735bcd1b117b,3835,false
partner_l4_same_tax_company_supplier_canonical_0010,create_company_supplier_partner_with_canonical_tax_number,company_supplier,b35aa472191c4435a3a5fc78c153bc22,惠州博海体育设施有限公司,91441322MA51D5AG60,91441322MA51D5AG60,tax_number,91441322MA51D5AG60,company;supplier,2,merge_by_tax_number,true,true,company_supplier,b35aa472191c4435a3a5fc78c153bc22,3836,false
