row_no,decision,reason,legacy_partner_source,legacy_partner_id,partner_name,tax_number,normalized_tax_number,dedup_key_type,dedup_key,sources,source_row_count,merge_strategy,blockers,recommended_next_task
3366,placeholder_tax_split_by_name_screen,placeholder_tax_ones,company_supplier,0bf7b6996fca4908ac301ff388f35f32,中国人民解放军32329部队,111111111,111111111,tax_number,111111111,company;supplier,9,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,placeholder_tax_split_by_name_screen
3367,placeholder_tax_split_by_name_screen,placeholder_tax_ones,company_supplier,4fbdffc4284a4c22aa8e2c0729bbea74,四川方碧园钢结构制造有限公司,1111111111,1111111111,tax_number,1111111111,company;supplier,4,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,placeholder_tax_split_by_name_screen
3368,placeholder_tax_split_by_name_screen,placeholder_tax_ones,company_supplier,11901ba4394a4e2fa48278a6ea17c9b2,共管账户（苍溪六标段）,11111111111,11111111111,tax_number,11111111111,company;supplier,4,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,placeholder_tax_split_by_name_screen
3369,placeholder_tax_split_by_name_screen,placeholder_tax_ones,company_supplier,01b86571de1e4332854e00ab42c46c9f,中江县南华镇金宏机械租赁经营部,111111111111,111111111111,tax_number,111111111111,company;supplier,19,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,placeholder_tax_split_by_name_screen
3370,placeholder_tax_split_by_name_screen,placeholder_tax_ones,company_supplier,27c3c71cb131495384079dce093e9fa8,四川工程职业技术学院,1111111111111,1111111111111,tax_number,1111111111111,company;supplier,6,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,placeholder_tax_split_by_name_screen
3364,same_tax_company_supplier_canonical_merge_review,tax_format_usable,company_supplier,02588a8fccef43768baef7565247346c,四川美克罗建材有限公司,108800186509923,108800186509923,tax_number,108800186509923,company;supplier,8,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,same_tax_company_supplier_canonical_merge_review
3537,same_tax_company_supplier_canonical_merge_review,tax_format_usable,company_supplier,14925cfd843b48cd8154f99cff584246,国家税务总局苍溪县税务局发票代开,51082400DK00037,51082400DK00037,tax_number,51082400DK00037,company;supplier,4,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,same_tax_company_supplier_canonical_merge_review
3575,same_tax_company_supplier_canonical_merge_review,tax_format_usable,company_supplier,be2d218dc3c2462a928e6e56cadac017,西昌市税务局,51340100DK01603,51340100DK01603,tax_number,51340100DK01603,company;supplier,4,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,same_tax_company_supplier_canonical_merge_review
3719,same_tax_company_supplier_canonical_merge_review,tax_format_usable,company_supplier,f25bf40f6e5c4ed2b3c68caf5ba9a922,江西星飞工程设备有限公司,91360122MA399JHR0G,91360122MA399JHR0G,tax_number,91360122MA399JHR0G,company;supplier,2,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,same_tax_company_supplier_canonical_merge_review
3767,same_tax_company_supplier_canonical_merge_review,tax_format_usable,company_supplier,0a3463ad9a774079b18713d7d81d6dc0,永州市智博工程有限公司,91431121MA4RCLTT3B,91431121MA4RCLTT3B,tax_number,91431121MA4RCLTT3B,company;supplier,3,merge_by_tax_number,same_tax_multiple_names;deduplicated_group_not_create_only;non_primary_partner_source,same_tax_company_supplier_canonical_merge_review
