id,legacy_partner_source,legacy_partner_id,name,legacy_partner_name,legacy_credit_code,legacy_tax_no,phone,email,customer_rank,supplier_rank
274,cooperat_company,00f7720309de433794f5b78e8f45965d,重庆瑞程祥城市环卫服务有限公司,重庆瑞程祥城市环卫服务有限公司,91500000MA5YR3CN7C,91500000MA5YR3CN7C,,,1,1
268,cooperat_company,02127b7cd988479497364ddc7fce57a0,利宝保险有限公司山东分公司,利宝保险有限公司山东分公司,915000006664268767,915000006664268767,,,1,0
247,cooperat_company,022268a2943f4c79bab1372f07786794,中山市建设工程质量检测中心有限公司,中山市建设工程质量检测中心有限公司,91442000315134134N,91442000315134134N,,,1,1
304,cooperat_company,024c75ca30c443f1a4a7009e38653947,中国大地财产保险股份有限公司重庆分公司营业部,中国大地财产保险股份有限公司重庆分公司营业部,91500105MA5U3LNL53,91500105MA5U3LNL53,,,1,1
249,cooperat_company,03b94fa74f9c4c048fe0f7c67d5af638,广西鹏象木业有限公司,广西鹏象木业有限公司,91450181MAE2R2LT8N,91450181MAE2R2LT8N,,,1,1
248,cooperat_company,053bcc630f5d4e798df896dbd67f2a93,中山市鑫弘建筑工程有限公司,中山市鑫弘建筑工程有限公司,91442000MA7GKJMB5N,91442000MA7GKJMB5N,,,1,1
294,cooperat_company,05702b9004b34a7f86ca5485ec1a043e,重庆胜才建筑劳务有限公司,重庆胜才建筑劳务有限公司,915001046608761555,915001046608761555,,,1,1
271,cooperat_company,06219123ceee40c18aed61d26aabd433,阳光信用保证保险股份有限公司,阳光信用保证保险股份有限公司,91500000MA5U4CR858,91500000MA5U4CR858,,,1,1
273,cooperat_company,0b1afecb6dd34f36b95d8dbd449a4457,重庆招标采购（集团）有限责任公司,重庆招标采购（集团）有限责任公司,91500000MA5U8BBQXB,91500000MA5U8BBQXB,,,1,1
240,cooperat_company,0b2b10aa4d704be8a294f9e2e671176d,佛山市川建建筑材料有限公司,佛山市川建建筑材料有限公司,91440605MA55LEP10Q,91440605MA55LEP10Q,,,1,1
242,cooperat_company,1304e9378a0f40eda6cda64009ccc3dc,湛江市广创建材有限公司,湛江市广创建材有限公司,91440802MA53CYM905,91440802MA53CYM905,,,1,1
287,cooperat_company,13865907350e4fc88b2218db43ba14ce,重庆市群冠商贸有限公司,重庆市群冠商贸有限公司,91500102MA5UPX8HXB,91500102MA5UPX8HXB,,,1,1
226,cooperat_company,18709cfc12044584b46784827d3da5fd,深圳市鼎银融资担保有限公司,深圳市鼎银融资担保有限公司,914403006925058505,914403006925058505,,,1,1
236,cooperat_company,1a422ab4449e4810a0bdf1accd975736,广东昊铂金属制品有限公司,广东昊铂金属制品有限公司,91440300MADJBCK75Y,91440300MADJBCK75Y,,,1,1
245,cooperat_company,1b95a173ddb34097824ed2f05ad899da,广东焙跃建设工程有限公司,广东焙跃建设工程有限公司,91441802MA7LFUDB5F,91441802MA7LFUDB5F,,,1,1
292,cooperat_company,1be009e9db6943dba62cfeed48953415,重庆中承亿工程担保有限公司,重庆中承亿工程担保有限公司,91500103MAEDC7C647,91500103MAEDC7C647,,,1,1
315,cooperat_company,1efb293578f14148818734d17c88849e,重庆阳泽亮建材有限公司,重庆阳泽亮建材有限公司,91500106MA5URW518T,91500106MA5URW518T,,,1,1
257,cooperat_company,20133510bfed4e519c0effd94d4b04a0,广西来宾东扬木业有限公司,广西来宾东扬木业有限公司,91451302MAE1954L3N(1-1),91451302MAE1954L3N(1-1),,,1,1
234,cooperat_company,286c4e38744446ea88a6d309c326347e,陕西电广传媒保险经纪有限公局深圳分公司,陕西电广传媒保险经纪有限公局深圳分公司,91440300MA5FMNJ038,91440300MA5FMNJ038,,,1,1
227,cooperat_company,29412115d0674ea39bd8d7e2f443a03c,深圳市海洋王照明工程有限公司,深圳市海洋王照明工程有限公司,91440300746648401D,91440300746648401D,,,1,1
239,cooperat_company,30afc9a4cdf245aaa5018571a7b701bd,广东三睿法务咨询有限公司,广东三睿法务咨询有限公司,91440604MACKJW2B0J,91440604MACKJW2B0J,,,1,1
313,cooperat_company,31e295f20f1b496aa53f4d69dea72ef9,重庆恒泰工程技术服务有限公司,重庆恒泰工程技术服务有限公司,915001067094322066,915001067094322066,,,1,1
277,cooperat_company,391d7376483d423c900a536f99e339ae,重庆正诚标研工程检测有限公司,重庆正诚标研工程检测有限公司,91500000MA61DQHB9R,91500000MA61DQHB9R,,,1,1
296,cooperat_company,3b8853b19b074ddfb5ab75ead2119832,重庆星恰商贸有限公司,重庆星恰商贸有限公司,91500104MA5YXW7H8G,91500104MA5YXW7H8G,,,1,1
270,cooperat_company,3e195ac2399b4b38b82d126853bdd639,重庆海渝建设工程施工设计审图有限公司,重庆海渝建设工程施工设计审图有限公司,91500000768895673K,91500000768895673K,,,1,1
221,cooperat_company,40629b1dcae0462f915437314234434f,广州坚基环保材料有限公司,广州坚基环保材料有限公司,91440113MAC5TDJC6M,91440113MAC5TDJC6M,,,1,1
301,cooperat_company,40e1b51f23cc48c2adbf954c5934976c,重庆国际投资咨询集团有限公司四川分公司,重庆国际投资咨询集团有限公司四川分公司,91500105759260895X,91500105759260895X,,,1,0
241,cooperat_company,483978d3fe01402daec76fe02b70f8fd,开平市聚壹城工程机械设备租赁有限公司,开平市聚壹城工程机械设备租赁有限公司,91440783MACQEJT99W,91440783MACQEJT99W,,,1,1
289,cooperat_company,4c75cec6b67b4fccb3a217ff59f710b2,重庆巴驿公共交通站场管理有限公司（排除重名往来单位）,重庆巴驿公共交通站场管理有限公司（排除重名往来单位）,91500103073665599A,91500103073665599A,,,1,1
295,cooperat_company,4dfdfb2145f54e009049229d470b5a72,重庆沿建科技有限公司,重庆沿建科技有限公司,915001047717768789,915001047717768789,,,1,1
266,cooperat_company,4edfe5e49943472c9963ac5979e2ef3f,重庆市农业投资集团有限公司,重庆市农业投资集团有限公司,915000004504353431,915000004504353431,,,1,1
228,cooperat_company,4f9704455a55472c942c339dd2c6eae3,深圳中联银融资担保有限公司,深圳中联银融资担保有限公司,91440300760497427B,91440300760497427B,,,1,1
300,cooperat_company,5037911b40de444a852dd40c99ec90b5,重庆北润机电设备有限公司,重庆北润机电设备有限公司,915001056889281807,915001056889281807,,,1,1
230,cooperat_company,5410ac23e9004c929acba432af01e7fb,深圳市远正非融资性担保有限公司,深圳市远正非融资性担保有限公司,91440300MA5DL6H31Y,91440300MA5DL6H31Y,,,1,1
260,cooperat_company,56012045384f4b32b5ddc00fa7746a42,广西来宾市悦途木业有限公司,广西来宾市悦途木业有限公司,91451302MAEJUNFL37(1-1),91451302MAEJUNFL37(1-1),,,1,1
286,cooperat_company,57d19c46af4d46a6a37b33ab27dd0cb4,重庆市成前防水工程有限责任公司,重庆市成前防水工程有限责任公司,91500102MA5U823E6D,91500102MA5U823E6D,,,1,1
256,cooperat_company,593591af957a4c42acdcf57658149e3d,来宾市日月星木业有限公司,来宾市日月星木业有限公司,91451302MACPD1YW31,91451302MACPD1YW31,,,1,1
305,cooperat_company,5967f8012cc840f5bc539622bd2afc98,重庆凡安建材有限公司,重庆凡安建材有限公司,91500105MA5U80LU68,91500105MA5U80LU68,,,1,1
262,cooperat_company,5a8428e6a0e44321a480e9d31c9e7d01,广西百成恒林木业有限公司,广西百成恒林木业有限公司,91451400MA5L8GQ67F,91451400MA5L8GQ67F,,,1,1
298,cooperat_company,5aa8ae96608e479393a7437f9cfe46b4,重庆市工程管理有限公司,重庆市工程管理有限公司,915001052028633655,915001052028633655,,,1,1
311,cooperat_company,5ac43411e91e47f0bfffd519b0ad1395,重庆驰乔科技有限公司,重庆驰乔科技有限公司,915001063050055153,915001063050055153,,,1,1
235,cooperat_company,5afdb839949d4c1ba612c3dd243cc4d2,深圳市深担增信融资担保有限公司,深圳市深担增信融资担保有限公司,91440300MA5FX30N6N,91440300MA5FX30N6N,,,1,1
253,cooperat_company,5b7f5f5e851c45a19e9c98827077001a,贵港沈氏木业有限公司,贵港沈氏木业有限公司,91450804MACJTJCC0X,91450804MACJTJCC0X,,,1,1
279,cooperat_company,5eab95dc4e2b4396a4168b7938896673,重庆旭驰建筑劳务有限公司,重庆旭驰建筑劳务有限公司,91500000MACPD5L182,91500000MACPD5L182,,,1,1
261,cooperat_company,650e3b2d6b8f49919c22db7639d33348,广西坤权木业有限公司,广西坤权木业有限公司,91451323MAD6XTPQ7R,91451323MAD6XTPQ7R,,,1,1
306,cooperat_company,67e7e79a26c345479ddeb43284a5e3f9,重庆升圆电梯销售有限责任公司,重庆升圆电梯销售有限责任公司,91500105MA5U84J172,91500105MA5U84J172,,,1,1
302,cooperat_company,68201349939b4af486c0a7624d55e8df,重庆金若管道制造有限公司,重庆金若管道制造有限公司,91500105768888529N,91500105768888529N,,,1,1
285,cooperat_company,689b47d78b914cb280a62116f2d5e1d1,永安财产保险股份有限公司涪陵中心支公司,永安财产保险股份有限公司涪陵中心支公司,91500102739806360U,91500102739806360U,,,1,1
259,cooperat_company,739b14660ed34f1ab13d66f86c40bb04,广西丰宏木业有限公司,广西丰宏木业有限公司,91451302MAEGXQMF0K,91451302MAEGXQMF0K,,,1,1
278,cooperat_company,746d8edabff64676991014a8eec873e3,重庆建汇工程咨询有限公司,重庆建汇工程咨询有限公司,91500000MA7G9LHE3B,91500000MA7G9LHE3B,,,1,1
272,cooperat_company,754e39dc740d4b398a38e5d7c73fc7f1,天之瓴建设股份有限公司重庆分公司,天之瓴建设股份有限公司重庆分公司,91500000MA5U5K0PXE,91500000MA5U5K0PXE,,,1,1
244,cooperat_company,75ba19b074214e428d655edc4a73982e,清远市广进公路工程有限公司,清远市广进公路工程有限公司,91441802MA5604KW1U,91441802MA5604KW1U,,,1,1
308,cooperat_company,76b02da161154a4f987622f8894ec9f2,重庆良森科技有限责任公司,重庆良森科技有限责任公司,91500105MAEDAHP39P,91500105MAEDAHP39P,,,1,1
250,cooperat_company,793411f4414940d5873fead8bdd144ee,贵港市百样通木业有限公司,贵港市百样通木业有限公司,91450800MA5NMEQE55,91450800MA5NMEQE55,,,1,1
284,cooperat_company,7944ce37cdf242c8989011208bac5792,重庆筒筹劳务有限公司,重庆筒筹劳务有限公司,91500101MAE8X9GX64,91500101MAE8X9GX64,,,1,1
283,cooperat_company,7b3655169a12479aab936d576b85b2b6,重庆净易涂建材有限公司,重庆净易涂建材有限公司,91500101MA612BJL2K,91500101MA612BJL2K,,,1,1
307,cooperat_company,7c79698237b54c0cafcd7dbba9aa76a8,重庆卓达检测技术有限公司,重庆卓达检测技术有限公司,91500105MA60UM5K79,91500105MA60UM5K79,,,1,1
263,cooperat_company,83ab82be48e7417593d1e42507c08289,广西新中林木业有限公司,广西新中林木业有限公司,91451422MA7AH13T0Y,91451422MA7AH13T0Y,,,1,1
264,cooperat_company,879c5ebe897d4590b86faba3bba5cda2,重庆荣路建筑工程有限公司,重庆荣路建筑工程有限公司,91500 227MA 60T7 WE3E,91500 227MA 60T7 WE3E,,,1,1
231,cooperat_company,88b02f1187c94cd9a69f670782c4a5ed,深圳市美轩食品有限公司,深圳市美轩食品有限公司,91440300MA5DP5GW13,91440300MA5DP5GW13,,,1,1
233,cooperat_company,8afe9dfaf4b04fa09946b9d62a2af4d2,深圳市宙斯工程管理服务有限公司,深圳市宙斯工程管理服务有限公司,91440300MA5F210U9M,91440300MA5F210U9M,,,1,1
310,cooperat_company,8dbeb76e25b7486f9e9f874192105601,重庆市全城建筑设计有限公司,重庆市全城建筑设计有限公司,91500106203070770F,91500106203070770F,,,1,1
318,cooperat_company,90c128e5b14c489d8c5e2fe81fb08063,成都大成百盛建筑工程管理有限公司重庆分公司,成都大成百盛建筑工程管理有限公司重庆分公司,91500106MA60U4M7XF,91500106MA60U4M7XF,,,1,1
224,cooperat_company,981aaceb2e464ef7b3cb222634d06c81,华西盛世商业（深圳）有限公司,华西盛世商业（深圳）有限公司,914403003120210547,914403003120210547,,,1,1
280,cooperat_company,9842ef7fdb55459988827328f958d6d7,重庆欢林建材销售有限公司,重庆欢林建材销售有限公司,91500000MAEHT4904G,91500000MAEHT4904G,,,1,1
267,cooperat_company,9b9915627ecd4efa8925ad57ae414179,重庆高速公路集团有限公司南方营运分公司,重庆高速公路集团有限公司南方营运分公司,9150000055200232X0,9150000055200232X0,,,1,1
