model,id,legacy_xmid,name
sc.legacy.business.entity.map,1,95f1fe93331842488d5469ad771a1543,德阳泰诚硕商贸有限公司
sc.business.entity,1,95f1fe93331842488d5469ad771a1543,德阳泰诚硕商贸有限公司
sc.legacy.business.entity.map,2,af1d4b6f50504cfd9c6b0b13065fecff,四川世旺鑫润商贸有限公司
sc.business.entity,2,af1d4b6f50504cfd9c6b0b13065fecff,四川世旺鑫润商贸有限公司
sc.legacy.business.entity.map,3,547603a871bd42c5b19681683626a314,四川迈投建筑工程有限公司
sc.business.entity,3,547603a871bd42c5b19681683626a314,四川迈投建筑工程有限公司
sc.legacy.business.entity.map,4,306434aba43f4128b4ab6d8a6b289674,四川晟博通达商贸有限公司
sc.business.entity,4,306434aba43f4128b4ab6d8a6b289674,四川晟博通达商贸有限公司
sc.legacy.business.entity.map,5,88ca50467a784725aa4b42467b549e21,德阳市博众建材销售有限公司
sc.business.entity,5,88ca50467a784725aa4b42467b549e21,德阳市博众建材销售有限公司
sc.legacy.business.entity.map,6,b8bc05aace5149f2af36878e9c030f4c,四川鑫垚建筑劳务有限公司
sc.business.entity,6,b8bc05aace5149f2af36878e9c030f4c,四川鑫垚建筑劳务有限公司
sc.legacy.business.entity.map,7,fa8bdd0d90aa4585bf8c27011d01b6d5,四川翔驰恒瑞商贸有限公司
sc.business.entity,7,fa8bdd0d90aa4585bf8c27011d01b6d5,四川翔驰恒瑞商贸有限公司
sc.legacy.business.entity.map,8,ad4866a0a8a24b629a87165d98be5948,四川宏政嘉斯建筑工程有限公司
sc.business.entity,8,ad4866a0a8a24b629a87165d98be5948,四川宏政嘉斯建筑工程有限公司
sc.legacy.business.entity.map,9,8e63129abde54614ae66ef7df8f91046,四川宏川建筑劳务有限公司
sc.business.entity,9,8e63129abde54614ae66ef7df8f91046,四川宏川建筑劳务有限公司
sc.legacy.business.entity.map,10,0d7cd766eb9f4d23b53761e593148e25,德阳森元路面工程有限公司
sc.business.entity,10,0d7cd766eb9f4d23b53761e593148e25,德阳森元路面工程有限公司
sc.legacy.business.entity.map,11,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台
sc.business.entity,11,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台
sc.legacy.business.entity.map,12,a5f4079846f345788536d81c916ef70f,四川嘉易欢悦建筑工程有限公司
sc.business.entity,12,a5f4079846f345788536d81c916ef70f,四川嘉易欢悦建筑工程有限公司
