id,legacy_project_id,name,lifecycle_state,phase_key,sc_execution_state,stage_id,owner_id,location,boq_line_count,contract_count,request_count,ledger_count,receipt_count,expense_count,invoice_count,loan_count,fund_count
2,00a4bb196d944fa5a8c56e3bd3f1e448,"{""en_US"": ""德阳市罗江区鄢家镇高垭村山坪塘整治项目""}",in_progress,execution,in_progress,6,,,0,8,16,6,3,0,3,0,0
3,00c73f013e234461883beac337e8d75d,"{""en_US"": ""石亭江-绵远河生态廊道场地平整工程""}",in_progress,execution,in_progress,6,,,0,0,8,2,2,0,2,0,0
4,00db8d3baa894d1e8efd7acd181f6499,"{""en_US"": ""渝数科技公司重庆数字大厦第6层办公用房装修改造项目""}",in_progress,execution,in_progress,6,,,0,7,18,7,2,0,10,0,0
5,0201344da1b74e008006a7a96f90be6f,"{""en_US"": ""四川艺术职业学院消防隐患整治工程""}",in_progress,execution,in_progress,6,,,0,4,15,6,2,4,4,0,0
6,020eddc09afb4260a5843a84ee58d826,"{""en_US"": ""龙泉驿区2020年人行道整治提升工程（怡安路、合聚路、玉扬路）""}",in_progress,execution,in_progress,6,,,0,1,11,4,3,0,3,0,0
7,027c5b467ae94e52aabb6f6218d310d4,"{""en_US"": ""成渝双城经济圈川渝高竹新区制造产业园及配套基础设施建设项目（L3-1线道路及配套工程劳务分包）""}",in_progress,execution,in_progress,6,,,0,19,99,44,7,4,32,0,0
8,02df67b4ddb6469b81ed551e9b544d25,"{""en_US"": ""剑阁县文化广电新闻出版局人才基地建设项目""}",in_progress,execution,in_progress,6,,,0,1,12,2,2,0,3,0,0
9,037fddc6219449c3840477989cc06f82,"{""en_US"": ""中江县仓山镇郪江桥梁工程""}",in_progress,execution,in_progress,6,,,0,0,7,2,1,0,2,0,0
10,03f8997135504039a36557ec6e57909b,"{""en_US"": ""工程部后油库油罐清洗""}",in_progress,execution,in_progress,6,,,0,1,3,1,1,0,2,0,0
12,04c36990cc144f04b8f2423c36e5f713,"{""en_US"": ""喀什地区一市四县带动农户养殖喀什黑鸡基础设施建设项目-喀什市一期电力""}",in_progress,execution,in_progress,6,,,0,24,69,29,3,0,6,0,0
13,04d0a65675424e41b8c65ba26ef48b4e,"{""en_US"": ""中江公司变电检修班“工人先锋号”环境整治""}",in_progress,execution,in_progress,6,,,0,2,8,3,2,0,5,0,0
14,05139ca820724561bee71e016b22fd55,"{""en_US"": ""2022年日常维护项目（竞标12）""}",in_progress,execution,in_progress,6,,,0,6,20,7,3,0,5,0,0
15,0550ea3a2e1b4161b25a697476e344b5,"{""en_US"": ""准环对称仿星器项目""}",in_progress,execution,in_progress,6,,,0,1,9,4,1,0,2,0,0
16,059742d9ac094c018b91894306d5fc2d,"{""en_US"": ""ALC预制隔墙板供应及施工分包合同""}",in_progress,execution,in_progress,6,,,0,8,95,33,6,0,20,1,0
17,069cd56871fd4307b836a3167fddf14b,"{""en_US"": ""和田地区于田县高速公路10千伏线路迁改工程""}",in_progress,execution,in_progress,6,,,0,7,33,13,3,0,2,0,0
19,06cd855d5ede4a279a81568903836256,"{""en_US"": ""白鹤花园修建建筑垃圾池""}",in_progress,execution,in_progress,6,,,0,1,0,0,0,0,0,0,0
20,072425c9c9ad453eb60c137fd4215459,"{""en_US"": ""珠峰文化旅游创意产业园区基础设施项目一期工程第三标段""}",in_progress,execution,in_progress,6,,,0,0,8,2,3,0,7,0,0
21,076d8bcae3064dca8927f4f629bf2356,"{""en_US"": ""中国移动四川西区二枢纽“车库改机房”土建工程""}",in_progress,execution,in_progress,6,,,0,3,37,14,6,0,18,0,0
22,07e6484cc40d4609b0bcafcf187dd9af,"{""en_US"": ""德阳市天府旌城石亭江河段堤防改建给水迁改工程""}",in_progress,execution,in_progress,6,,,0,8,20,8,2,0,2,0,0
23,080a2d8ee204424a8b7edd08817eee20,"{""en_US"": ""2017年公路水毁修复工程（双石镇）""}",in_progress,execution,in_progress,6,,,0,0,4,1,2,0,2,0,0
24,088193c97f1443b58f1489b321c1288a,"{""en_US"": ""浪卡子县白地乡龙桑村水塘工程项目(1标段)""}",in_progress,execution,in_progress,6,,,0,14,36,16,3,0,2,0,0
25,08ac2e586f574d39a3272852fa22bf71,"{""en_US"": ""德昌县宽裕镇花园村文化休闲广场""}",in_progress,execution,in_progress,6,,,0,2,17,6,2,4,4,0,0
26,08fa00e1bf9d4c88bcbfa652610aa347,"{""en_US"": ""永川区卫星中型灌区续建配套与节水改造工程""}",in_progress,execution,in_progress,6,,,0,23,157,65,7,3,24,0,0
27,092bc953078b42ab89b7a9d07fecab66,"{""en_US"": ""德阳市罗江区自来水公司2019年12月至2020年11月管网安装（抢修）零星土石方开挖恢复及用工等外包""}",in_progress,execution,in_progress,6,,,0,1,48,14,19,4,23,0,0
28,09a62a54dcf645d6b7030d40fbdac1cb,"{""en_US"": ""林芝市财富阳光建设项目消防工程""}",in_progress,execution,in_progress,6,,,0,2,11,4,3,0,7,0,0
29,09ba719dfd18431a951ec77d29ea6194,"{""en_US"": ""焙浸车间硫酸罐区防腐项目工程""}",in_progress,execution,in_progress,6,,,0,2,0,0,0,0,0,0,0
30,0a098ceefc5046c380028104a3caa2af,"{""en_US"": ""中建天投天河区育新街南侧AT0304011-1地块项目""}",in_progress,execution,in_progress,6,,,0,0,0,0,0,0,1,0,0
31,0b3b88a05d6d454b9cbbe6b4c3c342d5,"{""en_US"": ""岳普湖县防沙治沙电力配套设施建设项目""}",in_progress,execution,in_progress,6,,,0,1,0,0,0,0,0,0,0
33,0c028a6f51ea4e728448ce29b1e2eaab,"{""en_US"": ""南川区S531西龙路K18+800-K27+230日常维修养护工程（换填、边沟）项目""}",in_progress,execution,in_progress,6,,,0,4,14,6,1,0,2,0,0
34,0c4f914eee3547c185a2108fc1f768df,"{""en_US"": ""太行山路（钱塘江路-信江路）道路工程水泥稳定基层施工专业分包""}",in_progress,execution,in_progress,6,,,0,5,63,25,2,0,3,1,0
35,0c8c213e89204a6fb61a4c8ac79f0d4a,"{""en_US"": ""二重厂西路（华山路-衡山路）等4条路砂石工程专业分包""}",in_progress,execution,in_progress,6,,,0,57,182,89,3,0,2,0,0
36,0cdd82e96265456494a1de15f36c433e,"{""en_US"": ""何埂小学生化池及室外污水管网""}",in_progress,execution,in_progress,6,,,0,1,13,5,1,0,2,0,0
37,0d21826a7ebb4dbfb7317338baaf57a0,"{""en_US"": ""重庆文理学院2025年附属工程项目(不可预测的零星维修工程)""}",in_progress,execution,in_progress,6,,,0,3,13,5,1,0,2,0,0
39,0db43c29f642442292d30f6b34c328a9,"{""en_US"": ""巫山县大昌镇树木修剪及路灯更换服务合同""}",in_progress,execution,in_progress,6,,,0,3,21,6,3,4,3,0,0
40,0dde523bf5414461b937c9d5d4c220cf,"{""en_US"": ""53019工程、3644-3、4、3617消防工程""}",in_progress,execution,in_progress,6,,,0,15,55,19,6,0,19,0,0
41,0e04e445c6304b5f9e3b79ffdde72eb1,"{""en_US"": ""绵阳金能集中办公室维修改造项目""}",in_progress,execution,in_progress,6,,,0,18,62,28,3,0,21,0,0
42,0e4c810fe22644c399650bca0528898a,"{""en_US"": ""2021年中江县辑庆镇尖寨村中药材园区四升五产村相融建设项目""}",in_progress,execution,in_progress,6,,,0,4,26,11,4,0,7,0,0
43,0f314b7eb259455f8ad3bb3419f66957,"{""en_US"": ""绵竹市星旺大桥与货运通道连接匝道工程项目""}",in_progress,execution,in_progress,6,,,0,7,16,6,1,0,2,0,0
44,0f3c19a871e446fc8cc9781f108d58e5,"{""en_US"": ""米易县南部新城市政道路及生态湿地公园PPP项目-湿地公园建设项目""}",in_progress,execution,in_progress,6,,,0,39,175,71,9,0,60,7,0
45,0fe3fceb5f4b4c4fa5fae8527912fb93,"{""en_US"": ""旌阳区长江流域可持续发展（沱江上游-绵远河段）综合治理（4、5号地块地下室）（DYS2022-65）""}",in_progress,execution,in_progress,6,,,0,27,76,31,2,0,20,0,0
46,102a738d1fee481fb215df95de82490c,"{""en_US"": ""德阳市青少年宫舞蹈、钢琴、美术教室改造（二次）""}",in_progress,execution,in_progress,6,,,0,16,33,15,2,0,3,0,0
47,106e8ac916084f398b89d0a564f2473f,"{""en_US"": ""德阳市罗江区公路建设养护所2025农村公路维修""}",in_progress,execution,in_progress,6,,,0,4,9,4,1,0,1,0,0
48,108141059f724a008d2250d7c01449c8,"{""en_US"": ""龙泉山路与旌湖路交会处东北角土地围挡项目""}",in_progress,execution,in_progress,6,,,0,3,5,2,1,0,1,0,0
49,11e56ccc546e4532a323597457133e8c,"{""en_US"": ""古蔺双沙陈坪等3个村18年脱贫攻坚饮水项目""}",in_progress,execution,in_progress,6,,,0,1,8,3,2,5,1,1,0
50,125f0ae46d734ad68124ddadc3d5eb19,"{""en_US"": ""洛碛餐厨污水处理厂基础设施修复及零星工程项目""}",in_progress,execution,in_progress,6,,,0,7,30,12,1,0,4,0,0
51,12bab8c00273463cae235c1615796bb3,"{""en_US"": ""青龙工业园区雨污水管网应急修复项目""}",in_progress,execution,in_progress,6,,,0,0,3,1,0,4,0,0,0
52,12dc2d35442c43f481d6e3880f8a306e,"{""en_US"": ""德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程青衣江路公园剩余工程""}",in_progress,execution,in_progress,6,,,0,6,26,10,3,0,8,1,0
53,1357e63a4149468ea5b484a53ec1efa4,"{""en_US"": ""开挖修复359机位消防主管道爆管项目""}",in_progress,execution,in_progress,6,,,0,3,6,2,2,0,3,0,0
54,135be6807d2043619fde2b6efe531cf6,"{""en_US"": ""德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程-劳务分包-穿城堰三标段""}",in_progress,execution,in_progress,6,,,0,0,2,0,1,2,2,0,0
55,1375f96aeadd4e518c7b0574d3965a4b,"{""en_US"": ""中国移动四川公司成都分公司2023-2025年渠道维修采购项目框架协议""}",in_progress,execution,in_progress,6,,,0,2,0,0,0,0,0,0,0
56,1428742882bf4fc5988efcc289c8d5e8,"{""en_US"": ""安宁新能源磷铁项目""}",in_progress,execution,in_progress,6,,,0,67,260,116,6,12,29,2,0
57,1496d77696814bca8ab7b5d1423b5d5f,"{""en_US"": ""国网德阳供电公司综合中心建设场地平整工程（办公大楼恢复）""}",in_progress,execution,in_progress,6,,,0,2,1,0,1,0,1,0,0
58,14b62e4158d24596a0e04828e39362b5,"{""en_US"": ""旌北13#、14#地块(德阳北站 TOD 及配套基础设施项目室外园林景观工程工程专业分包（大区）""}",in_progress,execution,in_progress,6,,,0,64,151,74,1,0,2,0,0
59,14c4325bb56b408788e6f442f4384374,"{""en_US"": ""广东南华工商职业学院清远校区二期建设工程 （学生生活区、教学行政区）""}",in_progress,execution,in_progress,6,,,0,9,70,28,5,4,8,0,0
60,14fe0f48d2af4716b1b3b24f8a4286c8,"{""en_US"": ""广汉市郑州路东段雨污水管网工程""}",in_progress,execution,in_progress,6,,,0,1,3,1,1,0,1,0,0
61,1524f421b94c41698305394cf8691f44,"{""en_US"": ""中国移动四川公司市州分公司2025年—2028年管理用房及生产枢纽楼公共区域零星维修项目的标包22 天府""}",in_progress,execution,in_progress,6,,,0,1,0,0,0,0,2,0,0
62,152f26736dd64da29f1b4f494fcfef41,"{""en_US"": ""西昌卷烟厂2021年厂区环境改造工程综合经营业务用房配套设施改造标段""}",in_progress,execution,in_progress,6,,,0,9,22,9,2,8,3,0,0
63,15bc8bfa1f964a609140a3c52c72efaa,"{""en_US"": ""重庆江北国际机场飞行区服务综合服务外包项目""}",in_progress,execution,in_progress,6,,,0,3,183,42,30,5,75,0,0
65,162fdc7c89564d5189f449bce9454395,"{""en_US"": ""162井场外墙""}",in_progress,execution,in_progress,6,,,0,0,6,2,2,0,2,0,0
66,16979c84c8ba410eab2e7117be52eddf,"{""en_US"": ""旌阳区综合管廊项目泰山路段支护及防水工程二标""}",in_progress,execution,in_progress,6,,,0,10,11,5,1,2,2,0,0
67,16d5db4fb73845ab92b4b2c5bcaf9488,"{""en_US"": ""绵竹市农业科技碳循环双创产业融合示范园项目(二期)一标段-大棚B区劳务、机械采购项目(第二次)""}",in_progress,execution,in_progress,6,,,0,1,3,1,0,2,1,0,0
68,16f30c8b960c4e6dbedd7a507d96f4ce,"{""en_US"": ""明源电力公寓小区路灯维修改造""}",in_progress,execution,in_progress,6,,,0,2,5,2,1,0,1,0,0
69,16fce53311764d6c84b08f1357acf0ba,"{""en_US"": ""四川省绵阳外国语学校高中部教学综合楼室外电梯工程""}",in_progress,execution,in_progress,6,,,0,3,17,7,3,4,5,0,0
70,1710364e78bc40b48396fe20e5f0e9bd,"{""en_US"": ""南充市高坪区恒大悦龙台至三环6期厂区段损毁道路恢复工程建材及配套服务采购项目""}",in_progress,execution,in_progress,6,,,0,1,19,7,2,0,4,0,0
71,17510e7ec153446ca14f6efa72d6c899,"{""en_US"": ""天府国际机场航站区配套市政工程施工三标段（二工区）雨污管网及土石方回填工程""}",in_progress,execution,in_progress,6,,,0,1,0,0,0,0,0,0,0
72,1791ed98bcc5407a9476f93365909791,"{""en_US"": ""S216绵竹市拱星镇(泉乐村)至汉旺镇(牛鼻村)段大修工程路面分项工程部分专业分包项目""}",in_progress,execution,in_progress,6,,,0,18,51,19,4,1,5,0,0
