schema,table,rows,role_like_columns,columns
dbo,ts_rolefunction_History,143089,"role_id, rolefunction_id","rolefunction_id, role_id, function_id, LRRID, LRR, LRSJ, SCRID, SCR, SCSJ"
dbo,BASE_SYSTEM_PROJECT_USER,21390,,"ID, PID, USERID, XMID, XMMC, LRR, LRRID, LRSJ"
dbo,ts_rolefunction,16780,"role_id, rolefunction_id","rolefunction_id, role_id, function_id, LRRID, LRR, LRSJ"
dbo,BASE_SYSTEM_MENU_ROLE,13642,ROLEID,"ID, PID, MENUID, MENU_NAME, ROLEID, MENU_TYPE, LRR, LRRID, LRSJ"
dbo,tr_RoleToUser_History,1508,roleId,"Id, userId, roleId, GSID, LRRID, LRR, LRSJ, SCRID, SCR, SCSJ"
dbo,wx_ts_rolefunction,467,"role_id, rolefunction_id","rolefunction_id, role_id, function_id"
dbo,T_System_RoleAndProject,462,RoleId,"Id, SJBMC, SSXMID, RoleId, LX, LRRID, LRR, LRSJ"
dbo,wx_tr_RoleToUser,397,roleId,"Id, userId, roleId, GSID"
dbo,tr_RoleToUser,170,roleId,"Id, userId, roleId, GSID, LRRID, LRR, LRSJ"
dbo,BASE_SYSTEM_USER_ROLE,160,ROLEID,"ID, PID, USERID, USERNAME, ROLEID, LRR, LRRID, LRSJ"
dbo,XMGL_LYGL_LYRY,147,,"Id, SJBMC, Guid, f_Tree_Code, f_Tree_Name, f_Tree_ParentName, f_Tree_Parentid, f_Tree_ParentGuid, f_Tree_OrderNo, f_Tree_del, f_Tree_importPerson, f_Tree_importTime, f_Tree_remark, f_Tree_XMID, f_IsShow, Phone, LXFS, pid"
dbo,S_Setup_PostTaskConfig,67,,"Id, SJBMC, HZRWMC, LM, FFMC, PXH, LRSJ, LRR, BZ, Del, LRRID, XGR, XGRID, XGSJ, SCDJZT, ExecOrder, Param, PID"
dbo,BASE_SYSTEM_ROLE,66,"ROLE_NAME, ROLE_TYPE","ID, PID, ROLE_NAME, NOTE, DEL, ORDER_NUM, ROLE_TYPE, ISDEFAULT, LRRID, LRR, LRSJ, ASSOCIATED_USERID, PARENTID, COMPONENTNAME, ISADMIN"
dbo,ts_role,47,"role_id, role_isdefault, role_mark, role_name, role_state, role_type","role_id, role_name, role_type, role_mark, role_state, ordernum, role_isdefault"
dbo,wx_ts_role,26,"pc_role_id, role_id, role_isdefault, role_mark, role_name, role_state, role_type","role_id, role_name, role_type, role_mark, role_state, ordernum, pc_role_id, role_isdefault"
dbo,ts_role_manage,9,"role_manage_id, role_self_id","Id, SJBMC, role_self_id, role_manage_id"
dbo,BASE_LOWCODE_COMPONENT_ROLE,6,"ROLEID, ROLENAME","ID, PID, ROLEID, CONFIGID, COMPONENT_ID, COMPONENT_TYPE, ISHIDE, LRR, LRRID, LRSJ, BUSINESSID, PERMISSION_TYPE, ROLENAME"
dbo,T_System_RoleAndProject_WX,6,RoleId,"Id, SJBMC, SSXMID, RoleId, LX, LRRID, LRR, LRSJ"
dbo,D_FZKGJT_SG_XMB_GLRY_GLRYB,0,,"Id, DJBH, DJZT, DJRQ, XMID, XMMC, FJ, LRR, LRRID, LRSJ, XGR, XGRID, XGSJ, DEL, BZ, Pid"
dbo,D_FZKGJT_SG_XMB_GLRY_GLRYBCB,0,ZWMC,"Id, ZBID, ZWMC, XM, DH, ZT, ZZZS, FJ, Pid"
dbo,D_FZKGJT_SG_XMB_GLRY_GLRYBCB1,0,ZWMC,"Id, ZBID, ZWMC, XM, DH, ZT, ZZZS, FJ, Pid"
dbo,D_FZKGJT_SG_XMB_GLRY_GLRYBCB2,0,ZWMC,"Id, ZBID, ZWMC, XM, DH, ZT, ZZZS, FJ, Pid"
dbo,D_FZKGJT_SG_XMB_GLRY_GLRYBCB3,0,ZWMC,"Id, ZBID, ZWMC, XM, DH, ZT, ZZZS, FJ, Pid"
dbo,D_FZKGJT_SG_XMB_GLRY_GLRYBCB4,0,ZWMC,"Id, ZBID, ZWMC, XM, DH, ZT, ZZZS, FJ, Pid"
dbo,D_FZKGJT_SG_XMB_GLRY_GLRYBCB5,0,ZWMC,"Id, ZBID, ZWMC, XM, DH, ZT, ZZZS, FJ, Pid"
dbo,D_PJG_XMB_SGGL_AQJC_TZRYDJ,0,,"Id, DJBH, DJZT, DJRQ, XMID, XMMC, FJ, LRR, LRRID, LRSJ, XGR, XGRID, XGSJ, DEL, DWMC, BZ, JZ, Pid"
dbo,D_PJG_XMB_SGGL_AQJC_TZRYDJ_CB,0,,"Id, ZBID, XM, XB, NL, GZ, CZZHM, PXSJ, FSJL, BZ, Pid"
dbo,D_PJG_XMB_SGGL_YQFK_SGRYDJ,0,,"Id, DJBH, DJZT, DJRQ, XMID, XMMC, FJ, LRR, LRRID, LRSJ, XGR, XGRID, XGSJ, DEL, SGRYS, LMS, BZ, XMJL, Pid"
dbo,D_SFJGXT_XFJD_ZDXMJD_GCJSXM_LQRYK,0,,"Id, DJBH, DJZT, DJRQ, XMID, XMMC, FJ, LRR, LRRID, LRSJ, XGR, XGRID, XGSJ, DEL, ZSXM, ZSXMID, YHM, YHMID, XB, NL, ZZMM, SJHM, XL, SSBM, D_SFJGXT_BMID, D_SFJGXT_DLZH, Pid"
dbo,SG_XMB_XMB_GLRYCQHZ,0,,"Id, DJBH, DJZT, DJRQ, XMID, XMMC, FJ, LRR, LRRID, LRSJ, XGR, XGRID, XGSJ, GSMC, TJR, DH, RQ, BZ, Pid"
dbo,SG_XMB_XMB_GLRYCQHZCB,0,GSZW,"Id, ZBID, XH, XM, GSZW, LXDH, QDTS, WQDTS, YY, Pid"
dbo,SGGL_SGGL_XMBGL_GLRYBGGL,0,,"Id, DJBH, DJZT, DJRQ, XMID, XMMC, FJ, LRR, LRRID, LRSJ, XGR, XGRID, XGSJ, GSMC, BH, BZ, Pid, DEL"
dbo,SGGL_SGGL_XMBGL_GLRYBGGL_CB,0,DRZW,"Id, ZBID, DWMC, BGRYXM, DRZW, NL, BGYY, JLRYJ, BGRQ, Pid"
dbo,SGGL_SGGL_XMBGL_GLRYCQMX,0,,"Id, DJBH, DJZT, DJRQ, XMID, XMMC, FJ, LRR, LRRID, LRSJ, XGR, XGRID, XGSJ, GSMC, BZ, Pid"
dbo,SGGL_SGGL_XMBGL_GLRYCQMX_CB,0,,"Id, ZBID, BH, XM, GH, RQ, SW, XW, JB, XJ, BZ, Pid"
dbo,SGGL_SGGL_XMBGL_GLRYJTCDJ,0,,"Id, DJBH, DJZT, DJRQ, XMID, XMMC, FJ, LRR, LRRID, LRSJ, XGR, XGRID, XGSJ, GSMC, GCMC, BZ, Pid"
dbo,SGGL_SGGL_XMBGL_GLRYJTCDJ_CB,0,,"Id, ZBID, XM, SFZHM, JCDJQR, JCRQ, TCDJQR, TCRQ, BZ, Pid"
dbo,SGGL_SGGL_XMBGL_GLRYZZGL,0,,"Id, DJBH, DJZT, DJRQ, XMID, XMMC, FJ, LRR, LRRID, LRSJ, XGR, XGRID, XGSJ, GSMC, BH, BZ, Pid"
dbo,SGGL_SGGL_XMBGL_GLRYZZGL_CB,0,GWZW,"Id, ZBID, XH, XM, GWZW, ZC, ZJBH, GZDW, Pid"
dbo,SGGL_SGGL_XMBGL_SJRYBABBGSP,0,,"Id, DJBH, DJZT, DJRQ, XMID, XMMC, FJ, LRR, LRRID, LRSJ, XGR, XGRID, XGSJ, GSMC, BZ, Pid"
dbo,SGGL_SGGL_XMBGL_SJRYBABBGSP_CB,0,,"Id, ZBID, GCMC, GCDD, JSDW, JLDW, BGRQ, BGRY, XM, BGYY, JSDWYJ, BABMYJ, Pid"
dbo,SGGL_SGGL_XMBGL_TBWJRYPBB,0,,"Id, DJBH, DJZT, DJRQ, XMID, XMMC, FJ, LRR, LRRID, LRSJ, XGR, XGRID, XGSJ, GSMC, BZ, Pid"
dbo,SGGL_SGGL_XMBGL_TBWJRYPBB_CB,0,,"Id, ZBID, GCLB, GSGM, ZJLGCS, ZYJLGCS, JLY, AQJLY, HJ, BZ, Pid"
dbo,SGGL_SGGL_XMBGL_XGGSRYB,0,,"Id, DJBH, DJZT, DJRQ, XMID, XMMC, FJ, LRR, LRRID, LRSJ, XGR, XGRID, XGSJ, GSMC, BZ, Pid"
dbo,SGGL_SGGL_XMBGL_XGGSRYB_CB,0,GWZW,"Id, ZBID, XM, ZCWP, GWZW, LXDH, BZ, Pid"
dbo,SGGL_XMRYGL,0,,"Id, SJBMC, XMMC, DJBH, DJRQ, LRR, BZ, XMID"
dbo,SGGL_XMRYGL_CB,0,ZW,"Id, SJBMC, ZBID, XM, XMId, ZW, LXDH, BZ, pid"
