staging_id,legacy_record_id,document_no,document_date,business_entity_id,business_entity_name,source_account_balance_total,source_bank_balance_total,source_bank_system_difference,action,reason
12670,51bdb538b1744172b5bf00d274b41e7a,ZJRBB-20240301-001,2024-03-02,13,公司综合平台,8918348.65,8918348.65,0.0,create_enterprise_fund_daily,
11750,147e24bb70a84ddf8e8b6de16554eeb6,ZJRBB-20240304-003,2024-03-04,6,四川晟博通达商贸有限公司,3968320.74,3466580.74,501740.0,create_enterprise_fund_daily,
11862,1b6c54fc876d4354b7fdea5219c95954,ZJRBB-20240304-002,2024-03-04,8,四川鑫垚建筑劳务有限公司,8923939.65,8923939.65,0.0,create_enterprise_fund_daily,
12201,33059d61b54f4c56a36bea6eed940f8b,ZJRBB-20240304-004,2024-03-04,9,四川翔驰恒瑞商贸有限公司,599853.64,599850.1,3.54,create_enterprise_fund_daily,
12496,46cac56e7d5341258780e81bd103b9f4,ZJRBB-20240304-006,2024-03-04,5,四川迈投建筑工程有限公司,8923939.65,8923939.65,0.0,create_enterprise_fund_daily,
12995,6915d4d825a44683ab6db275ab2db527,ZJRBB-20240304-001,2024-03-04,3,德阳泰诚硕商贸有限公司,1931363.8,1931363.8,0.0,create_enterprise_fund_daily,
13895,a8b23e271c6e40d88207b906d4a9d5c4,ZJRBB-20240304-005,2024-03-04,4,四川世旺鑫润商贸有限公司,1071900.41,1071541.21,359.2,create_enterprise_fund_daily,
14859,e704c1b6bd2b49538213539019997e61,ZJRBB-20240304-007,2024-03-04,5,四川迈投建筑工程有限公司,8923939.65,8923939.65,0.0,create_enterprise_fund_daily,
11449,017cbb1f2da148eb8dbd596c13df3f9f,ZJRBB-20240305-006,2024-03-05,3,德阳泰诚硕商贸有限公司,1928977.01,1928977.01,0.0,create_enterprise_fund_daily,
12419,41f96c7e5c7c45018bf68426bd63f51e,ZJRBB-20240305-003,2024-03-05,10,四川宏政嘉斯建筑工程有限公司,553237.57,553237.57,0.0,create_enterprise_fund_daily,
12511,47805d69e81c4cb3ac7718e764784c42,ZJRBB-20240305-005,2024-03-05,6,四川晟博通达商贸有限公司,3766580.74,3466580.74,300000.0,create_enterprise_fund_daily,
13051,6c1ab36233cb44e897a3b1a63b0ca16e,ZJRBB-20240305-002,2024-03-05,5,四川迈投建筑工程有限公司,144003.66,144003.66,0.0,create_enterprise_fund_daily,
13146,727b40d296a54784942a130693cf2923,ZJRBB-20240305-001,2024-03-05,8,四川鑫垚建筑劳务有限公司,646129.97,646129.97,0.0,create_enterprise_fund_daily,
13662,982532f594c7498ea300daac2faca55d,ZJRBB-20240305-007,2024-03-05,4,四川世旺鑫润商贸有限公司,1006843.21,1071541.21,-64698.0,create_enterprise_fund_daily,
14177,bb16e9fe53a44c37af8e7390381175f2,ZJRBB-20240305-004,2024-03-05,9,四川翔驰恒瑞商贸有限公司,599850.1,599850.1,0.0,create_enterprise_fund_daily,
11818,184dc9fd62c34849bea014f34eac212a,ZJRBB-20240306-002,2024-03-06,5,四川迈投建筑工程有限公司,144003.66,144003.66,0.0,create_enterprise_fund_daily,
11940,20d3749acdc9486fbf0333d64acf0e66,ZJRBB-20240306-001,2024-03-06,8,四川鑫垚建筑劳务有限公司,646129.97,646129.97,0.0,create_enterprise_fund_daily,
12145,2f4cd0f80c4c49c08edc7fe98b95fca9,ZJRBB-20240306-006,2024-03-06,3,德阳泰诚硕商贸有限公司,1928977.01,1928977.01,0.0,create_enterprise_fund_daily,
12864,602db46626964ea9bfc3c478ea181daa,ZJRBB-20240306-003,2024-03-06,10,四川宏政嘉斯建筑工程有限公司,553237.57,553237.57,0.0,create_enterprise_fund_daily,
14153,b9a6188830d44819ac979e1ae1e974b1,ZJRBB-20240306-007,2024-03-06,4,四川世旺鑫润商贸有限公司,987303.21,987280.71,22.5,create_enterprise_fund_daily,
14224,bec207d630fb4f848001d1baa35c491f,ZJRBB-20240306-004,2024-03-06,6,四川晟博通达商贸有限公司,3766580.74,3466580.74,300000.0,create_enterprise_fund_daily,
14969,ef432e63eb2341a089aaab18e28d7b93,ZJRBB-20240306-005,2024-03-06,9,四川翔驰恒瑞商贸有限公司,599850.1,599850.1,0.0,create_enterprise_fund_daily,
12303,3a839e3c5e3b42fab113af7d4fa9fe29,ZJRBB-20240307-004,2024-03-07,3,德阳泰诚硕商贸有限公司,1928977.01,1928977.01,0.0,create_enterprise_fund_daily,
12745,567bd0381a474aaaad738c13c99d8e23,ZJRBB-20240307-005,2024-03-07,9,四川翔驰恒瑞商贸有限公司,599850.1,599850.1,0.0,create_enterprise_fund_daily,
13040,6ba82944d26a4cd6840463982b08aa9d,ZJRBB-20240307-007,2024-03-07,6,四川晟博通达商贸有限公司,3411046.82,3111046.82,300000.0,create_enterprise_fund_daily,
13212,774fbdd427fc46c5a5bf7cf73febb245,ZJRBB-20240307-006,2024-03-07,4,四川世旺鑫润商贸有限公司,926575.96,926575.96,0.0,create_enterprise_fund_daily,
13705,9b6531369c234f3dae4d8af17db57851,ZJRBB-20240307-003,2024-03-07,8,四川鑫垚建筑劳务有限公司,646129.97,646129.97,0.0,create_enterprise_fund_daily,
14371,c78af2742f1a44068d2eeb6ccf411c97,ZJRBB-20240307-001,2024-03-07,10,四川宏政嘉斯建筑工程有限公司,553237.57,553237.57,0.0,create_enterprise_fund_daily,
15166,fc64efa780e74cb0bbbcbf451e578c27,ZJRBB-20240307-002,2024-03-07,5,四川迈投建筑工程有限公司,144003.66,144003.66,0.0,create_enterprise_fund_daily,
11978,2376de57996d4476be8f7f63536fc525,ZJRBB-20240308-004,2024-03-08,6,四川晟博通达商贸有限公司,3411046.82,3111046.82,300000.0,create_enterprise_fund_daily,
12494,46afb388321f4bbaa8e3a635397f38e9,ZJRBB-20240308-002,2024-03-08,5,四川迈投建筑工程有限公司,144003.66,144003.66,0.0,create_enterprise_fund_daily,
13446,87d54e391b7447f6a3e66a504937622e,ZJRBB-20240308-006,2024-03-08,4,四川世旺鑫润商贸有限公司,926575.96,926575.96,0.0,create_enterprise_fund_daily,
13768,9fc070b6a02a4d99a3c44c86b7d0f4de,ZJRBB-20240308-001,2024-03-08,8,四川鑫垚建筑劳务有限公司,646129.97,646129.97,0.0,create_enterprise_fund_daily,
14261,c110160241fa4da787b38ed6fc25d302,ZJRBB-20240308-007,2024-03-08,9,四川翔驰恒瑞商贸有限公司,599850.1,599850.1,0.0,create_enterprise_fund_daily,
