dimension,map_model,map_id,source_table,legacy_key,legacy_name,mapping_state,suggested_state,match_method,target_id,target_name,fact_rows,fact_amount,suggested_action,decision,decision_target_id,decision_note
partner,sc.legacy.partner.map,26,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳市兴明鸿混凝土有限责任公司|91510600ma6b9x0k0p|tax_code_conflict,德阳市兴明鸿混凝土有限责任公司,conflict,tax_code_conflict,tax_code,,,19,7098689.94,manual_partner_required,,,
partner,sc.legacy.partner.map,98,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳嘉泰水泥制品有限公司|91510600689918304t|tax_code_conflict,德阳嘉泰水泥制品有限公司,conflict,tax_code_conflict,none,,,38,6754899.04,manual_partner_required,,,
partner,sc.legacy.partner.map,3,SCBS_PARTNER_DUPLICATE_CANDIDATE,成都梦农科技有限公司|91510184ma641plm9p|tax_code_conflict,成都梦农科技有限公司,conflict,tax_code_conflict,none,,,35,4670711.5,manual_partner_required,,,
partner,sc.legacy.partner.map,60,SCBS_PARTNER_DUPLICATE_CANDIDATE,成都长红润晨建材有限公司|91510106ma6b8g0r6p|tax_code_conflict,成都长红润晨建材有限公司,conflict,tax_code_conflict,tax_code,,,67,3953619.62,manual_partner_required,,,
partner,sc.legacy.partner.map,453,SCBS_PARTNER_DUPLICATE_CANDIDATE,四川睿杰达贸易有限公司|91510600ma62323w2f|tax_code_conflict,四川睿杰达贸易有限公司,conflict,tax_code_conflict,none,,,10,3628146.0,manual_partner_required,,,
partner,sc.legacy.partner.map,9,SCBS_PARTNER_DUPLICATE_CANDIDATE,四川文诚管业有限公司|91510129ma62ll2b4b|tax_code_conflict,四川文诚管业有限公司,conflict,tax_code_conflict,none,,,19,2959682.8,manual_partner_required,,,
partner,sc.legacy.partner.map,388,SCBS_PARTNER_DUPLICATE_CANDIDATE,什邡市鑫雷石材有限公司|91510682ma69nhun7b|tax_code_conflict,什邡市鑫雷石材有限公司,conflict,tax_code_conflict,none,,,14,2417537.4,manual_partner_required,,,
partner,sc.legacy.partner.map,214,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳正弘金属材料有限公司|915106006783781701|tax_code_conflict,德阳正弘金属材料有限公司,conflict,tax_code_conflict,exact_name,,,56,2085851.15,manual_partner_required,,,
partner,sc.legacy.partner.map,24,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳市区永沁建材经营部|92510600ma62gj949k|tax_code_conflict,德阳市区永沁建材经营部,conflict,tax_code_conflict,tax_code,,,27,2071914.01,manual_partner_required,,,
partner,sc.legacy.partner.map,59,SCBS_PARTNER_DUPLICATE_CANDIDATE,成都灿安科技有限公司|91510114343144401w|tax_code_conflict,成都灿安科技有限公司,conflict,tax_code_conflict,none,,,18,1314584.75,manual_partner_required,,,
partner,sc.legacy.partner.map,153,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳市华壹商贸有限公司|91510600ma68l79n4q|tax_code_conflict,德阳市华壹商贸有限公司,conflict,tax_code_conflict,tax_code,,,25,1247508.5,manual_partner_required,,,
partner,sc.legacy.partner.map,434,SCBS_PARTNER_DUPLICATE_CANDIDATE,四川可为景观园林工程有限公司|91510681ma64febh0e|tax_code_conflict,四川可为景观园林工程有限公司,conflict,tax_code_conflict,tax_code,,,18,1156432.46,manual_partner_required,,,
partner,sc.legacy.partner.map,189,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳市区兴鑫达管材经营部|92510601ma63xrgu1j|tax_code_conflict,德阳市区兴鑫达管材经营部,conflict,tax_code_conflict,none,,,9,894546.64,manual_partner_required,,,
partner,sc.legacy.partner.map,22,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳市旌辉建筑材料有限公司|91510600056060504y|tax_code_conflict,德阳市旌辉建筑材料有限公司,conflict,tax_code_conflict,none,,,16,628373.5,manual_partner_required,,,
partner,sc.legacy.partner.map,25,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳市唯唯预制构件厂|915106006735398013|tax_code_conflict,德阳市唯唯预制构件厂,conflict,tax_code_conflict,none,,,16,557477.24,manual_partner_required,,,
partner,sc.legacy.partner.map,169,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳市巨鑫金属制品有限公司|915106005582241771|tax_code_conflict,德阳市巨鑫金属制品有限公司,conflict,tax_code_conflict,exact_name,,,22,430636.5,manual_partner_required,,,
partner,sc.legacy.partner.map,358,SCBS_PARTNER_DUPLICATE_CANDIDATE,罗江区张安兵五金经营部|92510626ma630f5y1m|tax_code_conflict,罗江区张安兵五金经营部,conflict,tax_code_conflict,none,,,3,273600.0,manual_partner_required,,,
partner,sc.legacy.partner.map,234,SCBS_PARTNER_DUPLICATE_CANDIDATE,湖南湘旭交安光电高科技股份有限公司|91430100576580933n|tax_code_conflict,湖南湘旭交安光电高科技股份有限公司,conflict,tax_code_conflict,none,,,11,220454.0,manual_partner_required,,,
partner,sc.legacy.partner.map,208,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳欣宇玉诚商贸有限公司|91510600314474102e|tax_code_conflict,德阳欣宇玉诚商贸有限公司,conflict,tax_code_conflict,multiple,,,22,212934.76,manual_partner_required,,,
partner,sc.legacy.partner.map,280,SCBS_PARTNER_DUPLICATE_CANDIDATE,旌阳区黄许镇运红建材部|92510603ma68trp14b|tax_code_conflict,旌阳区黄许镇运红建材部,conflict,tax_code_conflict,none,,,17,154620.0,manual_partner_required,,,
partner,sc.legacy.partner.map,455,SCBS_PARTNER_DUPLICATE_CANDIDATE,四川森宝电气有限公司|91510600572772022t|tax_code_conflict,四川森宝电气有限公司,conflict,tax_code_conflict,none,,,10,136230.51,manual_partner_required,,,
partner,sc.legacy.partner.map,160,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳市旌盾工贸有限公司|91510603ma7hdfnt0n|tax_code_conflict,德阳市旌盾工贸有限公司,conflict,tax_code_conflict,none,,,5,110324.0,manual_partner_required,,,
partner,sc.legacy.partner.map,50,SCBS_PARTNER_DUPLICATE_CANDIDATE,中国太平洋财产保险股份有限公司德阳中心支公司|91510600740032542c|tax_code_conflict,中国太平洋财产保险股份有限公司德阳中心支公司,conflict,tax_code_conflict,multiple,,,16,102704.92,manual_partner_required,,,
partner,sc.legacy.partner.map,377,SCBS_PARTNER_DUPLICATE_CANDIDATE,郫都区新月石材经营部|92510124ma6c4uct6y|tax_code_conflict,郫都区新月石材经营部,conflict,tax_code_conflict,none,,,5,84600.0,manual_partner_required,,,
partner,sc.legacy.partner.map,260,SCBS_PARTNER_DUPLICATE_CANDIDATE,旌阳区富玉建材经营部|92510603ma67qqd426|tax_code_conflict,旌阳区富玉建材经营部,conflict,tax_code_conflict,multiple,,,2,64000.0,manual_partner_required,,,
partner,sc.legacy.partner.map,36,SCBS_PARTNER_DUPLICATE_CANDIDATE,旌阳区星龙机电经营部|92510603ma63umhc06|tax_code_conflict,旌阳区星龙机电经营部,conflict,tax_code_conflict,exact_name,,,12,55340.0,manual_partner_required,,,
partner,sc.legacy.partner.map,190,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳市区星龙农机经营部|92510600ma63n5632y|tax_code_conflict,德阳市区星龙农机经营部,conflict,tax_code_conflict,none,,,5,20320.0,manual_partner_required,,,
partner,sc.legacy.partner.map,324,SCBS_PARTNER_DUPLICATE_CANDIDATE,旌阳区鑫宇建材经营部|92510603ma63r7td8e|tax_code_conflict,旌阳区鑫宇建材经营部,conflict,tax_code_conflict,tax_code,,,2,14806.0,manual_partner_required,,,
partner,sc.legacy.partner.map,305,SCBS_PARTNER_DUPLICATE_CANDIDATE,旌阳区瑞丰建材经营部|92510603ma63unpd2n|tax_code_conflict,旌阳区瑞丰建材经营部,conflict,tax_code_conflict,tax_code,,,1,5700.0,manual_partner_required,,,
partner,sc.legacy.partner.map,82,SCBS_PARTNER_DUPLICATE_CANDIDATE,成都文镪金属制品有限公司|91510100m468e6rn3y|tax_code_conflict,成都文镪金属制品有限公司,conflict,tax_code_conflict,none,,,1,4985.0,manual_partner_required,,,
partner,sc.legacy.partner.map,281,SCBS_PARTNER_DUPLICATE_CANDIDATE,旌阳区黄许镇运红建材经营部|92510603ma63ttc98u|tax_code_conflict,旌阳区黄许镇运红建材经营部,conflict,tax_code_conflict,none,,,2,0.0,manual_partner_required,,,
