dimension,map_model,map_id,source_table,legacy_key,legacy_name,mapping_state,suggested_state,match_method,target_id,target_name,fact_rows,fact_amount,suggested_action,decision,decision_target_id,decision_note
partner,sc.legacy.partner.map,435,SCBS_PARTNER_DUPLICATE_CANDIDATE,四川昆程建材有限公司||duplicate_across_carriers,四川昆程建材有限公司,candidate,duplicate_across_carriers,multiple,,,51,32558175.03,choose_target_partner,,,
partner,sc.legacy.partner.map,40,SCBS_PARTNER_DUPLICATE_CANDIDATE,倪德珍||duplicate_same_carrier_or_empty_tax,倪德珍,candidate,duplicate_same_carrier_or_empty_tax,multiple,,,99,19412691.21,choose_target_partner,,,
partner,sc.legacy.partner.map,556,SCBS_FACT_PARTNER_CANDIDATE,绵阳鑫泰水泥制品有限公司||fact_partner_candidate,绵阳鑫泰水泥制品有限公司,candidate,fact_partner_candidate,multiple,,,37,17023635.79,choose_target_partner,,,
partner,sc.legacy.partner.map,393,SCBS_PARTNER_DUPLICATE_CANDIDATE,四川保盛建设集团有限公司|9151060005217562xr|duplicate_across_carriers,四川保盛建设集团有限公司,candidate,duplicate_across_carriers,multiple,,,11,5949740.36,choose_target_partner,,,
partner,sc.legacy.partner.map,585,SCBS_FACT_PARTNER_CANDIDATE,德阳市鑫浩科技有限公司||fact_partner_candidate,德阳市鑫浩科技有限公司,candidate,fact_partner_candidate,multiple,,,27,2479378.5,choose_target_partner,,,
partner,sc.legacy.partner.map,586,SCBS_FACT_PARTNER_CANDIDATE,四川省鑫顺发机械租赁有限公司||fact_partner_candidate,四川省鑫顺发机械租赁有限公司,candidate,fact_partner_candidate,multiple,,,7,2406127.5,choose_target_partner,,,
partner,sc.legacy.partner.map,27,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳泰诚硕商贸有限公司||duplicate_across_carriers,德阳泰诚硕商贸有限公司,candidate,duplicate_across_carriers,multiple,,,39,2003237.68,choose_target_partner,,,
partner,sc.legacy.partner.map,418,SCBS_PARTNER_DUPLICATE_CANDIDATE,四川建设发展股份有限公司||duplicate_across_carriers,四川建设发展股份有限公司,candidate,duplicate_across_carriers,multiple,,,20,1785131.9,choose_target_partner,,,
partner,sc.legacy.partner.map,4,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳市区海旺建材经营部||duplicate_across_carriers,德阳市区海旺建材经营部,candidate,duplicate_across_carriers,multiple,,,21,1742403.11,choose_target_partner,,,
partner,sc.legacy.partner.map,217,SCBS_PARTNER_DUPLICATE_CANDIDATE,邓洪英||duplicate_same_carrier_or_empty_tax,邓洪英,candidate,duplicate_same_carrier_or_empty_tax,multiple,,,1219,1557710.48,choose_target_partner,,,
partner,sc.legacy.partner.map,613,SCBS_FACT_PARTNER_CANDIDATE,易德富||fact_partner_candidate,易德富,candidate,fact_partner_candidate,multiple,,,83,1015182.59,choose_target_partner,,,
partner,sc.legacy.partner.map,620,SCBS_FACT_PARTNER_CANDIDATE,四川省第四建筑有限公司||fact_partner_candidate,四川省第四建筑有限公司,candidate,fact_partner_candidate,multiple,,,96,846763.36,choose_target_partner,,,
partner,sc.legacy.partner.map,622,SCBS_FACT_PARTNER_CANDIDATE,吴涛||fact_partner_candidate,吴涛,candidate,fact_partner_candidate,multiple,,,7,828843.5,choose_target_partner,,,
partner,sc.legacy.partner.map,627,SCBS_FACT_PARTNER_CANDIDATE,中国石油天然气股份有限公司四川德阳销售分公司||fact_partner_candidate,中国石油天然气股份有限公司四川德阳销售分公司,candidate,fact_partner_candidate,multiple,,,71,757000.0,choose_target_partner,,,
partner,sc.legacy.partner.map,211,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳兴灏工程机械租赁有限公司||duplicate_across_carriers,德阳兴灏工程机械租赁有限公司,candidate,duplicate_across_carriers,multiple,,,11,715600.0,choose_target_partner,,,
