dimension,map_model,map_id,source_table,legacy_key,legacy_name,mapping_state,suggested_state,match_method,target_id,target_name,fact_rows,fact_amount,suggested_action,decision,decision_target_id,decision_note
partner,sc.legacy.partner.map,545,SCBS_PARTNER_DUPLICATE_CANDIDATE,周路林劳务||duplicate_across_carriers,周路林劳务,candidate,duplicate_across_carriers,none,,,38,9449389.0,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,563,SCBS_FACT_PARTNER_CANDIDATE,四川东潞景观工程有限公司||fact_partner_candidate,四川东潞景观工程有限公司,candidate,fact_partner_candidate,none,,,15,8821537.89,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,124,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳久宇土石方工程有限公司||duplicate_across_carriers,德阳久宇土石方工程有限公司,candidate,duplicate_across_carriers,none,,,12,8488280.0,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,10,SCBS_PARTNER_DUPLICATE_CANDIDATE,周路林||duplicate_across_carriers,周路林,candidate,duplicate_across_carriers,none,,,33,6573684.08,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,565,SCBS_FACT_PARTNER_CANDIDATE,项目承包单位||fact_partner_candidate,项目承包单位,candidate,fact_partner_candidate,none,,,65,6544756.52,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,567,SCBS_FACT_PARTNER_CANDIDATE,销/进项  税金+管理费||fact_partner_candidate,销/进项  税金+管理费,candidate,fact_partner_candidate,none,,,93,6339791.92,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,568,SCBS_FACT_PARTNER_CANDIDATE,现金支付（个人）||fact_partner_candidate,现金支付（个人）,candidate,fact_partner_candidate,none,,,170,6068852.35,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,569,SCBS_FACT_PARTNER_CANDIDATE,绵阳市安州区关心砂厂||fact_partner_candidate,绵阳市安州区关心砂厂,candidate,fact_partner_candidate,none,,,24,5885908.07,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,15,SCBS_PARTNER_DUPLICATE_CANDIDATE,德阳建投建材有限公司||duplicate_across_carriers,德阳建投建材有限公司,candidate,duplicate_across_carriers,none,,,30,5854028.18,confirm_or_ignore_partner,,,
partner,sc.legacy.partner.map,570,SCBS_FACT_PARTNER_CANDIDATE,绵阳市关心商贸有限公司||fact_partner_candidate,绵阳市关心商贸有限公司,candidate,fact_partner_candidate,none,,,35,5769305.82,confirm_or_ignore_partner,,,
