dimension,suggested_state,mapping_state,match_method,candidate_count,mapped_target_count,fact_rows,amount_signal,legacy_rows
business_entity,labor,candidate,,2,2,1660,210435711.68,
business_entity,platform,candidate,,1,1,1048,13207512.15,
business_entity,trade,candidate,,5,5,4945,1237628081.85,
business_entity,unknown,candidate,,4,4,2985,328795101.76,
project,not_real_project_review,conflict,none,2,0,18,2170006.0,
project,project_candidate,candidate,exact,1,1,363,31019536.48,
project,project_candidate,candidate,fuzzy,12,0,3317,191867309.96,
project,project_candidate,candidate,none,16,0,4187,230582290.54,
project,single_source_project_candidate,candidate,fuzzy,3,0,34,4724375.72,
project,single_source_project_candidate,candidate,none,9,0,98,5770718.73,
partner,duplicate_across_carriers,candidate,exact_name,99,99,205,,214
partner,duplicate_across_carriers,candidate,multiple,19,0,39,,43
partner,duplicate_across_carriers,candidate,none,311,0,642,,651
partner,duplicate_same_carrier_or_empty_tax,candidate,exact_name,14,14,28,,28
partner,duplicate_same_carrier_or_empty_tax,candidate,multiple,11,0,22,,24
partner,duplicate_same_carrier_or_empty_tax,candidate,none,63,0,118,,127
partner,tax_code_conflict,conflict,exact_name,3,0,7,,7
partner,tax_code_conflict,conflict,multiple,3,0,5,,7
partner,tax_code_conflict,conflict,none,19,0,36,,44
partner,tax_code_conflict,conflict,tax_code,7,0,13,,16
