map_id,material_key,legacy_material_id,material_name,spec_model,uom_text,company_id,company_name,mapping_state,coverage_state,amount_total,line_rows,header_rows,proposed_action,target_catalog_id,target_catalog_name,apply_status
9,ab2cf413a91f4ee1a3ef1f27b8bc402e|连砂石||立方米,ab2cf413a91f4ee1a3ef1f27b8bc402e,连砂石,,立方米,1,四川保盛建设集团有限公司,confirmed,catalog_candidate_exact_text,2275319.81,4,4,already_linked,1977939,连砂石,confirmed_existing_link
10,0d6d977c3986463483dff56dd3717032|机砂||吨,0d6d977c3986463483dff56dd3717032,机砂,,吨,1,四川保盛建设集团有限公司,confirmed,catalog_candidate_exact_text,825878.7,1,1,already_linked,1704528,机砂,confirmed_existing_link
11,1c622a75f3da49b6a04e438838b5b3b9|页岩砖||匹,1c622a75f3da49b6a04e438838b5b3b9,页岩砖,,匹,1,四川保盛建设集团有限公司,confirmed,catalog_candidate_exact_text,181958.0,2,2,already_linked,1742023,页岩砖,confirmed_existing_link
12,35211|碎石||m3,35211,碎石,,m3,1,四川保盛建设集团有限公司,confirmed,catalog_candidate_exact_text,152665.65,2,2,already_linked,1498013,碎石,confirmed_existing_link
13,abbb967000334d0cbf33ac705fc72f3b|镀锌钢管||吨,abbb967000334d0cbf33ac705fc72f3b,镀锌钢管,,吨,1,四川保盛建设集团有限公司,confirmed,catalog_candidate_name_spec,1068161.2,7,5,already_linked,1356382,镀锌钢管,confirmed_existing_link
14,53b0e8c47c75456691a20c4b67f0f099|连砂石||m3,53b0e8c47c75456691a20c4b67f0f099,连砂石,,m3,1,四川保盛建设集团有限公司,confirmed,catalog_candidate_name_spec,875965.4,1,1,already_linked,1977939,连砂石,confirmed_existing_link
15,35212|碎石||t,35212,碎石,,t,1,四川保盛建设集团有限公司,confirmed,catalog_candidate_name_spec,863907.84,5,5,already_linked,1494879,碎石,confirmed_existing_link
16,1ef8c0761f2340998bb18c50781b00d8|机制碎石||m3,1ef8c0761f2340998bb18c50781b00d8,机制碎石,,m3,1,四川保盛建设集团有限公司,confirmed,catalog_candidate_name_spec,284400.0,2,2,already_linked,2201381,机制碎石,confirmed_existing_link
17,4499e6f0577a4c239a13289f92f92200|机制砂||吨,4499e6f0577a4c239a13289f92f92200,机制砂,,吨,1,四川保盛建设集团有限公司,confirmed,catalog_candidate_name_spec,275696.0,2,2,already_linked,1214395,机制砂,confirmed_existing_link
18,c58d9c8fb8b246d8871efc157ed624a6|板材||批,c58d9c8fb8b246d8871efc157ed624a6,板材,,批,1,四川保盛建设集团有限公司,confirmed,catalog_candidate_name_spec,259987.6,1,1,already_linked,19261,板材,confirmed_existing_link
