project_id,project_name,rows,amount_total
835,四川鑫垚建筑劳务有限公司,37,-15717681.93
830,德阳市博众建材销售有限公司,17,-11530588.41
831,四川世旺鑫润商贸有限公司,27,-8087514.7
834,四川迈投建筑工程有限公司,31,-6726643.05
832,德阳泰诚硕商贸有限公司,16,-5897523.3
838,四川宏川建筑劳务有限公司,12,-4907923.52
836,四川翔驰恒瑞商贸有限公司,2,-2200000.0
795,三星堆环线基础设施改造,10,-1837113.44
821,崴和路一标段,2,-1369027.46
817,崴和路二标段,2,-1255745.05
796,二重厂西路等4条道路工程,21,-1133004.2400000005
837,四川宏政嘉斯建筑工程有限公司,4,-796189.51
812,寿崴路,1,-505824.67
803,玉山街道路工程,2,-378561.11
800,龙泉山路二段(赣江路-信江路),7,-291661.0
833,四川晟博通达商贸有限公司,9,-263757.0
799,2024高标准农田建设项目-龙泉村,1,-200000.0
794,高新产业园配套项目（包3）,1,-200000.0
793,高新产业园配套项目（包2）,3,-111575.13
841,德阳市区海旺建材经营部,1,-100000.0
798,澜沧江西路（苗山街-蓥华山路）,1,-50000.0
839,德阳森元路面工程有限公司,1,-45000.0
815,高地搅拌站,1,-41013.0
705,万润苑改造项目,1,-20000.0
792,旌阳区供水项目——柏隆净水厂,3,-16248.0
804,崴和路滑坡整治工程,1,-9415.0
808,烈士陵园装修项目,2,-5987.0
809,凯江大回湾景区融合提升项目,1,-5000.0
797,旌阳区供水项目——柏隆供水管网,1,-5.8
