fact_family,business_entity,partner_name,rows,amount_total
supplier_contract,德阳市博众建材销售有限公司,什邡市顺源通商贸有限责任公司,3,32605140.00
payment,四川迈投建筑工程有限公司,工资,27,9604147.22
payment,[NO_BUSINESS_ENTITY],高地库房,14,7603273.40
payment,[NO_BUSINESS_ENTITY],现金支付（个人）,170,6068852.35
supplier_contract,四川世旺鑫润商贸有限公司,什邡市顺源通商贸有限责任公司,1,5330625.00
payment,[NO_BUSINESS_ENTITY],四川昆程建材有限公司,8,4644191.12
payment,四川鑫垚建筑劳务有限公司,代付工资,18,4387003.00
payment,四川鑫垚建筑劳务有限公司,挂靠单位,11,3798575.40
stock_in,四川世旺鑫润商贸有限公司,四川世旺鑫润商贸有限公司,8,3787503.36
payment,[NO_BUSINESS_ENTITY],四川勇扬工程机械租赁有限公司,11,3149525.00
payment,[NO_BUSINESS_ENTITY],易德富负责人,631,2751897.65
supplier_contract,德阳泰诚硕商贸有限公司,什邡市顺源通商贸有限责任公司,1,2665050.00
supplier_contract,德阳市博众建材销售有限公司,德阳久宇土石方工程有限公司,1,2333808.00
supplier_contract,德阳市博众建材销售有限公司,四川庆祥建材有限公司,1,2326500.00
stock_in,四川晟博通达商贸有限公司,四川屹丰建材有限公司,6,2252677.25
supplier_contract,德阳市博众建材销售有限公司,四川昆程建材有限公司,2,2239664.00
supplier_contract,四川世旺鑫润商贸有限公司,四川庆祥建材有限公司,1,2158600.00
stock_in,四川翔驰恒瑞商贸有限公司,德阳市兴明鸿混凝土有限责任公司,2,2130827.44
payment,四川翔驰恒瑞商贸有限公司,德阳市兴明鸿混凝土有限责任公司,2,2130827.44
payment,四川世旺鑫润商贸有限公司,德阳鑫华益建材科技有限公司,1,2036368.00
stock_in,四川世旺鑫润商贸有限公司,德阳鑫华益建材科技有限公司,1,2033898.00
supplier_contract,德阳市博众建材销售有限公司,德阳市恒日太阳能路灯有限公司,2,1985980.00
supplier_contract,四川世旺鑫润商贸有限公司,德阳鑫华益建材科技有限公司,2,1971413.00
payment,四川迈投建筑工程有限公司,代付工资,16,1821336.00
supplier_contract,德阳市博众建材销售有限公司,绵阳鑫泰水泥制品有限公司,5,1700544.00
payment,四川宏川建筑劳务有限公司,重庆锴沄农业有限公司,1,1660844.52
stock_in,德阳泰诚硕商贸有限公司,四川昆程建材有限公司,1,1659850.00
payment,德阳泰诚硕商贸有限公司,四川昆程建材有限公司,2,1659850.00
supplier_contract,四川迈投建筑工程有限公司,周路林,2,1620000.00
supplier_contract,四川世旺鑫润商贸有限公司,四川睿杰达贸易有限公司,1,1612600.00
stock_in,德阳泰诚硕商贸有限公司,德阳市创纬贸易有限公司,1,1560629.22
payment,[NO_BUSINESS_ENTITY],周路林,8,1492390.08
payment,[NO_BUSINESS_ENTITY],李德兴,7,1311007.50
supplier_contract,四川鑫垚建筑劳务有限公司,刘伟班组,1,1310600.00
supplier_contract,四川晟博通达商贸有限公司,德阳市海森物资有限公司,2,1300000.00
stock_in,四川世旺鑫润商贸有限公司,成都敬业恒泰贸易有限公司,3,1285851.21
