overlap_kind,source_table,legacy_record_id,document_no,legacy_partner_name,legacy_gcmc,amount_total,target_id,target_name
supplier_contract_document_no,T_GYSHT_INFO,0e6ba7983aae4bd6b02597e55cf44836,111,四川庆祥建材有限公司,测试项目,15400.0,2617,CONOUT2601135
supplier_contract_document_no,T_GYSHT_INFO,0e6ba7983aae4bd6b02597e55cf44836,111,四川庆祥建材有限公司,测试项目,15400.0,5679,CONOUT2604197
supplier_contract_document_no,T_GYSHT_INFO,0e6ba7983aae4bd6b02597e55cf44836,111,四川庆祥建材有限公司,测试项目,15400.0,6215,CONOUT2604733
supplier_contract_document_no,T_GYSHT_INFO,81cc609c531b4ebf8aaa4b9e38661669,测试,德阳裕康钢筋加工厂,二重厂西路等4条道路工程,1.0,4737,CONOUT2603255
payment_partner_amount_possible,T_FK_Supplier,32174e359bf04f3284c4d1feff84392c,FKD-20250126-004,四川世旺鑫润商贸有限公司,,1000000.0,19385,PRQ2619385
payment_partner_amount_possible,T_FK_Supplier,378b9499ceb14884a750bf418406a8b7,FKD-20250123-008,四川世旺鑫润商贸有限公司,,1000000.0,19385,PRQ2619385
payment_partner_amount_possible,T_FK_Supplier,32174e359bf04f3284c4d1feff84392c,FKD-20250126-004,四川世旺鑫润商贸有限公司,,1000000.0,7138,PRQ2607138
payment_partner_amount_possible,T_FK_Supplier,378b9499ceb14884a750bf418406a8b7,FKD-20250123-008,四川世旺鑫润商贸有限公司,,1000000.0,7138,PRQ2607138
payment_partner_amount_possible,T_FK_Supplier,32174e359bf04f3284c4d1feff84392c,FKD-20250126-004,四川世旺鑫润商贸有限公司,,1000000.0,7794,PRQ2607794
payment_partner_amount_possible,T_FK_Supplier,378b9499ceb14884a750bf418406a8b7,FKD-20250123-008,四川世旺鑫润商贸有限公司,,1000000.0,7794,PRQ2607794
payment_partner_amount_possible,T_FK_Supplier,32174e359bf04f3284c4d1feff84392c,FKD-20250126-004,四川世旺鑫润商贸有限公司,,1000000.0,25287,PRQ2625287
payment_partner_amount_possible,T_FK_Supplier,378b9499ceb14884a750bf418406a8b7,FKD-20250123-008,四川世旺鑫润商贸有限公司,,1000000.0,25287,PRQ2625287
payment_partner_amount_possible,T_FK_Supplier,101f76410ad1492b8a080d58c4231d54,FK-202501231807,四川省浩鸿机械设备租赁有限公司,高新产业园配套项目（包3）,555130.0,20439,PRQ2620439
payment_partner_amount_possible,T_FK_Supplier,101f76410ad1492b8a080d58c4231d54,FK-202501231807,四川省浩鸿机械设备租赁有限公司,高新产业园配套项目（包3）,555130.0,15664,PRQ2615664
payment_partner_amount_possible,T_FK_Supplier,19d98691104849a780d02f6c1ef1ce6f,FK-202502171558,德阳市海龙清运有限公司,高新产业园配套项目（包2）,500000.0,25432,PRQ2625432
payment_partner_amount_possible,T_FK_Supplier,19d98691104849a780d02f6c1ef1ce6f,FK-202502171558,德阳市海龙清运有限公司,高新产业园配套项目（包2）,500000.0,10679,PRQ2610679
payment_partner_amount_possible,T_FK_Supplier,19d98691104849a780d02f6c1ef1ce6f,FK-202502171558,德阳市海龙清运有限公司,高新产业园配套项目（包2）,500000.0,18012,PRQ2618012
payment_partner_amount_possible,T_FK_Supplier,311a872215144f93bda20e959068a3ec,FK-202312271410,四川优正机电工程有限公司,烈士陵园装修项目,243972.0,14156,PRQ2614156
payment_partner_amount_possible,T_FK_Supplier,311a872215144f93bda20e959068a3ec,FK-202312271410,四川优正机电工程有限公司,烈士陵园装修项目,243972.0,28602,PRQ2628602
payment_partner_amount_possible,T_FK_Supplier,47bad13e7e7c4ecca83d178ad307f681,FK-202404011023,四川笃营建筑劳务有限公司,旌阳区供水项目——柏隆净水厂,216000.0,6794,PRQ2606794
payment_partner_amount_possible,T_FK_Supplier,47bad13e7e7c4ecca83d178ad307f681,FK-202404011023,四川笃营建筑劳务有限公司,旌阳区供水项目——柏隆净水厂,216000.0,18386,PRQ2618386
payment_partner_amount_possible,T_FK_Supplier,7e337a48208c4dd688713287877bc2bf,FKD-20250311-001,四川世旺鑫润商贸有限公司,,200000.0,230,PRQ2600230
payment_partner_amount_possible,T_FK_Supplier,1d6cee5bda3b4434bcc66bc54abad7c4,FK-202501221920,旌阳区耘扬工程机械租赁服务部,旌阳区供水项目——柏隆供水管网,200000.0,15892,PRQ2615892
payment_partner_amount_possible,T_FK_Supplier,1e58af409fb54d30b11b9187d18aad96,FK-202410311354,旌阳区耘扬工程机械租赁服务部,旌阳区供水项目——柏隆供水管网,200000.0,15892,PRQ2615892
payment_partner_amount_possible,T_FK_Supplier,1d6cee5bda3b4434bcc66bc54abad7c4,FK-202501221920,旌阳区耘扬工程机械租赁服务部,旌阳区供水项目——柏隆供水管网,200000.0,19262,PRQ2619262
payment_partner_amount_possible,T_FK_Supplier,1e58af409fb54d30b11b9187d18aad96,FK-202410311354,旌阳区耘扬工程机械租赁服务部,旌阳区供水项目——柏隆供水管网,200000.0,19262,PRQ2619262
payment_partner_amount_possible,T_FK_Supplier,4c1da3e6713a410795d09c9c1611a816,FK-202410211051,德阳市鸿安机械设备租赁有限公司,旌阳区供水项目——柏隆净水厂,168117.0,26825,PRQ2626825
payment_partner_amount_possible,T_FK_Supplier,4c1da3e6713a410795d09c9c1611a816,FK-202410211051,德阳市鸿安机械设备租赁有限公司,旌阳区供水项目——柏隆净水厂,168117.0,8859,PRQ2608859
payment_partner_amount_possible,T_FK_Supplier,90be3fe653ff43f5a2ca97f46d884987,FKD-20230612-004,德阳云刚土石方工程有限公司,,150000.0,9691,PRQ2609691
payment_partner_amount_possible,T_FK_Supplier,90be3fe653ff43f5a2ca97f46d884987,FKD-20230612-004,德阳云刚土石方工程有限公司,,150000.0,8186,PRQ2608186
payment_partner_amount_possible,T_FK_Supplier,90be3fe653ff43f5a2ca97f46d884987,FKD-20230612-004,德阳云刚土石方工程有限公司,,150000.0,28918,PRQ2628918
payment_partner_amount_possible,T_FK_Supplier,90be3fe653ff43f5a2ca97f46d884987,FKD-20230612-004,德阳云刚土石方工程有限公司,,150000.0,25904,PRQ2625904
payment_partner_amount_possible,T_FK_Supplier,1634486b352f474daa7da990beccee82,FK-202402051739,四川优正机电工程有限公司,烈士陵园装修项目,143113.6,11795,PRQ2611795
payment_partner_amount_possible,T_FK_Supplier,1634486b352f474daa7da990beccee82,FK-202402051739,四川优正机电工程有限公司,烈士陵园装修项目,143113.6,21395,PRQ2621395
payment_partner_amount_possible,T_FK_Supplier,a9e0a04ddc5f470c8cca01a45274f834,FK-202311221419,成都浩阳钢管有限公司,崴和路滑坡整治工程,100000.0,13645,PRQ2613645
payment_partner_amount_possible,T_FK_Supplier,a9e0a04ddc5f470c8cca01a45274f834,FK-202311221419,成都浩阳钢管有限公司,崴和路滑坡整治工程,100000.0,18846,PRQ2618846
payment_partner_amount_possible,T_FK_Supplier,934a88c60c624397af70566366165ab1,FK-202310271802,德阳市兴业混凝土有限公司,三星堆环线基础设施改造,100000.0,17520,PRQ2617520
payment_partner_amount_possible,T_FK_Supplier,ae9f86bde96142798ae0c766022fb35e,FK-202311031750,德阳市兴业混凝土有限公司,三星堆环线基础设施改造,100000.0,17520,PRQ2617520
payment_partner_amount_possible,T_FK_Supplier,9ed5b067c2f84d5dbd1835ed4dcf0aff,FKD-20231025-001,德阳市兴业混凝土有限公司,三星堆环线基础设施改造,100000.0,17520,PRQ2617520
payment_partner_amount_possible,T_FK_Supplier,d1f4fe50dc62488c99e89df7a47029d1,FKD-20240108-004,德阳市兴业混凝土有限公司,2023年高标准农田改造提升-东美村,100000.0,17520,PRQ2617520
payment_partner_amount_possible,T_FK_Supplier,934a88c60c624397af70566366165ab1,FK-202310271802,德阳市兴业混凝土有限公司,三星堆环线基础设施改造,100000.0,29445,PRQ2629445
payment_partner_amount_possible,T_FK_Supplier,9ed5b067c2f84d5dbd1835ed4dcf0aff,FKD-20231025-001,德阳市兴业混凝土有限公司,三星堆环线基础设施改造,100000.0,29445,PRQ2629445
payment_partner_amount_possible,T_FK_Supplier,d1f4fe50dc62488c99e89df7a47029d1,FKD-20240108-004,德阳市兴业混凝土有限公司,2023年高标准农田改造提升-东美村,100000.0,29445,PRQ2629445
payment_partner_amount_possible,T_FK_Supplier,ae9f86bde96142798ae0c766022fb35e,FK-202311031750,德阳市兴业混凝土有限公司,三星堆环线基础设施改造,100000.0,29445,PRQ2629445
payment_partner_amount_possible,T_FK_Supplier,cf09de54d18042cc92d324cf6fe3bf7b,FK-202601311753,四川众恒建筑工程有限公司,高新产业园配套项目（包3）,82000.0,28258,PRQ2628258
payment_partner_amount_possible,T_FK_Supplier,cf09de54d18042cc92d324cf6fe3bf7b,FK-202601311753,四川众恒建筑工程有限公司,高新产业园配套项目（包3）,82000.0,10029,PRQ2610029
payment_partner_amount_possible,T_FK_Supplier,568ddf7b9f25406092e27e45227470ab,FK-202409231555,德阳裕兴公共交通有限责任公司,天山路（黄河路-凯江路）改造项目,80000.0,17712,PRQ2617712
payment_partner_amount_possible,T_FK_Supplier,568ddf7b9f25406092e27e45227470ab,FK-202409231555,德阳裕兴公共交通有限责任公司,天山路（黄河路-凯江路）改造项目,80000.0,5870,PRQ2605870
payment_partner_amount_possible,T_FK_Supplier,a16b17f36bdb4feb9fc601b29fabd9cc,FK-202403121044,管理人员工资,崴和路滑坡整治工程,70000.0,9961,PRQ2609961
payment_partner_amount_possible,T_FK_Supplier,a16b17f36bdb4feb9fc601b29fabd9cc,FK-202403121044,管理人员工资,崴和路滑坡整治工程,70000.0,24617,PRQ2624617
payment_partner_amount_possible,T_FK_Supplier,fa2ed4c833a0403ab86291e0b6c138fe,FK-202501211356,四川金帝源道路工程有限公司,二重厂西路等4条道路工程,68360.0,24938,PRQ2624938
payment_partner_amount_possible,T_FK_Supplier,fa2ed4c833a0403ab86291e0b6c138fe,FK-202501211356,四川金帝源道路工程有限公司,二重厂西路等4条道路工程,68360.0,6215,PRQ2606215
payment_partner_amount_possible,T_FK_Supplier,32b6bb7425c14eb2aa935c03858b1b68,FK-202406281045,管理人员工资,玉山街道路工程,61200.0,5685,PRQ2605685
payment_partner_amount_possible,T_FK_Supplier,bee7c93730d94defa834b4f0f09a9d77,FK-202311231645,成都浩阳钢管有限公司,崴和路滑坡整治工程,60000.0,9030,PRQ2609030
payment_partner_amount_possible,T_FK_Supplier,bee7c93730d94defa834b4f0f09a9d77,FK-202311231645,成都浩阳钢管有限公司,崴和路滑坡整治工程,60000.0,25470,PRQ2625470
payment_partner_amount_possible,T_FK_Supplier,d56b22a194e7466f96d59289f44829e8,FK-202402061628,四川虹华园林景观工程有限公司,齐家堰流域（高槐村-桂花村）河段水生态修复项目,58500.0,9569,PRQ2609569
payment_partner_amount_possible,T_FK_Supplier,d56b22a194e7466f96d59289f44829e8,FK-202402061628,四川虹华园林景观工程有限公司,齐家堰流域（高槐村-桂花村）河段水生态修复项目,58500.0,19522,PRQ2619522
payment_partner_amount_possible,T_FK_Supplier,c5737f926bea4ef7a79cf6fac2b22cdd,FKD-20240806-003,德阳市海森物资有限公司,,50000.0,15477,PRQ2615477
payment_partner_amount_possible,T_FK_Supplier,c5737f926bea4ef7a79cf6fac2b22cdd,FKD-20240806-003,德阳市海森物资有限公司,,50000.0,23525,PRQ2623525
payment_partner_amount_possible,T_FK_Supplier,c5737f926bea4ef7a79cf6fac2b22cdd,FKD-20240806-003,德阳市海森物资有限公司,,50000.0,5429,PRQ2605429
payment_partner_amount_possible,T_FK_Supplier,c5737f926bea4ef7a79cf6fac2b22cdd,FKD-20240806-003,德阳市海森物资有限公司,,50000.0,29781,PRQ2629781
payment_partner_amount_possible,T_FK_Supplier,c5737f926bea4ef7a79cf6fac2b22cdd,FKD-20240806-003,德阳市海森物资有限公司,,50000.0,24245,PRQ2624245
payment_partner_amount_possible,T_FK_Supplier,23ff8dd032ac41cda4a4626b09ca74d8,FK-202404221218,广东润航新能源科技有限公司,二重厂西路等4条道路工程,50000.0,26945,PRQ2626945
payment_partner_amount_possible,T_FK_Supplier,c5737f926bea4ef7a79cf6fac2b22cdd,FKD-20240806-003,德阳市海森物资有限公司,,50000.0,13387,PRQ2613387
payment_partner_amount_possible,T_FK_Supplier,c5737f926bea4ef7a79cf6fac2b22cdd,FKD-20240806-003,德阳市海森物资有限公司,,50000.0,6238,PRQ2606238
payment_partner_amount_possible,T_FK_Supplier,c5737f926bea4ef7a79cf6fac2b22cdd,FKD-20240806-003,德阳市海森物资有限公司,,50000.0,19115,PRQ2619115
payment_partner_amount_possible,T_FK_Supplier,23ff8dd032ac41cda4a4626b09ca74d8,FK-202404221218,广东润航新能源科技有限公司,二重厂西路等4条道路工程,50000.0,5876,PRQ2605876
payment_partner_amount_possible,T_FK_Supplier,a4e4a2a2a8864770a2a550f52e96aecc,FK-202501231553,成都茗洋机械租赁有限公司,高新产业园配套项目（包2）,46000.0,25066,PRQ2625066
payment_partner_amount_possible,T_FK_Supplier,a4e4a2a2a8864770a2a550f52e96aecc,FK-202501231553,成都茗洋机械租赁有限公司,高新产业园配套项目（包2）,46000.0,7486,PRQ2607486
payment_partner_amount_possible,T_FK_Supplier,e482ce09933441c9ae2ba5505cd6b347,FK-202602031328,四川金帝源道路工程有限公司,城市花园等老旧小区改造,45450.0,20002,PRQ2620002
payment_partner_amount_possible,T_FK_Supplier,e482ce09933441c9ae2ba5505cd6b347,FK-202602031328,四川金帝源道路工程有限公司,城市花园等老旧小区改造,45450.0,7618,PRQ2607618
payment_partner_amount_possible,T_FK_Supplier,2ce154c3d9524e34844706b4485c9ebb,FK-202402061628,旌阳区国中机械设备租赁服务部,齐家堰流域（高槐村-桂花村）河段水生态修复项目,42680.0,11142,PRQ2611142
payment_partner_amount_possible,T_FK_Supplier,2ce154c3d9524e34844706b4485c9ebb,FK-202402061628,旌阳区国中机械设备租赁服务部,齐家堰流域（高槐村-桂花村）河段水生态修复项目,42680.0,28211,PRQ2628211
payment_partner_amount_possible,T_FK_Supplier,0da99b9355bb4f6fae88082fd41342dd,FK-202311201754,德阳亚东水泥销售有限责任公司,高地搅拌站,41013.0,7582,PRQ2607582
payment_partner_amount_possible,T_FK_Supplier,0da99b9355bb4f6fae88082fd41342dd,FK-202311201754,德阳亚东水泥销售有限责任公司,高地搅拌站,41013.0,23602,PRQ2623602
payment_partner_amount_possible,T_FK_Supplier,e7f61134f8f644d6b9762a69e4691537,FK-202407041430,旌阳区华材建材经营部,二重厂西路等4条道路工程,39987.2,25678,PRQ2625678
payment_partner_amount_possible,T_FK_Supplier,e7f61134f8f644d6b9762a69e4691537,FK-202407041430,旌阳区华材建材经营部,二重厂西路等4条道路工程,39987.2,17359,PRQ2617359
payment_partner_amount_possible,T_FK_Supplier,47cd1e189bf1421daf8f3d59a0ebebc3,FKD-20240806-002,德阳林海物资有限公司,,37230.0,17348,PRQ2617348
payment_partner_amount_possible,T_FK_Supplier,47cd1e189bf1421daf8f3d59a0ebebc3,FKD-20240806-002,德阳林海物资有限公司,,37230.0,28993,PRQ2628993
payment_partner_amount_possible,T_FK_Supplier,876d6af9d9e540b897e61c17b9d6db1e,FK-202312071539,管理人员工资,凯江大回湾景区融合提升项目,35000.0,8532,PRQ2608532
payment_partner_amount_possible,T_FK_Supplier,876d6af9d9e540b897e61c17b9d6db1e,FK-202312071539,管理人员工资,凯江大回湾景区融合提升项目,35000.0,25830,PRQ2625830
payment_partner_amount_possible,T_FK_Supplier,876d6af9d9e540b897e61c17b9d6db1e,FK-202312071539,管理人员工资,凯江大回湾景区融合提升项目,35000.0,13090,PRQ2613090
payment_partner_amount_possible,T_FK_Supplier,9dd8aaffe87d4fb7b433312fe8ac4772,FK-202407041430,旌阳区丰瀚商贸经营部,二重厂西路等4条道路工程,30000.0,28510,PRQ2628510
payment_partner_amount_possible,T_FK_Supplier,9dd8aaffe87d4fb7b433312fe8ac4772,FK-202407041430,旌阳区丰瀚商贸经营部,二重厂西路等4条道路工程,30000.0,14265,PRQ2614265
payment_partner_amount_possible,T_FK_Supplier,688de28e1a764457905f25e6349990e1,FK-202402051933,四川金帝源道路工程有限公司,二重厂西路等4条道路工程,27988.0,28997,PRQ2628997
payment_partner_amount_possible,T_FK_Supplier,688de28e1a764457905f25e6349990e1,FK-202402051933,四川金帝源道路工程有限公司,二重厂西路等4条道路工程,27988.0,16715,PRQ2616715
payment_partner_amount_possible,T_FK_Supplier,ca46e462e0eb46dc8b61937b9b713728,FK-202407160951,德阳欧峰实业有限公司,天山路（黄河路-凯江路）改造项目,27753.0,5816,PRQ2605816
payment_partner_amount_possible,T_FK_Supplier,ca46e462e0eb46dc8b61937b9b713728,FK-202407160951,德阳欧峰实业有限公司,天山路（黄河路-凯江路）改造项目,27753.0,17841,PRQ2617841
payment_partner_amount_possible,T_FK_Supplier,f574995543014a07be460dc38f684fdb,FK-202402080832,旌阳区飞丰华机械租赁服务部,嘉陵江路库房,25350.0,18329,PRQ2618329
payment_partner_amount_possible,T_FK_Supplier,f574995543014a07be460dc38f684fdb,FK-202402080832,旌阳区飞丰华机械租赁服务部,嘉陵江路库房,25350.0,14276,PRQ2614276
payment_partner_amount_possible,T_FK_Supplier,8a30182367e54f10b75e067df1f52ce3,FK-202401291530,成都揽星照明工程有限公司,孝感翠竹街西路改造,24283.0,17561,PRQ2617561
payment_partner_amount_possible,T_FK_Supplier,8a30182367e54f10b75e067df1f52ce3,FK-202401291530,成都揽星照明工程有限公司,孝感翠竹街西路改造,24283.0,25308,PRQ2625308
payment_partner_amount_possible,T_FK_Supplier,2d905ae669fc45d2927562ecb1e9044d,FK-202405111628,管理人员工资,高新产业园配套项目（包2）,20000.0,24925,PRQ2624925
payment_partner_amount_possible,T_FK_Supplier,f48fbc6c5d6a4042a141d852e4b746dc,FK-202408141349,管理人员工资,旌阳区供水项目——柏隆供水管网,20000.0,24925,PRQ2624925
payment_partner_amount_possible,T_FK_Supplier,f0d0fb0af70e49ab94b38b41f531648d,FK-202410111309,管理人员工资,旌阳区供水项目——柏隆供水管网,20000.0,24925,PRQ2624925
payment_partner_amount_possible,T_FK_Supplier,a7231d5d96d64b56a44e785eb755e333,FK-202408141349,管理人员工资,旌阳区供水项目——柏隆供水管网,20000.0,24925,PRQ2624925
payment_partner_amount_possible,T_FK_Supplier,f48fbc6c5d6a4042a141d852e4b746dc,FK-202408141349,管理人员工资,旌阳区供水项目——柏隆供水管网,20000.0,6978,PRQ2606978
