legacy_record_id,legacy_pid,document_no,document_state,document_date,legacy_xmid,legacy_xmmc,subject,note,source_account_balance_total,source_bank_balance_total,source_bank_system_difference
51bdb538b1744172b5bf00d274b41e7a,17093040158970000,ZJRBB-20240301-001,2,2024-03-02,fb0c4133-f011-44a4-a285-59cfd30aec27,公司综合平台,资金日报表,,8918348.6500000000,8918348.6500000000,.0000000000
147e24bb70a84ddf8e8b6de16554eeb6,17095459969250000,ZJRBB-20240304-003,2,2024-03-04,306434aba43f4128b4ab6d8a6b289674,四川晟博通达商贸有限公司,晟博3.4资金日报表,"有501,740.00未审核 加上能对上",3968320.7400000000,3466580.7400000000,501740.0000000000
1b6c54fc876d4354b7fdea5219c95954,17095458937060000,ZJRBB-20240304-002,2,2024-03-04,b8bc05aace5149f2af36878e9c030f4c,四川鑫垚建筑劳务有限公司,资金日报表,,8923939.6500000000,8923939.6500000000,.0000000000
33059d61b54f4c56a36bea6eed940f8b,17095461611900000,ZJRBB-20240304-004,2,2024-03-04,fa8bdd0d90aa4585bf8c27011d01b6d5,四川翔驰恒瑞商贸有限公司,翔驰3.4资金日报表,有3.54未审核,599853.6400000000,599850.1000000000,3.5400000000
46cac56e7d5341258780e81bd103b9f4,17095464022370000,ZJRBB-20240304-006,2,2024-03-04,547603a871bd42c5b19681683626a314,四川迈投建筑工程有限公司,资金日报表,,8923939.6500000000,8923939.6500000000,.0000000000
6915d4d825a44683ab6db275ab2db527,17095443959090000,ZJRBB-20240304-001,2,2024-03-04,95f1fe93331842488d5469ad771a1543,德阳泰诚硕商贸有限公司,泰诚硕3.4资金日报表,,1931363.8000000000,1931363.8000000000,.0000000000
a8b23e271c6e40d88207b906d4a9d5c4,17095463130340000,ZJRBB-20240304-005,2,2024-03-04,af1d4b6f50504cfd9c6b0b13065fecff,四川世旺鑫润商贸有限公司,3.4世旺资金日报表,有359.2未审核,1071900.4100000000,1071541.2100000000,359.2000000000
e704c1b6bd2b49538213539019997e61,17095464597060000,ZJRBB-20240304-007,2,2024-03-04,547603a871bd42c5b19681683626a314,四川迈投建筑工程有限公司,资金日报表,,8923939.6500000000,8923939.6500000000,.0000000000
017cbb1f2da148eb8dbd596c13df3f9f,17096322885290000,ZJRBB-20240305-006,2,2024-03-05,95f1fe93331842488d5469ad771a1543,德阳泰诚硕商贸有限公司,3.5泰诚硕,,1928977.0100000000,1928977.0100000000,.0000000000
41f96c7e5c7c45018bf68426bd63f51e,17096309566230000,ZJRBB-20240305-003,2,2024-03-05,ad4866a0a8a24b629a87165d98be5948,四川宏政嘉斯建筑工程有限公司,资金日报表,,553237.5700000000,553237.5700000000,.0000000000
47805d69e81c4cb3ac7718e764784c42,17096322044830000,ZJRBB-20240305-005,2,2024-03-05,306434aba43f4128b4ab6d8a6b289674,四川晟博通达商贸有限公司,3.5晟博资金日报表,系统期初余额差300000,3766580.7400000000,3466580.7400000000,300000.0000000000
6c1ab36233cb44e897a3b1a63b0ca16e,17096308792480000,ZJRBB-20240305-002,2,2024-03-05,547603a871bd42c5b19681683626a314,四川迈投建筑工程有限公司,资金日报表,,144003.6600000000,144003.6600000000,.0000000000
727b40d296a54784942a130693cf2923,17096307990290000,ZJRBB-20240305-001,2,2024-03-05,b8bc05aace5149f2af36878e9c030f4c,四川鑫垚建筑劳务有限公司,资金日报表,,646129.9700000000,646129.9700000000,.0000000000
982532f594c7498ea300daac2faca55d,17096324413890000,ZJRBB-20240305-007,2,2024-03-05,af1d4b6f50504cfd9c6b0b13065fecff,四川世旺鑫润商贸有限公司,3.5世旺,两笔支付未复核共64698,1006843.2100000000,1071541.2100000000,-64698.0000000000
bb16e9fe53a44c37af8e7390381175f2,17096314104980000,ZJRBB-20240305-004,2,2024-03-05,fa8bdd0d90aa4585bf8c27011d01b6d5,四川翔驰恒瑞商贸有限公司,3.5翔驰资金日报表,,599850.1000000000,599850.1000000000,.0000000000
184dc9fd62c34849bea014f34eac212a,17097122953200000,ZJRBB-20240306-002,2,2024-03-06,547603a871bd42c5b19681683626a314,四川迈投建筑工程有限公司,资金日报表,,144003.6600000000,144003.6600000000,.0000000000
