staging_id,legacy_record_id,document_no,document_date,project_id,project_name,partner_id,partner_name,amount_total,classification,target_model,action
3688,6861abf9b449404b8fc6835a10eec138,FKD-20240821-020,2022-01-31,869,SCBS未指定项目 - 四川晟博通达商贸有限公司,7750,李德兴,-8640.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
6038,aa3c51b1b6cd4fceb2706b6bf8e22231,FKD-20240821-002,2022-08-31,875,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,7692,成都市洪强远程商贸有限公司,-28094.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
6541,b725a63008234aa8a45ad16e52644331,FKD-20231012-046,2022-09-07,874,SCBS未指定项目 - 四川迈投建筑工程有限公司,7623,德阳市区百润油漆店,-17340.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
1898,36fa99f595c54603a41647002288b515,FKD-20231012-043,2022-09-20,874,SCBS未指定项目 - 四川迈投建筑工程有限公司,7632,德阳市方兴建筑设备租赁有限责任公司,-88364.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
6773,bdf45aa04b964f0ebb436949c04e293f,FKD-20240821-004,2022-09-28,875,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,7393,什邡市欧风建筑装饰工程有限公司,-19015.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
5643,9f23c95565d14296abc2a73ce3fad5f4,FKD-20231007-005,2022-10-10,873,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,7314,德阳开发区未城建材经营部,-150000.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
8142,e3a1b6a6941f4d0a9cfc8722a1f3c185,FKD-20240821-003,2022-10-13,875,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,7417,四川鸿源宸建材有限公司,-25000.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
4279,79895135063d45668152b1914766fa1e,FKD-20231012-045,2022-11-02,874,SCBS未指定项目 - 四川迈投建筑工程有限公司,7844,德阳尔之加工程材料有限公司,-49527.8,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
904,19a990013dc549f39dbb888698664b64,FKD-20231012-047,2022-12-31,874,SCBS未指定项目 - 四川迈投建筑工程有限公司,7595,工资,-196115.0,refund_or_return,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
2971,5410995755e54d8b87af91b9b6120879,FKD-20230920-057,2023-01-04,875,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,7523,四川川盾门窗有限公司,-3848.0,negative_without_text_semantics,sc.legacy.payment.adjustment.fact,create_payment_adjustment_fact
