project_id,name,project_code,current_operation_strategy,target_operation_strategy,action,reason,other_system_id,legacy_project_id,project_environment
829,旌阳区供水项目——柏隆净水厂,PRJ260830,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌阳区供水项目——柏隆净水厂,旌阳区供水项目——柏隆净水厂,legacy_scbs_project_fact
830,高新产业园配套项目（包2）,PRJ260831,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:高新产业园配套项目（包2）,高新产业园配套项目（包2）,legacy_scbs_project_fact
831,高新产业园配套项目（包3）,PRJ260832,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:高新产业园配套项目（包3）,高新产业园配套项目（包3）,legacy_scbs_project_fact
832,三星堆环线基础设施改造,PRJ260833,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:三星堆环线基础设施改造,三星堆环线基础设施改造,legacy_scbs_project_fact
833,二重厂西路等4条道路工程,PRJ260834,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:二重厂西路等4条道路工程,二重厂西路等4条道路工程,legacy_scbs_project_fact
834,旌阳区供水项目——柏隆供水管网,PRJ260835,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌阳区供水项目——柏隆供水管网,旌阳区供水项目——柏隆供水管网,legacy_scbs_project_fact
835,澜沧江西路（苗山街-蓥华山路）,PRJ260836,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:澜沧江西路（苗山街-蓥华山路）,澜沧江西路（苗山街-蓥华山路）,legacy_scbs_project_fact
836,2024高标准农田建设项目-龙泉村,PRJ260837,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:2024高标准农田建设项目-龙泉村,2024高标准农田建设项目-龙泉村,legacy_scbs_project_fact
837,龙泉山路二段(赣江路-信江路),PRJ260838,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:龙泉山路二段(赣江路-信江路),龙泉山路二段(赣江路-信江路),legacy_scbs_project_fact
838,王谊村总平,PRJ260839,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:王谊村总平,王谊村总平,legacy_scbs_project_fact
839,齐家堰流域（高槐村-桂花村）河段水生态修复项目,PRJ260840,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:齐家堰流域（高槐村-桂花村）河段水生态修复项目,齐家堰流域（高槐村-桂花村）河段水生态修复项目,legacy_scbs_project_fact
840,玉山街道路工程,PRJ260841,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:玉山街道路工程,玉山街道路工程,legacy_scbs_project_fact
841,崴和路滑坡整治工程,PRJ260842,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:崴和路滑坡整治工程,崴和路滑坡整治工程,legacy_scbs_project_fact
842,德阳市烈士陵园建设项目,PRJ260843,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:德阳市烈士陵园建设项目,德阳市烈士陵园建设项目,legacy_scbs_project_fact
843,孝感翠竹街西路改造,PRJ260844,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:孝感翠竹街西路改造,孝感翠竹街西路改造,legacy_scbs_project_fact
844,面粉厂等小区改造项目,PRJ260845,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:面粉厂等小区改造项目,面粉厂等小区改造项目,legacy_scbs_project_fact
845,烈士陵园装修项目,PRJ260846,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:烈士陵园装修项目,烈士陵园装修项目,legacy_scbs_project_fact
846,凯江大回湾景区融合提升项目,PRJ260847,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:凯江大回湾景区融合提升项目,凯江大回湾景区融合提升项目,legacy_scbs_project_fact
847,万润苑改造,PRJ260848,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:万润苑改造,万润苑改造,legacy_scbs_project_fact
848,东一环北延线,PRJ260849,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:东一环北延线,东一环北延线,legacy_scbs_project_fact
849,城市花园等老旧小区改造,PRJ260850,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:城市花园等老旧小区改造,城市花园等老旧小区改造,legacy_scbs_project_fact
850,寿崴路,PRJ260851,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:寿崴路,寿崴路,legacy_scbs_project_fact
851,天山路（黄河路-凯江路）改造项目,PRJ260852,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:天山路（黄河路-凯江路）改造项目,天山路（黄河路-凯江路）改造项目,legacy_scbs_project_fact
852,太行山路（钱塘江路-信江路）道路工程,PRJ260853,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:太行山路（钱塘江路-信江路）道路工程,太行山路（钱塘江路-信江路）道路工程,legacy_scbs_project_fact
853,宋家堰景观工程,PRJ260854,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:宋家堰景观工程,宋家堰景观工程,legacy_scbs_project_fact
854,高地搅拌站,PRJ260855,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:高地搅拌站,高地搅拌站,legacy_scbs_project_fact
855,汾河路（挂靠）,PRJ260856,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:汾河路（挂靠）,汾河路（挂靠）,legacy_scbs_project_fact
856,崴和路二标段,PRJ260857,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:崴和路二标段,崴和路二标段,legacy_scbs_project_fact
857,旌阳区2025年老旧小区改造-包5,PRJ260858,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌阳区2025年老旧小区改造-包5,旌阳区2025年老旧小区改造-包5,legacy_scbs_project_fact
858,嘉陵江路库房,PRJ260859,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:嘉陵江路库房,嘉陵江路库房,legacy_scbs_project_fact
859,德阳凹街办公室,PRJ260860,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:德阳凹街办公室,德阳凹街办公室,legacy_scbs_project_fact
