coverage_state,legacy_material_id,material_name,spec_model,uom_text,line_rows,header_rows,qty,amount,target_material_catalog_id,target_catalog_name,target_spec_model,target_uom_text,exact_text_catalog_id,exact_text_match_count,name_spec_catalog_id,name_spec_match_count,has_promoted_product
catalog_ready_by_legacy_id,6354409660494a0c82af786604f1bf17,商品混凝土,C20,m3,10,10,9771.0000,4512350.84,6840661,商品混凝土,C20,m3,6840661,1,6840661,2,no
catalog_ready_by_legacy_id,b17fdf37c172431ca2a4d56fa4759d62,商品混凝土,C30,立方米,12,12,7072.5968,3158699.76,6840662,商品混凝土,C30,立方米,6840662,1,6840662,2,no
catalog_ready_by_legacy_id,eb1f9ff787a24dba9ee20723707f6110,商品混凝土,C35P8,立方米,5,5,6158.0000,2801890.00,6840663,商品混凝土,C35P8,立方米,6840663,1,6840663,1,no
catalog_candidate_exact_text,ab2cf413a91f4ee1a3ef1f27b8bc402e,连砂石,,立方米,4,4,23762.4700,2275319.81,,,,,1977939,3,1977939,3,no
catalog_ready_by_legacy_id,51948c07f10740b69aa4300c2ff62911,商品混凝土,C20,M3,16,16,5248.2600,2037999.74,6840664,商品混凝土,C20,M3,6840664,1,6840661,2,no
missing_legacy_material_id,,商品混凝土,C25,m3,1,1,4700.0000,2021000.00,,,,,6840692,1,6840665,2,no
catalog_ready_by_legacy_id,ba944f5415d6498280ee8242ab2d1d9c,商品混凝土,C25,立方米,13,13,4863.6700,1948676.73,6840665,商品混凝土,C25,立方米,6840665,1,6840665,2,no
catalog_ready_by_legacy_id,0dd03d3aed624015a78645b47cbed417,沥青混凝土,改性AC-13,t,1,1,3730.0000,1659850.00,6840666,沥青混凝土,改性AC-13,t,6840666,1,6840666,1,no
catalog_ready_by_legacy_id,9ab5067cd1094dc58704accffdf4b079,承重内保温球墨铸铁井盖,700*75T,个,1,1,1500.0000,1508550.00,6840667,承重内保温球墨铸铁井盖,700*75T,个,6840667,1,6840667,1,no
catalog_ready_by_legacy_id,2d0fbc89f3dc434cb6711dd8cfca7856,商品混凝土,C30,m3,6,6,2203.8779,1116476.00,6840668,商品混凝土,C30,m3,6840668,1,6840662,2,no
catalog_candidate_name_spec,abbb967000334d0cbf33ac705fc72f3b,镀锌钢管,,吨,7,5,196.9942,1068161.20,,,,,,0,1356382,4907,no
catalog_ready_by_legacy_id,b8b5b42b765a4b3bb975fc9a589140b2,砂石,机砂,吨,7,7,14935.0600,1017107.35,6840669,砂石,机砂,吨,6840669,1,6840669,1,no
catalog_ready_by_legacy_id,8d83632cb4f5437395ca5504352e99a3,二灰废料,,M3,3,3,9616.3428,1009716.00,6840670,二灰废料,,M3,6840670,1,6840670,1,no
