review_priority,suggested_action,decision,decision_note,target_material_catalog_id,accepted_material_catalog_id,coverage_state,legacy_material_id,material_name,spec_model,uom_text,line_rows,header_rows,qty,amount,exact_text_catalog_id,exact_text_match_count,name_spec_catalog_id,name_spec_match_count
2,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,ab2cf413a91f4ee1a3ef1f27b8bc402e,连砂石,,立方米,4,4,23762.4700,2275319.81,1977939,3,1977939,3
2,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,0d6d977c3986463483dff56dd3717032,机砂,,吨,1,1,8096.8500,825878.70,1704528,1,1703517,2
2,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,1c622a75f3da49b6a04e438838b5b3b9,页岩砖,,匹,2,2,432900.0000,181958.00,1742023,1,1494670,126
2,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,35211,碎石,,m3,2,2,953.2350,152665.65,1498013,375,1494879,394
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,4ee61ffe538b46a2a8c7d9d51c23f135,碎石,,吨,1,1,1006.0000,98588.00,1494879,7,1494879,394
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,c5f9d4403af5493aa46f388cb1b283a8,标砖,,匹,2,2,197500.0000,73525.00,1681383,1,1681383,2
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,b36243f114054472acbb708c978407ac,标砖,,匹,4,4,112000.0000,47070.00,1681383,1,1681383,2
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,694aa7b9cfff42448e148f7089201f16,PVC管材,,米,1,1,4200.0000,39900.00,1949359,1,1949359,1
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,a9f6d21a66324f7b9e1d4376d196c8cd,标砖,,匹,1,1,66500.0000,27930.00,1681383,1,1681383,2
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,3dc0ff307f874b819e712e72b68554dc,围挡,,米,1,1,121.2000,19998.00,1936545,1,1936545,4
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,98d94a5d6dcb4ec196d442766856c195,木方,,立方米,1,1,9.2950,14872.00,1650377,3,1506534,33
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,8aa3d3cc3e2d43edb010a7bac518b6d3,抗裂砂浆,,kg,1,1,9650.0000,14475.00,1703151,8,1542148,19
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,4037ae54aad84088a58e1d669b0263ee,钢材,,吨,1,1,2.8160,10560.00,1625298,3,1594215,9
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,a432c1b3f0de49599091fcfa5ef198b7,水泥,,t,1,1,25.6410,10000.00,1738717,5,52064,270
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,6105c49e68d74956aa18d8cbf11074de,安全帽,,个,1,1,200.0000,8000.00,1593617,8,102,491
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,5a21094b554c4411bd688cf7d2f08ba8,防盗门,,平方米,1,1,12.0000,4416.00,1688021,1,1290014,371
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,8966c021c2fa4a6f8033f31aa66b8185,稀料,,桶,2,2,9.0000,2700.00,1522643,16,1522643,16
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,e771a2eb9739411d8603f6dfb53af0de,庭院灯,,盏,1,1,5.0000,1565.00,1518770,1,1518770,1
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,6905bce44de044728d66f97f5dfa2927,白水泥,,吨,1,1,1720.4000,1135.46,1915088,1,1496846,133
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,127ba685e0904de3b22ed73940db8567,吸顶灯,,个,1,1,17.0000,544.00,1500407,124,1500407,124
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,7412d02c1c8c47399daac67fad390cd9,PVC管,,米,1,1,468.4400,468.44,1512956,2,1219327,3950
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,f7f6b47c051b49f797b5bfd55e2610ed,拖布池,,套,1,1,2.0000,457.60,1505904,124,1497418,248
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,19ade380a57941a984502cde1db57c91,路沿石,,米,1,1,400.0000,400.00,1780381,1,1780381,1
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,47fd969ae7854def8941c2a83560a8be,游标卡尺,,把,1,1,1.0000,130.00,1496857,124,1110239,240
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,0fea98f6ff444b01975a8851c04356f4,三通,,个,1,1,4.0000,32.00,1540430,3,54743,3483
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,bf4ed16205984bd798eb5a071e2a7622,斜口钳,,把,1,1,1.0000,15.00,1496300,248,1109228,828
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,97d2614f0048493489db72c75f6c8dd6,白面板,,个,1,1,5.0000,12.50,1534564,8,1534564,8
5,confirm_exact_text_catalog_or_create_new,,,,,catalog_candidate_exact_text,33383,雾炮机,,台,1,1,2.0000,2.00,1916594,1,1916594,1
