review_priority,suggested_action,decision,decision_note,target_material_catalog_id,accepted_material_catalog_id,coverage_state,legacy_material_id,material_name,spec_model,uom_text,line_rows,header_rows,qty,amount,exact_text_catalog_id,exact_text_match_count,name_spec_catalog_id,name_spec_match_count
3,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,abbb967000334d0cbf33ac705fc72f3b,镀锌钢管,,吨,7,5,196.9942,1068161.20,,0,1356382,4907
3,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,53b0e8c47c75456691a20c4b67f0f099,连砂石,,m3,1,1,10553.8000,875965.40,,0,1977939,3
3,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,35212,碎石,,t,5,5,12781.1813,863907.84,,0,1494879,394
3,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,1ef8c0761f2340998bb18c50781b00d8,机制碎石,,m3,2,2,1905.7500,284400.00,,0,2201381,1
3,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,4499e6f0577a4c239a13289f92f92200,机制砂,,吨,2,2,4307.7500,275696.00,,0,1214395,119
3,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,c58d9c8fb8b246d8871efc157ed624a6,板材,,批,1,1,188.3968,259987.60,,0,19261,458
3,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,3a96749dd67f4bf4b7a1c9d0db110401,黄金麻,,M2,1,1,1351.3513,250000.00,,0,1711977,1
3,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,1d9f01a0113148aeb185eadd300de04e,花岗石,,M3,2,2,80.0000,200000.00,,0,1497123,1
3,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,440d53bc5e9d4a2a94071a0ccad5de0a,连砂石,,m2,1,1,1700.0000,187000.00,,0,1977939,3
3,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,8889b25f13a24b4e8da96d3f6f16ad5d,防裂贴,,米,1,1,11004.4819,142398.00,,0,1856992,2
3,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,8b62db29fa624262a86b00cb9384768f,不锈钢栏杆,,㎡,1,1,780.0000,140400.00,,0,1524501,1
3,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,42d6b22c111848f1ab5f68341c12fe3b,真石漆,,kg,2,2,10326.0000,102227.40,,0,1559212,3
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,429538660ab84397817c8f1708335395,机制碎石,,t,1,1,678.5288,81423.45,,0,2201381,1
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,ec823f648b784819883393248df2e599,芝麻灰光面,,套,1,1,150.0000,65019.00,,0,1823863,3
5,review_name_spec_catalog_or_create_new,,,,,catalog_candidate_name_spec,b09faea6bb1c4502bc9179b0436ef2aa,真石漆,,kg,2,2,7500.0000,64425.00,,0,1559212,3
