review_priority,suggested_action,decision,decision_note,target_material_catalog_id,accepted_material_catalog_id,coverage_state,legacy_material_id,material_name,spec_model,uom_text,line_rows,header_rows,qty,amount,exact_text_catalog_id,exact_text_match_count,name_spec_catalog_id,name_spec_match_count
4,create_or_map_material_catalog,,,,,catalog_missing,6354409660494a0c82af786604f1bf17,商品混凝土,C20,m3,10,10,9771.0000,4512350.84,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,b17fdf37c172431ca2a4d56fa4759d62,商品混凝土,C30,立方米,12,12,7072.5968,3158699.76,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,eb1f9ff787a24dba9ee20723707f6110,商品混凝土,C35P8,立方米,5,5,6158.0000,2801890.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,51948c07f10740b69aa4300c2ff62911,商品混凝土,C20,M3,16,16,5248.2600,2037999.74,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,ba944f5415d6498280ee8242ab2d1d9c,商品混凝土,C25,立方米,13,13,4863.6700,1948676.73,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,0dd03d3aed624015a78645b47cbed417,沥青混凝土,改性AC-13,t,1,1,3730.0000,1659850.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,9ab5067cd1094dc58704accffdf4b079,承重内保温球墨铸铁井盖,700*75T,个,1,1,1500.0000,1508550.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,2d0fbc89f3dc434cb6711dd8cfca7856,商品混凝土,C30,m3,6,6,2203.8779,1116476.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,b8b5b42b765a4b3bb975fc9a589140b2,砂石,机砂,吨,7,7,14935.0600,1017107.35,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,8d83632cb4f5437395ca5504352e99a3,二灰废料,,M3,3,3,9616.3428,1009716.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,69043f56addb4e909419e2cce6b5dacc,块石,200mm~800mm,m3,2,2,6437.0000,919010.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,3cc6d10f287e404ab2b45e39d9fe6c99,仿花岗石芝麻灰pc砖,300*600*50,平方,7,7,11220.5310,875200.88,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,001764a2bd3a44aa808eeae067a48926,螺纹钢HRB400E,14,吨,3,3,235.6180,863870.24,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,75149db58f034e6d8cbc32fdbfd0fd51,烧结普通砖,240*115*53mm,匹,4,4,1909908.0000,826390.44,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,af2584e2b70e43d78d6c6656d6ca85ce,PC砖,,M2,3,3,12820.4095,802563.95,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,7b02672d31284f8c94be9b74f9aeb567,pc砖,,平方米,1,1,10257.0000,800046.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,b6d5f078843647d2a9833e1bb3a9d7b7,仿花岗岩芝麻灰PC路缘石,1000*300*150,立方,3,3,522.0000,782998.19,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,a889a257c85f446099efbe4eb9a3a37b,地铺石,300*600,,7,3,15373.5682,766078.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,ea05d38044194c80b4d1cf39940ff662,砂石,1-3石,吨,3,3,11471.9400,718978.12,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,40c5048ebeb147c7928e3fca32df455e,中粒式改性沥青砼,AC-20,吨,1,1,1992.0000,697200.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,15bad534041b4f548dca2f778b8d4955,商品混凝土,C30P8,立方米,3,3,1556.0000,693620.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,aa3f846e074a437986ff6bf6eef67c97,标砖,240*115*53,匹,7,7,1689517.0000,668776.55,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,71c7b525fe54427786dec5f43588453d,商品混凝土,C15,立方米,9,9,1727.4900,659995.98,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,4f5621c67c1a46bcb1ba6c876cb309a1,干混地面砂浆,M20,t,8,7,1476.5345,616614.29,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,eca68bba74e14a6d86b90099bbe4a418,沥青混凝土,AC-20C,m3,1,1,704.8320,587572.77,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,f0f285ff96ed493aa7e6226a36b3a4a9,CPVC电力管,φ200*10mmSN≥8,m,2,2,8397.0000,561316.55,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,894c684f571f4d19980afcdaeb4bc342,商品混泥土,C20,立方米,1,1,1370.0000,534300.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,52a8ce327ab44189bcd4909fa8fc6e3e,仿花岗岩芝麻灰pc路缘石,1000*300*150,立方,5,5,352.0000,527999.88,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,1113eee7facf48b282d2887f25ef19f2,水泥,42.5袋装,吨,7,7,1426.0000,519495.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,df94bafca71c45c788f7f3b998ea4f83,花岗石透水砖,芝麻灰荔枝面 5cm厚,m2,1,1,2401.7800,512651.29,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,cf3c336ad94744ba9fb1e0b97626d3b1,汉白玉栏杆,,米,6,6,486.6050,495285.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,eeab71bc7b5448f198ccc88d1b1e0a89,商品混凝土,C25,m3,6,6,1125.0000,482192.68,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,8d3c135ba8394646b7f99c495570ba1f,电线电缆WDZN-YJV,5*25,M,5,4,5711.0000,468602.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,515fa5829f154642b97cab5400b4c3c5,螺纹钢HRB400E,16,吨,3,3,122.3880,448076.49,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,95b248d9069d4eaaa01084dfdd9e9e18,HDPE钢带增强聚乙烯螺旋波纹管,DN1600SN≥10,m,1,1,300.0000,436500.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,db6b43eb0ac949b8a20290daae159226,沥青混凝土,AC-16C,立方米,1,1,398.2700,425495.74,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,eb4c2881afc5489ebb01d48999b4587b,商品混泥土,C30,立方米,1,1,980.0000,411600.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,de4f4a2ac5304ddeacef70ebd49a0317,盘螺 HRB400E,Ф8,吨,2,1,86.4426,402450.63,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,d68fae4566ea46318afbd1905bea5b1a,胶合板（建筑模板）,1830*915*12,张,12,12,10000.0000,378000.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,42663711adb940dcbe9306ffc090298b,铜芯电缆YJV5*120,,米,1,1,894.2100,360000.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,bb9d830edf92476dbc824ac2f07bb98f,沥青混凝土,AC-13C,立方米,1,1,297.9600,339993.22,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,dbbd23881fe54b7782ceb349218d6620,毛条石,500mm~800mm,m3,2,2,2113.0000,337009.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,a3e97b0639ed40dbb05a14624294f246,螺纹钢HRB400E,18,吨,4,4,92.2177,330990.50,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,79b47659423a4a229068e86103820754,螺纹钢,HRB400E 22,吨,3,3,82.4010,313484.24,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,640b03c70a204807bfa1ddd9ebdb166a,商品水稳层,5%,吨,1,1,2602.2350,302900.15,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,60d5bf2f888e4908a5b56ae0a553e801,商品水稳层,4%,吨,1,1,2602.2350,302900.15,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,6fef288ead32418aa24d7d3aa5f8679e,商品混凝土,C20透水,m3,2,2,546.3000,289836.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,b396169b14ba4131a0d02920b2ff8bd0,LED教室灯,1195*295*57mm   XTJQ3012-36N/T,,1,1,405.0000,286740.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,04ad3b0223994cb5b2002bda62191477,仿花岗石盲道pc砖,300*600*50,平方,2,2,3540.0000,276120.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,cf520000401d482a92370762c21aba04,钢带缠绕管,DN1600  SN10,米,1,1,210.0000,274890.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,79f0c10f12bc442188f0bcae6711dbb0,CPVC管,φ200,m,1,1,4200.0000,270627.84,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,1bd3d6f1b22b409e860323db0a9ad430,芝麻灰花岗石路沿石,900*300*150,米,1,1,3000.0000,270000.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,fdc23934533f47909039feac328f372a,商砼,C20,m3,3,3,580.0000,269700.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,076464c55e8a475ea13911e1120552d6,PVC-C,φ200*10mmSN≥8,m,3,3,4051.0000,265041.45,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,fc1203fdeabb4f7fb2d30a7051504cd8,商品混凝土,C40P6,m3,3,3,622.0000,261520.65,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,b3ee27725ba641d7b4820911d72c4dc6,螺纹钢HRB400E,12,吨,8,8,68.5982,254801.32,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,ffb2811d7b2a4a0e9f40793e88f9ba97,花岗石人行道板芝麻灰烧面,30x60x5,平方米,2,2,2348.9400,249289.78,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,6fb7c5bab39a4b03b13e150e72d5e764,综合排管,DN125*4.5mm 热镀锌钢管,m,2,2,2964.0000,246984.19,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,74aeb280d6054abcb88a34065df8440a,无缝钢管,168*8,吨,1,1,52.0660,246792.84,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,99af91e664884fd2a547a0e2a9de5c1f,水泥稳定级配料,5%,吨,2,2,2112.3196,245874.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,3f1db50ddd7f40f89aeb1d477c1d5117,SBS改性沥青混凝土,AC-13C,m3,1,1,234.3840,244474.14,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,4951dc83d39448bc889c72778f98757c,碎石,10-30mm,吨,1,1,1430.0000,240240.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,311efe8a29684cf09f76ad87a48f6e87,RPF格栅盖板,,㎡,1,1,1500.0000,237300.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,316c2b1eb6a1464a9495c1546aca9640,干混抹灰砂浆,M7.5,t,3,3,600.0000,234600.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,0d84fe22cdfb4701974263bc0e5a7c58,硅酸盐水泥,32.5号散装,吨,3,1,613.8927,231502.35,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,6c2044e8f159487e927b1a26ed069afa,块石,200mm800mm,m3,1,1,1580.0400,229105.80,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,6d988117d2814453be1c61e5472ca076,京式护栏,1.0m*3.0m；护栏80*80*3；横梁40*60*3；竖杆16圆*1.5厚；两边扁铁5.0厚；11个弯弧（厚度±0.2）,m,1,1,1063.0000,226419.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,e1df2b9fe13642e997f5446f5c8cf72c,钢筋HRB400E,Φ14,吨,1,1,59.3420,224312.76,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,d11f5feb164d4ca79c91d51daadd4534,盘螺HRB400E,Φ8E,吨,2,2,55.1900,218000.50,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,c1db75831a4d4b2b9856fc57a80b53f3,花岗石芝麻黑马蹄石,100*100*50,平方米,5,3,1228.4000,214970.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,0621825e114149dfad13b39d6015f4fd,砂石,自然砂,吨,5,5,3379.7000,214065.10,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,f40f89a339c243f88c1bd24511dbe91a,非固化橡胶沥青防水涂料,20kg,kg,1,1,15134.0000,211876.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,24446409da884e1fb465fcc3972b491c,仿芝麻灰烧面石英砖,300*900*20,㎡,1,1,2610.0890,210112.16,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,277c57c920d54eab9456b52fbbe2e789,湿铺高分子膜基防水卷材(E类),1.5mm,㎡,1,1,3915.0000,203580.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,dd65864df5604e0986f98545ad195d4d,螺纹钢HRB400E,25,吨,4,4,57.1120,201913.68,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,9666e677bd6b478a9334669deb47587c,CGP强粘高分子防水涂料,,kg,2,2,8367.0000,200808.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,770d50b61cf34ab99d15b36c359bc823,胶合板,1830*915*13,批,1,1,4182.5000,200760.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,59fc15cf7b5443b29319f55295629d99,仿花岗岩芝麻灰PC砖,300*300*50,㎡,1,1,2564.1026,200000.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,fbf950835adf47e983ed505547145938,螺纹钢HRB400E,20,吨,4,4,55.0480,199967.11,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,20fb4003eeb644e69656a5324301a1a6,陶瓷承重砖,300*600*20,m3,2,1,3000.0000,198000.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,ee235e87ffc14e668267426257412e70,水泥基渗透结晶型防水涂料,25kg,kg,1,1,11400.0000,193800.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,01b4377510734bc989b7530ac4f9345f,矿渣硅酸盐水泥,32.5号袋装,t,4,3,503.2606,189623.38,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,9d675faf37dc4a8291d267712ca790b6,HDPE缠绕结构壁B型管,DN600,m,1,1,243.4100,188602.64,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,71aedd4b9d3144d9bac7dbbf282771a8,HDPE钢带增强聚乙烯螺旋波纹管,DN1000SN≥10,m,1,1,366.0000,187392.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,52ca5d74142045ca8a4259b5d3e2b6e9,商品混凝土,C35,立方米,2,2,425.0000,187000.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,6e6b088e97e94b57acf5091e4e4bdbde,混凝土,C15细石,立方米,2,2,498.0000,186841.32,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,826312f1c5964a8dae8c2742b022a721,芝麻灰花岗石路沿石,15x30x50,米,2,2,1705.9400,175224.70,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,1ffa67b8816144e0840d62d7d832841a,仿花岗岩芝麻白pc嵌边石,500*100*100,立方,1,1,125.0000,175000.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,0ad4f18f3c3e42409212ca48a55b9b8d,蒸压加气混凝土砌块,600*200*200,立方米,1,1,791.6200,174789.70,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,be2d0e7849314ec6b4846da03299a18a,细石商品砼,C20,m3,4,4,422.0000,173020.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,06e5b6763a17430f81a633fc21b4cb79,JS-II 型聚合物水泥防水涂料,1.5mm,kg,1,1,15555.0000,171105.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,1f07b44f009c41048b333a65e5b185dc,镀锌矩管,60*120,t,1,1,33.5330,169676.98,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,b73f7cbe640e42a18a132f028b9ece1a,花岗石浮雕,,立方,2,2,70.9998,168386.20,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,6de42a529cbe4952b89bf848bf7468b2,热轧带肋钢筋,25定尺9米,t,2,1,40.3690,168304.29,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,d38371002a9e4be4b8c913959037196a,HDPE缠绕结构壁B型管,DN500,m,1,1,273.7100,167988.75,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,9510291e770d494eb93501a70fd051d2,水泥,32.5袋装,吨,5,5,494.5000,167680.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,18478a44a5434714a777c840ecee0d38,商品混泥土,C35,立方米,1,1,380.0000,167200.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,7dd97ce4ed104a91a80b2953332fb6b3,砂石,碎石,吨,1,1,2350.0000,164500.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,724258d6130545dd95f38d41c9760a98,商品混凝土,C25P6,立方米,1,1,396.0000,164340.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,b31ebce1facd4126aab2db0efc88ae40,护栏,,米,1,1,1160.0000,163560.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,b02972abc30240f68b6520d45af266fd,商品混凝土,C25,m3,1,1,466.4080,163415.93,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,3365db161f494f10a45ab721589a8cd4,公交站台,7800mm*2920mm*1500mm,座,1,1,2.0000,163000.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,b6f6d85993b840ecbfa0df62aee0d27a,聚苯板,厚40mm,㎡,2,2,4857.2000,162716.20,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,7eef5a08234f4abab542667d4b450c0c,高分子膜基防水卷材(H类),1.5mm,㎡,1,1,3060.0000,159120.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,1ef7f79676d7468d8cabde7e8c43a2d8,螺纹钢HRB400E,Φ14E,吨,2,2,42.0240,158850.72,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,0227c841ef3a4b2d96a66ed02300d2ab,楼梯栏杆,成品,㎡,1,1,1171.3714,158100.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,89e5e9ca61c048deab85ca6c221786ca,有机肥,40kg/袋,吨,1,1,181.0000,155660.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,173f7f6f63b4469a9201ae9c887d8c7e,细粒式改性沥青混凝土,AC-10,m3,1,1,140.0000,154678.47,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,bd6417965b37455f8c47d899e72b3cc8,elastopave C,6551/202 C-A,KG,1,1,3200.0000,153600.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,59b0b2ac55de41109817e0d29311a466,胭脂红卵石,3-5,t,2,2,156.0000,153240.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,937c052fdd214517a8cee99792ead85c,螺纹钢,12,t,2,1,33.4250,150175.11,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,6cb3d65001874e99b9ec4b4ee7bc6c26,铝材,断桥,t,1,1,6.1224,150000.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,eecfecf41004451ba150248d071863f1,仿花岗岩芝麻白PC嵌边石,500*100*100,立方,2,2,107.0000,149800.06,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,75cfdf270fe84e7c950bccf4862bf908,矿渣硅酸盐水泥,32.5散装,t,2,2,364.9000,147348.42,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,0c0ea1df8c3b4b559b91cc1e19dd0ed8,混凝土,C20细石,立方米,2,2,381.0000,146971.14,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,4927d17418b645b8827360523cee673e,方矩管,,吨,1,1,27.0000,142398.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,a3175602792b4b6684f7f48914da851b,电缆,WDZ-YJY-4*240+1*120,米,1,1,196.0000,141708.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,e16854e4e9f6421f9a234aa79ae0c4b4,商品混凝土,C40,立方米,1,1,300.0000,141000.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,88ac2825bbdf4e6fa5ec9fe5ced0bb74,花岗石*芝麻灰嵌边石,600*150*120,立方米,2,1,90.2700,139918.50,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,f4a177e0378f414dbd49845c4e8222a4,花岗石,芝麻灰荔枝面人行道砖600*300*50,平方米,1,1,1467.0000,139365.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,60aa67153b6f482c9f544f0ab4592838,镀锌管,114,吨,3,1,23.2560,139357.80,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,9cd7183670a043ce92fe77ac95975448,干混地面砂浆,M15,t,2,2,383.9700,138833.77,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,401221541961436a9fc80a9c15caaea0,商品混凝土,C15,m3,5,5,316.0000,138133.92,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,3efabd3b2eb44313bb06cc1204328294,细粒式改性沥青砼,AC-13,吨,1,1,341.0000,138105.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,00aab41dde984057b2bd7374b4be1c96,格宾石笼网箱,2*0.5*0.5米,个,4,4,3600.0000,135675.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,7d7605aaee8f426f866cb74cd31fe2b0,混凝土,C20,m3,1,1,401.0000,135538.00,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,11f2760f16b248a3a37a81f48aa041f0,螺纹钢,HRB400E 25,吨,2,2,35.9720,134809.76,,0,,0
4,create_or_map_material_catalog,,,,,catalog_missing,dbc65a0522804be5844bc647188e472b,水泥,42.5R,吨,5,5,337.0000,132600.00,,0,,0
