material_name,spec,uom,rows,qty,amount
商品混凝土,C20,M3,29,15366.1000,6687150.31
商品混凝土,C30,立方米,12,7072.5968,3158699.76
商品混凝土,C35P8,立方米,5,6158.0000,2801890.00
商品混凝土,C25,m3,9,6321.9080,2676856.61
连砂石,,立方米,4,23762.4700,2275319.81
商品混凝土,C25,立方米,13,4863.6700,1948676.73
沥青混凝土,改性AC-13,t,2,3731.0000,1659851.00
承重内保温球墨铸铁井盖,700*75T,个,1,1500.0000,1508550.00
仿花岗岩芝麻灰PC路缘石,1000*300*150,立方,8,874.0000,1310998.07
商品混凝土,C30,m3,7,2363.8779,1174467.68
镀锌钢管,,吨,7,196.9942,1068161.20
砂石,机砂,吨,7,14935.0600,1017107.35
二灰废料,,M3,3,9616.3428,1009716.00
块石,200mm~800mm,m3,2,6437.0000,919010.00
连砂石,,m3,1,10553.8000,875965.40
仿花岗石芝麻灰pc砖,300*600*50,平方,7,11220.5310,875200.88
碎石,,t,5,12781.1813,863907.84
螺纹钢HRB400E,14,吨,3,235.6180,863870.24
烧结普通砖,240*115*53mm,匹,4,1909908.0000,826390.44
机砂,,吨,1,8096.8500,825878.70
PC砖,,M2,3,12820.4095,802563.95
pc砖,,平方米,1,10257.0000,800046.00
地铺石,300*600,,7,15373.5682,766078.00
砂石,1-3石,吨,3,11471.9400,718978.12
中粒式改性沥青砼,AC-20,吨,1,1992.0000,697200.00
商品混凝土,C30P8,立方米,3,1556.0000,693620.00
标砖,240*115*53,匹,7,1689517.0000,668776.55
商品混凝土,C15,立方米,9,1727.4900,659995.98
干混地面砂浆,M20,t,8,1476.5345,616614.29
沥青混凝土,AC-20C,m3,1,704.8320,587572.77
