legacy_partner_source,legacy_partner_id,legacy_partner_name,name,company_type,supplier_rank,customer_rank,sc_supplier_type,sc_account_name,sc_bank_name,sc_bank_account,vat,legacy_credit_code,legacy_tax_no,legacy_source_evidence,source_project_name,source_document_state,source_push_result,source_tax_rate,source_created_by,source_created_at,review_flags
xlsx_supplier_cooperat_company,GYS-20260428-001,成都玮宏劳务有限公司,成都玮宏劳务有限公司,company,1,0,material,成都玮宏劳务有限公司,交通银行成都龙泉驿龙鑫支行,511620011018827203538,,,,1供应商_合作单位639136856545326250.xlsx: row 8; 单据状态=审核通过; 推送结果=推送成功; 合作类型=材料,公司综合平台,审核通过,推送成功,,陈天友,2026-04-28 00:00,invalid_or_placeholder_credit
xlsx_supplier_cooperat_company,GYS-20260423-003,旌阳区胡波劳务服务部（个体工商户）,旌阳区胡波劳务服务部（个体工商户）,company,1,0,material,旌阳区胡波劳务服务部（个体工商户）,工商银行城北支行,6212252305000381643,,,,1供应商_合作单位639136856545326250.xlsx: row 14; 单据状态=审核通过; 推送结果=推送成功; 合作类型=材料,公司综合平台,审核通过,推送成功,,李林旭,2026-04-23 00:00,invalid_or_placeholder_credit
xlsx_supplier_cooperat_company,GYS-20260423-002,旌阳区胡波劳务服务部（张波）,旌阳区胡波劳务服务部（张波）,company,1,0,material,旌阳区胡波劳务服务部（张波）,工商银行城北支行,6212252305000381643,,,,1供应商_合作单位639136856545326250.xlsx: row 15; 单据状态=审核通过; 推送结果=推送成功; 合作类型=材料,公司综合平台,审核通过,推送成功,,李林旭,2026-04-23 00:00,invalid_or_placeholder_credit
xlsx_supplier_cooperat_company,GYS-20260423-001,重庆德首建筑材料有限公司,重庆德首建筑材料有限公司,company,1,0,material,重庆德首建筑材料有限公司,重庆农村商业银行股份有限公司城口支行城郊分理处,3602010120010005423,,,,1供应商_合作单位639136856545326250.xlsx: row 16; 单据状态=审核通过; 推送结果=推送成功; 合作类型=材料,公司综合平台,审核通过,推送成功,,陈天友,2026-04-23 00:00,invalid_or_placeholder_credit
xlsx_supplier_cooperat_company,GYS-20260420-001,江油市太平镇攀记光辉石材经营部,江油市太平镇攀记光辉石材经营部,company,1,0,material,江油市太平镇攀记光辉石材经营部,江油市工商银行华丰支行,6222032308006144938,,,,1供应商_合作单位639136856545326250.xlsx: row 23; 单据状态=审核通过; 推送结果=推送成功; 合作类型=材料,公司综合平台,审核通过,推送成功,,陈天友,2026-04-20 00:00,invalid_or_placeholder_credit
xlsx_supplier_cooperat_company,GYS-20260414-003,欧恩科（北京）自动门科技有限公司,欧恩科（北京）自动门科技有限公司,company,1,0,material,欧恩科（北京）自动门科技有限公司,北京农村商业银行股份有限公司王府井支行,1604000103000002921,,,,1供应商_合作单位639136856545326250.xlsx: row 27; 单据状态=审核通过; 推送结果=推送成功; 合作类型=材料,公司综合平台,审核通过,推送成功,,杨德胜,2026-04-14 00:00,invalid_or_placeholder_credit
xlsx_supplier_cooperat_company,GYS-20260414-002,德阳市经开区诚运建材经营部,德阳市经开区诚运建材经营部,company,1,0,material,德阳市经开区诚运建材经营部,工行德阳西干道支行,2305362209100089912,,,,1供应商_合作单位639136856545326250.xlsx: row 28; 单据状态=审核通过; 推送结果=推送成功; 合作类型=材料,公司综合平台,审核通过,推送成功,,杨德胜,2026-04-14 00:00,invalid_or_placeholder_credit
xlsx_supplier_cooperat_company,GYS-20260403-002,乐山杜航信息技术有限责任公司,乐山杜航信息技术有限责任公司,company,1,0,material,乐山杜航信息技术有限责任公司,中国邮政储蓄股份有限公司乐山市通江镇支行,951115013000545347,,,,1供应商_合作单位639136856545326250.xlsx: row 34; 单据状态=审核通过; 推送结果=推送成功; 合作类型=材料,公司综合平台,审核通过,推送成功,,陈天友,2026-04-03 00:00,invalid_or_placeholder_credit
xlsx_supplier_cooperat_company,GYS-20260402-001,巴宜区有续商贸部,巴宜区有续商贸部,person,1,0,material,巴宜区有续商贸部,中国工商银行股份有限公司林芝分行,0158000209100275565,,,,1供应商_合作单位639136856545326250.xlsx: row 36; 单据状态=审核通过; 推送结果=推送成功; 合作类型=材料,公司综合平台,审核通过,推送成功,,陈天友,2026-04-02 00:00,invalid_or_placeholder_credit
xlsx_supplier_cooperat_company,GYS-20260330-002,德阳鼎盛元物流有限责任公司,德阳鼎盛元物流有限责任公司,company,1,0,material,德阳鼎盛元物流有限责任公司,中国建设银行股份有限公司德阳庐山路支行,5105164420500001936,,,,1供应商_合作单位639136856545326250.xlsx: row 43; 单据状态=审核通过; 推送结果=推送成功; 合作类型=材料,公司综合平台,审核通过,推送成功,,陈天友,2026-03-30 00:00,invalid_or_placeholder_credit
