legacy_project_id,legacy_parent_id,name,short_name,project_environment,legacy_company_id,legacy_company_name,legacy_specialty_type_id,specialty_type_name,legacy_price_method,business_nature,detail_address,project_profile,project_area,legacy_is_shared_base,legacy_sort,legacy_attachment_ref,project_overview,legacy_project_nature,legacy_is_material_library,other_system_id,other_system_code
092bc953078b42ab89b7a9d07fecab66,10398,德阳市罗江区自来水公司2019年12月至2020年11月管网安装（抢修）零星土石方开挖恢复及用工等外包,,正式项目,1,四川保盛建设集团有限公司,5960001,劳务工程,1,联营,,,,0,209,37252278fdd446249a623b6e39cb4e14,,,,109750,16982985829450001
0a098ceefc5046c380028104a3caa2af,10824,中建天投天河区育新街南侧AT0304011-1地块项目,,正式项目,1,四川保盛建设集团有限公司,460001,专业分包,0,自营,,,,0,629,2842da20c989473282b9437865283343,,,,,
0b3b88a05d6d454b9cbbe6b4c3c342d5,17709677461580000,岳普湖县防沙治沙电力配套设施建设项目,,,565,保盛新疆分公司,10890001,电力工程,1,联营,,,,1,,5b5a746890cb0097840f78d60f267f6f,,,,261151,17723318707090000
0c028a6f51ea4e728448ce29b1e2eaab,17283751663400000,南川区S531西龙路K18+800-K27+230日常维修养护工程（换填、边沟）项目,,,570,保盛重庆分公司,400001,市政工程,0,联营,,,,0,,0828c91f4a2ec28a368a603e8b6c8e99,,,,181031,17286088295120000
339f28c8a4a44c5bb33e1c9d7ab1ff30,17649248413900000,某部队年度零星工程建设项目,,,571,保盛绵阳分公司,390001,房建工程,1,联营,,,,1,,78f9bfc4cd581a6c4ce7ef69c1ba895a,,,,238619,17653373301080000
c4fd674a84cc4c2bbeae55d8207443ce,17459979084070000,堆龙德庆区乃琼亲子公园建设项目,,,567,保盛西藏分公司,390001,房建工程,1,联营,,,,1,,04c8890145f30fc1117e3462de7a5f54,,,,223777,17543643079500000
e27eae2a90224ae1a7a6025b4dded66d,10855,龙江大酒店装修改造项目,,正式项目,572,保盛广元分公司,420001,装修装饰,0,联营,,,,0,660,6b616843b93d4dad91fe1d74d98f5c70,,,,109385,16982984782270000
09a62a54dcf645d6b7030d40fbdac1cb,10498,林芝市财富阳光建设项目消防工程,,正式项目,1,四川保盛建设集团有限公司,3240001,消防设施,1,联营,,,,0,307,8b10360b1a8241fd8e8b75a8d2f78c73,,,,109688,16982985750230001
09ba719dfd18431a951ec77d29ea6194,17473583981170000,焙浸车间硫酸罐区防腐项目工程,,,1,四川保盛建设集团有限公司,390001,房建工程,1,联营,,,,1,,eda4b466016b6591aee85847d22a8f4e,,,,214321,17493534527250000
0bb1dac8c9a94e39b421b3a619491c1f,16926693942450000,公司综合管理平台,,,1,四川保盛建设集团有限公司,256f5fcf25944b49b9f6bc3c86f71510,内部,0,,,,,0,,1a9f92ca5d111b97dc83c54ec7446f71,,,,,
0c4f914eee3547c185a2108fc1f768df,10537,太行山路（钱塘江路-信江路）道路工程水泥稳定基层施工专业分包,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,345,14073cb0b3a84b6983e746757c6496c9,,,,109654,16982985708670001
0c8c213e89204a6fb61a4c8ac79f0d4a,16956351409840000,二重厂西路（华山路-衡山路）等4条路砂石工程专业分包,,,1,四川保盛建设集团有限公司,460001,专业分包,0,自营,,,,0,,481c8515e212a856fc28894d55956ad3,,,,109363,16982984755550001
0cdd82e96265456494a1de15f36c433e,10613,何埂小学生化池及室外污水管网,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,421,b9d3edb542294a3da281e427cce9fdd6,,,,109583,16982985614760001
0d21826a7ebb4dbfb7317338baaf57a0,17534262554200000,重庆文理学院2025年附属工程项目(不可预测的零星维修工程),,,570,保盛重庆分公司,390001,房建工程,1,联营,,,,1,,c5d78cf70e527ec435234ff019c426f7,,,,223773,17543642802930000
0dac2896cb43443eaaf4d5247683a40b,17458324018050000,2025年西南石油工程公司钻前主体工程劳务框架招标（6标段：罗江、黄许等地区）项目,,,1,四川保盛建设集团有限公司,450001,劳务工程,1,联营,,,,1,,eecc34a343980ab32656993f50085d9c,,,,212778,17468599323600000
0db43c29f642442292d30f6b34c328a9,10679,巫山县大昌镇树木修剪及路灯更换服务合同,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,485,f618c1547ac44341b275c0bdc2dd51c5,,,,109527,16982984963050000
0dde523bf5414461b937c9d5d4c220cf,10575,53019工程、3644-3、4、3617消防工程,,正式项目,1,四川保盛建设集团有限公司,10760001,专业分包,1,联营,,,,0,383,65145761e79f4feabbd7a400842ea881,,,,109619,16982985660850001
0e04e445c6304b5f9e3b79ffdde72eb1,10704,绵阳金能集中办公室维修改造项目,,正式项目,1,四川保盛建设集团有限公司,9430001,装饰装修,1,联营,,,,0,509,b077cba8490d419ca13181c92673b31d,,,,109510,16982984938830000
0e4c810fe22644c399650bca0528898a,10655,2021年中江县辑庆镇尖寨村中药材园区四升五产村相融建设项目,,正式项目,1,四川保盛建设集团有限公司,9920001,房建工程,1,联营,,,,0,462,473d23f3b9d6444fa2290897704e5fe1,,,,109549,16982984990550001
0f314b7eb259455f8ad3bb3419f66957,17551425995470000,绵竹市星旺大桥与货运通道连接匝道工程项目,,,1,四川保盛建设集团有限公司,400001,市政工程,1,联营,,,,1,,b55bff60091b30449d08ea2209c53b9a,,,,224475,17554790972650000
0f3c19a871e446fc8cc9781f108d58e5,10448,米易县南部新城市政道路及生态湿地公园PPP项目-湿地公园建设项目,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,256,20564585f3254567ac4a78020d667829,,,,109718,16982985787420001
0fe3fceb5f4b4c4fa5fae8527912fb93,10743,旌阳区长江流域可持续发展（沱江上游-绵远河段）综合治理（4、5号地块地下室）（DYS2022-65）,,正式项目,1,四川保盛建设集团有限公司,10760001,专业分包,1,联营,,,,0,548,945faf15e6c249dda0892e6c8932ec3a,,,,109480,16982984901330000
102a738d1fee481fb215df95de82490c,17120229293160000,德阳市青少年宫舞蹈、钢琴、美术教室改造（二次）,,,1,四川保盛建设集团有限公司,390001,房建工程,1,联营,,,,0,,e317967e93a42d9e4bc31f1ccb770394,,,,162252,17137750274650000
106e8ac916084f398b89d0a564f2473f,17627375066040000,德阳市罗江区公路建设养护所2025农村公路维修,,,1,四川保盛建设集团有限公司,430001,公路工程,1,联营,,,,1,,e8adfc26e2be94ba626c0ab65e67897c,,,,238362,17649154939060000
108141059f724a008d2250d7c01449c8,17528002085560000,龙泉山路与旌湖路交会处东北角土地围挡项目,,,1,四川保盛建设集团有限公司,450001,劳务工程,1,联营,,,,1,,a78a40ae4fb898a4e5ebbb03d338b4a3,,,,223771,17543642791370000
11e56ccc546e4532a323597457133e8c,10307,古蔺双沙陈坪等3个村18年脱贫攻坚饮水项目,,正式项目,141,四川保盛建设集团有限公司,400001,市政,1,联营,,,,0,153,1b0ff33a795a4d8fbf6be608b7c939a5,,,,109804,16982986201630001
125f0ae46d734ad68124ddadc3d5eb19,17156810963880000,洛碛餐厨污水处理厂基础设施修复及零星工程项目,,,570,保盛重庆分公司,390001,房建工程,1,联营,,,,0,,1a8215493053722c6065dd476af8e78b,,,,163477,17156811082780000
12bab8c00273463cae235c1615796bb3,10570,青龙工业园区雨污水管网应急修复项目,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,378,bb47c735ce07418ea2f6493d94513ddc,,,,109623,16982985666170000
12dc2d35442c43f481d6e3880f8a306e,10438,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程青衣江路公园剩余工程,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,246,42b2723487fc4700be11314a74bc23b4,,,,109727,16982985799760001
1357e63a4149468ea5b484a53ec1efa4,10836,开挖修复359机位消防主管道爆管项目,,正式项目,570,保盛重庆分公司,400001,市政工程,0,联营,,,,0,641,c55cadce22ed485aaedf055ad84e7b2a,,,,109403,16982984804300001
135be6807d2043619fde2b6efe531cf6,10310,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程-劳务分包-穿城堰三标段,,正式项目,141,四川保盛建设集团有限公司,400001,市政,1,联营,,,,0,153,1b0ff33a795a4d8fbf6be608b7c939a5,,,,109801,16982986197570001
1375f96aeadd4e518c7b0574d3965a4b,16967510789120000,中国移动四川公司成都分公司2023-2025年渠道维修采购项目框架协议,,,1,四川保盛建设集团有限公司,420001,装修装饰,0,联营,,,,0,,314fd0f88730daab3da8453e304520f5,,,,109360,16982984751960000
1428742882bf4fc5988efcc289c8d5e8,10829,安宁新能源磷铁项目,,正式项目,1,四川保盛建设集团有限公司,390001,房建工程,1,联营,,,,0,634,e13c28eadfc74cf79bd97bc2168543d5,,,,109409,16982984814150001
1496d77696814bca8ab7b5d1423b5d5f,10551,国网德阳供电公司综合中心建设场地平整工程（办公大楼恢复）,,正式项目,1,四川保盛建设集团有限公司,3210001,市政工程,1,联营,,,,0,359,c14f8fe2e5ad437fbd438f9954217962,,,,109640,16982985687570001
